Set	Disorder	pvalue	qvalue
NBIA	LBD	0.295	0.964124418604651
NBIA (propagated)	LBD	0.4171	0.964124418604651
All genes	LBD	0.34185	0.964124418604651
All genes (propagated)	LBD	0.39907	0.964124418604651
Amino acids (propagated)	LBD	0.47066	0.964124418604651
Amino acids	LBD	0.32519	0.964124418604651
Leukodystrophies	LBD	0.14116	0.944842105263158
Leukodystrophies (propagated)	LBD	0.30401	0.964124418604651
Lysosomal	LBD	0.39142	0.964124418604651
Lysosomal (propagated)	LBD	0.64383	0.964124418604651
Mineral absorption/transport (propagated)	LBD	0.93675	0.99869
Mitochondrial	LBD	0.5767	0.964124418604651
Mitochondrial (propagated)	LBD	0.42471	0.964124418604651
Not categorised	LBD	0.98499	0.99869
Not categorised (propagated)	LBD	0.87734	0.99869
Other IEMs	LBD	0.12338	0.944842105263158
Other IEMs (propagated)	LBD	0.89595	0.99869
Other lipid (propagated)	LBD	0.16167	0.944842105263158
Peroxisomal	LBD	0.10872	0.944842105263158
Peroxisomal (propagated)	LBD	0.63287	0.964124418604651
Vitamin responsive IEMs (propagated)	LBD	0.1632	0.944842105263158
Vitamin responsive IEMs	LBD	0.56524	0.964124418604651
NBIA	FTD	0.69776	0.964124418604651
NBIA (propagated)	FTD	0.091226	0.944842105263158
All genes	FTD	0.73276	0.964124418604651
All genes (propagated)	FTD	0.72422	0.964124418604651
Amino acids (propagated)	FTD	0.43125	0.964124418604651
Amino acids	FTD	0.21116	0.964124418604651
Leukodystrophies	FTD	0.76694	0.96497191011236
Leukodystrophies (propagated)	FTD	0.069246	0.944842105263158
Lysosomal	FTD	0.27788	0.964124418604651
Lysosomal (propagated)	FTD	0.57927	0.964124418604651
Mineral absorption/transport (propagated)	FTD	0.52632	0.964124418604651
Mitochondrial	FTD	0.99202	0.99869
Mitochondrial (propagated)	FTD	0.90801	0.99869
Not categorised	FTD	0.8742	0.99869
Not categorised (propagated)	FTD	0.40331	0.964124418604651
Other IEMs	FTD	0.071553	0.944842105263158
Other IEMs (propagated)	FTD	0.84495	0.99869
Other lipid (propagated)	FTD	0.38754	0.964124418604651
Peroxisomal	FTD	0.50264	0.964124418604651
Peroxisomal (propagated)	FTD	0.69809	0.964124418604651
Vitamin responsive IEMs (propagated)	FTD	0.72895	0.964124418604651
Vitamin responsive IEMs	FTD	0.95558	0.99869
NBIA	AD	0.52492	0.964124418604651
NBIA (propagated)	AD	0.05769	0.944842105263158
All genes	AD	0.77445	0.96497191011236
All genes (propagated)	AD	0.75377	0.964124418604651
