Set	Disorder	pvalue	qvalue
NBIA	LBD	0.17716	0.867373913043478
NBIA (propagated)	LBD	0.79158	0.987286666666667
All genes	LBD	0.8016	0.987286666666667
All genes (propagated)	LBD	0.23743	0.906433333333333
Amino acids (propagated)	LBD	0.59673	0.987286666666667
Amino acids	LBD	0.64805	0.987286666666667
Leukodystrophies	LBD	0.27193	0.906433333333333
Leukodystrophies (propagated)	LBD	0.91743	0.987286666666667
Lysosomal	LBD	0.55024	0.987286666666667
Lysosomal (propagated)	LBD	0.13562	0.867373913043478
Mineral absorption/transport (propagated)	LBD	0.83363	0.987286666666667
Mitochondrial	LBD	0.9752	0.996095412844037
Mitochondrial (propagated)	LBD	0.7152	0.987286666666667
Not categorised	LBD	0.98356	0.996095412844037
Not categorised (propagated)	LBD	0.70011	0.987286666666667
Other IEMs	LBD	0.74433	0.987286666666667
Other IEMs (propagated)	LBD	0.33876	0.932738888888889
Other lipid (propagated)	LBD	0.43147	0.932738888888889
Peroxisomal	LBD	0.24788	0.906433333333333
Peroxisomal (propagated)	LBD	0.98704	0.996095412844037
Vitamin responsive IEMs (propagated)	LBD	0.01917	0.42174
Vitamin responsive IEMs	LBD	0.30295	0.927864864864865
NBIA	FTD	0.72452	0.987286666666667
NBIA (propagated)	FTD	0.18136	0.867373913043478
All genes	FTD	0.4498	0.932738888888889
All genes (propagated)	FTD	0.3833	0.932738888888889
Amino acids (propagated)	FTD	0.43781	0.932738888888889
Amino acids	FTD	0.16044	0.867373913043478
Leukodystrophies	FTD	0.3121	0.927864864864865
Leukodystrophies (propagated)	FTD	0.10536	0.867373913043478
Lysosomal	FTD	0.67745	0.987286666666667
Lysosomal (propagated)	FTD	0.76706	0.987286666666667
Mineral absorption/transport (propagated)	FTD	0.44163	0.932738888888889
Mitochondrial	FTD	0.2676	0.906433333333333
Mitochondrial (propagated)	FTD	0.90542	0.987286666666667
Not categorised	FTD	0.86897	0.987286666666667
Not categorised (propagated)	FTD	0.38267	0.932738888888889
Other IEMs	FTD	0.22088	0.899881481481482
Other IEMs (propagated)	FTD	0.81557	0.987286666666667
Other lipid (propagated)	FTD	0.94241	0.987286666666667
Peroxisomal	FTD	0.80378	0.987286666666667
Peroxisomal (propagated)	FTD	0.14582	0.867373913043478
Vitamin responsive IEMs (propagated)	FTD	0.60498	0.987286666666667
Vitamin responsive IEMs	FTD	0.068935	0.72665
NBIA	AD	0.72452	0.987286666666667
NBIA (propagated)	AD	0.18136	0.867373913043478
All genes	AD	0.4498	0.932738888888889
All genes (propagated)	AD	0.3833	0.932738888888889
Amino acids (propagated)	AD	0.43781	0.932738888888889
Amino acids	AD	0.16044	0.867373913043478
Leukodystrophies	AD	0.3121	0.927864864864865
Leukodystrophies (propagated)	AD	0.10536	0.867373913043478
Lysosomal	AD	0.67745	0.987286666666667
Lysosomal (propagated)	AD	0.76706	0.987286666666667
Mineral absorption/transport (propagated)	AD	0.44163	0.932738888888889
Mitochondrial	AD	0.2676	0.906433333333333
Mitochondrial (propagated)	AD	0.90542	0.987286666666667
Not categorised	AD	0.86897	0.987286666666667
Not categorised (propagated)	AD	0.38267	0.932738888888889
Other IEMs	AD	0.22088	0.899881481481482
Other IEMs (propagated)	AD	0.81557	0.987286666666667
Other lipid (propagated)	AD	0.94241	0.987286666666667
Peroxisomal	AD	0.80378	0.987286666666667
Peroxisomal (propagated)	AD	0.14582	0.867373913043478
Vitamin responsive IEMs (propagated)	AD	0.60498	0.987286666666667
Vitamin responsive IEMs	AD	0.068935	0.72665
NBIA	ALS	0.90484	0.987286666666667
NBIA (propagated)	ALS	0.75739	0.987286666666667
All genes	ALS	0.8789	0.987286666666667
All genes (propagated)	ALS	0.95175	0.987665094339623
Amino acids (propagated)	ALS	0.7558	0.987286666666667
Amino acids	ALS	0.99694	0.99694
Leukodystrophies	ALS	0.33427	0.932738888888889
Leukodystrophies (propagated)	ALS	0.13525	0.867373913043478
Lysosomal	ALS	0.34768	0.932738888888889
Lysosomal (propagated)	ALS	0.85142	0.987286666666667
Mineral absorption/transport (propagated)	ALS	0.81051	0.987286666666667
Mitochondrial	ALS	0.68683	0.987286666666667
Mitochondrial (propagated)	ALS	0.42086	0.932738888888889
Not categorised	ALS	0.70021	0.987286666666667
Not categorised (propagated)	ALS	0.69642	0.987286666666667
Other IEMs	ALS	0.68554	0.987286666666667
Other IEMs (propagated)	ALS	0.015449	0.42174
Other lipid (propagated)	ALS	0.88213	0.987286666666667
Peroxisomal	ALS	0.012178	0.42174
Peroxisomal (propagated)	ALS	0.1804	0.867373913043478
Vitamin responsive IEMs (propagated)	ALS	0.82554	0.987286666666667
Vitamin responsive IEMs	ALS	0.88227	0.987286666666667
NBIA	PD	0.80416	0.987286666666667
NBIA (propagated)	PD	0.024215	0.443941666666667
All genes	PD	0.24045	0.906433333333333
All genes (propagated)	PD	0.29117	0.927864864864865
Amino acids (propagated)	PD	0.072665	0.72665
Amino acids	PD	0.59048	0.987286666666667
Leukodystrophies	PD	0.80314	0.987286666666667
Leukodystrophies (propagated)	PD	0.46825	0.9365
Lysosomal	PD	0.00021095	0.0232045
Lysosomal (propagated)	PD	0.015349	0.42174
Mineral absorption/transport (propagated)	PD	0.06968	0.72665
Mitochondrial	PD	0.87632	0.987286666666667
Mitochondrial (propagated)	PD	0.20788	0.899881481481482
Not categorised	PD	0.6039	0.987286666666667
Not categorised (propagated)	PD	0.93387	0.987286666666667
Other IEMs	PD	0.6289	0.987286666666667
Other IEMs (propagated)	PD	0.04075	0.640357142857143
Other lipid (propagated)	PD	0.54839	0.987286666666667
Peroxisomal	PD	0.43461	0.932738888888889
Peroxisomal (propagated)	PD	0.21315	0.899881481481482
Vitamin responsive IEMs (propagated)	PD	0.91115	0.987286666666667
