,OR_p,log_OR,log_OR_CI_lower,log_OR_CI_upper,num_genes_in_term,MP_description,MPO_term_type
MP:0000136,6.761580886458802e-09,2.0654806889116113,1.3671111320175493,2.7638502458056733,94,abnormal microglial cell morphology,brain
MP:0003691,2.695616978826509e-08,2.26147756388551,1.464300457732592,3.058654670038428,61,abnormal microglial cell physiology,brain
MP:0003634,3.7077319454917865e-08,1.342929465944918,0.8647353039022407,1.8211236279875953,398,abnormal glial cell morphology,brain
MP:0000952,9.972005158553337e-08,1.4102837667017507,0.8914205517075647,1.9291469816959368,312,abnormal CNS glial cell morphology,brain
MP:0003690,1.1706920635474188e-07,1.8724283509984438,1.1797362662806097,2.565120435716278,112,abnormal glial cell physiology,brain
MP:0014062,1.9383542462952157e-06,2.06685915723887,1.2157699724747957,2.917948342002944,62,nervous system inclusion bodies,brain
MP:0003871,5.480939853595006e-06,1.9647522087107827,1.1175719433397773,2.811932474081788,68,abnormal myelin sheath morphology,brain
MP:0008235,1.2861793848901487e-05,2.348116477801998,1.2931517631893312,3.403081192414665,32,increased susceptibility to neuronal excitotoxicity,brain
MP:0001900,0.00036632672582764754,1.8727408936300431,0.8426333589368802,2.902848428323206,49,impaired synaptic plasticity,brain
MP:0021010,0.00036632672582764754,1.8727408936300431,0.8426333589368802,2.902848428323206,49,impaired synaptic physiology,brain
MP:0000920,0.0005500076108662386,1.2699437436843688,0.5495549422519733,1.9903325451167642,174,abnormal myelination,brain
MP:0010762,0.0007597673304980168,2.056489627059201,0.8594046929833457,3.253574561135056,31,abnormal microglial cell activation,brain
MP:0000921,0.001168418436869715,1.5101122346982248,0.5984275772967602,2.4217968920996893,86,demyelination,brain
MP:0002916,0.0015306656428340343,2.415159345975564,0.921339452604242,3.908979239346886,15,increased synaptic depression,brain
MP:0002882,0.0018176003908946911,0.5732881354521187,0.2129816226257381,0.9335946482784991,1550,abnormal neuron morphology,brain
MP:0006009,0.0028733434746008512,1.2601618241525099,0.43161624977393875,2.088707398531081,131,abnormal neuronal migration,brain
MP:0004101,0.003235713542350146,1.7772905388193223,0.5942264266240043,2.96035465101464,40,abnormal brain interneuron morphology,brain
MP:0001105,0.003235713542350146,1.7772905388193223,0.5942264266240043,2.96035465101464,40,abnormal PNS glial cell morphology,brain
MP:0003244,0.003359215619066907,2.2073582430510257,0.7321998612964644,3.682516624805587,18,loss of dopaminergic neurons,brain
MP:0003241,0.003359215619066907,2.2073582430510257,0.7321998612964644,3.682516624805587,18,loss of cortex neurons,brain
MP:0004859,0.004894510167285529,1.4586528714828173,0.44265676867767234,2.4746489742879625,72,abnormal synaptic plasticity,brain
