z_comb,z_12,observed_overlap,expected_overlap_mean,expected_overlap_std,empirical_p,obs_exp
2,1.0,507,334.74,15.915162581638933,1.3299844222347684e-27,1.5146083527513892
2,1.5,282,177.65,11.49554261442234,5.558360363225341e-20,1.5873909372361383
2,2.0,127,77.12,8.820748267579118,7.799164709261166e-09,1.6467842323651452
3,1.0,367,247.24,14.131609957821508,1.1792580405995219e-17,1.4843876395405273
3,1.5,264,167.24,12.466852048532541,4.20044591147423e-15,1.5785697201626405
3,2.0,127,75.32,7.220637091005197,4.1151799025648447e-13,1.6861391396707384
4,1.0,263,172.87,11.798012544492398,1.0909927713024492e-14,1.5213744432232312
4,1.5,221,136.43,10.229618761224682,6.858799545175006e-17,1.6198783258814042
4,2.0,127,75.0,8.644073113989723,8.956514053118026e-10,1.6933333333333334
5,1.0,194,126.37,10.867064921127508,2.432605793980962e-10,1.5351744876157316
5,1.5,173,108.18,9.674068430603537,1.0393431772557645e-11,1.599186540950268
5,2.0,119,70.78,8.710430528969278,1.5482444119319932e-08,1.6812658943204295
9,1.0,58,37.53,6.170016207434143,0.00045387874748898716,1.5454303224087396
9,1.5,53,35.29,5.171643839244926,0.0003080304321272888,1.5018418815528478
9,2.0,46,30.6,5.932958789676531,0.00472034168026585,1.5032679738562091
12,1.0,31,18.86,4.159374953042824,0.0017574277696830191,1.6436903499469777
12,1.5,28,17.16,3.579720659492861,0.0012302012550743763,1.6317016317016317
12,2.0,25,15.69,3.7167055304395586,0.006124187638918214,1.5933715742511154
