,d1_seeds,d2_seeds,d1_name,d2_name,z_d1,z_d2,z_both,sum_seeds
ABCA7,1,0,AD,MPS,10.223480390300024,3.5055990938553263,35.83942359228346,1
APOE,1,0,AD,MPS,11.60976479191202,2.9888626776199336,34.699992682491796,1
CBWD3,0,0,AD,MPS,4.255209419053291,6.29827242579645,26.80046815001268,0
PSEN1,1,0,AD,MPS,13.371717835766804,1.8793603197841176,25.13027590788969,1
SUMF2,0,0,AD,MPS,3.560258639978268,6.247890466872965,22.244106016322327,0
POMGNT2,0,0,AD,MPS,2.545343812349417,7.633734220830621,19.430478164111218,0
ZNF276,0,0,AD,MPS,3.9284316680168123,4.8908509768936685,19.21337386118005,0
LIME1,0,0,AD,MPS,4.466102336932438,4.227234390389006,18.879261389677506,0
PRXL2A,0,0,AD,MPS,2.477372719876123,7.607835848162246,18.847444987532775,0
KIAA0513,0,0,AD,MPS,4.954902773317375,3.765885830552238,18.65959814579989,0
FAM160B2,0,0,AD,MPS,3.008863911063937,6.010950190858373,18.086131100476642,0
AC138894.1,0,0,AD,MPS,4.276622624662538,4.187407703085463,17.907962521701485,0
IDUA,0,1,AD,MPS,2.2074266293382747,8.08244384645384,17.84140177679348,1
ART3,0,0,AD,MPS,3.7591144014930262,4.679793308145186,17.59187842065926,0
CLN3,0,0,AD,MPS,3.06991580392338,5.7173830785224995,17.551884669840327,0
TMEM175,0,0,AD,MPS,5.306204427004831,3.0635168553407723,16.255646700013124,0
MANBA,0,0,AD,MPS,3.6240879566830038,4.330508375071974,15.694143248413226,0
SLC38A7,0,0,AD,MPS,4.20951491165143,3.6798267165145173,15.490285435461182,0
HPS1,0,0,AD,MPS,3.452995147903129,4.045557534349611,13.969290536672153,0
HEXA,0,0,AD,MPS,2.897333324123519,4.7521066499859455,13.76843695679326,0
SLC39A11,0,0,AD,MPS,2.9938475602065813,4.491673095866559,13.447384539305638,0
ORAI3,0,0,AD,MPS,3.847906727070003,3.487824353777821,13.420822793740264,0
RABEP2,0,0,AD,MPS,3.4171796934387166,3.909036598036394,13.357880483718729,0
GNS,0,1,AD,MPS,1.553435737413558,8.465213105732628,13.15016456326668,1
CHI3L1,0,0,AD,MPS,3.456719166192957,3.728672046209902,12.88897212658168,0
VPS9D1,0,0,AD,MPS,3.4373436689896812,3.702386658922553,12.726375342199296,0
ZNF395,0,0,AD,MPS,1.8886638267998466,6.696981121264751,12.648345992494212,0
LMBR1L,0,0,AD,MPS,3.4083690696564894,3.6794349793905834,12.540872377567027,0
NPEPL1,0,0,AD,MPS,2.8453252644440568,4.21342231970598,11.98855697603191,0
ABCA2,0,0,AD,MPS,2.9600473886136136,4.0319299169959635,11.934703621877006,0
