,z
UBE2Q1,-0.3685600628317047
RNF14,0.0657439904565786
UBE2Q2,-0.6249719102947766
TMCO1,0.09564411129177446
UBAC1,0.4137351628066682
RAB4A,-0.2332313085649659
ZNF706,3.288182936052202
MIB2,-0.2581572952749796
RNF114,-0.4391687300797506
RNF115,-0.5096337203447007
RNF111,-0.6835838586289702
EEF1AKNMT,-0.586698194653303
UNKL,-0.4774513220598622
MMAB,-0.7378526611381077
UBE4A,-0.8378181239664997
DDX41,-0.12894272872796986
ATMIN,-1.095557716485474
TSG101,-0.5426218455260772
FBXW11,-0.7251052553564491
UBE2D4,-0.7418876902910905
RPS27A,-1.0705079140804166
UBE2D2,-0.9777871790555249
ATP6V1H,-0.2517648654351289
UBE2D1,0.668966569892707
MFSD11,-0.7118356106003931
CCT3,-0.6426254080489495
LNX1,-1.0544935125282924
MRFAP1L1,-0.09743088592510478
GTF2B,-0.738692116195985
FBXL13,-0.5353262307465502
FBXL12,0.038014195363818976
FBXL15,0.010638602576460755
FBXL14,-0.5445983449358235
FBXL16,-0.49579845416732143
FBXL19,-0.704482837169751
FBXL18,-0.41712793820271676
CCDC51,-0.6975894817485851
PPP1R11,0.4307280501654827
AKTIP,0.1518084324760747
RNF41,-0.663673914961635
ANAPC1,-0.9048679607673992
ANAPC2,0.7507772379829988
ANAPC5,-1.0652198992362654
ANAPC4,-1.0123644913063332
ANAPC7,-0.6713326745894755
ZNRF1,-0.5060943877618709
LRR1,-0.9344479676946306
ZNRF2,-0.6578412026186475
FBXO30,-0.4568032724273911
FBXO5,-1.08765691905378
FBXO32,-0.7242874997197152
EMC7,2.6038303412823156
KLHL25,-0.26605252113396755
KLHL21,-0.4852802551408943
KLHL20,-0.6394569247047548
KLHL22,-0.10262417392722763
MKRN1,-0.46924339604060367
SPSB2,0.10464874489055462
SPSB1,-0.39723722076470547
TRIM50,-0.3208028509719197
SPSB4,-0.2899078507613378
ARF1,1.4491881809297136
CDC34,-0.06703559262788016
AREL1,-0.4889522002519819
LONRF1,-0.7960567800803068
CIAO2B,-0.2748489847457103
RNF25,-0.8273755406800527
UBE2V1,-0.725333975844242
UBE2V2,-1.031317257908701
RNF26,0.44255383624954836
PSMD8,0.080846813088416
LMO7,-0.5417930498601169
MGRN1,1.1172953809180914
DHX8,1.6884743785015996
SPCS1,0.23374923137786896
ITCH,-0.41495504690716045
PSMD4,-0.2786024277026388
FLAD1,-0.22651026229050497
CBLL2,-1.0931194045431185
ARIH2,-0.15828389217526645
TRIP12,-0.6643741176457448
MEX3C,-0.7653645958967917
E2F6,-0.7244091134391947
SNW1,-1.1210106269746076
PRCC,-0.44889923620735883
C3AR1,1.4650812431616271
BTRC,-0.7025422907743567
TRIM11,-0.3631416941892046
HUWE1,-0.47879240126300504
UFC1,-0.2383148672694504
LRRC41,-0.1536092988154954
USP25,-0.5670304440063363
MOAP1,1.041864258359523
ASB2,-0.22874100536691988
ASB1,-0.5984388742566198
ASB6,-0.5773492924902516
ASB7,-0.7557400225775754
ASB4,-0.9415172525058494
ASB5,-0.7423963405141522
ASB8,-0.7973887308514918
ASB9,-0.6913398698156605
PIP4K2C,-0.3640232574450738
ZMPSTE24,0.13562378897567534
MRPL34,-0.3052107887396431
UBE2R2,-0.6278860850963583
IMPA1,-0.08229183526402734
RNF19B,0.055972295053297594
RNF19A,-0.5861262071176615
RFX5,-0.45480001385944385
TRAIP,-0.9697287170728941
UBA52,-1.0346285616402797
KAT7,-0.7371921776133578
EXOSC7,-0.7483281617651804
ADAR,-0.026707601121469655
STK24,-0.7159601938619549
GPR161,1.6997937339493592
UBE2E1,-0.592598947062259
UBE2E3,-0.7682765207838818
UBE2E2,-0.6719137313799661
DLGAP3,-0.6731858877351774
JTB,0.21958969568663642
TRIM9,-0.7252180571476741
FBXL20,-0.5292619572710003
TRIM4,-0.43749073298017616
FBXW12,-0.6319523959689652
PI4KB,1.3682559249466297
RNPEP,5.042034925335631
ELOB,-0.5425017478321896
FBXW8,-0.5525383671809643
SKP2,-0.905930688999392
ZBTB16,-0.6855181169628729
SKP1,-0.48913034349834417
DEDD,0.6409811556248662
WDR26,-0.5668431813859092
FBXW9,-0.5068213432735533
FBXO21,2.8347034034538896
FBXO27,-0.5190016149915742
HNRNPAB,-0.5706166361671284
DDX19B,-0.43789056705692675
FBXO28,-0.6087687355322803
FBXW4,0.6004735111036629
FBXW5,-0.3360614016136181
FBXW7,-0.5650639783728828
KLHL11,-0.3817095625020531
KLHL12,-0.29908724817001325
LRSAM1,-0.252130796819807
SH3RF1,-0.023596478933112962
CSTB,0.23183502124186342
GNB1,0.543905793431349
UBE2D3,-0.931577437397787
TRIM69,-0.5212340251067997
JOSD1,-0.4403794605856356
TRIM63,-0.8481794031634677
PIP5K1A,-0.4849533670351024
KEAP1,-0.25704300055294976
ATP6V0C,0.6918159176120624
ERCC3,-0.7471238037351576
RNF34,0.2911152886643719
TOR1A,5.554959067157656
TOR1B,4.885408592688077
RLIM,-0.4342909965257599
TMEM248,1.266893399646419
MFSD5,1.1900647600902514
PSME3,-0.7349256572892006
KBTBD13,-0.4648427340407778
DDX23,-0.7287221977287192
ERP44,1.6364218781975974
ILF2,-0.6596148178143753
ASB10,-0.6716370602016041
UBE2J1,-0.556829990855996
UBE2J2,-0.5675248135708605
WWP1,-0.17259841733264772
BTBD1,-0.5052988156707157
FBXO10,-0.4527063106581647
FBXO17,-0.579239374322042
FBXO15,-0.5674512499028344
ASB13,-0.7109177836473953
CAPRIN1,1.6241678815117098
PPP1R7,-0.25947854159876854
CERS2,2.783421054539227
ASB17,-0.8980448641251946
EIF4ENIF1,-0.9602706308066125
CUL5,-0.7776940185671952
CUL7,1.6715501775628632
CUL1,2.5514401181973336
CUL2,-0.900269731739648
CUL3,-0.8327259879594743
TRIM27,-0.35389149984103774
TRIM21,-0.2506793968514108
IRF2BPL,-0.3368628173008988
RNF138,-0.5866786470251151
TOR1AIP1,0.15626802611706642
DZIP3,-0.6267814705318205
RBBP6,-0.8823603401315547
RNF182,-0.7944397617691054
RBX1,-0.9236636912741474
RNF217,-0.413456202974866
RNF213,0.09464836403899736
SLBP,-0.8858742830465409
SMURF1,-0.5884847270178829
UBE2F-SCLY,-0.3835896380557399
SMURF2,-0.8236642182874734
CDC16,-0.9026590353017951
UBAP2L,-0.4104401679507957
RNF130,0.08909607689646422
B4GALT1,4.1177402681656075
B4GALT3,2.0192958352999915
PJA2,-0.26313907062091313
RIC8A,1.485970534168939
HERC1,-0.8659207675036847
HERC3,-0.9943914743889606
HERC2,-0.7395413958194328
HERC5,-0.6783600546979881
HERC4,-0.7340255387734627
HERC6,-0.40569698211456356
MRPL9,-0.6060290003353329
UBE2I,-0.7696748583937806
UBE2H,0.9406928495069261
UBE2K,-0.8903114847390403
UBE2M,-0.35608171389083343
UBE2O,-0.7658814254573503
UBE2N,-1.0454277949913249
UBE2A,-0.7033642510250296
UBE2C,-0.9518943048167522
UBE2B,-0.8349359036713827
UBE2F,-0.6181490899171354
UBA5,-0.11263119560070624
RBCK1,0.3273880239496847
UBE2S,-0.7443530072338246
UBE2U,-1.0158599479001396
UBE2T,-1.033932607051281
UBE2W,1.9233926779834856
DPF2,-0.07680964483061535
UBA1,-0.1625476627881037
FBXO2,-0.4071468409805703
FBXO4,-0.4788330082929761
FBXO6,2.6324056089908217
FBXO7,-0.3799419846668454
FBXO9,-0.1667993219133887
HACE1,-0.49176521482806784
SRPRB,-0.0774549458541518
ASB11,-0.6701732383823806
FHL3,-0.22628783545423
FBXO44,-0.5487296947083783
FBXO41,-0.5164026768903515
FBXO40,-1.0295670654533093
NDUFA8,-0.5080528073811097
DET1,-0.6475064611731121
TP53,-1.2022508332018935
MAEA,0.17622855425000808
TRIM71,0.05800053202823783
BIRC6,-0.7860270636133487
PEX19,0.4746706018711573
MAP2K1,-0.5096273049817835
ADPGK,4.7157884137158845
ANGEL2,-1.2291851699718357
RCHY1,-0.7412182437794874
LYPD3,-0.05612699373791297
NSF,-0.42045277937703895
APEX1,-0.6213437186647826
UBE2Z,-0.25327212829852425
MAD2L1BP,-0.5862568430991473
POGK,-0.7309261021001134
PPP1CA,-0.011422513001126918
MYLIP,-0.25469228391860727
M6PR,3.0785790038022935
HECTD2,-0.5306353036100988
HECTD3,0.8560049479303395
ASB12,-0.6575228541139944
HECTD1,-0.9909180730523769
ASB14,-0.652994377718849
ASB15,-0.9611155614781134
ASB16,-0.7075939368656226
UBE2QL1,0.7158768686300204
ASB18,-0.5004246147047214
DHX16,-0.5462682864891888
AC022826.2,-0.6959285747593413
STUB1,0.09794808794589313
ANAPC11,-0.7457403685359559
ANAPC10,-1.0524034777639495
ANAPC13,-0.5697319325846116
CSNK1D,1.2538815634940588
UBR4,0.760539613340899
WSB1,-0.5619950718551032
SCAMP3,0.6538912140027066
CHTOP,-0.9674410495855252
KLHL5,-0.3490398737724023
KLHL2,-0.5645789484354864
KLHL3,-0.35683215250604916
UBR2,-0.36558169790247796
UBR1,-0.8628607456335615
FBXO22,-0.5923906969195216
KLHL9,-0.3639957828253502
FBXL8,-0.28716960312356204
SOCS1,-0.4579666565634979
SOCS3,-0.481435511778528
FBXL3,-0.5333718470733683
FZR1,-0.6993252103821811
FBXL5,-0.43521431532608634
FBXL4,-0.7297688912417111
FBXL7,-0.2078468293541206
SUPT4H1,-0.4035809682569628
TMEM189-UBE2V1,-0.6366661109134174
UBB,-0.9689534391093213
UBC,-0.28951121556117093
RNF6,-0.5582636020818402
RNF7,-1.0820855005073582
RNF4,-0.8641693486277243
TRIM39,-0.7648975943054288
TRIM32,-0.6049817198996535
TRIM37,-0.8749954346221263
TRIM36,-0.9131532505169331
UBE2L6,-0.2062115626141889
UBE2L3,-0.7882089429242444
KBTBD7,-0.29905801621379496
KBTBD6,-0.5705754120876044
UBE3B,-0.2514032212303816
UBE3C,-0.7429926945821389
UBE3A,-0.8615154260973963
CCNF,-0.8876362646771112
UBE3D,-0.450158241138205
KBTBD8,-0.49002658257337955
NGRN,-0.54634491438521
HTR2C,-0.20053281812349635
PCBP1,-0.5172937424742847
RNF220,0.07082876436549991
ECPAS,-0.09323573236441705
ARPC5,-0.020267377854960012
TRIM41,-0.9884282643828343
TAF7,-0.9762835890197445
SLC25A44,0.49475167979119805
CDC27,-0.8577013798953573
CDC26,-0.9708181374867121
CDC23,-0.7498555511957697
CDC20,-0.9684838575090553
KLHL42,-0.33705805689411183
KLHL41,-0.7538479494126193
HECW2,-0.5583511639622931
RNF126,-0.27688388220355403
BTBD6,-0.47164792892737323
RNF123,0.8136004868681908
DTX3L,-0.3216529826822177
COP1,-0.6911178395306952
NEDD4,-0.6981435096790954
PFDN2,-0.7031177613558337
SIAH1,-0.6189868861135183
SIAH2,-0.7432384715585459
TCEAL1,0.23162498774918017
RNF144B,-0.42359165033508217
PSMB4,-0.33385362840299915
KCTD6,-0.3817502879809714
HAX1,-0.08566134395314563
VHL,-0.6209581655332439
UBOX5,0.04058163060122272
