Cluster,genes,Top pathway,p_value,recall,intersection_size,num_d1_seeds,num_d2_seeds,num_both_seeds,frac_d1_seeds,frac_d2_seeds,frac_both_seeds,frac_no_seeds
C341,RHOA RAB3A DYRK3 TBC1D10C SYT9 ITGB2 FOXO4 ANKRD11 SLC48A1 CNTNAP4 INPP5J CDK19 TRHDE CELF5 PARVG HOMER2 CLTC AFF1 SYT2 ITPR2 ESPN SORCS3 RCSD1 TRAPPC10 CASC4 ITPK1 MAPK1 EPS15L1 IPMK GRN KCNIP3 ENPP4 FYN SORBS1 IFIT5 ITSN2 EPHB2 RTN2 CTTN FAM131C REPS2 KCNMB3 CLTCL1 RYR3 WASL GPR37 CIB1 IGSF10 TSPAN14 MCOLN1 CLIP1 TMEM175 M6PR SNAP91 GSK3B GAS2 TMEM63A FAM117A INPP5B PIK3R1 PAIP2B AC068234.1 PIP5K1C VAMP1 ZNF483 VPS35 CASP3 MAPRE2 STAM PRG2 TBC1D5 CD5L SREBF1 SPNS1 GP1BA WDR13 MCTP2 PLD3 ATP2B3 SNX33 ARHGAP21 TUBGCP5 RALGAPB LGI2 GRAMD1C AC004997.1 ITPKC PICALM PPFIBP2 LDLR BRIP1 REPS1 AC138894.1 ZNF736 METTL2A ZNF768 SNX18 AL691442.1 TMEM212 TRAM2 DNM3 STRIP2 PTPRU PSEN2 PEX19 ANO6 ATP2B1 DNMBP SYNJ1 LLGL2 STK11 CLASP1 ITPR1 TRIP10 INPP5D ARHGAP26 METTL7A GNS PXK DNAH1 SSH2 PPFIA3 DLK1 CYLD TMEM150B EVI5L HPCAL1 UNC80 VTN IGF2R ABCB9 GRAMD4 ACTL6B LAMP1 STON2 SH3BP1 PRKCZ CTXN1 ITPKA FGR SPAG9 PACSIN2 SIPA1 VAMP3 PTEN PIK3CB WASF2 WIPF1 TMCC2 CASK KCNA3 CRMP1 MID1IP1 AOPEP CCSAP ATP1A3 ABI3BP PIK3CA IRS4 CCDC92 TMEM53 ABCB5 ADAM10 TGM2 ARHGAP30 CXorf21 ZBTB25 INPP5A NPC1 DNAH14 SYT11 CTSA SORT1 EPB41L1 MFNG CD47 PSEN1 WASF1 COBL WDTC1 DNM1 JAG2 ABCB8 CTSD HEXA PREX1 DGKD SCARB2 SIPA1L3 F3 CBL FKBP15 SPPL3 ITSN1 ITGB3 PPP2R5B SYT8 SGIP1 PBX1 KIAA0319 SH3GLB1 RPS6KA2 ATP2B4 GSTM1 KCNA2 MCM3AP KCNC1 METTL2B KCNAB2 ITGA2B TMEM59L KRAS GPSM3 PRKCH SLC2A11 DNM2 SPPL2B STK38 NYAP2 AGFG1 STAR SNN POLG BIN3 SIK3 PTPMT1 SNX9 ARHGAP17 SH3GL1 BNIP3L NYAP1 MFAP3L PTK2 CTSB MATK WIPF3 PLD4 TBC1D17 HIP1 SNCB SFI1 ABCG1 SH3GL2 TBC1D9 PRKCD CD300E FCHO2 APBA2 HIP1R KCNK5 LDLRAP1 SLC8A3 DOCK10 KCNH8 PLAAT3 KCNG2 ACOT9 FNBP1 SLC2A8 DNAJC6 LCE1F ANGEL1 MAPT LPIN2 TMC6 MEGF9 QPCT FAM53B SPPL2C TGOLN2 CLN3 GAK BDNF ABCB4 ABCB1 ATP11A ABR BANK1 TBC1D20 LAMP2 GABRA3 SORL1 TBC1D8 FLRT1 NECAP2 ITGA8 MBNL1 BACE1 SYT1 APBA1 STK25 SYNJ2 ATP7A NAP1L6 RIPK3 BIN1 ARHGEF37 AC093525.2 SYN1 RHBDF2 EPN2 IQSEC1 CAPG NCKAP1 WASF3 OCLN SLC25A20 ZFP36L2 EPHB3 TBC1D26 EXOC6B PACSIN3 FNBP1L RELCH KIAA0513 TOX4 EPS15 AAK1 CD177 BRSK1 ARHGAP44 KIAA0355 ATP9A ITPKB FRY NCKAP1L,Clathrin-mediated endocytosis,7.656110983747647e-53,0.3793103448275862,55.0,29,6,6,0.08895705521472393,0.018404907975460124,0.003067484662576687,0.8895705521472392
C384,PTPMT1 PTPRU MATK PPFIBP2 PPFIA3,C384,,,,1,0,0,0.2,0.0,0.0,0.8
C385,GRAMD4 GRAMD1C TBC1D8 SNX33 TSPAN14,C385,,,,1,0,0,0.2,0.0,0.0,0.8
C390,SORCS3 VPS35 SORL1 SORT1,C390,,,,1,1,1,0.25,0.25,0.0,0.5
C398,STK25 BIN1 STRIP2 DGKD,C398,,,,0,1,1,0.0,0.25,0.0,0.75
C403,TRAPPC10 MCM3AP POLG ANKRD11,C403,,,,1,0,0,0.25,0.0,0.0,0.75
C404,GRN PPP2R5B TBC1D9 MEGF9,C404,,,,1,0,0,0.25,0.0,0.0,0.75
C408,RTN2 BACE1 PPFIBP2 PPFIA3,C408,,,,1,0,0,0.25,0.0,0.0,0.75
C414,KCNMB3 CRMP1 POLG MCM3AP,C414,,,,1,0,0,0.25,0.0,0.0,0.75
C342,FCHO2 REPS2 PACSIN2 HIP1R PIK3CA SYT1 CLTCL1 LDLRAP1 NECAP2 TMEM53 SCARB2 WASL SYT9 PICALM SYNJ2 LDLR F3 VAMP3 CBL TGOLN2 SLC25A20 GAK STAM REPS1 BIN1 FNBP1 SLC2A8 SYNJ1 SYT11 DNAJC6 EXOC6B SLC2A11 DNM2 M6PR ITSN1 PACSIN3 SNX18 UNC80 HIP1 EPS15L1 SNAP91 FNBP1L AGFG1 EPS15 AAK1 SORBS1 SH3GL2 SYT8 DNM3 SNX9 STRIP2 STON2 ITSN2 CLTC SGIP1 SH3GL1 KIAA0319 DNM1 EPN2 CTTN TRIP10 SYT2,Clathrin-mediated endocytosis,5.488357176493828e-95,0.36551724137931035,53.0,6,2,2,0.0967741935483871,0.03225806451612903,0.0,0.8709677419354839
