z_comb,z_12,observed_overlap,expected_overlap_mean,expected_overlap_std,empirical_p,obs_exp
2,1.0,989,481.22,19.73047389192667,2.322822525309814e-146,2.0551930509953866
2,1.5,611,247.41,12.485267317923151,9.585659869911323e-187,2.4695848995594356
2,2.0,244,83.18,8.586477741192834,1.4242343344838257e-78,2.933397451310411
3,1.0,731,318.87,18.587982676987842,3.2106698461680103e-109,2.2924702856963655
3,1.5,569,223.4,13.756453031214113,1.4030189385327544e-139,2.5470008952551475
3,2.0,244,84.09,8.175689573363215,1.7219774006606446e-85,2.9016529908431443
4,1.0,483,201.53,13.601069810864145,1.9333084221348997e-95,2.396665508857242
4,1.5,423,163.84,10.062524534131581,1.4178767477200523e-146,2.581787109375
4,2.0,244,82.47,8.030510569073426,2.7525454828940693e-90,2.9586516308960835
5,1.0,301,129.08,9.310939802189681,2.000829695169574e-76,2.331887201735358
5,1.5,281,113.69,8.854032979382897,6.096751623878987e-80,2.471633389040373
5,2.0,208,72.38,7.892756172592691,1.7848585614905965e-66,2.873722022658193
9,1.0,54,34.18,5.804101997725402,0.0003191135196844197,1.579871269748391
9,1.5,53,29.45,5.240944571353527,3.5036802766780804e-06,1.7996604414261461
9,2.0,43,23.83,4.812598050949195,3.3983083992684935e-05,1.80444817456987
12,1.0,32,16.94,3.5994999652729542,1.4326597381513275e-05,1.8890200708382525
12,1.5,31,14.76,3.693561966449189,5.491919300951095e-06,2.100271002710027
12,2.0,23,11.0,3.2093613071762426,9.235418993225654e-05,2.090909090909091
