,d1_seeds,d2_seeds,d1_name,d2_name,z_d1,z_d2,z_both,sum_seeds
NOTCH2,0,1,AD,T1D,4.140767585503256,12.483801291718562,51.6925197326119,1
SLC24A4,1,0,AD,T1D,13.837952248653163,2.2866579067375423,31.64266292243931,1
PRR15,0,0,AD,T1D,4.375303001978878,7.14706269625545,31.270564870257726,0
LOC105369243,0,0,AD,T1D,4.782752374809504,6.3522208107270295,30.381099167819052,0
SORL1,1,0,AD,T1D,12.26743888841155,2.3109438306575325,28.34936221714297,1
INPP5D,1,0,AD,T1D,10.407875905126422,2.4663584708263624,25.669552901918145,1
PTPRC,0,1,AD,T1D,2.5897237896577945,9.541630591202646,24.71018773416406,1
CFTR,0,1,AD,T1D,1.9739081281944122,12.250585191447822,24.181529684536955,1
IRF1,0,1,AD,T1D,2.0081003906571397,12.02982885937623,24.157104032051944,1
SPI1,1,0,AD,T1D,10.640635628541519,2.198372320556774,23.392078838915907,1
MS4A2,1,0,AD,T1D,9.696813817271277,2.3591811181964846,22.876540064373174,1
CCDC149,0,0,AD,T1D,2.568592760254043,8.559650631261224,21.98625664176153,0
IRF4,0,1,AD,T1D,1.8933252613866063,11.397563163886911,21.57929425643654,1
RUNX3,0,1,AD,T1D,2.0324619157040793,10.439873124940862,21.218644531224836,1
BCL11A,0,1,AD,T1D,2.1032573159089623,10.042595424578508,21.12216229745862,1
KLRC4-KLRK1,0,0,AD,T1D,5.545588665002457,3.7947919908140775,21.044355450300657,0
ITGB8,0,1,AD,T1D,2.26957992992294,9.263370935154928,21.023960757859122,1
PTK2B,1,0,AD,T1D,13.221758600719516,1.5020645689614274,19.859935133501804,1
KLRG1,0,1,AD,T1D,1.9261065819389924,10.27289096396857,19.786682901241463,1
KDF1,0,0,AD,T1D,3.957509187224976,4.613902813545527,18.259562773569588,0
FCGR2C,0,0,AD,T1D,4.140598585806946,4.23965896066201,17.554725896820862,0
NFAM1,0,0,AD,T1D,3.4536789682647884,4.976567554452504,17.187466696961543,0
CDKN1C,0,1,AD,T1D,1.585197171734625,10.710965220348145,16.978991773843813,1
