,OR_p,log_OR,log_OR_CI_lower,log_OR_CI_upper,num_genes_in_term,MP_description,MPO_term_type
MP:0002882,1.3429921859260767e-18,1.4017371334527233,1.0896116801055893,1.7138625867998574,1550,abnormal neuron morphology,brain
MP:0009937,1.1113304523822546e-15,1.9007318752022826,1.4358684391970076,2.3655953112075574,325,abnormal neuron differentiation,brain
MP:0002752,2.471698722206808e-11,1.254809819335076,0.8863651096523462,1.623254529017806,1039,abnormal somatic nervous system morphology,brain
MP:0000965,4.3998308216048485e-10,1.464684995065614,1.0045687228768534,1.9248012672543746,487,abnormal sensory neuron morphology,brain
MP:0014062,1.718153973950391e-09,2.453865558275753,1.6552699091826701,3.252461207368836,62,nervous system inclusion bodies,brain
MP:0003861,2.62331605027651e-09,1.1045439482034158,0.740919950267819,1.4681679461390127,1230,abnormal nervous system development,brain
MP:0003648,9.806608428157449e-09,2.820593530565014,1.8564806952321709,3.784706365897857,32,abnormal radial glial cell morphology,brain
MP:0000968,1.7012736489866847e-08,2.1205515235306382,1.3836256002582252,2.8574774468030513,96,abnormal sensory neuron innervation pattern,brain
MP:0002206,2.1727000788919492e-08,1.152970664933516,0.7492693299958753,1.556671999871157,890,abnormal CNS synaptic transmission,brain
MP:0003635,6.51782690359927e-08,1.0958401787455916,0.69839101311044,1.4932893443807431,975,abnormal synaptic transmission,brain
MP:0021009,7.575799842679979e-08,1.0902855835883827,0.6928631999654674,1.487707967211298,980,abnormal synaptic physiology,brain
MP:0011723,3.630942356725251e-07,2.2075199811973185,1.3570464556346078,3.0579935067600292,66,ectopic neuron,brain
MP:0002915,3.689624251672945e-07,1.8962194895526299,1.1652410529352215,2.6271979261700382,118,abnormal synaptic depression,brain
MP:0002916,1.6450041631604421e-06,3.111796172652883,1.8392506267919195,4.384341718513847,15,increased synaptic depression,brain
MP:0003871,2.7253712199777118e-05,1.9713565367934471,1.0503716049317842,2.8923414686551103,68,abnormal myelin sheath morphology,brain
MP:0004979,4.0845906569777445e-05,1.9246747568487992,1.005195739734838,2.8441537739627605,71,abnormal neuronal precursor cell number,brain
MP:0000778,5.6479232236271344e-05,1.401199996268078,0.7192376576535617,2.0831623348825943,212,abnormal nervous system tract morphology,brain
MP:0003634,9.042305374011605e-05,1.1390518513126224,0.5688017148976701,1.7093019877275748,398,abnormal glial cell morphology,brain
MP:0000952,0.00011911309871561229,1.212628204537607,0.5949717655824274,1.8302846434927864,312,abnormal CNS glial cell morphology,brain
MP:0006006,0.0001429997118831187,1.9954157784187814,0.9670108745423991,3.0238206822951637,53,increased sensory neuron number,brain
MP:0010387,0.0005886217996715071,2.6214152997671203,1.1264566521478918,4.116373947386348,15,abnormal Bergmann glial cell morphology,brain
MP:0001038,0.0005886217996715071,2.6214152997671203,1.1264566521478918,4.116373947386348,15,abnormal cholinergic neuron morphology,brain
MP:0008946,0.000626419815705543,0.9588071425947078,0.40931087929817556,1.50830340589124,510,abnormal neuron number,brain
MP:0002912,0.0008481632257002238,1.5483622234550118,0.6388275769972557,2.457896869912768,101,abnormal excitatory postsynaptic potential,brain
MP:0004770,0.002164731934226061,2.2957240026141,0.8284752301799378,3.762972775048262,20,abnormal synaptic vesicle recycling,brain
MP:0009939,0.0024301680054265224,1.4023696875347476,0.49581247344108925,2.3089269016284057,116,abnormal hippocampus neuron morphology,brain
MP:0004981,0.002578021274911036,1.810791091444358,0.6332696113016858,2.98831257158703,47,decreased neuronal precursor cell number,brain
MP:0003224,0.0031090302306695187,0.9279744392441138,0.31284016203370324,1.5431087164545243,409,neuron degeneration,brain
MP:0004980,0.003278163210251921,2.190255908020127,0.7302978454218041,3.6502139706184504,22,increased neuronal precursor cell number,brain
MP:0008947,0.0036427435846759244,1.5035378769358339,0.4900103198220378,2.5170654340496297,84,increased neuron number,brain
MP:0009435,0.005440870107842171,1.6627779882567193,0.49035581432618147,2.835200162187257,54,abnormal miniature inhibitory postsynaptic currents,brain
MP:0008571,0.005625450974263267,2.0503325755378317,0.5989799011028751,3.5016852499727884,25,abnormal synaptic bouton morphology,brain
MP:0001081,0.010637794064527799,1.0747473673630505,0.25009777437875036,1.8993969603473508,191,abnormal cranial ganglia morphology,brain
MP:0006069,0.018779863387686585,0.7702071875034697,0.12779845604032358,1.4126159189666159,431,abnormal retina neuronal layer morphology,brain
MP:0004811,0.023992158523645286,0.6529396649050092,0.08599514787948126,1.2198841819305373,631,abnormal neuron physiology,brain
MP:0000920,0.033028006513937676,0.9788609439477369,0.07887793078258587,1.8788439571128879,174,abnormal myelination,brain
MP:0001105,0.03373657759860209,1.5474332902720533,0.11897404150604585,2.975892539038061,40,abnormal PNS glial cell morphology,brain
MP:0000940,0.03373657759860209,1.5474332902720533,0.11897404150604585,2.975892539038061,40,abnormal motor neuron innervation pattern,brain
MP:0002945,0.0350103705345833,1.2493962793463673,0.08787124822360393,2.4109213104691305,80,abnormal inhibitory postsynaptic currents,brain
MP:0009967,0.03536940359696241,1.0792742995512707,0.07393469916297946,2.084613899939562,126,abnormal neuron proliferation,brain
MP:0012203,0.037553241986538685,2.1859975147424366,0.12585397155118327,4.24614105793369,11,abnormal neuronal stem cell morphology,brain
MP:0005192,0.037553241986538685,2.1859975147424366,0.12585397155118327,4.24614105793369,11,increased motor neuron number,brain
MP:0006009,0.04271218024718862,1.0388377755543985,0.03411487436002303,2.0435606767487737,131,abnormal neuronal migration,brain
