Cluster,genes,Top pathway,p_value,recall,intersection_size,num_d1_seeds,num_d2_seeds,num_both_seeds,frac_d1_seeds,frac_d2_seeds,frac_both_seeds,frac_no_seeds
C159,IFIT5 PPM1E RASGRP2 BDNF MEGF9 NOTCH3 NALCN NANOS3 EID1 PRRT2 CACNA1C LAIR1 FAM160B2 PCYT1A SORCS2 BBS12 CEP89 ATP2B3 SLC8B1 AMIGO2 CLEC5A NAGPA OCA2 TRPV6 GATM ADGRL2 TPCN2 CCDC92 DHRS3 DLL1 SLC8A2 MICAL3 ITPR1 CD53 PDE6H RCBTB1 ABCA10 SLC24A5 ITGB2 ITGB8 C3orf80 PTPN9 LGALS3 RAB30 SDK2 CATSPER2 CACNG3 ABCC5 ORAI1 LGALS8 ITGA7 OLFM3 VCAN RYR2 EPHA2 TRPC1 LGALS9 PXDN RAB23 ABCA6 ITGB1 CDH2 MAPRE2 TUBGCP5 CFP NPHP1 TCHP CATSPERG TRHDE TSPAN14 DOLK KCNMB3 SH3TC1 PHF21A ABCA12 TNFSF15 MSRB3 CNTF SLC8A3 BEST1 SH3BP2 PTPN21 RYR3 LRP11 ABCC6 BACE1 CNGA1 TPCN1 MAML3 MAGED2 FERMT2 SLC24A1 HSPG2 ADGRG4 AC068234.1 EPB41L2 NOTCH2 DGKD ITGA4 ZNF169 APCDD1 ESM1 RYR1 SLCO2A1 TMEM175 PRKCD ABCG2 CD300E SFI1 SLC24A4 GINM1 CYP2C18 ATF6 IGFBP4 ASAP2 ROM1 DGKZ BEST4 CLUAP1 VAMP1 TRPC3 DGKA PKD2L2 TRBC1 HEY1 ITGB6 MOB3C ITGA1 UNC79 CMKLR1 ITPR3 KIAA0355,Ion homeostasis,1.2269678578756836e-08,0.18518518518518517,10.0,2,9,9,0.015151515151515152,0.06818181818181818,0.0,0.9166666666666666
C160,IFIT5 PPM1E BDNF NOTCH3 EID1 FAM160B2 PCYT1A SORCS2 BBS12 CEP89 AMIGO2 CLEC5A NAGPA ADGRL2 CCDC92 DHRS3 DLL1 MICAL3 CD53 ABCA10 RCBTB1 ITGB2 ITGB8 PTPN9 LGALS3 SDK2 ABCC5 LGALS8 ITGA7 VCAN EPHA2 LGALS9 PXDN RAB23 ABCA6 ITGB1 CDH2 MAPRE2 TUBGCP5 CFP NPHP1 TCHP TSPAN14 DOLK SH3TC1 ABCA12 TNFSF15 MSRB3 CNTF PTPN21 LRP11 ABCC6 BACE1 MAML3 MAGED2 FERMT2 HSPG2 ADGRG4 AC068234.1 NOTCH2 DGKD ITGA4 ZNF169 APCDD1 ESM1 SLCO2A1 TMEM175 ABCG2 CD300E SFI1 GINM1 CYP2C18 ATF6 IGFBP4 ASAP2 DGKZ CLUAP1 VAMP1 DGKA HEY1 ITGB6 MOB3C ITGA1 CMKLR1,protein complex involved in cell adhesion,2.648781477466429e-07,0.1206896551724138,7.0,1,6,6,0.011904761904761904,0.07142857142857142,0.0,0.9166666666666666
C161,SLC24A5 RYR1 CNTF PRKCD PPM1E RASGRP2 BDNF RAB30 SLC8A3 SH3BP2 BEST1 SLC24A4 MEGF9 SDK2 NALCN CATSPER2 RYR3 NANOS3 CACNG3 PRRT2 CACNA1C LAIR1 ORAI1 CNGA1 TPCN1 ROM1 RYR2 TRPC1 ATP2B3 SLC8B1 BEST4 TRPC3 SLC24A1 OCA2 TRPV6 MAPRE2 GATM PKD2L2 TRBC1 EPB41L2 CATSPERG TPCN2 SLC8A2 MICAL3 UNC79 TRHDE CMKLR1 ITPR1 ITPR3 PDE6H KIAA0355 KCNMB3 PHF21A,Ion homeostasis,3.767336329736608e-13,0.18518518518518517,10.0,1,3,3,0.018867924528301886,0.05660377358490566,0.0,0.9245283018867925
C162,ESM1 ITGB2 ITGB8 TNFSF15 SLCO2A1 IFIT5 LGALS3 NOTCH3 LGALS8 ITGA7 IGFBP4 VCAN MAML3 LGALS9 FERMT2 PXDN AMIGO2 CLEC5A ITGB1 HSPG2 CDH2 CFP AC068234.1 HEY1 DHRS3 NOTCH2 ITGB6 DLL1 ITGA1 ITGA4 ZNF169 CD53 TSPAN14,protein complex involved in cell adhesion,1.3587286746333038e-10,0.1206896551724138,7.0,1,2,2,0.030303030303030304,0.06060606060606061,0.0,0.9090909090909091
C165,TMEM175 SFI1 EID1 FAM160B2 ASAP2 PCYT1A BBS12 CEP89 DGKZ MAGED2 CLUAP1 VAMP1 NAGPA DGKA ADGRG4 TUBGCP5 NPHP1 TCHP ADGRL2 CCDC92 DGKD DOLK RCBTB1,C165,,,,0,3,3,0.0,0.13043478260869565,0.0,0.8695652173913043
C168,MOB3C FERMT2 MSRB3 RAB23 NAGPA PCYT1A DOLK BBS12 TCHP NPHP1 CEP89 PTPN21,C168,,,,1,2,2,0.08333333333333333,0.16666666666666666,0.0,0.75
C173,LRP11 GINM1 CNTF ATF6 BDNF SORCS2 CD300E CDH2 SH3TC1,C173,,,,0,1,1,0.0,0.1111111111111111,0.0,0.8888888888888888
C175,DHRS3 ESM1 EID1 SLCO2A1 PXDN IGFBP4 TSPAN14 RCBTB1 MAGED2,C175,,,,0,2,2,0.0,0.2222222222222222,0.0,0.7777777777777778
C191,BACE1 AMIGO2 CLEC5A VCAN APCDD1,C191,,,,0,1,1,0.0,0.2,0.0,0.8
C163,SLC24A5 RYR1 SLC8A3 RASGRP2 SLC24A4 CATSPER2 NALCN RYR3 CACNG3 CACNA1C TPCN1 RYR2 TRPC1 ATP2B3 SLC8B1 TRPC3 SLC24A1 PKD2L2 TPCN2 CATSPERG UNC79 TRHDE SLC8A2 ITPR1 ITPR3 KCNMB3,Ion homeostasis,9.997337193052694e-14,0.16666666666666666,9.0,1,1,1,0.038461538461538464,0.038461538461538464,0.0,0.9230769230769231
