Cluster,genes,Top pathway,p_value,recall,intersection_size,num_d1_seeds,num_d2_seeds,num_both_seeds,frac_d1_seeds,frac_d2_seeds,frac_both_seeds,frac_no_seeds
C356,HEXA SORT1 KIAA0754 CASP1 TSPAN14 NOTCH1 FTL SCARF1 GAK ARHGAP45 PTP4A3 GNS NR1H3 NAAA HFE MAGED2 TAPBP NCSTN CAPN1 ADAM8 GMFG IDUA DOCK11 MMP9 MAP4K1 RMDN3 APLP2 CD55 CTSS NECAP2 LRCH4 SELENOP SMIM11B IRF1 MYCBP2 TIMP2 IGSF6 NCF1B FUT4 FCER1G MLC1 DGKA FES ART4 UNC93B1 CTSB C1QA SMIM3 TBC1D9 ERVV-2 DDAH2 PTPRCAP MPEG1 PTPN18 LGALS1 SLAMF8 NOTCH4 DHRS3 OCIAD2 SEL1L3 TMEM176B RYR2 AL162231.3 TGFBI MID1IP1 ALOX5AP GSN CAPG DOCK2 NLRP11 MAN2C1 SOAT1 LILRA3 CCR1 INPP5D LAMP1 ANPEP PRXL2C LYZ ZYX APOA1 ARAP1 PLA2G7 C3AR1 HAVCR2 IL4R RETREG2 DAB2 IFI30 FXYD5 CTSA C19orf18 PSTPIP1 VSIR MYO9B CARMIL1 GYPC SH3TC1 APOE PTAFR HLA-DRB5 IRF5 LILRA5 PLAAT3 VCY1B FGR EVA1B HLA-DPB1 EMP3 TDRP MCOLN1 ENPP4 ABR CD99 CCDC144NL CSK GTDC1 RTN2 TRAF6 C3orf33 CASP7 SERTM1 IGF2R ALKBH7 SLC15A3 CD164 CLN3 CD44 SIAE HLA-DPA1 HLA-DQA1 MAN2B1 TNFRSF1A BACE2 NOTCH3 CD68 CSAG1 SLC38A10 TRPV2 CLIP1 PSD4 NKG7 UBA7 SPNS1 EHD1 PROS1 IFNGR1 RAB11A IL17RA HLA-E MAN1B1 CD14 PHF21A SIRPA CD48 RPS6KA1 C1QB CD302 IRF8 EHBP1L1 MAP3K11 LILRB5 SNX1 PCDH8 TMEM176A UCP2 DOLK PTPN6 GM2A SLC8B1 CSNK1G2 C1orf54 TARP ITGB2 GALE TBXAS1 SLC7A7 MPPE1 ATP13A1 LDLR NPL ARHGAP25 CDRT4 ZNF274 LRRC25 PSEN2 NXPE3 METTL7A GMIP VAV1 HPS1 TREML4 GRAP2 ACP5 NPRL3 RNASE6 DNASE2 IGHG1 C5AR1 APOC1 ZBTB17 MNDA ELMO2 LRPAP1 SLC38A7 CLU STXBP2 AOAH SYCP2L TNFRSF1B TYROBP L3MBTL4 MAPK1 STK10 HLA-DMB SUMF2 SPI1 SH3BP5 CTSH OCEL1 B2M CFB WDFY4 ITGAL FKBP15 CTNNBIP1 SCGB1D1 LYL1 BIN3 IFIT3 MAN1A1 CTSD SLA2 APP SORCS1 LST1 C1RL HLA-DRA TGOLN2 CD163 HOMER2 STAT5A TNS3 CPPED1 NAGPA TXNDC11 CIB1 RIN3 SCIMP C1orf115 CD53 DNM2 MS4A6A SLC31A2 PLD3 DDX11L8 IL10RA RILPL2 TNFRSF14 ZNF839 HLA-DQB1 NLRC4 CD74 FAM53A SPG11 DMD SLCO2B1 SHKBP1 IRF3 FAM3B ERVFRD-1 ANXA6 PLSCR3 VAV2 CD27 AGRN GRN NCF4 GNPTAB SIPA1 RNPEPL1 MAGEB17 SLC12A9 HCLS1 SMCO4 C11orf53 ICAM3 LAMP2 LOC403312 SRI HLA-DMA KIR2DS3 SH3BGRL PLEK PLEKHO2 CYBA STAT6 APBA3 RHBDF2 APH1A PNPLA6 PHYHD1 APOBR AC138894.1 SMIM11A ST18 RASSF7 STAMBPL1 CCS PCSK9 HLA-A ST6GALNAC6 KIF13B GGCX ZDHHC7 S100A4 NPLOC4 TCIRG1 MICAL1 HLA-DRB1 HSPG2 TNFSF13 CLCN7 GPNMB IL32 MANBA SEC14L2 ZNF385B LGALS16 ABCA7 CYB5R1 CFD M6PR CSF1R TPCN1 C11orf52 C1QC TCN2 FGL2 LGALS3 TLN1 CEACAM8 SYK SUSD6 LAPTM5 ZNF358 RBMS2 LGALS9 ADAP2 SREBF1 NOTCH2 TIMM29 MYO1F JARID2,antigen processing and presentation of peptide antigen,3.693848771175146e-20,0.3088235294117647,21.0,7,3,3,0.01977401129943503,0.00847457627118644,0.0,0.9717514124293786
C357,RIN3 CSNK1G2 TARP GALE HEXA C19orf18 C1orf115 DNM2 SORT1 PLD3 TSPAN14 NOTCH1 MPPE1 MYO9B ATP13A1 SCARF1 GAK LDLR APOE NPL CDRT4 PTP4A3 ZNF839 GNS ZNF274 PSEN2 FAM53A GMIP NXPE3 SPG11 MAGED2 TAPBP PLAAT3 SHKBP1 IRF3 FAM3B NCSTN VCY1B HPS1 CAPN1 EVA1B ERVFRD-1 ANXA6 VAV2 TDRP IDUA AGRN GRN GNPTAB MCOLN1 NPRL3 ENPP4 SIPA1 ABR RMDN3 APLP2 CD55 CTSS CD99 DNASE2 NECAP2 LRCH4 CCDC144NL RNPEPL1 SMIM11B MAGEB17 SLC12A9 ZBTB17 SMCO4 MYCBP2 C11orf53 CSK GTDC1 MLC1 LAMP2 ELMO2 LRPAP1 LOC403312 SLC38A7 RTN2 SRI TRAF6 FES CLU STXBP2 UNC93B1 SYCP2L L3MBTL4 CTSB C3orf33 SMIM3 MAPK1 SH3BGRL TBC1D9 CASP7 SERTM1 ERVV-2 DDAH2 IGF2R STK10 ALKBH7 CD164 STAT6 CLN3 CD44 SIAE APBA3 PTPN18 RHBDF2 APH1A SUMF2 PNPLA6 MAN2B1 TNFRSF1A NOTCH4 PHYHD1 SMIM11A AC138894.1 OCIAD2 ST18 RASSF7 BACE2 SEL1L3 STAMBPL1 CCS PCSK9 AL162231.3 OCEL1 MID1IP1 NOTCH3 ST6GALNAC6 FKBP15 KIF13B GGCX ZDHHC7 CSAG1 CTNNBIP1 NPLOC4 SCGB1D1 SLC38A10 BIN3 MAN1A1 CTSD CLIP1 PSD4 MAN2C1 TCIRG1 MICAL1 SOAT1 UBA7 APP SORCS1 EHD1 HSPG2 IFNGR1 RAB11A CLCN7 LAMP1 ZYX MANBA MAN1B1 ZNF385B PHF21A ABCA7 RPS6KA1 ARAP1 CYB5R1 TGOLN2 CD302 M6PR TPCN1 C11orf52 EHBP1L1 MAP3K11 HOMER2 LGALS3 TLN1 TNS3 SNX1 PCDH8 RETREG2 SUSD6 NAGPA DOLK DAB2 FXYD5 GM2A ZNF358 RBMS2 SLC8B1 TXNDC11 SREBF1 NOTCH2 CIB1 TIMM29 CTSA,amyloid-beta metabolic process,3.2946261434936323e-07,0.15517241379310345,9.0,5,3,3,0.025510204081632654,0.015306122448979591,0.0,0.9591836734693877
C358,C1orf54 ITGB2 SCIMP PSTPIP1 TBXAS1 CD53 MS4A6A SLC31A2 CASP1 SLC7A7 VSIR IL10RA RILPL2 NPL ARHGAP25 HLA-DQB1 PTAFR LRRC25 CD74 NR1H3 HLA-DRB5 VAV1 IRF5 LILRA5 SLCO2B1 FGR HLA-DPB1 ADAM8 CD27 TREML4 GMFG NCF4 ACP5 DOCK11 MMP9 RNASE6 MAP4K1 CTSS C5AR1 APOC1 HCLS1 IRF1 IGSF6 NCF1B FUT4 FCER1G MNDA HLA-DMA AOAH TNFRSF1B TYROBP KIR2DS3 C1QA PLEK PLEKHO2 CYBA PTPRCAP SLC15A3 MPEG1 HLA-DPA1 SLAMF8 HLA-DMB SPI1 HLA-DQA1 APOBR SEL1L3 TMEM176B CTSH B2M ALOX5AP ITGAL WDFY4 CD68 CAPG S100A4 DOCK2 IFIT3 HLA-DRB1 NKG7 CCR1 TNFSF13 LST1 PRXL2C ANPEP GPNMB LYZ IL32 HLA-E CD14 SIRPA CD48 HLA-DRA C1QB IRF8 CD163 CSF1R PLA2G7 C1QC C3AR1 HAVCR2 LILRB5 TCN2 FGL2 CEACAM8 CPPED1 TMEM176A SYK LAPTM5 PTPN6 IFI30 LGALS9 ADAP2 MYO1F,antigen processing and presentation of peptide antigen,2.1224748079135015e-17,0.20588235294117646,14.0,1,0,0,0.008849557522123894,0.0,0.0,0.9911504424778761
C386,APOE PCSK9 SREBF1 MID1IP1 TIMM29,C386,,,,1,0,0,0.2,0.0,0.0,0.8
C359,CSNK1G2 TARP GALE HEXA C19orf18 DNM2 SORT1 NOTCH1 MPPE1 SCARF1 LDLR NPL CDRT4 ZNF839 GNS ZNF274 PSEN2 FAM53A NXPE3 SPG11 MAGED2 PLAAT3 VCY1B FAM3B NCSTN ERVFRD-1 GRN GNPTAB ENPP4 RMDN3 APLP2 CD55 CTSS DNASE2 NECAP2 CCDC144NL SMIM11B MAGEB17 SMCO4 MYCBP2 C11orf53 GTDC1 LAMP2 LRPAP1 LOC403312 SRI TRAF6 CLU SYCP2L L3MBTL4 CTSB C3orf33 SMIM3 MAPK1 SH3BGRL TBC1D9 CASP7 SERTM1 ERVV-2 IGF2R ALKBH7 CD164 CD44 SIAE APH1A SUMF2 TNFRSF1A NOTCH4 PHYHD1 SMIM11A ST18 BACE2 SEL1L3 STAMBPL1 AL162231.3 NOTCH3 ST6GALNAC6 KIF13B GGCX ZDHHC7 CSAG1 SCGB1D1 BIN3 MAN1A1 CTSD CLIP1 SOAT1 APP SORCS1 IFNGR1 RAB11A LAMP1 MANBA ZNF385B CYB5R1 TGOLN2 CD302 M6PR C11orf52 HOMER2 LGALS3 SNX1 PCDH8 SUSD6 NAGPA DOLK DAB2 GM2A RBMS2 TXNDC11 NOTCH2 CIB1 CTSA,trans-Golgi Network Vesicle Budding,6.37445536105612e-07,0.1095890410958904,8.0,3,2,2,0.02654867256637168,0.017699115044247787,0.0,0.9557522123893806
C360,RIN3 CLCN7 CSNK1G2 TDRP IDUA AGRN ZYX APBA3 NPRL3 PTPN18 MAN1B1 RHBDF2 ABR DNM2 PNPLA6 PHF21A ABCA7 MAN2B1 RPS6KA1 SIPA1 LRCH4 AC138894.1 ARAP1 RASSF7 RNPEPL1 TSPAN14 MYO9B ATP13A1 SLC12A9 CCS ZBTB17 GAK OCEL1 TPCN1 MAP3K11 EHBP1L1 CSK FKBP15 SLC38A7 TLN1 FES NPLOC4 STXBP2 RETREG2 SLC38A10 UNC93B1 GMIP FXYD5 TAPBP SHKBP1 PSD4 IRF3 MAN2C1 TCIRG1 HPS1 MICAL1 CAPN1 ZNF358 UBA7 SLC8B1 EHD1 STK10 STAT6,C360,,,,1,1,1,0.015873015873015872,0.015873015873015872,0.0,0.9682539682539683
C362,CD44 TARP GNPTAB C19orf18 ZNF385B APH1A SORT1 NOTCH4 PHYHD1 SMIM11A CCDC144NL STAMBPL1 NOTCH1 SMIM11B SCARF1 C11orf52 C11orf53 GTDC1 NOTCH3 ST6GALNAC6 LOC403312 GGCX CSAG1 TRAF6 CDRT4 ZNF839 ZNF274 PSEN2 FAM53A NXPE3 SYCP2L L3MBTL4 C3orf33 VCY1B FAM3B NCSTN ERVFRD-1 APP SERTM1 NOTCH2 ERVV-2 ALKBH7,Notch signaling pathway,2.278808236106124e-08,0.1,6.0,2,1,1,0.047619047619047616,0.023809523809523808,0.0,0.9285714285714286
C365,IFNGR1 LAMP1 GRN MANBA ENPP4 APLP2 CD55 CTSS CYB5R1 TGOLN2 M6PR MPPE1 MYCBP2 HOMER2 LAMP2 IGF2R KIF13B LRPAP1 SNX1 GNS SCGB1D1 MAN1A1 SPG11 PLAAT3 CLIP1 GM2A MAPK1 SOAT1 SH3BGRL TBC1D9 CASP7 RAB11A CD164 CTSA,lysosomal lumen,8.910443928421735e-08,0.06,6.0,0,1,1,0.0,0.029411764705882353,0.0,0.9705882352941176
C364,RIN3 CLCN7 CSNK1G2 IDUA AGRN APBA3 MAN1B1 RHBDF2 DNM2 PNPLA6 ABCA7 AC138894.1 ARAP1 RASSF7 RNPEPL1 MYO9B TPCN1 SLC12A9 ATP13A1 ZBTB17 GAK OCEL1 EHBP1L1 MAP3K11 SLC38A7 NPLOC4 STXBP2 SLC38A10 UNC93B1 SHKBP1 ZNF358 IRF3 MAN2C1 HPS1 CAPN1 EHD1 STK10,C364,,,,1,0,0,0.02702702702702703,0.0,0.0,0.972972972972973
C370,GGCX NCSTN CDRT4 TRAF6 NOTCH1 GNPTAB SCARF1 ZNF274 NOTCH3 APH1A PSEN2 SORT1 NOTCH2 NOTCH4,Notch signaling pathway,3.8325917982502525e-09,0.1,6.0,1,1,1,0.07142857142857142,0.07142857142857142,0.0,0.8571428571428572
