,abnormal microglial cell morphology:-log(OR_p),abnormal microglial cell morphology:log_OR,abnormal microglial cell morphology:num_genes,abnormal microglial cell morphology:gene_ids,abnormal CNS glial cell morphology:-log(OR_p),abnormal CNS glial cell morphology:log_OR,abnormal CNS glial cell morphology:num_genes,abnormal CNS glial cell morphology:gene_ids,abnormal glial cell morphology:-log(OR_p),abnormal glial cell morphology:log_OR,abnormal glial cell morphology:num_genes,abnormal glial cell morphology:gene_ids,nervous system inclusion bodies:-log(OR_p),nervous system inclusion bodies:log_OR,nervous system inclusion bodies:num_genes,nervous system inclusion bodies:gene_ids,abnormal glial cell physiology:-log(OR_p),abnormal glial cell physiology:log_OR,abnormal glial cell physiology:num_genes,abnormal glial cell physiology:gene_ids,abnormal microglial cell physiology:-log(OR_p),abnormal microglial cell physiology:log_OR,abnormal microglial cell physiology:num_genes,abnormal microglial cell physiology:gene_ids,abnormal myelination:-log(OR_p),abnormal myelination:log_OR,abnormal myelination:num_genes,abnormal myelination:gene_ids,demyelination:-log(OR_p),demyelination:log_OR,demyelination:num_genes,demyelination:gene_ids,abnormal microglial cell activation:-log(OR_p),abnormal microglial cell activation:log_OR,abnormal microglial cell activation:num_genes,abnormal microglial cell activation:gene_ids,abnormal retina neuronal layer morphology:-log(OR_p),abnormal retina neuronal layer morphology:log_OR,abnormal retina neuronal layer morphology:num_genes,abnormal retina neuronal layer morphology:gene_ids,gprofiler_name,num_d1_seeds,num_d2_seeds,frac_d1_seeds,frac_d2_seeds,frac_both_seeds,frac_no_seeds
C356,13.605227735561709,2.2474298617548705,14,APOE APP CLCN7 CSF1R CTSD GNS GRN IDUA LDLR PTPN6 SPI1 TNFRSF1A TNFRSF1B TYROBP,11.405810316377693,1.5239680464301895,24,APOE APP CLCN7 CLN3 CSF1R CTSD DMD GNPTAB GNS GRN HEXA HFE HSPG2 IDUA LDLR LRPAP1 MLC1 MMP9 PTPN6 SPG11 SPI1 TNFRSF1A TNFRSF1B TYROBP,10.770516744355925,1.3930655684974838,27,APOE APP CLCN7 CLN3 CSF1R CTSB CTSD DMD GNPTAB GNS GRN HEXA HFE HSPG2 IDUA LDLR LRPAP1 MAN2B1 MLC1 MMP9 NOTCH3 PTPN6 SPG11 SPI1 TNFRSF1A TNFRSF1B TYROBP,8.82712713387369,2.2042004626199567,9,APOE APP CLU GRN LDLR LRPAP1 NR1H3 SORCS1 TNFRSF1A,6.1432897017612325,1.6650248770331562,10,APOE CLN3 GRN IDUA MAN2C1 MLC1 PTPN6 RHBDF2 TNFRSF1A TNFRSF1B,5.795985897540595,1.947105671423551,7,CLN3 GRN IDUA MAN2C1 PTPN6 RHBDF2 TNFRSF1A,5.227524975319621,1.3773744716725371,12,C3AR1 CSF1R DNM2 GNPTAB HEXA HSPG2 IFNGR1 MMP9 PTPN6 TNFRSF1A TNFRSF1B TYROBP,3.990331533538703,1.5465366887952747,7,C3AR1 CSF1R DNM2 GNPTAB HSPG2 TNFRSF1A TNFRSF1B,3.8674777830275486,2.0547476063372665,4,CLN3 MAN2C1 PTPN6 TNFRSF1A,3.7994010262950133,0.9104076438499469,19,APOE C3AR1 CLCN7 CLN3 CSK CTSD CTSH GNPTAB GPNMB GRN IRF3 ITGB2 LDLR MAN2B1 MCOLN1 PTPN6 SIRPA SORT1 TGFBI,AD-glyco systems map,7,3,0.01977401129943503,0.00847457627118644,0.0,0.9717514124293786
C357,10.281993290391295,2.3510966042239083,9,APOE APP CLCN7 CTSD GNS GRN IDUA LDLR TNFRSF1A,9.747736607071028,1.7054576411588425,16,APOE APP CLCN7 CLN3 CTSD GNPTAB GNS GRN HEXA HSPG2 IDUA LDLR LRPAP1 MLC1 SPG11 TNFRSF1A,10.536724905523837,1.6423993903807332,19,APOE APP CLCN7 CLN3 CTSB CTSD GNPTAB GNS GRN HEXA HSPG2 IDUA LDLR LRPAP1 MAN2B1 MLC1 NOTCH3 SPG11 TNFRSF1A,11.449807815750276,2.6833181866323628,8,APOE APP CLU GRN LDLR LRPAP1 SORCS1 TNFRSF1A,7.266101346702209,2.0349310930430526,8,APOE CLN3 GRN IDUA MAN2C1 MLC1 RHBDF2 TNFRSF1A,7.333214478930841,2.385054004850046,6,CLN3 GRN IDUA MAN2C1 RHBDF2 TNFRSF1A,2.4963233305961166,1.2439162175178993,6,DNM2 GNPTAB HEXA HSPG2 IFNGR1 TNFRSF1A,2.564218346946241,1.5498734499947826,4,DNM2 GNPTAB HSPG2 TNFRSF1A,3.8671820049930083,2.3344193723984956,3,CLN3 MAN2C1 TNFRSF1A,3.249328593786602,1.0415515328664107,12,APOE CLCN7 CLN3 CSK CTSD GNPTAB GRN IRF3 LDLR MAN2B1 MCOLN1 SORT1,amyloid-beta metabolic process,5,3,0.025510204081632654,0.015306122448979591,0.0,0.9591836734693877
C358,5.8752591342053755,2.2705544492541767,5,CSF1R PTPN6 SPI1 TNFRSF1B TYROBP,2.387105956195718,1.215505822760143,6,CSF1R MMP9 PTPN6 SPI1 TNFRSF1B TYROBP,1.6445114715072324,0.9631444701886007,6,CSF1R MMP9 PTPN6 SPI1 TNFRSF1B TYROBP,0.49290654474979423,1.0040141893882328,1,NR1H3,0.9253961791650167,1.1230784240566116,2,PTPN6 TNFRSF1B,0.5146885713564151,1.0374578655147797,1,PTPN6,4.712840658278436,1.8225985555954836,6,C3AR1 CSF1R MMP9 PTPN6 TNFRSF1B TYROBP,2.6294604368506107,1.8114976656102595,3,C3AR1 CSF1R TNFRSF1B,1.031872373110173,1.7153518463563575,1,PTPN6,1.4305168770714445,0.8805137140554979,6,C3AR1 CTSH GPNMB ITGB2 PTPN6 SIRPA,antigen processing and presentation of peptide antigen,1,0,0.008849557522123894,0.0,0.0,0.9911504424778761
C386,3.3157340912364126,3.9185607276585426,1,APOE,1.7989484786813041,2.6996549306121507,1,APOE,1.5446278864307996,2.4508530844742307,1,APOE,3.9424122157380816,4.341994116686368,1,APOE,3.0795219065479458,3.7497714198699397,1,APOE,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,1.4652921518241304,2.3692108239278733,1,APOE,C386,1,0,0.2,0.0,0.0,0.8
C359,7.955809812035826,2.4735316639839944,6,APP CTSD GNS GRN LDLR TNFRSF1A,6.9051981909613716,1.7778067332026612,10,APP CTSD GNPTAB GNS GRN HEXA LDLR LRPAP1 SPG11 TNFRSF1A,7.6344781190078,1.729751985373154,12,APP CTSB CTSD GNPTAB GNS GRN HEXA LDLR LRPAP1 NOTCH3 SPG11 TNFRSF1A,13.28936087467573,3.1088465276389865,7,APP CLU GRN LDLR LRPAP1 SORCS1 TNFRSF1A,0.9253961791650167,1.1230784240566116,2,GRN TNFRSF1A,1.8108871416926686,1.7567217730326394,2,GRN TNFRSF1A,3.336639220691704,1.6249859288225856,5,DNM2 GNPTAB HEXA IFNGR1 TNFRSF1A,2.6294604368506107,1.8114976656102595,3,DNM2 GNPTAB TNFRSF1A,1.031872373110173,1.7153518463563575,1,TNFRSF1A,0.8675420747358815,0.6864848871475964,5,CTSD GNPTAB GRN LDLR SORT1,trans-Golgi Network Vesicle Budding,3,2,0.02654867256637168,0.017699115044247787,0.0,0.9557522123893806
C360,2.0424456241361826,1.894890130686277,2,CLCN7 IDUA,0.4511741687324799,0.6683580535290208,2,CLCN7 IDUA,0.8082964513693296,0.8434205522485332,3,CLCN7 IDUA MAN2B1,-0.0,0.0,0,,3.4910006324053624,2.1556843036532367,3,IDUA MAN2C1 RHBDF2,5.403535443696127,2.797495261454137,3,IDUA MAN2C1 RHBDF2,0.2316184390330262,0.5496302949073737,1,DNM2,0.6733606660546925,1.26499471299093,1,DNM2,1.616539758853377,2.3093898450532624,1,MAN2C1,1.4028101850457961,1.0682672448192978,4,CLCN7 CSK IRF3 MAN2B1,C360,1,1,0.015873015873015872,0.015873015873015872,0.0,0.9682539682539683
C362,0.9271053107764153,1.589304782062019,1,APP,0.8755919861301158,1.0914902125936976,2,APP GNPTAB,1.4695057628418668,1.2753464811202129,3,APP GNPTAB NOTCH3,1.3141568290649095,2.0127415499012766,1,APP,-0.0,0.0,0,,-0.0,0.0,0,,0.46587731160006474,0.9643219795786351,1,GNPTAB,1.0046811113637317,1.6796810780177083,1,GNPTAB,-0.0,0.0,0,,0.5298407762215269,0.7601411636029454,2,GNPTAB SORT1,Notch signaling pathway,2,1,0.047619047619047616,0.023809523809523808,0.0,0.9285714285714286
C365,3.2541167912045728,2.5415805964537075,2,GNS GRN,3.9879045588180086,2.079333310714853,4,GNS GRN LRPAP1 SPG11,3.2023051803406335,1.8284171366028197,4,GNS GRN LRPAP1 SPG11,4.2224745885806705,2.970734927036954,2,GRN LRPAP1,0.9660266063940348,1.6380066288319313,1,GRN,1.569130542893305,2.2636766063883087,1,GRN,0.6097151866694597,1.1818163843340734,1,IFNGR1,-0.0,0.0,0,,-0.0,0.0,0,,0.09689560943771597,0.2574190053606351,1,GRN,lysosomal lumen,0,1,0.0,0.029411764705882353,0.0,0.9705882352941176
C364,3.0738205524588498,2.451807945587669,2,CLCN7 IDUA,1.0318405070055492,1.225292307149978,2,CLCN7 IDUA,0.7432661781640523,0.9757840799698929,2,CLCN7 IDUA,-0.0,0.0,0,,5.101744795322074,2.725061546928746,3,IDUA MAN2C1 RHBDF2,7.320615632952176,3.3668687077162334,3,IDUA MAN2C1 RHBDF2,0.5503442063137105,1.0946438166824066,1,DNM2,1.119956923489857,1.8100016503048337,1,DNM2,2.2525888083602252,2.854392698481657,1,MAN2C1,0.6577946904172729,0.8939450135214724,2,CLCN7 IRF3,C364,1,0,0.02702702702702703,0.0,0.0,0.972972972972973
C370,-0.0,0.0,0,,0.8432338353416586,1.5205134346257836,1,GNPTAB,2.1263371620079474,2.047475593744588,2,GNPTAB NOTCH3,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,1.3752032854678495,2.1144485292680955,1,GNPTAB,2.1747440729666474,2.8298005534564155,1,GNPTAB,-0.0,0.0,0,,1.9906540213245216,1.965638773539352,2,GNPTAB SORT1,Notch signaling pathway,1,1,0.07142857142857142,0.07142857142857142,0.0,0.8571428571428572
