,d1_seeds,d2_seeds,d1_name,d2_name,z_d1,z_d2,z_both,sum_seeds
GNPTAB,0,1,AD,glyco,2.2829081097309287,24.29629769716351,55.46621504929146,1
PSEN2,1,0,AD,glyco,11.695651502842583,4.590122617980115,53.684474495210864,1
APOE,1,0,AD,glyco,11.60976479191202,3.20909108105381,37.256792646857406,1
ABCA7,1,0,AD,glyco,10.223480390300024,2.9093765613678118,29.74395422314234,1
FAM3B,0,0,AD,glyco,2.966842172436276,8.601844837144965,25.520316023594933,0
TPCN1,0,0,AD,glyco,4.732102281920898,5.20602829289031,24.635458364530997,0
MAN2B1,0,1,AD,glyco,2.4487709737901104,9.546626170625007,23.37750106425155,1
STAMBPL1,0,0,AD,glyco,3.08515579733948,7.378708337517381,22.764464804368906,0
APP,1,0,AD,glyco,10.152020996860724,2.1764372318795324,22.095236476390447,1
SLC38A7,0,0,AD,glyco,4.20951491165143,4.883060913789055,20.555317731097286,0
CLU,1,0,AD,glyco,11.61109512399306,1.7408734539527775,20.213447272680053,1
C11orf53,0,0,AD,glyco,6.6314289662733295,2.9325329157415263,19.446883721998343,0
INPP5D,1,0,AD,glyco,10.407875905126422,1.8200283221754106,18.942628921017125,1
SMIM11B,0,0,AD,glyco,6.054854884530676,3.1243231258629636,18.917323139483514,0
CTSA,0,1,AD,glyco,1.9884238609086133,9.500149151124072,18.890323254285814,1
SH3TC1,0,0,AD,glyco,2.5941748740316752,7.200921501839386,18.68044962994617,0
SPI1,1,0,AD,glyco,10.640635628541519,1.6501972712341015,17.559147878415573,1
SORT1,0,0,AD,glyco,3.215827648670081,5.373012206896184,17.278681211578597,0
TARP,0,0,AD,glyco,7.7171615163481775,2.1764372318795027,16.79591764860785,0
LOC403312,0,0,AD,glyco,7.717161516348176,2.176437231879503,16.79591764860785,0
CCDC144NL,0,0,AD,glyco,7.717161516348176,2.176437231879503,16.79591764860785,0
FAM53A,0,0,AD,glyco,7.717161516348174,2.176437231879503,16.795917648607848,0
SERTM1,0,0,AD,glyco,7.717161516348174,2.176437231879503,16.795917648607848,0
VCY1B,0,0,AD,glyco,7.717161516348174,2.176437231879503,16.795917648607848,0
C19orf18,0,0,AD,glyco,7.717161516348176,2.1764372318795004,16.795917648607833,0
GM2A,0,0,AD,glyco,3.478583596818415,4.499518072381711,15.651949760175036,0
ZNF385B,0,0,AD,glyco,8.453844016683794,1.838601705034734,15.543252023172508,0
MANBA,0,0,AD,glyco,3.6240879566830038,4.126552434844164,14.954988981739659,0
SYCP2L,0,0,AD,glyco,7.192642325023431,2.065201420139959,14.854255144197165,0
NOTCH2,0,0,AD,glyco,4.140767585503256,3.530130598053482,14.617450353013082,0
GGCX,0,0,AD,glyco,3.130070260748016,4.572602832617926,14.312568140589509,0
METTL7A,0,0,AD,glyco,2.359444016367602,5.883181838307961,13.881038185598268,0
HEXA,0,0,AD,glyco,2.897333324123519,4.640053594147837,13.443781904043632,0
RYR2,0,0,AD,glyco,3.744303518180478,3.5265099769136166,13.20432371345621,0
IRF5,0,0,AD,glyco,3.406616651310142,3.810767189641909,12.98182296250048,0
DOLK,0,0,AD,glyco,3.5586751196967925,3.5837543792706352,12.753417544614832,0
C11orf52,0,0,AD,glyco,7.477051068824221,1.689508315577522,12.63253995677632,0
CSAG1,0,0,AD,glyco,8.246037808435773,1.5225645601306383,12.555124928621625,0
RASSF7,0,0,AD,glyco,2.6243737445036546,4.773960847103324,12.52865750442639,0
RIN3,0,0,AD,glyco,2.856627132311421,4.3046849923116906,12.296879945091355,0
AC138894.1,0,0,AD,glyco,4.276622624662538,2.847718145948925,12.178615851627228,0
APOC1,0,0,AD,glyco,2.5650838654580044,4.5710294990899945,11.725074016648328,0
SMIM11A,0,0,AD,glyco,4.59523299502163,2.515028346642628,11.557141241906901,0
TNFSF13,0,0,AD,glyco,3.180260480863168,3.6126246105188335,11.489087281026741,0
