,z
UBE2Q1,-0.1147341046140534
RNF14,-0.05378383702487557
UBE2Q2,-0.2868447009666859
TMCO1,2.106857870827198
UBAC1,0.2696275524516681
RAB4A,0.37386185592355947
ZNF706,0.24341322797769527
MIB2,-0.4275087735759058
RNF114,-0.42635714267593433
RNF115,-0.13965573941123346
RNF111,-0.4931444771948914
EEF1AKNMT,-0.47045391341012677
UNKL,-0.6229311359532808
MMAB,-0.5344516865625789
UBE4A,-0.5310042306980722
DDX41,1.0253710130305311
ATMIN,-0.36931779766315126
TSG101,-0.21895451949690709
FBXW11,-0.5712690683620537
UBE2D4,-0.24201671043817238
RPS27A,-0.7477407775643986
UBE2D2,-0.5606416458754965
ATP6V1H,0.44162369110174143
UBE2D1,-0.30925959832161937
MFSD11,0.17771355924780083
CCT3,-0.85404909096905
LNX1,-0.882201661027976
MRFAP1L1,-0.2701559066236387
GTF2B,-0.6527435720181614
FBXL13,-0.6819862158849546
FBXL12,-0.15394767610360025
FBXL15,0.3710258336752672
FBXL14,-0.7622017286166182
FBXL16,-0.797919590795292
FBXL19,-0.29433671489528024
FBXL18,-0.8281439474766136
CCDC51,-0.14329238815688233
PPP1R11,0.7263298677194334
AKTIP,-0.005342931544869476
RNF41,-0.22491291149426448
ANAPC1,-0.4071770968388375
ANAPC2,3.8095409788166563
ANAPC5,-0.10445989500543848
ANAPC4,-0.08664644954783778
ANAPC7,0.32922199701980226
ZNRF1,-0.5211244341720185
LRR1,-1.0601078891674234
ZNRF2,-0.08618623644647903
FBXO30,-0.6346004970340381
FBXO5,-0.6612626054286128
FBXO32,-0.6229294651358204
EMC7,1.9736478758942653
KLHL25,-0.6141680810120578
KLHL21,-0.07261322750485454
KLHL20,-0.44353048324346767
KLHL22,-0.06987754551094508
MKRN1,-0.1754031802195422
SPSB2,-0.6014985052094602
SPSB1,-0.5730602914174363
TRIM50,-0.46068906900231016
SPSB4,-0.5880247809142879
ARF1,1.106406162818449
CDC34,0.06659866139447844
AREL1,-0.37702408352591427
LONRF1,-0.667554335080531
CIAO2B,-0.1477609355756623
RNF25,-0.23178829101612827
UBE2V1,-0.24496432349693875
UBE2V2,-0.6102162736949457
RNF26,-0.4668060028057662
PSMD8,-0.15542593438788224
LMO7,-0.6690046330778677
MGRN1,1.7759086300865672
DHX8,-1.001073567103783
SPCS1,1.3177723457605517
ITCH,-0.5460871011562684
PSMD4,-0.19437596043774283
FLAD1,-0.5875908890827133
CBLL2,-0.9038354372566344
ARIH2,-0.4818759032356657
TRIP12,-0.9127287880701854
MEX3C,-0.6840926486600111
E2F6,-0.7768044432275434
SNW1,-0.8263739724716337
PRCC,-0.5966604373838614
C3AR1,1.6649759898268957
BTRC,-0.4049679316277591
TRIM11,-0.002043402083065663
HUWE1,-0.531464546306055
UFC1,2.347391878433107
LRRC41,-0.20721985279535995
USP25,2.1541624249405116
MOAP1,-0.1528651137690127
ASB2,-0.18019292212264085
ASB1,-0.6643095195266338
ASB6,-0.5140894149119591
ASB7,-0.8148981929348368
ASB4,-1.3561226218463485
ASB5,-0.6984359058925468
ASB8,-0.4859259804048078
ASB9,-0.7367578407202706
PIP4K2C,-0.42003524412199383
ZMPSTE24,1.6448565082111983
MRPL34,-0.11144991734185945
UBE2R2,-0.0037505084522849023
IMPA1,-0.43591594076879875
RNF19B,0.4724264791733607
RNF19A,-0.802186795863866
RFX5,0.41188390613539766
TRAIP,-0.7094162544595862
UBA52,0.1654272517958267
KAT7,-0.3567367711477475
EXOSC7,-0.6848635303515547
ADAR,0.17269389479576414
STK24,-0.5653048147825368
GPR161,-0.14299478887605577
UBE2E1,-0.3960688063666189
UBE2E3,-0.37946139931405765
UBE2E2,-0.30223211215048185
DLGAP3,-0.7000344913305208
JTB,0.18703521206580867
TRIM9,-0.09937161847144164
FBXL20,-0.7950589810072459
TRIM4,-0.08646845983626805
FBXW12,-0.4420610264532185
PI4KB,0.2748515161366214
RNPEP,2.8406689369471545
ELOB,-0.19749827682737367
FBXW8,-0.6657625271997308
SKP2,-0.5707841828948401
ZBTB16,-0.3712205832051807
SKP1,-0.2927174689841973
DEDD,0.16182983082879085
WDR26,-0.6337190196653772
FBXW9,-0.4400337925095991
FBXO21,-0.7651172868628956
FBXO27,-0.4522996053056112
HNRNPAB,-0.8362555525125638
DDX19B,-0.12371193272612664
FBXO28,-0.4929225246635894
FBXW4,0.4680128002293062
FBXW5,-0.11292383833260455
FBXW7,-0.5731705204147445
KLHL11,-0.23662918809763953
KLHL12,0.12456647390151576
LRSAM1,0.03567923084165213
SH3RF1,-0.046368889406117955
CSTB,1.7448994082657523
GNB1,-0.7429389565934861
UBE2D3,-0.536522729296081
TRIM69,-0.07057932122593351
JOSD1,-0.5591531469110623
TRIM63,-0.5728630847503009
PIP5K1A,-0.7060296657875249
KEAP1,-0.4751179960352637
ATP6V0C,2.1445888815255763
ERCC3,-0.7659001164616115
RNF34,0.07356551369134201
TOR1A,0.941305503052689
TOR1B,0.551151540555808
RLIM,-0.5391949289927728
TMEM248,0.6582451916897111
MFSD5,3.368675549692433
PSME3,-0.339332733466007
KBTBD13,-0.6499435363472547
DDX23,-0.8173035291146462
ERP44,0.16147102130228835
ILF2,-0.8681330000206551
ASB10,-0.8025901715266636
UBE2J1,-0.1192280662314216
UBE2J2,-0.10197857942422622
WWP1,-0.4405566531593403
BTBD1,-0.5695776238813159
FBXO10,-0.6333022736486208
FBXO17,-0.7228398621922928
FBXO15,-0.6550751125590961
ASB13,-0.437769928887819
CAPRIN1,-0.6813187733261057
PPP1R7,2.048501333721082
CERS2,2.0896009557013837
ASB17,-0.8938021188046161
EIF4ENIF1,-0.2582702790398805
CUL5,-0.6878832283598981
CUL7,-0.09644530162563529
CUL1,0.5607980257701214
CUL2,-0.6861402849254328
CUL3,1.4157574640188777
TRIM27,-0.16291805371599202
TRIM21,0.4109070107535235
IRF2BPL,0.015225269713853047
RNF138,-0.8539862413597684
TOR1AIP1,1.6864292422657647
DZIP3,-0.6732965845370469
RBBP6,-0.6484166157600519
RNF182,-0.5527078719915416
RBX1,-0.29490436177050905
RNF217,-0.5507426069936507
RNF213,0.3913582467843909
SLBP,-0.9057086458052249
SMURF1,-0.7414621565158104
UBE2F-SCLY,-0.6258706259175081
SMURF2,-0.39251435684473046
CDC16,3.6250566981065986
UBAP2L,-0.6270705094879652
RNF130,0.4491493707790565
B4GALT1,3.8360125132737912
B4GALT3,1.5791075458496917
PJA2,-0.24122393584545873
RIC8A,0.527690130266047
HERC1,-0.6660080936194369
HERC3,-0.8350007153706458
HERC2,-0.09057310487157012
HERC5,-0.3179191594629795
HERC4,-0.741308045343897
HERC6,0.0656993526574029
MRPL9,-0.5424533811276265
UBE2I,-0.8968462050505596
UBE2H,-0.2186056683490358
UBE2K,-0.5387090205041081
UBE2M,-0.3866558178118833
UBE2O,-0.37522912212778814
UBE2N,-0.5445917508688157
UBE2A,-0.23942894732128014
UBE2C,-0.6950815371666184
UBE2B,-0.3963109882023383
UBE2F,-0.15273921803592322
UBA5,-0.35294407853349585
RBCK1,0.5387816180047682
UBE2S,-0.5201454305881509
UBE2U,-0.3959995102709027
UBE2T,-0.9819020197052544
UBE2W,-0.6595595123814133
DPF2,-0.04350323388502477
UBA1,1.3938835093124824
FBXO2,-0.23737886238137404
FBXO4,-0.6025645546762306
FBXO6,2.743195644694027
FBXO7,-0.3705844713543641
FBXO9,-0.5188500253285988
HACE1,-0.4762942262963071
SRPRB,-0.29839314475423806
ASB11,-0.8481226233395757
FHL3,-0.346538907312658
FBXO44,-0.6343731427915564
FBXO41,-0.16326682588898933
FBXO40,-1.028296774385903
NDUFA8,0.023839558057817227
DET1,0.026498983085379946
TP53,-1.1327240873291549
MAEA,-0.07684919385517915
TRIM71,-0.6199935969245066
BIRC6,-0.7755982707758082
PEX19,0.3892155231519629
MAP2K1,-0.5697611598898498
ADPGK,1.2073561207634123
ANGEL2,-0.4529447673489962
RCHY1,-0.41745242985346576
LYPD3,-0.20849936829995433
NSF,0.9300986712197565
APEX1,-0.6230234511003967
UBE2Z,-0.21906517149279092
MAD2L1BP,-0.47321694108992157
POGK,-0.39371622107015036
PPP1CA,-0.28874718145976935
MYLIP,-0.14868119255870965
M6PR,1.9527275775885504
HECTD2,-0.7412218503769784
HECTD3,0.7151737312645187
ASB12,-0.9051718997029679
HECTD1,-0.651599340079382
ASB14,-0.6507733950332402
ASB15,-0.6105019923324848
ASB16,-0.8272273358470933
UBE2QL1,-0.6562228305935793
