,OR_p,log_OR,log_OR_CI_lower,log_OR_CI_upper,num_genes_in_term,MP_description,MPO_term_type
MP:0000136,7.525427710318386e-12,2.238166584965742,1.5975165724086924,2.8788165975227917,94,abnormal microglial cell morphology,brain
MP:0003634,2.255644993856616e-11,1.4988075485752947,1.0596005732951213,1.9380145238554682,398,abnormal glial cell morphology,brain
MP:0006069,2.657760225836717e-10,1.4126488687294092,0.9743857037962905,1.850912033662528,431,abnormal retina neuronal layer morphology,brain
MP:0003691,8.434195818235517e-10,2.3584562292479525,1.605182447257509,3.111730011238396,61,abnormal microglial cell physiology,brain
MP:0014062,1.0945829962058206e-09,2.339710026106829,1.587327694398602,3.092092357815056,62,nervous system inclusion bodies,brain
MP:0000952,3.5215693310781265e-09,1.4815972366157695,0.989850489004175,1.973343984227364,312,abnormal CNS glial cell morphology,brain
MP:0003224,4.588889411273811e-09,1.3650408111236505,0.9085942880079271,1.8214873342393738,409,neuron degeneration,brain
MP:0003690,1.005004315597866e-08,1.931870599744343,1.2710547752332304,2.5926864242554557,112,abnormal glial cell physiology,brain
MP:0002882,3.609210219594571e-08,0.8886729778110141,0.5725042211800659,1.2048417344419622,1550,abnormal neuron morphology,brain
MP:0008235,1.9688031970834585e-07,2.553012890452324,1.591158996162656,3.5148667847419923,32,increased susceptibility to neuronal excitotoxicity,brain
MP:0002752,2.561586736580901e-07,0.9480079102003316,0.5874392358570636,1.3085765845435997,1039,abnormal somatic nervous system morphology,brain
MP:0003202,7.126776292506983e-06,1.3606765599513775,0.7666996698212403,1.9546534500815147,229,abnormal neuron apoptosis,brain
MP:0000965,1.1155874133084087e-05,1.0651428284674402,0.5899729743019473,1.5403126826329332,487,abnormal sensory neuron morphology,brain
MP:0003204,1.3984764744317199e-05,1.8740408490768417,1.0285141898082673,2.719567508345416,70,decreased neuron apoptosis,brain
MP:0010762,1.607590337783619e-05,2.3261310170275076,1.2691626303929628,3.3830994036620523,31,abnormal microglial cell activation,brain
MP:0000920,0.00011961697830681518,1.3383066747407462,0.6564521435008621,2.02016120598063,174,abnormal myelination,brain
MP:0003871,0.00027781264130986063,1.7037693990130496,0.7851494546854765,2.6223893433406227,68,abnormal myelin sheath morphology,brain
MP:0001081,0.00035597787036687796,1.2393202662551275,0.5590621217357129,1.919578410774542,191,abnormal cranial ganglia morphology,brain
MP:0000811,0.0003729921368908312,2.1952831433014097,0.9861536611735655,3.404412625429254,26,hippocampal neuron degeneration,brain
MP:0004859,0.00044653288879481295,1.641995090928642,0.7253586763464227,2.5586315055108613,72,abnormal synaptic plasticity,brain
MP:0001900,0.0005534108769524642,1.81433305092043,0.7846380130232509,2.844028088817609,49,impaired synaptic plasticity,brain
MP:0021010,0.0005534108769524642,1.81433305092043,0.7846380130232509,2.844028088817609,49,impaired synaptic physiology,brain
MP:0006092,0.0005840677502553066,2.1117935663207934,0.9082020529563908,3.3153850796851962,28,abnormal olfactory sensory neuron morphology,brain
MP:0002206,0.0006313934527284127,0.7271169863633222,0.31014090699454266,1.1440930657321018,890,abnormal CNS synaptic transmission,brain
MP:0009823,0.0010622132748498983,2.524353962492289,1.0129348291206992,4.035773095863879,13,abnormal sphingomyelin level,brain
MP:0011451,0.0010622132748498983,2.524353962492289,1.0129348291206992,4.035773095863879,13,increased susceptibility to dopaminergic neuron neurotoxicity,brain
MP:0004811,0.0010832996949406972,0.7888823532385345,0.3157473362636157,1.2620173702134534,631,abnormal neuron physiology,brain
MP:0003635,0.001275253697734366,0.6729535647094025,0.2635267930340236,1.0823803363847815,975,abnormal synaptic transmission,brain
MP:0021009,0.0013974509702890702,0.667414544453452,0.258013606523525,1.076815482383379,980,abnormal synaptic physiology,brain
MP:0020448,0.004285699131425313,2.1493907458583283,0.6745160054911934,3.6242654862254633,18,increased microglial cell activation,brain
MP:0003241,0.004285699131425313,2.1493907458583283,0.6745160054911934,3.6242654862254633,18,loss of cortex neurons,brain
MP:0003203,0.004298902067951676,1.1167840595897136,0.35020404371398306,1.8833640754654442,166,increased neuron apoptosis,brain
MP:0004101,0.004387477020704265,1.7191034253817303,0.536395716762416,2.9018111340010444,40,abnormal brain interneuron morphology,brain
MP:0001105,0.004387477020704265,1.7191034253817303,0.536395716762416,2.9018111340010444,40,abnormal PNS glial cell morphology,brain
MP:0004858,0.0066001723075560905,2.0314997829448114,0.5656966840327129,3.4973028818569096,20,abnormal nervous system regeneration,brain
MP:0008917,0.008026728114162237,1.9773785936775452,0.5154119729109468,3.4393452144441437,21,abnormal oligodendrocyte physiology,brain
MP:0004980,0.009646954031384934,1.9260313283803008,0.46752616580266526,3.3845364909579363,22,increased neuronal precursor cell number,brain
MP:0009939,0.013898162698100625,1.1347738467919086,0.23061935587717886,2.0389283377066385,116,abnormal hippocampus neuron morphology,brain
MP:0008571,0.015758490604549178,1.78610745579671,0.33621630452608,3.23599860706734,25,abnormal synaptic bouton morphology,brain
MP:0000921,0.01874391105478533,1.2122746156773534,0.2014563361245547,2.223092895230152,86,demyelination,brain
MP:0000778,0.027141609669831986,0.8601736532450346,0.0971375140229851,1.623209792467084,212,abnormal nervous system tract morphology,brain
MP:0008946,0.036961465704210196,0.6004876335538327,0.03633266857104567,1.1646425985366198,510,abnormal neuron number,brain
MP:0002912,0.04230710035495045,1.043470250647534,0.03624169025838353,2.0506988110366846,101,abnormal excitatory postsynaptic potential,brain
MP:0009937,0.04779286631852354,0.6802619024970635,0.006613419146888289,1.3539103858472388,325,abnormal neuron differentiation,brain
MP:0008948,0.05110927992590068,0.6081232172751552,-0.0029315257130022587,1.2191779602633126,427,decreased neuron number,brain
MP:0011452,0.06720862893639053,1.9228740445620316,-0.13624883869268256,3.9819969278167457,11,decreased susceptibility to dopaminergic neuron neurotoxicity,brain
