,d1_seeds,d2_seeds,d1_name,d2_name,z_d1,z_d2,z_both,sum_seeds
PICALM,1,0,AD,lipid,14.182708784330869,2.49134805042863,35.334063879639714,1
PSEN1,1,0,AD,lipid,13.371717835766804,2.4869992391537807,33.25545208373108,1
NPC1,0,1,AD,lipid,2.9192884166090245,10.971564704258718,32.029161753218894,1
CLU,1,0,AD,lipid,11.61109512399306,2.4964053772564982,28.986000303372983,1
ABCA7,1,0,AD,lipid,10.223480390300024,2.716957536336887,27.776762094018032,1
CD2AP,1,0,AD,lipid,14.821901118927236,1.8671097228641214,27.674115690479642,1
HEXA,0,1,AD,lipid,2.897333324123519,9.38266785484528,27.18471624502576,1
AC138894.1,0,0,AD,lipid,4.276622624662538,6.0585223619957835,25.91001380533509,0
APOE,1,0,AD,lipid,11.60976479191202,2.0520913703735317,23.824298141549118,1
SLC38A7,0,0,AD,lipid,4.20951491165143,5.229784533082259,22.01485597673378,0
SLC39A11,0,0,AD,lipid,2.9938475602065813,7.329822104530587,21.944370024397166,0
SUMF2,0,0,AD,lipid,3.560258639978268,5.297245550561963,18.859564239474665,0
CLN3,0,0,AD,lipid,3.06991580392338,5.211941407075884,16.00022129470491,0
RILPL2,0,0,AD,lipid,2.1137883217635838,7.430005899758268,15.705459701543557,0
SMCO4,0,0,AD,lipid,2.9108252070874596,4.900903693861037,14.265674009598747,0
GM2A,0,0,AD,lipid,3.478583596818415,4.018183136515277,13.977585947694413,0
MANBA,0,0,AD,lipid,3.6240879566830038,3.7644591797247595,13.642731176665281,0
CHIT1,0,0,AD,lipid,3.345203309710439,4.043538751738069,13.526459215256606,0
ABCG1,0,0,AD,lipid,3.1058820770301625,4.312048574056901,13.392714381446797,0
NOTCH2,0,0,AD,lipid,4.140767585503256,2.9488283733605862,12.210412943623808,0
RABEP2,0,0,AD,lipid,3.4171796934387166,3.4887890318940356,11.921819034480018,0
NCSTN,0,0,AD,lipid,3.330367393438598,3.4156566309285945,11.375391470826926,0
CCDC50,0,0,AD,lipid,4.052971452881381,2.8065500528830167,11.374867245417596,0
FILIP1,0,0,AD,lipid,6.964575789058799,1.6152421838046178,11.249476606792104,0
CHI3L1,0,0,AD,lipid,3.456719166192957,3.24034351084149,11.200957518974754,0
INPP1,0,0,AD,lipid,2.896461440887777,3.740478331524722,10.834151257737604,0
SCARB2,0,0,AD,lipid,2.905822278441698,3.682797223170864,10.701554218073118,0
UNC93B1,0,0,AD,lipid,2.982692305041279,3.5365240726021407,10.548363137943651,0
PLD3,0,0,AD,lipid,3.17876666067661,3.3156316027473323,10.539619197898974,0
HPS1,0,0,AD,lipid,3.452995147903129,3.0267633618587335,10.451399202349169,0
MCOLN1,0,0,AD,lipid,1.5872620006836449,6.52148657483955,10.351307828211354,0
TCN2,0,0,AD,lipid,2.54342557538657,3.90387691362059,9.929220385263797,0
PLAAT3,0,0,AD,lipid,2.6592998728783335,3.7069603713090364,9.85791924418714,0
VPS9D1,0,0,AD,lipid,3.4373436689896812,2.844769226307509,9.77844948978479,0
TMEM176A,0,0,AD,lipid,3.291725881434574,2.9299499939085827,9.644592226257954,0
CTSD,0,0,AD,lipid,2.721777584934866,3.5406311119685845,9.636810397079104,0
CBWD3,0,0,AD,lipid,4.255209419053291,2.2095280484625097,9.402004563480109,0
SKAP2,0,0,AD,lipid,2.332234220017287,4.030422773147672,9.399889912671972,0
LAMP1,0,0,AD,lipid,2.3732936227687245,3.92989208998559,9.326787835332054,0
CCS,0,0,AD,lipid,2.168643942629894,4.235871090514828,9.186096182206064,0
DOCK10,0,0,AD,lipid,3.0660264881634514,2.95071114048784,9.046958515654705,0
SLC30A2,0,0,AD,lipid,3.0244577076245642,2.9864759949523885,9.032470341569491,0
TNS3,0,0,AD,lipid,2.526499985117317,3.559262959178111,8.992477813392115,0
CD68,0,0,AD,lipid,2.6176184639202247,3.3797202557907817,8.846818144443136,0
TMEM51,0,0,AD,lipid,2.1856314525554756,3.9673085072944687,8.671074255533705,0
IDUA,0,0,AD,lipid,2.2074266293382747,3.849675652151375,8.497876548874135,0
CPPED1,0,0,AD,lipid,2.1172519554149383,3.9751344113623257,8.416361105494094,0
CTSB,0,0,AD,lipid,2.3123180898419284,3.62037673730466,8.371462621712464,0
VASH2,0,0,AD,lipid,4.789326605007434,1.7438132527168708,8.351691205401462,0
SLC31A2,0,0,AD,lipid,2.218765836684414,3.7424864324171434,8.30370104050209,0
GRN,0,0,AD,lipid,2.8080431704702202,2.9075855411248326,8.164625721313545,0
CYB5R1,0,0,AD,lipid,2.3772674890645984,3.4029000922677946,8.08960375788315,0
VLDLR,0,0,AD,lipid,2.8739287077559807,2.7778394835321905,7.983312637261209,0
ACER1,0,0,AD,lipid,1.5436447969833786,5.133569208010584,7.924407397899622,0
MPO,0,0,AD,lipid,2.9669098918679078,2.6676483063281284,7.914672148069595,0
BEX3,0,0,AD,lipid,1.9118258811929545,4.120684618740013,7.878031502340878,0
MEGF9,0,0,AD,lipid,3.3812209587414426,2.303873850922595,7.789906551035836,0
ACP5,0,0,AD,lipid,3.0652051786337564,2.539755894029411,7.784872918844556,0
PSD4,0,0,AD,lipid,2.843975994215926,2.7140352834442147,7.718651193570363,0
ENC1,0,0,AD,lipid,2.0221019230138157,3.8072896463309105,7.698727715316324,0
AC005520.1,0,0,AD,lipid,4.181529654314485,1.838997927343781,7.689824367410894,0
ZDHHC7,0,0,AD,lipid,2.1642577538144154,3.5506364303623075,7.684492425387561,0
DNASE2,0,0,AD,lipid,1.684280064062672,4.544632070104905,7.654433194177563,0
PRRT2,0,0,AD,lipid,1.8626571656007904,4.106130336202706,7.648313093618753,0
MAN2B1,0,0,AD,lipid,2.4487709737901104,3.0847369895603207,7.553814401812001,0
APBB3,0,0,AD,lipid,3.373805981892236,2.238029546987274,7.550677473277236,0
ANKRD11,0,0,AD,lipid,2.4785158948293597,3.04563380597982,7.548651797950622,0
CTNNBIP1,0,0,AD,lipid,2.49348485743459,3.0121471369337907,7.510743274309362,0
RASSF2,0,0,AD,lipid,4.124238764863546,1.8133447990120073,7.478666914149016,0
CD300C,0,0,AD,lipid,2.882132810574319,2.5922668900772226,7.471257457657015,0
AREL1,0,0,AD,lipid,2.4535887829100087,3.0352822471449357,7.447334474560699,0
CAPG,0,0,AD,lipid,2.3369528343821266,3.1836775510661726,7.44010427672284,0
ORAI1,0,0,AD,lipid,3.154768385326282,2.3504065796436486,7.414988370122662,0
PRXL2C,0,0,AD,lipid,1.620917570402257,4.569909359876906,7.407446376570208,0
M6PR,0,0,AD,lipid,2.145715725751898,3.426298710492765,7.351863024227776,0
LDLRAD2,0,0,AD,lipid,3.0284329788332944,2.3915850230295184,7.242754955426378,0
C1D,0,0,AD,lipid,3.0284329788332545,2.3915850230295415,7.242754955426352,0
SCGB1D1,0,0,AD,lipid,2.2435239565329734,3.20833812545186,7.19798344510934,0
ADAM17,0,0,AD,lipid,3.1129549040884497,2.3058621781717443,7.178044975691806,0
CHI3L2,0,0,AD,lipid,2.1223588692420567,3.3538029109250966,7.117973353691706,0
LAMP2,0,0,AD,lipid,1.7335715259816453,4.103804564559085,7.114238741313135,0
PXDC1,0,0,AD,lipid,2.2719057270896057,3.124530228321648,7.098638120188545,0
INF2,0,0,AD,lipid,1.9740300555710761,3.5641891294106425,7.035816465196316,0
ABCA1,0,0,AD,lipid,3.021018720112339,2.2896632144471085,6.917115433597307,0
SLC2A11,0,0,AD,lipid,4.15014445959163,1.6582327596783684,6.881905500292519,0
SIAE,0,0,AD,lipid,2.2277127675470467,3.065326782023287,6.828667609017179,0
FAM83C,0,0,AD,lipid,2.9570038762284665,2.2997356143356993,6.800327125891316,0
GNS,0,0,AD,lipid,1.553435737413558,4.360120525819455,6.773167044238335,0
RIN2,0,0,AD,lipid,3.253052147443347,2.0777192830961244,6.758929175660299,0
LGALS8,0,0,AD,lipid,1.9327937987432224,3.487840694857527,6.74127686602488,0
TPSB2,0,0,AD,lipid,2.054671691676434,3.2482658627714,6.674119915275323,0
CTSA,0,0,AD,lipid,1.9884238609086133,3.356262277182386,6.673671995416934,0
PITPNM1,0,0,AD,lipid,2.744854101261492,2.4144313617677597,6.627261825562605,0
TNFSF13,0,0,AD,lipid,3.180260480863168,2.0518625545352984,6.525457394351556,0
HYOU1,0,0,AD,lipid,1.7179102376748756,3.7944884802655476,6.518590606987565,0
ABCA2,0,0,AD,lipid,2.9600473886136136,2.1808455853741893,6.455406279956397,0
BIN3,0,0,AD,lipid,1.837997065149315,3.5039216704713736,6.44019774683947,0
APBB1,0,0,AD,lipid,2.8358153321685324,2.261026679491364,6.411854124143716,0
CD47,0,0,AD,lipid,2.3330103687483037,2.7460426935872424,6.406546077164558,0
ORAI3,0,0,AD,lipid,3.847906727070003,1.6586562908954712,6.382354699633663,0
SLC1A3,0,0,AD,lipid,3.0043405050638956,2.1017286959550665,6.314308651912927,0
STIM1,0,0,AD,lipid,1.7088643339749425,3.672549185872632,6.2758883185064525,0
DENND5A,0,0,AD,lipid,2.229378070917001,2.8146725760035407,6.274969317753759,0
POMGNT2,0,0,AD,lipid,2.545343812349417,2.460791135306156,6.2635594897358216,0
SERAC1,0,0,AD,lipid,3.018966071103063,2.069629948144122,6.248142593185895,0
CETP,0,0,AD,lipid,2.498942716342601,2.4890496670825164,6.21999253617083,0
FURIN,0,0,AD,lipid,2.908077661900464,2.1379856743382377,6.217428381006229,0
CTSK,0,0,AD,lipid,2.021242491629962,3.0701077529188003,6.2054322440820595,0
PTPN4,0,0,AD,lipid,2.2279237286117044,2.760144132839226,6.149390607940888,0
SGSM3,0,0,AD,lipid,2.534910128562429,2.4216901601933642,6.138766915314131,0
ENPP4,0,0,AD,lipid,2.1758279681221295,2.813298853673488,6.1212543285087015,0
NAGPA,0,0,AD,lipid,1.6968261946908714,3.5357281533568594,5.999516147921901,0
CD58,0,0,AD,lipid,1.7224856267846929,3.478144092817372,5.991053207764008,0
RNPEPL1,0,0,AD,lipid,2.4145688371540586,2.4730601035695954,5.971373858488134,0
MPPE1,0,0,AD,lipid,1.8287154421537613,3.238492120514342,5.922280550077857,0
ATP2B1,0,0,AD,lipid,3.683144802314668,1.602910964929877,5.903753189054665,0
AZU1,0,0,AD,lipid,1.938221874560399,3.0072327340721436,5.828684267072704,0
KIAA0754,0,0,AD,lipid,3.522881254947927,1.6510561323426525,5.816474699496754,0
