,z
UBE2Q1,-0.22424442879918646
RNF14,2.1574780629061787
UBE2Q2,-0.3750200968005787
TMCO1,2.3015048338207293
UBAC1,-0.06115416857766402
RAB4A,0.4539676011325033
ZNF706,5.519416960505481
MIB2,-0.40632379304204064
RNF114,-0.3567255724667042
RNF115,-0.31892643575434204
RNF111,1.3340711950382367
EEF1AKNMT,-0.13489156615578385
UNKL,-0.5824443902967947
MMAB,1.4926058798514648
UBE4A,-0.29970260071409227
DDX41,-0.25057372549510204
ATMIN,-0.143626946786593
TSG101,-0.03170323574684869
FBXW11,-0.7717674399188494
UBE2D4,-0.3864972264465037
RPS27A,-1.1256112938348404
UBE2D2,-0.6144415141587884
ATP6V1H,0.755361009544346
UBE2D1,-0.3547880475374727
MFSD11,-0.5465986148991377
CCT3,1.1674746921247217
LNX1,-1.123744149371027
MRFAP1L1,-0.2868527695665965
GTF2B,-0.4910660072823304
FBXL13,-0.6673362238437174
FBXL12,-0.30819672170922946
FBXL15,-0.13791040354593845
FBXL14,-0.577595202639098
FBXL16,-0.9016355573093018
FBXL19,-0.8095184630536956
FBXL18,-0.8938539589697628
CCDC51,-0.10533383969571722
PPP1R11,0.5616074062390347
AKTIP,0.08110919451969478
RNF41,-0.6896611238022115
ANAPC1,-1.0997122360816842
ANAPC2,-0.3398302538601421
ANAPC5,-0.9030366733017945
ANAPC4,-0.8795970451922434
ANAPC7,-0.6998789924047425
ZNRF1,-0.39118279734412065
LRR1,-0.993470297598932
ZNRF2,-0.5808018354275348
FBXO30,-0.6495645654494381
FBXO5,-0.9359728724560266
FBXO32,-0.7244872459341233
EMC7,1.8335056988315175
KLHL25,-0.6428976607120703
KLHL21,-0.36548355988060993
KLHL20,-0.6265898670124709
KLHL22,-0.6285752220012464
MKRN1,-0.02988662343512773
SPSB2,-0.7013242339424851
SPSB1,-0.37627329557051625
TRIM50,-0.6865120939560434
SPSB4,-0.556939275543797
ARF1,0.11497907248083636
CDC34,-0.24552077861835495
AREL1,3.0352822471449357
LONRF1,-0.7446128270811869
CIAO2B,0.08434293398556378
RNF25,-0.8813465979124553
UBE2V1,-0.5114605454539067
UBE2V2,-0.6740520038616175
RNF26,0.17777806204140742
PSMD8,-0.12053863580543556
LMO7,-0.7265089197827832
MGRN1,0.181101546979507
DHX8,1.5287978271414544
SPCS1,1.626157429170865
ITCH,2.5738033133585554
PSMD4,-0.3093035777810791
FLAD1,-0.332493311260948
CBLL2,-1.1824625140548455
ARIH2,-0.5502799027740329
TRIP12,1.2325283665468643
MEX3C,-0.45293985470473946
E2F6,-0.593698206934551
SNW1,-0.848005033768377
PRCC,-0.38907474384956153
C3AR1,0.4834394247137858
BTRC,-0.8451918025348586
TRIM11,-0.9251932343590333
