,nervous system inclusion bodies:-log(OR_p),nervous system inclusion bodies:log_OR,nervous system inclusion bodies:num_genes,nervous system inclusion bodies:gene_ids,abnormal microglial cell physiology:-log(OR_p),abnormal microglial cell physiology:log_OR,abnormal microglial cell physiology:num_genes,abnormal microglial cell physiology:gene_ids,abnormal microglial cell morphology:-log(OR_p),abnormal microglial cell morphology:log_OR,abnormal microglial cell morphology:num_genes,abnormal microglial cell morphology:gene_ids,increased susceptibility to neuronal excitotoxicity:-log(OR_p),increased susceptibility to neuronal excitotoxicity:log_OR,increased susceptibility to neuronal excitotoxicity:num_genes,increased susceptibility to neuronal excitotoxicity:gene_ids,abnormal microglial cell activation:-log(OR_p),abnormal microglial cell activation:log_OR,abnormal microglial cell activation:num_genes,abnormal microglial cell activation:gene_ids,abnormal glial cell morphology:-log(OR_p),abnormal glial cell morphology:log_OR,abnormal glial cell morphology:num_genes,abnormal glial cell morphology:gene_ids,abnormal CNS glial cell morphology:-log(OR_p),abnormal CNS glial cell morphology:log_OR,abnormal CNS glial cell morphology:num_genes,abnormal CNS glial cell morphology:gene_ids,neuron degeneration:-log(OR_p),neuron degeneration:log_OR,neuron degeneration:num_genes,neuron degeneration:gene_ids,abnormal glial cell physiology:-log(OR_p),abnormal glial cell physiology:log_OR,abnormal glial cell physiology:num_genes,abnormal glial cell physiology:gene_ids,abnormal neuron apoptosis:-log(OR_p),abnormal neuron apoptosis:log_OR,abnormal neuron apoptosis:num_genes,abnormal neuron apoptosis:gene_ids,gprofiler_name,num_d1_seeds,num_d2_seeds,frac_d1_seeds,frac_d2_seeds,frac_both_seeds,frac_no_seeds
C347,10.396915003008111,2.2964701898793427,10,APOE CLU GRN LRPAP1 NR1H3 PRNP PSEN1 TMEM175 TNFRSF1A TREM2,8.876944990437892,2.2061658646877813,9,CLN3 DOCK10 GRN IDUA MAN2C1 NPC1 TLR2 TNFRSF1A TREM2,8.568364723281256,1.929728566204072,11,APOE CLCN7 CTSD GNS GRN IDUA NPC1 PRNP PSEN1 SCARB2 TNFRSF1A,7.600359288977465,2.542514637257984,6,GRN HYOU1 PSEN1 TMEM175 TNFRSF1A UCP2,7.13903018609091,2.433152756885188,6,CLN3 MAN2C1 NPC1 TLR2 TNFRSF1A TREM2,7.088583671958382,1.189607770015689,23,APOE ATP2B1 CLCN7 CLN3 CTSB CTSD GNPTAB GNS GRN HEXA HFE IDUA INPP5A LRPAP1 MAN2B1 NOTCH3 NPC1 POMGNT2 PRNP PSEN1 SCARB2 TLR2 TNFRSF1A,6.338071792736229,1.2245116870142407,19,APOE ATP2B1 CLCN7 CLN3 CTSD GNPTAB GNS GRN HEXA HFE IDUA LRPAP1 NPC1 POMGNT2 PRNP PSEN1 SCARB2 TLR2 TNFRSF1A,6.131255125315106,1.1191572232787177,22,APOE ATP7A CASP3 CLCN7 CTSB CTSD GNPTAB GPNMB GRN HFE HYOU1 IDUA INPP5A ITGB2 MAN2C1 NOTCH2 NPC1 PRNP PSEN1 SCARB2 SLC1A3 VLDLR,5.8144766756451425,1.609301815423942,10,APOE CLN3 DOCK10 GRN IDUA MAN2C1 NPC1 TLR2 TNFRSF1A TREM2,4.964775487501887,1.236177083283895,14,ATP7A CASP3 CTSB GRN HYOU1 NOTCH2 NUMB PRNP PSEN1 SLC1A3 TLR2 TMEM175 TNFRSF1A UCP2,CD_1A_lyso-AD systems map,12,8,0.03519061583577713,0.02346041055718475,0.0,0.9413489736070382
C348,3.1292792002749135,2.0176434107476,3,CLU PRNP PSEN1,0.42867057079299553,0.9022240037631093,1,NPC1,5.283006871949943,2.133102720071183,5,GNS NPC1 PRNP PSEN1 SCARB2,0.9437970918683336,1.6130871598025145,1,PSEN1,0.8679309844667525,1.5205531239504761,1,NPC1,3.5525507980090936,1.271648060566232,9,ATP2B1 GNPTAB GNS INPP5A NOTCH3 NPC1 PRNP PSEN1 SCARB2,2.784117152504448,1.2383345752092492,7,ATP2B1 GNPTAB GNS NPC1 PRNP PSEN1 SCARB2,4.383866411413175,1.3687468167677164,10,ATP7A CASP3 GNPTAB INPP5A NOTCH2 NPC1 PRNP PSEN1 SCARB2 VLDLR,0.09663856625635779,0.25480370404207875,1,NPC1,3.058709047405642,1.4108199960284722,6,ATP7A CASP3 NOTCH2 NUMB PRNP PSEN1,amyloid precursor protein catabolic process,4,5,0.03305785123966942,0.04132231404958678,0.0,0.9256198347107438
C349,4.02916256252349,2.347445979023588,3,APOE NR1H3 TREM2,2.131747831693844,1.9463387357971138,2,TLR2 TREM2,0.35144494805741705,0.7716615124382393,1,APOE,-0.0,0.0,0,,3.3363614328861506,2.578517648316918,2,TLR2 TREM2,0.8202803479005418,0.737867015690691,4,APOE CTSB HFE TLR2,0.5962840448271267,0.6740029467471036,3,APOE HFE TLR2,2.168951953640708,1.1528160641301284,6,APOE CTSB GPNMB HFE ITGB2 SLC1A3,2.4104676490871397,1.7169456724577845,3,APOE TLR2 TREM2,1.0563184710826516,1.0088919926439015,3,CTSB SLC1A3 TLR2,antigen processing and presentation of peptide antigen,1,2,0.011363636363636364,0.022727272727272728,0.0,0.9659090909090909
C350,-0.0,0.0,0,,2.8041083487509746,2.3077331095114477,2,IDUA MAN2C1,1.9624424010886763,1.847972614068607,2,CLCN7 IDUA,-0.0,0.0,0,,1.5026129551697938,2.2003270136304884,1,MAN2C1,0.22177251311973176,0.37771691711254185,2,CLCN7 IDUA,0.4050802287731541,0.6151856390902335,2,CLCN7 IDUA,0.727401713984299,0.7830389441220333,3,CLCN7 IDUA MAN2C1,1.6464970856823848,1.652690563958119,2,IDUA MAN2C1,-0.0,0.0,0,,C350,1,1,0.016129032258064516,0.016129032258064516,0.0,0.967741935483871
C358,3.4339890611417556,3.872695619918904,1,TMEM175,-0.0,0.0,0,,-0.0,0.0,0,,4.601695237949357,4.614907569651358,1,TMEM175,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,1.7417897446788013,2.5570657996172947,1,TMEM175,calcium channel activity,1,0,0.14285714285714285,0.0,0.0,0.8571428571428572
C375,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,1.488475200487928,2.3932850951415707,1,MAN2B1,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,C375,1,0,0.2,0.0,0.0,0.8
C379,-0.0,0.0,0,,4.12134721691183,4.59736200354028,1,CLN3,-0.0,0.0,0,,-0.0,0.0,0,,5.102250304635713,5.215681430080288,1,CLN3,1.691301457306355,2.6810215287142913,1,CLN3,1.935489248385824,2.9178518910341262,1,CLN3,-0.0,0.0,0,,3.18742775665587,3.9499608447685386,1,CLN3,-0.0,0.0,0,,C379,1,0,0.25,0.0,0.0,0.75
C383,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,1.691301457306355,2.6810215287142913,1,ATP2B1,1.935489248385824,2.9178518910341262,1,ATP2B1,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,C383,0,1,0.0,0.25,0.0,0.75
C384,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,C384,1,0,0.25,0.0,0.0,0.75
C370,3.8451277768683387,4.2782674003830286,1,CLU,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,C370,0,1,0.0,0.2,0.0,0.8
