z_comb,z_12,observed_overlap,expected_overlap_mean,expected_overlap_std,empirical_p,obs_exp
2,1.0,668,432.16,18.073582932003273,3.224457955390753e-39,1.5457238059977785
2,1.5,376,230.89,13.844056486449338,5.239083761884127e-26,1.6284810948936723
2,2.0,160,90.82,8.210213151922428,1.7870271927287804e-17,1.761726491962123
3,1.0,476,307.34,14.601520468773108,3.6546166654513916e-31,1.5487733454805754
3,1.5,347,215.57,12.426789609549202,1.9181881010710634e-26,1.6096859488797144
3,2.0,160,89.44,8.656003696856882,1.7961826324184612e-16,1.7889087656529516
4,1.0,318,210.64,14.044586145558009,1.051024108808253e-14,1.509684770224079
4,1.5,273,168.93,12.198569588275504,7.233851023288213e-18,1.616053986858462
4,2.0,160,89.87,9.22242375951138,1.4323428410655826e-14,1.7803493935684878
5,1.0,209,143.22,11.49659079901516,5.273288244165067e-09,1.4592933947772657
5,1.5,190,123.19,11.213112859505161,1.2751349158785376e-09,1.5423329815731797
5,2.0,141,82.26,8.175108561970292,3.3548131004656776e-13,1.7140773158278628
9,1.0,67,38.76,6.361006209712423,4.507375356428186e-06,1.7285861713106296
9,1.5,61,35.19,5.390166973294983,8.407956027291489e-07,1.7334470019892017
9,2.0,54,29.89,4.623624119670629,9.214480744681575e-08,1.8066242890598863
12,1.0,34,19.32,4.41787279128768,0.00044548825990209243,1.7598343685300206
12,1.5,32,17.46,4.02348107986107,0.0001508790186487999,1.8327605956471935
12,2.0,27,14.81,3.79129265554639,0.0006516270964870135,1.8230925050641458
