Cluster,genes,Top pathway,p_value,recall,intersection_size,num_d1_seeds,num_d2_seeds,num_both_seeds,frac_d1_seeds,frac_d2_seeds,frac_both_seeds,frac_no_seeds
C179,MANSC1 MCAM ITPR2 APBB2 STOM TBC1D5 ATP2B1 FN1 SOS2 TMEM165 IGF1 FERMT2 ABCG5 CORIN HFE ABCA10 ALG2 HOMER2 MANBA CFTR SYNJ1 PLAUR CCS TMEM51 AFM PSEN1 ABCA9 STAT3 ATP13A1 TMEM263 SNX31 F3 ABCC2 SLC31A2 TNF AOC3 CD55 CCDC50 TBC1D26 ABCC4 GPR180 ABCB1 NUMB VEGFA CFI KLK9 SLC24A1 ADAM10 PROS1 TPSB2 GPR107 KIAA0754 CASK IGF2R TFPI EPHA1 TNFRSF1A HMOX2 SMIM1 PPP2R5C AFP EPHB3 RAB23 TRAM2 C3AR1 MS4A13 IL1B ARMC9 ATP7A GINM1 ABCC11 TEX2 S100A4 VTN MMAB TPST1 AFF1 TNFSF10 S100A7A TXNDC11 APOA1 PRNP AKR1C3 PIK3C3 SERPINA1 CLU B2M SPPL3 LRP8 IFNG PANX1 LYST PHF21A SEPT9 SORL1 ITGA6 ABCG2 CCND1 ABCC1 VNN2 LYN CCN6 ABCB4 INSR ABCB6 NANOS3 CCL2 FGFR3 CASP3 HM13 SLC2A9 DSG2 CP NAT8B PIK3R1 IL6 ITSN2 ABCC5 CNTN1 SOAT1 ABCA5 CHN2 CASP8 DNM2 BDNF UBIAD1 NOTCH1 EIF2AK3 ABCG1 NFKB1 OGA ABCG8 LGALS9 CD83 TRIB2 APOE ATP9A ABCA6 CASP7 STK11 ABCD4 LTC4S WDR20 SYT1 SPPL2C ITGB1 CLEC2D IL34 ABCB5 SPPL2B TRAF6 BACE1 SOD3 TMEFF1 BIRC6 AL669918.1 PXDN SLC39A11 EPHB4 SLC30A2 CLCN7 AXL TINAGL1 ARFGAP3 FLT3 SLC25A20 EPS15,amyloid precursor protein catabolic process,8.328588030971584e-14,0.23214285714285715,13.0,1,6,6,0.005988023952095809,0.03592814371257485,0.0,0.9580838323353293
C203,FERMT2 CCDC50 TMEFF1 RAB23 SNX31,C203,,,,0,1,1,0.0,0.2,0.0,0.8
C180,OGA MANSC1 NUMB ITPR2 PANX1 CD83 LYST PHF21A TRIB2 ADAM10 APBB2 SLC24A1 KLK9 STOM TBC1D5 ATP2B1 TPSB2 ATP9A SORL1 SOS2 GPR107 TMEM165 VNN2 LYN CASK CCN6 IGF2R STK11 EPHA1 HMOX2 CORIN HFE INSR PPP2R5C EPHB3 WDR20 ALG2 HOMER2 MANBA SYT1 SPPL2C SPPL3 IL34 FGFR3 SYNJ1 HM13 SPPL2B ARMC9 DSG2 TRAF6 PSEN1 PIK3R1 ATP7A BIRC6 ATP13A1 TMEM263 ITSN2 TEX2 MMAB EPHB4 SOAT1 CLCN7 AFF1 CHN2 ARFGAP3 FLT3 CASP8 TBC1D26 DNM2 PIK3C3 GPR180 EPS15 NOTCH1 EIF2AK3,transmembrane receptor protein tyrosine kinase activity,1.2512756451652375e-06,0.08641975308641975,7.0,1,3,3,0.013513513513513514,0.04054054054054054,0.0,0.9459459459459459
C181,NFKB1 IFNG VEGFA LGALS9 CFI CD83 PROS1 APOE FN1 KIAA0754 IGF1 TFPI SMIM1 TNFRSF1A HFE NANOS3 AFP LTC4S CCL2 C3AR1 IL1B CASP3 SLC2A9 PLAUR CCS AFM TRAF6 B2M NAT8B BACE1 SOD3 CP GINM1 IL6 F3 S100A4 VTN CNTN1 SLC31A2 TNF AOC3 TPST1 CD55 TNFSF10 TINAGL1 S100A7A APOA1 PRNP AKR1C3 BDNF SERPINA1 CLU UBIAD1,amyloid precursor protein catabolic process,8.971864620887321e-11,0.14285714285714285,8.0,0,2,2,0.0,0.03773584905660377,0.0,0.9622641509433962
C190,VNN2 CCN6 CD83 CORIN AFF1 PLAUR APBB2 HFE SORL1,C190,,,,0,1,1,0.0,0.1111111111111111,0.0,0.8888888888888888
C191,CCN6 CORIN APBB2 BACE1 HFE NAT8B ATP7A SORL1,early endosome,8.472623678065335e-06,0.01141552511415525,5.0,1,1,1,0.125,0.125,0.0,0.75
C194,VNN2 CCN6 CD83 CORIN AFF1 APBB2 HFE SORL1,C194,,,,0,1,1,0.0,0.125,0.0,0.875
C184,MANSC1 FGFR3 LYN STK11 EPHA1 CLCN7 ARMC9 EPHB4 ARFGAP3 INSR DNM2 EPHB3 ATP13A1 TMEM263,ephrin receptor signaling pathway,8.552578362566974e-06,0.0784313725490196,4.0,0,1,1,0.0,0.07142857142857142,0.0,0.9285714285714286
C186,NFKB1 KIAA0754 VTN F3 CFI TINAGL1 AFM CP HFE APOA1 AFP APOE SERPINA1,Post-translational protein phosphorylation,3.1846271662215665e-06,0.04672897196261682,5.0,0,1,1,0.0,0.07692307692307693,0.0,0.9230769230769231
C210,EPHA1 ARMC9 EPHB3 FGFR3,transmembrane receptor protein tyrosine kinase activity,9.553404936659635e-06,0.037037037037037035,3.0,0,1,1,0.0,0.25,0.0,0.75
C219,CD83 AFF1 SORL1 VNN2,C219,,,,0,1,1,0.0,0.25,0.0,0.75
