,OR_p,log_OR,log_OR_CI_lower,log_OR_CI_upper,num_genes_in_term,MP_description,MPO_term_type
MP:0014062,4.860948399251617e-18,3.0517431532806176,2.3607888748013224,3.742697431759913,66,nervous system inclusion bodies,brain
MP:0003202,2.861147945127244e-12,2.0051873804102964,1.4424896852117104,2.5678850756088822,241,abnormal neuron apoptosis,brain
MP:0000952,1.69896837126751e-11,1.8098245831501067,1.2827374222469201,2.3369117440532934,334,abnormal CNS glial cell morphology,brain
MP:0003634,2.4597463091003322e-11,1.6994092490146588,1.2004717493939123,2.198346748635405,421,abnormal glial cell morphology,brain
MP:0003203,1.6441687312728602e-10,2.0548144209568004,1.4246883888862416,2.6849404530273593,178,increased neuron apoptosis,brain
MP:0002882,4.88300079791133e-10,1.1494765648072391,0.7874328338939538,1.5115202957205245,1681,abnormal neuron morphology,brain
MP:0000136,7.967121511497395e-10,2.317566646609663,1.5784425554461639,3.0566907377731622,100,abnormal microglial cell morphology,brain
MP:0006069,6.6990852287542415e-09,1.5090972647588163,0.9989862502163201,2.0192082793013126,473,abnormal retina neuronal layer morphology,brain
MP:0002752,1.8610555438909786e-08,1.1958976250603843,0.7791602653820477,1.612634984738721,1055,abnormal somatic nervous system morphology,brain
MP:0003224,9.250258755217079e-08,1.4696211439946172,0.9303072150120679,2.0089350729771667,429,neuron degeneration,brain
MP:0002916,2.6436090888988967e-07,3.3469579459251557,2.0725022004630396,4.621413691387271,15,increased synaptic depression,brain
MP:0000921,5.416956750055139e-07,2.1577926617570515,1.313797285586199,3.001788037927904,86,demyelination,brain
MP:0004811,1.5059864743241268e-06,1.2157465177415006,0.7204031505397838,1.7110898849432172,663,abnormal neuron physiology,brain
MP:0001081,2.8467753203422227e-06,1.7356021512657573,1.0089841152165384,2.4622201873149763,172,abnormal cranial ganglia morphology,brain
MP:0000920,4.4886239500316896e-06,1.6993455720920227,0.9732965896144652,2.4253945545695803,178,abnormal myelination,brain
MP:0008946,7.303588277886869e-06,1.2299115199399075,0.6923922739929903,1.7674307658868247,538,abnormal neuron number,brain
