,d1_seeds,d2_seeds,d1_name,d2_name,z_d1,z_d2,z_both,sum_seeds
PSEN1,0,1,CD_1E_mineral_abs,AD,3.6753832347012616,13.371717835766804,49.146187552733146,1
FERMT2,0,1,CD_1E_mineral_abs,AD,3.126373770560052,11.473405810260337,35.87015498418921,1
ATP7A,1,0,CD_1E_mineral_abs,AD,14.027640690317696,2.438828591802939,34.21101119108511,1
CLU,0,1,CD_1E_mineral_abs,AD,2.6881859552975667,11.61109512399306,31.212782837942203,1
SORL1,0,1,CD_1E_mineral_abs,AD,2.272041635831166,12.26743888841155,27.872131919485444,1
ATP11A,0,0,CD_1E_mineral_abs,AD,7.392352427425664,3.7107511096034766,27.431179972649733,0
APOE,0,1,CD_1E_mineral_abs,AD,2.362037875413819,11.60976479191202,27.42270416314203,1
SPPL2C,0,0,CD_1E_mineral_abs,AD,3.599922180622599,7.0887156011427,25.518824524679065,0
EPHA1,0,1,CD_1E_mineral_abs,AD,1.943908356133521,12.058853537338216,23.441306156622026,1
SLC30A2,0,0,CD_1E_mineral_abs,AD,6.1408106823359665,3.0244577076245642,18.572622199254273,0
ABCA10,0,0,CD_1E_mineral_abs,AD,2.955983323086164,5.855020550991458,17.307343105057512,0
SLC39A11,0,0,CD_1E_mineral_abs,AD,5.760362595908136,2.9938475602065813,17.24564750366482,0
ZNF385B,0,0,CD_1E_mineral_abs,AD,2.010541996986671,8.453844016683794,16.996808431517255,0
SLC24A1,0,0,CD_1E_mineral_abs,AD,3.287129561920454,4.849654258983627,15.941441879798512,0
PANX1,0,0,CD_1E_mineral_abs,AD,6.022873236392333,2.6115234824978732,15.728874888946542,0
SMIM11B,0,0,CD_1E_mineral_abs,AD,2.4998031208995464,6.054854884530676,15.135945136943647,0
ABCC4,0,0,CD_1E_mineral_abs,AD,5.486184803871614,2.6481670412831857,14.528333780001468,0
ABCA9,0,0,CD_1E_mineral_abs,AD,2.916236729783743,4.832218893050983,14.091894222270215,0
ABCB5,0,0,CD_1E_mineral_abs,AD,3.130670663523477,4.428636448279285,13.864602208038763,0
MANBA,0,0,CD_1E_mineral_abs,AD,3.7101922183720424,3.6240879566830038,13.446062935581116,0
PIK3R1,0,0,CD_1E_mineral_abs,AD,2.8969822457987124,4.596600797782042,13.316270902198772,0
ABCC5,0,0,CD_1E_mineral_abs,AD,4.175311456228841,3.112767294373736,12.996772944773113,0
KLK9,0,0,CD_1E_mineral_abs,AD,1.717952475951836,7.437649529557066,12.77752842456457,0
ABCA5,0,0,CD_1E_mineral_abs,AD,5.027935902180829,2.532863788273497,12.735076776394058,0
APBB2,0,0,CD_1E_mineral_abs,AD,3.5153747206227526,3.6095408569976803,12.688888681744631,0
ABCC11,0,0,CD_1E_mineral_abs,AD,2.7872027420667314,4.501431405850257,12.546401957611137,0
ABCG8,0,0,CD_1E_mineral_abs,AD,3.751144229425405,3.2589173465889436,12.224668998831469,0
