Cluster,genes,Top pathway,p_value,recall,intersection_size,num_d1_seeds,num_d2_seeds,num_both_seeds,frac_d1_seeds,frac_d2_seeds,frac_both_seeds,frac_no_seeds
C168,BCL2 PILRA ICAM3 FKBP15 CSF3R AFM MYO1F TCN2 NPLOC4 TGM2 B2M CD68 FBH1 AC005520.1 CD55 ABCB10 EXOC8 SLC15A3 C11orf52 ABCB4 STXBP2 FXYD5 VPS9D1 PLG RGS14 NR1H3 SPNS1 POLG SUSD3 ANPEP C3orf33 NKG7 FAAH2 TCN1 GPIHBP1 THBD LILRB2 SYCP2L NLRC5 SLC2A5 PCSK7 MX2 HAVCR1 C19orf18 C12orf65 GPR107 SYMPK MS4A6A SMIM11A FILIP1 LY86 CD38 INKA1 MICB C22orf46 ZNF385B HLA-DQB1 CSAG1 S100A12 EHBP1L1 ZNF839 IDO1 NUP210 LURAP1L ZNF276 L1TD1 TMC6 ENTPD1 FAF2 RNASE6 ABCC2 NCKAP1L EPB41L3 GMIP TFEB SPAG9 CLEC4A IGSF6 ZNF449 PGGHG NCSTN PCDHA7 PON3 ARHGAP45 FABP2 SERTM1 AOAH APP SUN2 LPIN2 TFE3 SWAP70 CFAP58 NAA80 FES CSNK1G2 APOBEC3H ABCA5 DOK2 AFP C1orf115 ADAM8 HLA-DRB5 TRAC TNFRSF14 DEFA6 RBM14-RBM4 TREM1 CTSW ZFP36L2 IL32 GAS2 MCM3AP PSTPIP1 MGLL DPEP2 ABCF3 APOE SIRPA APOM TINAGL1 ABCA7 NXPE3 CD36 PIK3CB CDH2 UNC93B1 FAM3B MTURN HNRNPCL1 ADAP2 CIB1 RNASE11 KIAA0825 BLOC1S6 IFIT3 PTK2 PTPRC CD53 C11orf53 ABCC1 TARP SOCS1 HLA-DMB PRDM1 IL4R AICDA CCDC144NL VCY1B CAPG HLA-DMA SMIM11B LOC403312 TTC7A FAM53A SERAC1 TBXAS1 APAF1 IL3RA ZBTB17 NOTCH3 OCIAD2 ABCG5 C11orf45 CD300A,Hematopoietic cell lineage,6.19552106215264e-07,0.10869565217391304,10.0,2,3,3,0.012121212121212121,0.01818181818181818,0.0,0.9696969696969697
C169,AFM TCN2 NPLOC4 TGM2 FBH1 AC005520.1 ABCB10 EXOC8 C11orf52 ABCB4 VPS9D1 PLG NR1H3 POLG SUSD3 C3orf33 FAAH2 GPIHBP1 SYCP2L PCSK7 HAVCR1 C19orf18 C12orf65 GPR107 SYMPK SMIM11A FILIP1 INKA1 C22orf46 ZNF385B CSAG1 ZNF839 NUP210 LURAP1L ZNF276 FAF2 ABCC2 EPB41L3 ZNF449 NCSTN PCDHA7 PON3 FABP2 SERTM1 APP LPIN2 TFE3 CFAP58 NAA80 CSNK1G2 APOBEC3H ABCA5 AFP C1orf115 RBM14-RBM4 GAS2 MCM3AP MGLL ABCF3 APOE APOM ABCA7 TINAGL1 NXPE3 CDH2 UNC93B1 FAM3B MTURN HNRNPCL1 RNASE11 KIAA0825 BLOC1S6 C11orf53 ABCC1 TARP AICDA CCDC144NL VCY1B SMIM11B LOC403312 FAM53A SERAC1 ZBTB17 NOTCH3 OCIAD2 ABCG5 C11orf45,cholesterol transport,2.5279098591481717e-06,0.07692307692307693,8.0,2,3,3,0.022988505747126436,0.034482758620689655,0.0,0.9425287356321839
C174,BCL2 PIK3CB CDH2 FABP2 HAVCR1 LPIN2 AFM PTK2 TCN2 TGM2 AFP TRAC PLG NR1H3 APAF1 SPNS1 GAS2 MGLL IL3RA ANPEP FAAH2 APOE SPAG9 TCN1 GPIHBP1 APOM PON3 TINAGL1,C174,,,,0,1,1,0.0,0.03571428571428571,0.0,0.9642857142857143
C182,MCM3AP SYMPK POLG STXBP2 EHBP1L1 ABCF3 CSNK1G2 VPS9D1 NUP210 SUN2 RGS14,C182,,,,1,0,0,0.09090909090909091,0.0,0.0,0.9090909090909091
C171,CDH2 FABP2 FAM3B MTURN SERTM1 HAVCR1 APP RNASE11 AFM LPIN2 KIAA0825 BLOC1S6 C19orf18 C12orf65 GPR107 C11orf53 TCN2 TGM2 TARP CFAP58 NAA80 SMIM11A FILIP1 APOBEC3H INKA1 C22orf46 ZNF385B SYCP2L EXOC8 AFP C1orf115 C11orf52 CSAG1 CCDC144NL ZNF839 VCY1B SMIM11B PLG LOC403312 LURAP1L FAM53A SERAC1 NR1H3 GAS2 SUSD3 MGLL C3orf33 APOE OCIAD2 FAAH2 ZNF449 GPIHBP1 C11orf45 PCDHA7 APOM PON3 TINAGL1 NXPE3,C171,,,,1,2,2,0.017241379310344827,0.034482758620689655,0.0,0.9482758620689655
C175,UNC93B1 PCSK7 HNRNPCL1 SYMPK ABCC1 AC005520.1 NPLOC4 FBH1 CSNK1G2 ABCA5 ABCB10 ABCB4 VPS9D1 RBM14-RBM4 ZNF276 FAF2 NR1H3 ABCC2 POLG MCM3AP EPB41L3 ABCF3 NOTCH3 ZBTB17 ABCG5 NCSTN ABCA7,ATPase-coupled transmembrane transporter activity,4.054216124649571e-09,0.06930693069306931,7.0,1,1,1,0.037037037037037035,0.037037037037037035,0.0,0.9259259259259259
C178,GAS2 TGM2 FABP2 MGLL CDH2 FAAH2 APOE AFM PLG HAVCR1 GPIHBP1 APOM LPIN2 PON3 TINAGL1 AFP,C178,,,,0,1,1,0.0,0.0625,0.0,0.9375
C172,FAM3B MTURN SERTM1 APP RNASE11 KIAA0825 C12orf65 GPR107 C19orf18 C11orf53 TARP CFAP58 NAA80 SMIM11A FILIP1 APOBEC3H INKA1 ZNF385B C22orf46 C1orf115 C11orf52 CSAG1 CCDC144NL ZNF839 VCY1B SMIM11B LOC403312 LURAP1L FAM53A SERAC1 SUSD3 C3orf33 OCIAD2 ZNF449 C11orf45 PCDHA7 SYCP2L NXPE3,C172,,,,1,1,1,0.02631578947368421,0.02631578947368421,0.0,0.9473684210526316
C184,MCM3AP SYMPK NPLOC4 POLG FBH1 PCSK7 ZBTB17 NOTCH3 ABCF3 NCSTN,C184,,,,1,0,0,0.1,0.0,0.0,0.9
C180,ABCB4 AC005520.1 ABCC1 UNC93B1 HNRNPCL1 ABCF3 ABCA5 ABCB10 ABCG5 NR1H3 ABCA7 ABCC2,cholesterol efflux,6.593512639806771e-07,0.07017543859649122,4.0,0,1,1,0.0,0.08333333333333333,0.0,0.9166666666666666
