,OR_p,log_OR,log_OR_CI_lower,log_OR_CI_upper,num_genes_in_term,MP_description,MPO_term_type
MP:0008947,1.5458593006831218e-05,2.2571704097850924,1.2335884527979304,3.2807523667722545,87,increased neuron number,brain
MP:0000968,3.905913132662433e-05,2.142874870986339,1.1217267398450907,3.1640230021275872,97,abnormal sensory neuron innervation pattern,brain
MP:0000778,9.422028987821777e-05,1.665826897362157,0.8297322009594574,2.5019215937648567,234,abnormal nervous system tract morphology,brain
MP:0002110,0.0023360077126032774,1.2936385778444404,0.4606420922675537,2.126635063421327,335,abnormal digit morphology,neg_ctrl
MP:0004793,0.0049743189196670015,2.9596242367665857,0.8943366865973306,5.02491178693584,11,abnormal synaptic vesicle clustering,brain
MP:0006006,0.005261869057524064,2.0317001533331194,0.6047197494575014,3.458680557208737,53,increased sensory neuron number,brain
MP:0012205,0.006345200923879371,2.864260613892478,0.8074450356403706,4.921076192144586,12,abnormal neuronal stem cell self-renewal,brain
MP:0012203,0.006345200923879371,2.864260613892478,0.8074450356403706,4.921076192144586,12,abnormal neuronal stem cell morphology,brain
MP:0004494,0.011674513026433648,2.622938210727135,0.584395411943424,4.661481009510846,15,abnormal synaptic glutamate release,brain
MP:0012204,0.013860045254712438,2.5538918847433116,0.519840731896235,4.587943037590389,16,abnormal neuronal stem cell physiology,brain
MP:0003241,0.01883753038508489,2.428621824222648,0.4019903763354593,4.455253272109837,18,loss of cortex neurons,brain
MP:0009937,0.026868663397309693,1.0230314849339646,0.117146319050356,1.9289166508175732,360,abnormal neuron differentiation,brain
MP:0014489,0.03112353037918583,2.217098861121915,0.20111435868183047,4.233083363562,22,abnormal cochlear sensory neuron innervation pattern,brain
MP:0004980,0.034654522324792034,2.170525370980979,0.15660415128764216,4.184446590674316,23,increased neuronal precursor cell number,brain
MP:0000965,0.038719487777231415,0.876072419835257,0.04542845077322599,1.7067163888972878,501,abnormal sensory neuron morphology,brain
MP:0002752,0.051246169110218814,0.6534957526528107,-0.0035371036944289447,1.3105286090000503,1055,abnormal somatic nervous system morphology,brain
MP:0002912,0.06998093053775135,1.3066690597064827,-0.10667317413155075,2.720011293544516,107,abnormal excitatory postsynaptic potential,brain
MP:0002915,0.0987664789388122,1.189246254970433,-0.222669403914036,2.6011619138549023,120,abnormal synaptic depression,brain
MP:0009939,0.11106803401537345,1.1474777285348186,-0.2639692311736983,2.5589246882433354,125,abnormal hippocampus neuron morphology,brain
MP:0000940,0.12243069839247979,1.571725339815476,-0.42259248415286965,3.5660431637838217,41,abnormal motor neuron innervation pattern,brain
MP:0014378,0.1360353027144605,2.160856933165343,-0.6801895350880254,5.001903401418712,11,increased excitatory postsynaptic current frequency,brain
MP:0003247,0.1360353027144605,2.160856933165343,-0.6801895350880254,5.001903401418712,11,abnormal glutaminergic neuron morphology,brain
MP:0003407,0.1360353027144605,2.160856933165343,-0.6801895350880254,5.001903401418712,11,abnormal central nervous system regeneration,brain
MP:0014373,0.1360353027144605,2.160856933165343,-0.6801895350880254,5.001903401418712,11,increased miniature excitatory postsynaptic current amplitude,brain
MP:0021105,0.1360353027144605,2.160856933165343,-0.6801895350880254,5.001903401418712,11,abnormal ventral interneuron 3 morphology,brain
MP:0005192,0.1360353027144605,2.160856933165343,-0.6801895350880254,5.001903401418712,11,increased motor neuron number,brain
MP:0011975,0.1360353027144605,2.160856933165343,-0.6801895350880254,5.001903401418712,11,neuronal cytoplasmic inclusions,brain
MP:0006277,0.1360353027144605,2.160856933165343,-0.6801895350880254,5.001903401418712,11,abnormal parasympathetic nervous system physiology,brain
MP:0011452,0.1360353027144605,2.160856933165343,-0.6801895350880254,5.001903401418712,11,decreased susceptibility to dopaminergic neuron neurotoxicity,brain
MP:0010160,0.1360353027144605,2.160856933165343,-0.6801895350880254,5.001903401418712,11,increased oligodendrocyte number,brain
MP:0014372,0.1360353027144605,2.160856933165343,-0.6801895350880254,5.001903401418712,11,decreased miniature excitatory postsynaptic current amplitude,brain
MP:0004562,0.1360353027144605,2.160856933165343,-0.6801895350880254,5.001903401418712,11,abnormal inner hair cell synaptic ribbon morphology,brain
MP:0010050,0.1360353027144605,2.160856933165343,-0.6801895350880254,5.001903401418712,11,hypermyelination,brain
MP:0020874,0.1360353027144605,2.160856933165343,-0.6801895350880254,5.001903401418712,11,abnormal nervous system dopamine level,brain
MP:0000954,0.1360353027144605,2.160856933165343,-0.6801895350880254,5.001903401418712,11,decreased oligodendrocyte progenitor number,brain
MP:0003246,0.15178889394003628,2.0737921102496184,-0.7621280376010051,4.909712258100242,12,loss of GABAergic neurons,brain
MP:0001025,0.15178889394003628,2.0737921102496184,-0.7621280376010051,4.909712258100242,12,abnormal sympathetic neuron morphology,brain
MP:0020393,0.15178889394003628,2.0737921102496184,-0.7621280376010051,4.909712258100242,12,increased neuronal precursor proliferation,brain
MP:0020387,0.15178889394003628,2.0737921102496184,-0.7621280376010051,4.909712258100242,12,abnormal radial glial cell number,brain
MP:0014379,0.15178889394003628,2.0737921102496184,-0.7621280376010051,4.909712258100242,12,decreased excitatory postsynaptic current frequency,brain
MP:0014375,0.15178889394003628,2.0737921102496184,-0.7621280376010051,4.909712258100242,12,increased miniature excitatory postsynaptic current frequency,brain
MP:0014382,0.15178889394003628,2.0737921102496184,-0.7621280376010051,4.909712258100242,12,increased miniature inhibitory postsynaptic current frequency,brain
MP:0001045,0.15178889394003628,2.0737921102496184,-0.7621280376010051,4.909712258100242,12,abnormal enteric ganglia morphology,brain
MP:0004191,0.15178889394003628,2.0737921102496184,-0.7621280376010051,4.909712258100242,12,neuronal intranuclear inclusions,brain
MP:0004101,0.15255804077493448,1.4536746310399042,-0.5379661295137463,3.445315391593555,46,abnormal brain interneuron morphology,brain
MP:0002910,0.1574443703241697,1.0171052156840634,-0.392997733776671,2.4272081651447976,142,abnormal excitatory postsynaptic currents,brain
MP:0011003,0.16758681560691513,1.993695953793365,-0.8378792897643947,4.825271197351125,13,reduced AMPA-mediated synaptic currents,brain
MP:0011451,0.16758681560691513,1.993695953793365,-0.8378792897643947,4.825271197351125,13,increased susceptibility to dopaminergic neuron neurotoxicity,brain
MP:0010170,0.18338039040622922,1.91953453,-0.9083111967516047,4.747380256751605,14,abnormal glial cell apoptosis,brain
MP:0009823,0.18338039040622922,1.91953453,-0.9083111967516047,4.747380256751605,14,abnormal sphingomyelin level,brain
MP:0010149,0.18338039040622922,1.91953453,-0.9083111967516047,4.747380256751605,14,abnormal synaptic dopamine release,brain
MP:0010387,0.18338039040622922,1.91953453,-0.9083111967516047,4.747380256751605,14,abnormal Bergmann glial cell morphology,brain
MP:0004792,0.18416632449285075,1.3480463705948083,-0.641450148381379,3.3375428895709955,51,abnormal synaptic vesicle number,brain
MP:0004981,0.18416632449285075,1.3480463705948083,-0.641450148381379,3.3375428895709955,51,decreased neuronal precursor cell number,brain
MP:0008946,0.18818793727389405,0.6068892898548413,-0.29700019984485404,1.5107787795545367,538,abnormal neuron number,brain
MP:0014325,0.19913060371285607,1.8504882040161768,-0.9741212918669104,4.675097699899264,15,abnormal oligodendrocyte progenitor morphology,brain
MP:0001038,0.19913060371285607,1.8504882040161768,-0.9741212918669104,4.675097699899264,15,abnormal cholinergic neuron morphology,brain
MP:0002948,0.19913060371285607,1.8504882040161768,-0.9741212918669104,4.675097699899264,15,abnormal neuron specification,brain
MP:0002917,0.19913060371285607,1.8504882040161768,-0.9741212918669104,4.675097699899264,15,decreased synaptic depression,brain
MP:0002916,0.19913060371285607,1.8504882040161768,-0.9741212918669104,4.675097699899264,15,increased synaptic depression,brain
MP:0014345,0.19913060371285607,1.8504882040161768,-0.9741212918669104,4.675097699899264,15,abnormal neuron mitochondrial morphology,brain
MP:0002206,0.20613504103860691,0.46825719912381203,-0.257672471832862,1.194186870080486,995,abnormal CNS synaptic transmission,brain
MP:0004297,0.21480614188802416,1.7858962255241977,-1.035878523953698,4.607670975002094,16,abnormal proprioceptive neuron morphology,brain
MP:0003240,0.21480614188802416,1.7858962255241977,-1.035878523953698,4.607670975002094,16,loss of hippocampal neurons,brain
MP:0011827,0.23038187341202698,1.725218143495514,-1.0940529923478812,4.54448927933891,17,impaired neuron differentiation,brain
MP:0020338,0.23038187341202698,1.725218143495514,-1.0940529923478812,4.54448927933891,17,abnormal hippocampal pyramidal neuron dendrite morphology,brain
MP:0004769,0.24352104779293982,1.1820498107740285,-0.8044991549839702,3.1685987765320274,60,abnormal synaptic vesicle morphology,brain
MP:0014385,0.24583766146595776,1.6680062665851665,-1.1490375671852666,4.4850501003556,18,decreased miniature inhibitory postsynaptic current amplitude,brain
MP:0003244,0.24583766146595776,1.6680062665851665,-1.1490375671852666,4.4850501003556,18,loss of dopaminergic neurons,brain
MP:0001081,0.2530386452103073,0.821333430977214,-0.5870516326300914,2.229718494584519,172,abnormal cranial ganglia morphology,brain
MP:0011731,0.26115742745284865,1.613885579386043,-1.201163911587821,4.428935070359907,19,decreased myelin sheath thickness,brain
MP:0014376,0.26115742745284865,1.613885579386043,-1.201163911587821,4.428935070359907,19,decreased miniature excitatory postsynaptic current frequency,brain
MP:0021101,0.26115742745284865,1.613885579386043,-1.201163911587821,4.428935070359907,19,abnormal ventral interneuron morphology,brain
MP:0000920,0.27373904849401764,0.7863244054141276,-0.621787169838848,2.1944359806671034,178,abnormal myelination,brain
MP:0003691,0.27729762815771697,1.1004362256578517,-0.8848320612620155,3.0857045125777187,65,abnormal microglial cell physiology,brain
MP:0014062,0.2840902860051624,1.0848784413729806,-0.9001572647250347,3.069914147470996,66,nervous system inclusion bodies,brain
MP:0014371,0.291340551286293,1.5136951803947802,-1.2979321466016303,4.32532250739119,21,abnormal miniature excitatory postsynaptic current amplitude,brain
MP:0013438,0.291340551286293,1.5136951803947802,-1.2979321466016303,4.32532250739119,21,dysmyelination,brain
MP:0004858,0.291340551286293,1.5136951803947802,-1.2979321466016303,4.32532250739119,21,abnormal nervous system regeneration,brain
MP:0014551,0.291340551286293,1.5136951803947802,-1.2979321466016303,4.32532250739119,21,impaired neuronal migration,brain
MP:0011269,0.291340551286293,1.5136951803947802,-1.2979321466016303,4.32532250739119,21,increased excitatory postsynaptic current amplitude,brain
MP:0020448,0.291340551286293,1.5136951803947802,-1.2979321466016303,4.32532250739119,21,increased microglial cell activation,brain
MP:0011723,0.2976988754887462,1.0544658877609105,-0.9301254092988283,3.039057184820649,68,ectopic neuron,brain
MP:0020394,0.3061860513794338,1.467121690253844,-1.3430265960409349,4.277269976548623,22,decreased neuronal precursor proliferation,brain
MP:0014377,0.3061860513794338,1.467121690253844,-1.3430265960409349,4.277269976548623,22,abnormal excitatory postsynaptic current frequency,brain
MP:0003635,0.3074670165474015,0.3778770070310422,-0.3478339284178702,1.1035879424799546,1083,abnormal synaptic transmission,brain
MP:0021009,0.3163568536366499,0.3709897415039265,-0.35470532515556985,1.0966848081634228,1090,abnormal synaptic physiology,brain
MP:0002888,0.320858943462226,1.4226164503172924,-1.3861807274974787,4.231413628132064,23,abnormal NMDA-mediated synaptic currents,brain
MP:0004770,0.320858943462226,1.4226164503172924,-1.3861807274974787,4.231413628132064,23,abnormal synaptic vesicle recycling,brain
