,OR_p,log_OR,log_OR_CI_lower,log_OR_CI_upper,num_genes_in_term,MP_description,MPO_term_type
MP:0000136,7.123453449601837e-13,2.4575452928201793,1.7864194137177432,3.1286711719226155,94,abnormal microglial cell morphology,brain
MP:0008235,1.3568323490189229e-11,3.1016207486608582,2.2026757724502897,4.000565724871427,32,increased susceptibility to neuronal excitotoxicity,brain
MP:0000952,4.153491840502351e-09,1.6153492596971581,1.0767226785382882,2.1539758408560283,312,abnormal CNS glial cell morphology,brain
MP:0003634,7.185363045641099e-09,1.497779545481043,0.9904647931836302,2.005094297778456,398,abnormal glial cell morphology,brain
MP:0014062,8.551159162430389e-08,2.3327509561992006,1.4789644097806218,3.1865375026177793,62,nervous system inclusion bodies,brain
MP:0003202,4.929066255943287e-07,1.5972272209645286,0.9747427373083961,2.219711704620661,229,abnormal neuron apoptosis,brain
MP:0003203,1.7346275587451195e-05,1.588097089001982,0.863655376031304,2.3125388019726603,166,increased neuron apoptosis,brain
MP:0003204,2.145260476189733e-05,1.9957409493467697,1.075197911511689,2.9162839871818504,70,decreased neuron apoptosis,brain
MP:0000811,4.687950545040386e-05,2.515812740546586,1.3044861725881338,3.7271393085050386,26,hippocampal neuron degeneration,brain
MP:0002882,7.805234292818116e-05,0.7696022981270865,0.38775999013910095,1.151444606115072,1550,abnormal neuron morphology,brain
MP:0006069,0.00013158361699325554,1.1130629458694763,0.5424922105298692,1.6836336812090833,431,abnormal retina neuronal layer morphology,brain
MP:0011451,0.00023039338962220837,2.843502528659882,1.3303405579722771,4.356664499347487,13,increased susceptibility to dopaminergic neuron neurotoxicity,brain
MP:0003691,0.00027610591093425035,1.8992230350826604,0.8756677415344216,2.9227783286308995,61,abnormal microglial cell physiology,brain
MP:0003224,0.00034843112928126957,1.0803564379331867,0.48828284553007295,1.6724300303363004,409,neuron degeneration,brain
MP:0002752,0.0007931113378732736,0.7661617526669087,0.31860127349992495,1.2137222318338923,1039,abnormal somatic nervous system morphology,brain
MP:0001081,0.0009454878867795656,1.2955938134889369,0.5275617314102258,2.063625895567648,191,abnormal cranial ganglia morphology,brain
MP:0003244,0.0010510952045328583,2.4685403703628985,0.9918796604675442,3.945201080258253,18,loss of dopaminergic neurons,brain
MP:0009939,0.0016305226387474414,1.4581159576259815,0.5509729867379554,2.3652589285140078,116,abnormal hippocampus neuron morphology,brain
MP:0021010,0.0024073417374802153,1.8214281025344583,0.645076821820689,2.9977793832482273,49,impaired synaptic physiology,brain
MP:0001900,0.0024073417374802153,1.8214281025344583,0.645076821820689,2.9977793832482273,49,impaired synaptic plasticity,brain
MP:0000778,0.002420865661686577,1.186379928850787,0.4197412612778726,1.9530185964237015,212,abnormal nervous system tract morphology,brain
MP:0000921,0.0030069221215159796,1.5342074555244842,0.5207387769808136,2.547676134068155,86,demyelination,brain
MP:0000920,0.0035908085946351493,1.2280875387963874,0.40151566042767484,2.0546594171651,174,abnormal myelination,brain
MP:0009435,0.004093195027414545,1.7179746510600182,0.5451084443118797,2.890840857808157,54,abnormal miniature inhibitory postsynaptic currents,brain
MP:0003635,0.006076029765185842,0.6680647750180757,0.19082353095750476,1.1453060190786466,975,abnormal synaptic transmission,brain
MP:0021009,0.006504767381953776,0.6625651934638874,0.18534578907067506,1.1397845978570997,980,abnormal synaptic physiology,brain
MP:0010762,0.010774531640664279,1.8731342814871201,0.4333773862117958,3.3128911767624443,31,abnormal microglial cell activation,brain
MP:0008236,0.010774531640664279,1.8731342814871201,0.4333773862117958,3.3128911767624443,31,decreased susceptibility to neuronal excitotoxicity,brain
MP:0002206,0.01223186233511317,0.6412992136386197,0.13961024266505928,1.14298818461218,890,abnormal CNS synaptic transmission,brain
MP:0004811,0.0141432864335665,0.711007915948267,0.14304738177929244,1.2789684501172416,631,abnormal neuron physiology,brain
MP:0003690,0.014479097891733189,1.2573920424211007,0.2495026349146625,2.2652814499275387,112,abnormal glial cell physiology,brain
MP:0004859,0.0172564557109829,1.4147240037756994,0.25026450086976015,2.5791835066816384,72,abnormal synaptic plasticity,brain
MP:0002913,0.019074889225546898,1.7138006178141492,0.2808247077686645,3.146776527859634,36,abnormal PNS synaptic transmission,brain
MP:0004101,0.027948069460691866,1.6023597553692213,0.17353963306792397,3.0311798776705183,40,abnormal brain interneuron morphology,brain
MP:0011452,0.033052731025766405,2.240655959055383,0.18026463265312564,4.30104728545764,11,decreased susceptibility to dopaminergic neuron neurotoxicity,brain
MP:0004191,0.033052731025766405,2.240655959055383,0.18026463265312564,4.30104728545764,11,neuronal intranuclear inclusions,brain
MP:0003243,0.05192753206331367,1.410873924918823,-0.01178063037204291,2.8335284802096887,48,abnormal dopaminergic neuron morphology,brain
MP:0002916,0.06649935693202386,1.9039687726778478,-0.12961341055946107,3.9375509559151567,15,increased synaptic depression,brain
MP:0000965,0.08838392914488692,0.5866298630544389,-0.0881258106433781,1.2613855367522557,487,abnormal sensory neuron morphology,brain
MP:0003241,0.09741998406788491,1.7096515155932366,-0.3119900894968306,3.7312931206833038,18,loss of cortex neurons,brain
MP:0020448,0.09741998406788491,1.7096515155932366,-0.3119900894968306,3.7312931206833038,18,increased microglial cell activation,brain
MP:0004858,0.12016421765186222,1.5983183709414366,-0.4174317819551856,3.6140685238380588,20,abnormal nervous system regeneration,brain
MP:0004980,0.14425425710770354,1.4981273912833348,-0.512840850241806,3.5090956328084757,22,increased neuronal precursor cell number,brain
MP:0003424,0.14425425710770354,1.4981273912833348,-0.512840850241806,3.5090956328084757,22,premature neuronal precursor differentiation,brain
MP:0002888,0.15671857431776123,1.4515536107622768,-0.5573461959963484,3.460453417520902,23,abnormal NMDA-mediated synaptic currents,brain
MP:0009967,0.1567408723106444,0.833731171179382,-0.3201858945846727,1.9876482369434367,126,abnormal neuron proliferation,brain
MP:0002272,0.1907554815509792,0.5472306143357439,-0.2725457226691692,1.367006951340657,335,abnormal nervous system electrophysiology,brain
MP:0004183,0.2086844465674359,1.2842844376431533,-0.7179181319356029,3.2864870072219095,27,abnormal sympathetic nervous system physiology,brain
MP:0002945,0.22085561207906668,0.8810822634597475,-0.5294799784422357,2.291644505361731,80,abnormal inhibitory postsynaptic currents,brain
MP:0006092,0.22207543734233393,1.2464903303169397,-0.7543452394328254,3.2473259000667047,28,abnormal olfactory sensory neuron morphology,brain
MP:0021105,0.3175263788854331,1.4471070715534875,-1.3904361268450343,4.284650269952009,11,abnormal ventral interneuron 3 morphology,brain
MP:0005192,0.3175263788854331,1.4471070715534875,-1.3904361268450343,4.284650269952009,11,increased motor neuron number,brain
MP:0012203,0.3175263788854331,1.4471070715534875,-1.3904361268450343,4.284650269952009,11,abnormal neuronal stem cell morphology,brain
MP:0004948,0.3415398455283074,0.6829969900353898,-0.7244378983196045,2.090431878390384,97,abnormal neuronal precursor proliferation,brain
MP:0000937,0.3434267727281678,0.5562086296138098,-0.5944461273250814,1.706863386552701,165,abnormal motor neuron morphology,brain
MP:0006277,0.3466442626827272,1.3600419585687895,-1.4723685789605625,4.1924524960981415,12,abnormal parasympathetic nervous system physiology,brain
MP:0020393,0.3466442626827272,1.3600419585687895,-1.4723685789605625,4.1924524960981415,12,increased neuronal precursor proliferation,brain
MP:0001045,0.3466442626827272,1.3600419585687895,-1.4723685789605625,4.1924524960981415,12,abnormal enteric ganglia morphology,brain
MP:0003246,0.3466442626827272,1.3600419585687895,-1.4723685789605625,4.1924524960981415,12,loss of GABAergic neurons,brain
