,abnormal microglial cell morphology:-log(OR_p),abnormal microglial cell morphology:log_OR,abnormal microglial cell morphology:num_genes,abnormal microglial cell morphology:gene_ids,increased susceptibility to neuronal excitotoxicity:-log(OR_p),increased susceptibility to neuronal excitotoxicity:log_OR,increased susceptibility to neuronal excitotoxicity:num_genes,increased susceptibility to neuronal excitotoxicity:gene_ids,abnormal CNS glial cell morphology:-log(OR_p),abnormal CNS glial cell morphology:log_OR,abnormal CNS glial cell morphology:num_genes,abnormal CNS glial cell morphology:gene_ids,abnormal glial cell morphology:-log(OR_p),abnormal glial cell morphology:log_OR,abnormal glial cell morphology:num_genes,abnormal glial cell morphology:gene_ids,nervous system inclusion bodies:-log(OR_p),nervous system inclusion bodies:log_OR,nervous system inclusion bodies:num_genes,nervous system inclusion bodies:gene_ids,abnormal neuron apoptosis:-log(OR_p),abnormal neuron apoptosis:log_OR,abnormal neuron apoptosis:num_genes,abnormal neuron apoptosis:gene_ids,increased neuron apoptosis:-log(OR_p),increased neuron apoptosis:log_OR,increased neuron apoptosis:num_genes,increased neuron apoptosis:gene_ids,decreased neuron apoptosis:-log(OR_p),decreased neuron apoptosis:log_OR,decreased neuron apoptosis:num_genes,decreased neuron apoptosis:gene_ids,hippocampal neuron degeneration:-log(OR_p),hippocampal neuron degeneration:log_OR,hippocampal neuron degeneration:num_genes,hippocampal neuron degeneration:gene_ids,abnormal neuron morphology:-log(OR_p),abnormal neuron morphology:log_OR,abnormal neuron morphology:num_genes,abnormal neuron morphology:gene_ids,gprofiler_name,num_d1_seeds,num_d2_seeds,frac_d1_seeds,frac_d2_seeds,frac_both_seeds,frac_no_seeds
C210,12.147309409383935,2.4575452928201793,10,ATP1A3 CLCN7 CTSD GNS GRN IDUA PRNP PSEN1 SCARB2 TNFRSF1A,10.86747381069988,3.1016207486608582,6,GRN HYOU1 PSEN1 TMEM175 TNFRSF1A UCP2,8.38158663836554,1.6153492596971581,15,ATP1A3 ATP2B1 CLCN7 CLN3 CTSD GNS GRN HEXA HFE IDUA LRPAP1 PRNP PSEN1 SCARB2 TNFRSF1A,8.143551283934018,1.497779545481043,17,ATP1A3 ATP2B1 CLCN7 CLN3 CTSB CTSD GNS GRN HEXA HFE IDUA LRPAP1 MAN2B1 PRNP PSEN1 SCARB2 TNFRSF1A,7.067975009982365,2.3327509561992006,6,GRN LRPAP1 PRNP PSEN1 TMEM175 TNFRSF1A,6.307235344069425,1.5972272209645286,11,ATP7A CASP3 CTSB GRN HYOU1 PERP PRNP PSEN1 TMEM175 TNFRSF1A UCP2,4.760793758074917,1.588097089001982,8,ATP7A GRN HYOU1 PRNP PSEN1 TMEM175 TNFRSF1A UCP2,4.668519968512401,1.9957409493467697,5,CASP3 PERP TMEM175 TNFRSF1A UCP2,4.3290169785021995,2.515812740546586,3,CLCN7 CTSD PRNP,4.1076140560159295,0.7696022981270865,32,ABCB5 APLP2 ATP1A3 ATP2B1 ATP7A C3AR1 CASP3 CLCN7 CLN3 CLSTN1 CTSB CTSD CUL3 CXCR4 EFNB1 GM2A GPM6B GRN HEXA HFE HYOU1 IDUA MAN2B1 MANBA MMP3 MYCBP2 PLD2 PRNP PSEN1 SCARB2 SORT1 TMEM175,AD-otherLyso systems map,3,2,0.01507537688442211,0.010050251256281407,0.0,0.9748743718592965
C261,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,C261,1,0,0.25,0.0,0.0,0.75
C211,9.123090347773855,2.948195154434826,5,CLCN7 CTSD GNS GRN IDUA,7.870492645601091,3.5262003751429774,3,GRN HYOU1 TMEM175,8.220383085309402,2.234314921545775,8,CLCN7 CLN3 CTSD GNS GRN HEXA IDUA LRPAP1,8.195435943114141,2.1203482143023846,9,CLCN7 CLN3 CTSD GNS GRN HEXA IDUA LRPAP1 MAN2B1,5.458091106545649,2.8143558542765605,3,GRN LRPAP1 TMEM175,1.8489484351699397,1.46238818370791,3,GRN HYOU1 TMEM175,2.5684699152199526,1.7925663763968274,3,GRN HYOU1 TMEM175,0.8747395706765051,1.5241534550631979,1,TMEM175,4.974268773435139,3.292852425503078,2,CLCN7 CTSD,1.6876904480688113,0.8048511701399477,10,ABCB5 CLCN7 CLN3 CTSD GRN HEXA HYOU1 IDUA MAN2B1 TMEM175,lysosomal lumen,0,2,0.0,0.03333333333333333,0.0,0.9666666666666667
C216,2.064317006621447,2.739424897862996,1,PRNP,-0.0,0.0,0,,0.8432338353416586,1.5205134346257836,1,PRNP,0.6556929600365063,1.2717093162978355,1,PRNP,2.60415014576002,3.162859107535164,1,PRNP,1.1103769570054836,1.8354383775314886,1,PRNP,1.4232129093394994,2.162223903507128,1,PRNP,-0.0,0.0,0,,3.9072813173828314,4.0567758171512,1,PRNP,0.054626184744524395,-0.1543410606308253,1,PRNP,C216,1,0,0.07142857142857142,0.0,0.0,0.9285714285714286
C217,5.870134372875287,3.811321506953581,2,ATP1A3 PSEN1,3.9394903387487226,4.103868953339301,1,PSEN1,3.0110497469280033,2.5848222612959226,2,ATP1A3 PSEN1,2.5417462300521394,2.335320607836465,2,ATP1A3 PSEN1,2.9253114015783135,3.425383401875239,1,PSEN1,1.3381810254624005,2.097964110284268,1,PSEN1,1.6749343401919046,2.424749090598006,1,PSEN1,-0.0,0.0,0,,-0.0,0.0,0,,0.6090454541861287,0.9074084494607426,2,ATP1A3 PSEN1,membrane protein proteolysis,2,0,0.18181818181818182,0.0,0.0,0.8181818181818181
C218,6.0786740436832085,3.929157968548271,2,PSEN1 SCARB2,4.0825164031477,4.209282721386842,1,PSEN1,3.1868391716190234,2.7026593524673324,2,PSEN1 SCARB2,2.7083524974630713,2.45315795147342,2,PSEN1 SCARB2,3.0535962991859438,3.53079725513342,1,PSEN1,1.4322030717297103,2.203378442910598,1,PSEN1,1.7778749856053775,2.5301632413761226,1,PSEN1,-0.0,0.0,0,,-0.0,0.0,0,,1.630004735025067,1.5649500508562788,3,APLP2 PSEN1 SCARB2,C218,1,0,0.1,0.0,0.0,0.9
C228,-0.0,0.0,0,,4.809757356149397,4.797282367494173,1,TMEM175,1.6203350632055558,2.476457335468382,1,CLN3,1.3745232772203133,2.2276552369743152,1,CLN3,3.7255101029102304,4.11879724199251,1,TMEM175,1.9595647994575875,2.7913803467287437,1,TMEM175,2.344682486028752,3.1181644179967662,1,TMEM175,3.5393952251435,3.9951379121386523,1,TMEM175,-0.0,0.0,0,,1.3251044086978625,1.7186282940858497,2,CLN3 TMEM175,C228,0,1,0.0,0.16666666666666666,0.0,0.8333333333333334
C221,-0.0,0.0,0,,4.411792846545135,4.460703645940478,1,TMEM175,1.3407645790567686,2.139877002425055,1,CLN3,1.1121768936108785,1.8910743991366612,1,CLN3,3.353121005380285,3.782218350081094,1,TMEM175,1.6592246947747704,2.45480049644049,1,TMEM175,2.024153257634086,2.7815849312682,1,TMEM175,3.1725355933099295,3.658558974706412,1,TMEM175,-0.0,0.0,0,,0.9666219003780916,1.3130473446801343,2,CLN3 TMEM175,C221,0,1,0.0,0.125,0.0,0.875
C246,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,C246,1,0,0.25,0.0,0.0,0.75
C239,-0.0,0.0,0,,5.254665203711798,5.308214464854814,1,TMEM175,2.0102631705499814,2.987391043972913,1,CLN3,1.7491693742355503,2.7385894501638015,1,CLN3,4.170753345029903,4.629729509674567,1,TMEM175,2.366348235906827,3.3023135725823174,1,TMEM175,2.7658898149479287,3.6290972803687573,1,TMEM175,3.9833099328193056,4.506070225331822,1,TMEM175,-0.0,0.0,0,,1.798412314363572,2.411891302525696,2,CLN3 TMEM175,C239,0,1,0.0,0.25,0.0,0.75
