,d1_seeds,d2_seeds,d1_name,d2_name,z_d1,z_d2,z_both,sum_seeds
CLN3,0,1,AD,otherLyso,3.06991580392338,13.146650442400066,40.359109961780256,1
PSEN2,1,0,AD,otherLyso,11.695651502842583,3.24333868445707,37.93295895909782,1
CD2AP,1,0,AD,otherLyso,14.821901118927236,2.242172697429885,33.23326201286411,1
CTSD,0,1,AD,otherLyso,2.721777584934866,9.716561452795517,26.446319164861,1
AC138894.1,0,0,AD,otherLyso,4.276622624662538,6.00179916058183,25.667430078824882,0
PSEN1,1,0,AD,otherLyso,13.371717835766804,1.6813474913163429,22.482504237756512,1
TAFA4,0,0,AD,otherLyso,4.373882910851094,4.728550845481017,20.682127736139915,0
SLC38A7,0,0,AD,otherLyso,4.20951491165143,4.153302876993508,17.48339039330896,0
ARHGAP26,0,0,AD,otherLyso,4.818823072459091,3.578587842737211,17.24458166340368,0
SPPL2C,0,0,AD,otherLyso,7.0887156011427,2.3812009666316585,16.879656441617914,0
KCNIP3,0,0,AD,otherLyso,3.9366253391848836,4.057300341487967,15.972071332985013,0
AL691442.1,0,0,AD,otherLyso,3.170675404186827,4.979031046534627,15.786891275929937,0
TSPAN14,0,0,AD,otherLyso,2.283262912730664,6.5477921049439995,14.950330873489282,0
HM13,0,0,AD,otherLyso,3.8549205721119897,3.8403117400725035,14.804096730128686,0
SPIC,0,0,AD,otherLyso,4.913618326997527,2.912910329246424,14.31292957868563,0
HEXA,0,0,AD,otherLyso,2.897333324123519,4.906159664997896,14.214779890869082,0
PARVG,0,0,AD,otherLyso,2.53861483168627,5.263835625764854,13.362851191125237,0
ZNF385B,0,0,AD,otherLyso,8.453844016683794,1.5772544017225218,13.333862686790118,0
SIAE,0,0,AD,otherLyso,2.2277127675470467,5.840450102544682,13.010845261660245,0
OCA2,0,0,AD,otherLyso,3.9628032407886655,3.1210107473136404,12.36795150399075,0
CYB5R1,0,0,AD,otherLyso,2.3772674890645984,4.880002183514791,11.601070537433966,0
SUMF2,0,0,AD,otherLyso,3.560258639978268,3.2090151956463764,11.424924076121563,0
SLC8B1,0,0,AD,otherLyso,4.75418079503316,2.392222299065917,11.373057311669257,0
LAMP1,0,0,AD,otherLyso,2.3732936227687245,4.755566930242016,11.286356668193216,0
ANTXR2,0,0,AD,otherLyso,1.8260746109655082,6.162643919263679,11.253447597388377,0
CUL3,0,0,AD,otherLyso,3.741816414530608,2.9643249043603963,11.091959585137605,0
TGOLN2,0,0,AD,otherLyso,2.4101370774981135,4.491560642790481,10.825276841020598,0
WDR13,0,0,AD,otherLyso,4.986924852452331,2.1287841220784083,10.616086443898732,0
SPPL3,0,0,AD,otherLyso,3.8193337969753967,2.720235698761935,10.389488140020443,0
RELCH,0,0,AD,otherLyso,1.7966403614705249,5.701539425342881,10.243615854086483,0
MPO,0,0,AD,otherLyso,2.9669098918679078,3.357203444606014,9.960520108814597,0
ARHGAP36,0,0,AD,otherLyso,2.3672131588711585,4.179954271400903,9.894842754739923,0
BNIP3L,0,0,AD,otherLyso,2.170914702607045,4.508960117703938,9.788567812992273,0
HAVCR2,0,0,AD,otherLyso,3.1971632386490256,3.0570610462331103,9.77392319532243,0
MMP3,0,0,AD,otherLyso,2.0972143532418612,4.611730090636866,9.671786539361024,0
GM2A,0,0,AD,otherLyso,3.478583596818415,2.7674694174135532,9.626873720111401,0
G6PC3,0,0,AD,otherLyso,2.2119092038070156,4.333178043275362,9.584596395655248,0
TMEM175,0,0,AD,otherLyso,5.306204427004831,1.7773749927177716,9.431115054806718,0
GINM1,0,0,AD,otherLyso,2.0111110600296196,4.687919672328459,9.427927101550193,0
DOLK,0,0,AD,otherLyso,3.5586751196967925,2.623086416854976,9.334712368476414,0
KLF3,0,0,AD,otherLyso,2.277522415718029,4.033723708544234,9.186896165022752,0
ABCB5,0,0,AD,otherLyso,4.428636448279285,2.069981915130736,9.167197356626934,0
VWA5A,0,0,AD,otherLyso,2.187174404595738,4.169569966035937,9.11957670788492,0
HPS1,0,0,AD,otherLyso,3.452995147903129,2.5352306419843393,8.754139105587258,0
M6PR,0,0,AD,otherLyso,2.145715725751898,4.040233490734396,8.66919253677828,0
PARVB,0,0,AD,otherLyso,2.3268459802557353,3.476522493471779,8.089332389203456,0
IDUA,0,0,AD,otherLyso,2.2074266293382747,3.6312341409949123,8.015682940194464,0
SLC2A8,0,0,AD,otherLyso,2.0551262120723828,3.8754562179863337,7.964551657322616,0
ITPR3,0,0,AD,otherLyso,4.016413055099239,1.977518579499969,7.942531439404978,0
CAPG,0,0,AD,otherLyso,2.3369528343821266,3.356329824255832,7.843584495915932,0
CYBB,0,0,AD,otherLyso,2.1462722924182835,3.6362925632838046,7.804473975702687,0
GIMAP8,0,0,AD,otherLyso,2.3338065144261972,3.332144135155577,7.776579689633133,0
ATP7A,0,0,AD,otherLyso,2.438828591802939,3.1761189822163294,7.746009784797235,0
PDCD4,0,0,AD,otherLyso,2.8583289808646977,2.6792731985136653,7.658244230965663,0
ZNF224,0,0,AD,otherLyso,1.9528914551611618,3.8647242627078717,7.547386989196224,0
SKAP2,0,0,AD,otherLyso,2.332234220017287,3.2268599425312834,7.525793181174476,0
NAAA,0,0,AD,otherLyso,1.5025259847523413,4.992422194093615,7.501244073479954,0
PRAMEF8,0,0,AD,otherLyso,2.5163367105881242,2.9643249043603817,7.459239578952658,0
P2RY12,0,0,AD,otherLyso,2.156095041546685,3.43962486645789,7.416158119350535,0
NAGPA,0,0,AD,otherLyso,1.6968261946908714,4.370247759939316,7.415550876354134,0
CIDEB,0,0,AD,otherLyso,2.404432447746682,3.073870846444256,7.390914803373127,0
SLC38A10,0,0,AD,otherLyso,2.1624285169806203,3.3886556825773466,7.327725682233683,0
TRAM2,0,0,AD,otherLyso,1.5622232600734973,4.650821913282016,7.265622171388691,0
SYT11,0,0,AD,otherLyso,2.4140713279493595,2.9752156257410993,7.1823827365685,0
ATP2B1,0,0,AD,otherLyso,3.683144802314668,1.9460411778652755,7.167551449344804,0
C1RL,0,0,AD,otherLyso,2.0191765329038147,3.549202450006648,7.166466297578149,0
CAVIN2,0,0,AD,otherLyso,1.808044077933666,3.945297533763372,7.133271841607162,0
CTSB,0,0,AD,otherLyso,2.3123180898419284,3.0811435972569776,7.124584077337943,0
CTSA,0,0,AD,otherLyso,1.9884238609086133,3.521051844201719,7.001343502506976,0
SPNS1,0,0,AD,otherLyso,2.7287592916994816,2.538333468591943,6.926501037852039,0
MCOLN1,0,0,AD,otherLyso,1.5872620006836449,4.359116992156285,6.919060758184058,0
PROS1,0,0,AD,otherLyso,1.892808624915589,3.650578452896549,6.909846381573596,0
AC005520.1,0,0,AD,otherLyso,4.181529654314485,1.6495242245834205,6.897534460605678,0
CDPF1,0,0,AD,otherLyso,3.3470468372201148,2.0590519603561255,6.891743351581847,0
SRI,0,0,AD,otherLyso,2.4303334650632014,2.800096982868692,6.805169402888284,0
WDTC1,0,0,AD,otherLyso,2.0604132405726316,3.2695330636627666,6.736589214860765,0
TNFRSF10C,0,0,AD,otherLyso,1.9037674695736715,3.5357487620541894,6.731243473784145,0
MANBA,0,0,AD,otherLyso,3.6240879566830038,1.8351459045813674,6.65073017154947,0
TFEB,0,0,AD,otherLyso,3.82801200706869,1.7279372362339485,6.614564487764642,0
HLA-DQA1,0,0,AD,otherLyso,1.9120680596047568,3.4508671044200425,6.598292768302317,0
MAN2B1,0,0,AD,otherLyso,2.4487709737901104,2.6823667507824602,6.56850184037578,0
PLD3,0,0,AD,otherLyso,3.17876666067661,2.047112928906414,6.507294329047755,0
ERLIN2,0,0,AD,otherLyso,1.5753081774106892,4.123203730865916,6.495316554363341,0
HLA-DMA,0,0,AD,otherLyso,2.6167694056972994,2.469823638487868,6.46295893466304,0
CASP3,0,0,AD,otherLyso,2.6566262511773653,2.4116338496180836,6.406809793123327,0
SCARB2,0,0,AD,otherLyso,2.905822278441698,2.1492159504114747,6.245239589887911,0
LGALS3,0,0,AD,otherLyso,2.524121479707486,2.471589114980072,6.238591174132415,0
SCGB1D1,0,0,AD,otherLyso,2.2435239565329734,2.775543889957577,6.226999209528542,0
SMIM1,0,0,AD,otherLyso,3.9218921967183022,1.5769614974146218,6.184672991235614,0
CLCN7,0,0,AD,otherLyso,2.154561663252618,2.8636905884738715,6.169997957343132,0
PCYT1A,0,0,AD,otherLyso,1.883455029878158,3.257003964565184,6.134420499393397,0
C3AR1,0,0,AD,otherLyso,2.484963186582936,2.4598422902384085,6.112617536042302,0
USF2,0,0,AD,otherLyso,1.741954806564559,3.4949564560022903,6.088056197267026,0
MMRN1,0,0,AD,otherLyso,1.6883388405982405,3.5785104311170226,6.041738152340824,0
CSK,0,0,AD,otherLyso,2.0914035951449246,2.8851665421865285,6.034047678920756,0
TMEM183A,0,0,AD,otherLyso,2.655084325286542,2.2684768208946617,6.022997249433263,0
FLNA,0,0,AD,otherLyso,2.38023528329779,2.5240566747067525,6.007848754180305,0
GRN,0,0,AD,otherLyso,2.8080431704702202,2.087838824593505,5.8627415524423645,0
ECSIT,0,0,AD,otherLyso,2.4357801103392536,2.4064120838869862,5.861490691211957,0
CD84,0,0,AD,otherLyso,2.0288016519957526,2.878482052232638,5.8398691428097,0
TNFRSF25,0,0,AD,otherLyso,1.7178500572590893,3.388961191593108,5.821727177027053,0
HLA-DRB4,0,0,AD,otherLyso,2.1479082695736236,2.687270923172172,5.7720114384662535,0
CHI3L1,0,0,AD,otherLyso,3.456719166192957,1.6652664488092233,5.756358450416925,0
GPM6B,0,0,AD,otherLyso,1.6172308343666264,3.5407603545766086,5.7262268225242,0
NPL,0,0,AD,otherLyso,1.9811766725508002,2.857703598063207,5.661615705547313,0
HLA-DPA1,0,0,AD,otherLyso,2.407445993403045,2.338746101617107,5.630404931925096,0
CD164,0,0,AD,otherLyso,1.6318924188451194,3.420599478941707,5.582050357590537,0
VPS18,0,0,AD,otherLyso,2.6960535434743678,2.047430099495358,5.519981174760537,0
PEX19,0,0,AD,otherLyso,1.9885570692390082,2.7747792830543356,5.517806958895646,0
FKBP15,0,0,AD,otherLyso,2.3997211326143733,2.295984728294672,5.509723072648594,0
TNFAIP8L1,0,0,AD,otherLyso,2.3831447417888243,2.3055297558687364,5.494411114736251,0
HLA-DRB3,0,0,AD,otherLyso,2.33597914053785,2.3307824940702786,5.444659287278956,0
VPS9D1,0,0,AD,otherLyso,3.4373436689896812,1.5813383718878236,5.435603441139061,0
DAB2,0,0,AD,otherLyso,2.3114904718125597,2.3489050900550965,5.429471734854378,0
HFE,0,0,AD,otherLyso,2.1952419223448567,2.469489165075491,5.421126141950116,0
RTL8A,0,0,AD,otherLyso,3.4912280411638505,1.549973709437706,5.41131167745567,0
CFLAR,0,0,AD,otherLyso,2.1434311433468967,2.5217732258657444,5.4052472687790045,0
ZDHHC7,0,0,AD,otherLyso,2.1642577538144154,2.486269647745008,5.380928363205569,0
CTSH,0,0,AD,otherLyso,1.71677048718658,3.130776091303603,5.3748239955393835,0
CTSK,0,0,AD,otherLyso,2.021242491629962,2.627027037474454,5.309858674804143,0
ICAM2,0,0,AD,otherLyso,2.5370567761006377,2.081164147656859,5.280031602990542,0
CLSTN1,0,0,AD,otherLyso,2.1336521603799548,2.4644667296055336,5.258314761807369,0
ADGRL2,0,0,AD,otherLyso,1.8421939451136342,2.8527811813037327,5.255376218931858,0
GNS,0,0,AD,otherLyso,1.553435737413558,3.37052204578197,5.235889399657968,0
APLP2,0,0,AD,otherLyso,2.0523175396790023,2.5231029942998218,5.178208529618134,0
LGALS8,0,0,AD,otherLyso,1.9327937987432224,2.6747700306928888,5.1697789283874345,0
SORT1,0,0,AD,otherLyso,3.215827648670081,1.593875075249325,5.125627535512885,0
LAMP2,0,0,AD,otherLyso,1.7335715259816453,2.9512019945679193,5.116119745203183,0
PCSK9,0,0,AD,otherLyso,1.9795320999132426,2.5536379646649023,5.055008322611293,0
NCSTN,0,0,AD,otherLyso,3.330367393438598,1.504059987113861,5.0090723388596805,0
PIK3CB,0,0,AD,otherLyso,2.747054669091333,1.8126329558682224,4.979401824766624,0
TCN2,0,0,AD,otherLyso,2.54342557538657,1.9436696795438326,4.943579173055203,0
ERGIC3,0,0,AD,otherLyso,2.022868796912933,2.4407147698001177,4.93724574999319,0
SERAC1,0,0,AD,otherLyso,3.018966071103063,1.6336818603397278,4.932030107342171,0
HOMER2,0,0,AD,otherLyso,1.84666939439079,2.640266505011914,4.875699347840639,0
CTSS,0,0,AD,otherLyso,2.3612610970582777,2.047023877936152,4.833557847720008,0
FAM177A1,0,0,AD,otherLyso,2.4293555399673012,1.9701440541379527,4.786180372453674,0
SOAT1,0,0,AD,otherLyso,2.3451328688911475,2.015174702486882,4.725852431359926,0
VAMP3,0,0,AD,otherLyso,1.5555224230255336,3.0375967877071424,4.725049915388792,0
NECAB1,0,0,AD,otherLyso,2.519617452568274,1.8724620261778486,4.71788800042906,0
CD8A,0,0,AD,otherLyso,2.273293977762408,2.0670338663797807,4.698975640272102,0
ACP5,0,0,AD,otherLyso,3.0652051786337564,1.5324105523971558,4.697152761000777,0
SYMPK,0,0,AD,otherLyso,1.6664007319557048,2.799610603211047,4.665273158381841,0
SPPL2B,0,0,AD,otherLyso,2.870759834513657,1.6247094069402146,4.664150508200472,0
GALE,0,0,AD,otherLyso,1.577129584084121,2.947407063362093,4.648442875966858,0
DHRS3,0,0,AD,otherLyso,2.3296301011683305,1.971386194741472,4.592600620297425,0
ATP1B1,0,0,AD,otherLyso,2.2741684631796617,2.0153853696399047,4.583325848788756,0
CCDC149,0,0,AD,otherLyso,2.568592760254043,1.7839330803259008,4.582197594902803,0
SLC16A4,0,0,AD,otherLyso,2.347428018866748,1.9518060552809215,4.581724221560216,0
SNX1,0,0,AD,otherLyso,1.7428857767042225,2.623610053009095,4.572652645007763,0
UCP2,0,0,AD,otherLyso,2.7251300313254854,1.6665238809838492,4.541494275990186,0
DNASE2,0,0,AD,otherLyso,1.684280064062672,2.6749825944828864,4.5054198556021685,0
CYBA,0,0,AD,otherLyso,1.6616238077126237,2.6604431047426753,4.4206556019053185,0
EFNB1,0,0,AD,otherLyso,2.050051412646613,2.1511801637624033,4.410029933578487,0
MYO9B,0,0,AD,otherLyso,2.707079722794932,1.6258782007582453,4.401381909006954,0
DIPK1A,0,0,AD,otherLyso,2.8490455941035764,1.543102969201996,4.396370715653093,0
SREBF1,0,0,AD,otherLyso,1.8705057060776222,2.3479918796794785,4.391932208764387,0
