,abnormal microglial cell morphology:-log(OR_p),abnormal microglial cell morphology:log_OR,abnormal microglial cell morphology:num_genes,abnormal microglial cell morphology:gene_ids,nervous system inclusion bodies:-log(OR_p),nervous system inclusion bodies:log_OR,nervous system inclusion bodies:num_genes,nervous system inclusion bodies:gene_ids,abnormal myelination:-log(OR_p),abnormal myelination:log_OR,abnormal myelination:num_genes,abnormal myelination:gene_ids,abnormal glial cell physiology:-log(OR_p),abnormal glial cell physiology:log_OR,abnormal glial cell physiology:num_genes,abnormal glial cell physiology:gene_ids,increased synaptic depression:-log(OR_p),increased synaptic depression:log_OR,increased synaptic depression:num_genes,increased synaptic depression:gene_ids,abnormal cholinergic neuron morphology:-log(OR_p),abnormal cholinergic neuron morphology:log_OR,abnormal cholinergic neuron morphology:num_genes,abnormal cholinergic neuron morphology:gene_ids,abnormal CNS glial cell morphology:-log(OR_p),abnormal CNS glial cell morphology:log_OR,abnormal CNS glial cell morphology:num_genes,abnormal CNS glial cell morphology:gene_ids,abnormal microglial cell physiology:-log(OR_p),abnormal microglial cell physiology:log_OR,abnormal microglial cell physiology:num_genes,abnormal microglial cell physiology:gene_ids,abnormal sensory neuron innervation pattern:-log(OR_p),abnormal sensory neuron innervation pattern:log_OR,abnormal sensory neuron innervation pattern:num_genes,abnormal sensory neuron innervation pattern:gene_ids,abnormal sensory neuron morphology:-log(OR_p),abnormal sensory neuron morphology:log_OR,abnormal sensory neuron morphology:num_genes,abnormal sensory neuron morphology:gene_ids,gprofiler_name,num_d1_seeds,num_d2_seeds,frac_d1_seeds,frac_d2_seeds,frac_both_seeds,frac_no_seeds
C256,6.735426633129563,1.95340082078447,8,APOE CSF1 CSF1R CTSD GRN LDLR NPC1 TYROBP,5.831565214447072,2.086158065683401,6,APOE CLU CSF1 GRN LDLR NR1H3,3.5467630774488565,1.3351639995229228,8,C3AR1 CP CSF1 CSF1R ERBB2 MMP9 NPC1 TYROBP,3.137971810225996,1.43259696181752,6,APOE CP GRN MAN2C1 NPC1 PLG,2.986940576628231,2.5022332109337597,2,ELFN1 SYNJ1,2.986940576628231,2.5022332109337597,2,ERBB2 NGF,2.9214509239241133,1.0166654645333288,11,APOE CP CSF1 CSF1R CTSD ERBB2 GRN LDLR MMP9 NPC1 TYROBP,2.8795936245097424,1.672034894832123,4,GRN MAN2C1 NPC1 PLG,2.8155937500843593,1.4703251099713839,5,EPHB2 EPHB3 ERBB2 NGF SH2D3C,2.6382445803265546,0.851617282320591,14,C3AR1 CASP3 CTSD EPHB2 EPHB3 ERBB2 GPNMB GRN JAG2 LDLR NGF NPC1 SH2D3C VLDLR,CD_1B_otherlipid-AD systems map,1,3,0.00423728813559322,0.012711864406779662,0.0,0.9830508474576272
C257,11.064905562748748,2.5927255138491816,8,APOE CSF1 CSF1R CTSD GRN LDLR NPC1 TYROBP,9.276804994947872,2.71781269065389,6,APOE CLU CSF1 GRN LDLR NR1H3,5.397469368994217,1.8268320560195663,7,C3AR1 CP CSF1 CSF1R MMP9 NPC1 TYROBP,4.209856567607393,1.8651380253086591,5,APOE CP GRN NPC1 PLG,-0.0,0.0,0,,-0.0,0.0,0,,5.529575549318587,1.5610289392187227,10,APOE CP CSF1 CSF1R CTSD GRN LDLR MMP9 NPC1 TYROBP,3.0412829337043,1.9839849811389554,3,GRN NPC1 PLG,-0.0,0.0,0,,1.8152652349388236,0.8922087989570411,8,C3AR1 CASP3 CTSD GPNMB GRN LDLR NPC1 VLDLR,Cholesterol metabolism,0,2,0.0,0.015503875968992248,0.0,0.9844961240310077
C258,-0.0,0.0,0,,-0.0,0.0,0,,0.043010788659413685,0.1194219324995931,1,ERBB2,0.21280311117143771,0.5111481523932024,1,MAN2C1,5.149638397215981,3.4433829945271572,2,ELFN1 SYNJ1,5.149638397215981,3.4433829945271572,2,ERBB2 NGF,0.21836089522229898,-0.5210165467029029,1,ERBB2,0.5971066521800487,1.1585640136383404,1,MAN2C1,6.605687548071651,2.4317561136632913,5,EPHB2 EPHB3 ERBB2 NGF SH2D3C,1.5223177152658558,0.9207436129846229,6,EPHB2 EPHB3 ERBB2 JAG2 NGF SH2D3C,Glycerophospholipid biosynthesis,0,1,0.0,0.010638297872340425,0.0,0.9893617021276596
C267,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,C267,1,0,0.07692307692307693,0.0,0.0,0.9230769230769231
C280,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,C280,1,0,0.16666666666666666,0.0,0.0,0.8333333333333334
C289,3.2268519203278507,3.855719840731626,1,APOE,3.8451277768683387,4.2782674003830286,1,APOE,-0.0,0.0,0,,2.960207300033971,3.662225283509277,1,APOE,-0.0,0.0,0,,-0.0,0.0,0,,1.7259616680242813,2.630115713347651,1,APOE,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,C289,0,1,0.0,0.2,0.0,0.8
C260,4.421438280191103,2.487480653783173,3,APOE LDLR NPC1,8.848877216431754,3.2456654387136457,4,APOE CLU LDLR NR1H3,1.3571860203106394,1.4613833321912306,2,CP NPC1,6.08305034690544,2.607681482540287,4,APOE CP NPC1 PLG,-0.0,0.0,0,,-0.0,0.0,0,,2.5358189988941917,1.5592773706544705,4,APOE CP LDLR NPC1,3.215529065377683,2.5108455617531327,2,NPC1 PLG,-0.0,0.0,0,,1.535718551774007,1.14068184576894,4,CASP3 LDLR NPC1 VLDLR,Cholesterol metabolism,0,2,0.0,0.0392156862745098,0.0,0.9607843137254902
C281,-0.0,0.0,0,,3.6290953771853465,4.055070514313213,1,CLU,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,C281,0,1,0.0,0.16666666666666666,0.0,0.8333333333333334
C270,-0.0,0.0,0,,-0.0,0.0,0,,1.508290657688445,2.2585371336481534,1,ERBB2,-0.0,0.0,0,,-0.0,0.0,0,,11.245877506933095,5.666958886102641,2,ERBB2 NGF,0.9141968893847752,1.6181359830375879,1,ERBB2,-0.0,0.0,0,,12.944714646218308,4.611333946625328,4,EPHB2 EPHB3 ERBB2 NGF,5.680241127777179,2.913520044485141,4,EPHB2 EPHB3 ERBB2 NGF,transmembrane receptor protein tyrosine kinase activity,0,1,0.0,0.08333333333333333,0.0,0.9166666666666666
C282,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,C282,0,1,0.0,0.16666666666666666,0.0,0.8333333333333334
