,d1_seeds,d2_seeds,d1_name,d2_name,z_d1,z_d2,z_both,sum_seeds
CD2AP,0,1,CD_1D_vitaminreposn,AD,2.5944287430882964,14.821901118927236,38.4543662901574,1
AFAP1L2,0,0,CD_1D_vitaminreposn,AD,5.225618345061968,5.250629480374067,27.437785735765914,0
SPPL2C,0,0,CD_1D_vitaminreposn,AD,2.6279994100059616,7.0887156011427,18.62914041750307,0
NCKAP1,0,0,CD_1D_vitaminreposn,AD,3.601711302441675,5.14026669345095,18.513756647366787,0
ART3,0,0,CD_1D_vitaminreposn,AD,4.456287744078721,3.7591144014930262,16.75169543596319,0
HM13,0,0,CD_1D_vitaminreposn,AD,4.301958281056086,3.8549205721119897,16.583707478010638,0
TBC1D20,0,0,CD_1D_vitaminreposn,AD,4.623840947266033,3.4838589286555233,16.108809568815783,0
AIG1,0,0,CD_1D_vitaminreposn,AD,5.322257534729729,2.9130155640579356,15.50381903459232,0
FOLR2,0,0,CD_1D_vitaminreposn,AD,4.377548026298843,3.1707024492143625,13.87990224853924,0
SLC2A11,0,0,CD_1D_vitaminreposn,AD,3.2157178575579186,4.15014445959163,13.345693650153862,0
NACAD,0,0,CD_1D_vitaminreposn,AD,4.878721407855783,2.6635000464649834,12.994474696513587,0
FCRL4,0,0,CD_1D_vitaminreposn,AD,5.067867238614352,2.401248392964453,12.169208062479912,0
ABCD4,0,0,CD_1D_vitaminreposn,AD,2.968515047883886,3.8511064160637796,11.432067347087512,0
C1orf115,0,0,CD_1D_vitaminreposn,AD,1.8746346819804434,6.023581864282195,11.29201547253182,0
ELMO3,0,0,CD_1D_vitaminreposn,AD,3.2288708563462225,3.3104805080688084,10.68911403300561,0
XPO6,0,0,CD_1D_vitaminreposn,AD,2.145887617036735,4.7165587015824535,10.121204912752649,0
FCRL6,0,0,CD_1D_vitaminreposn,AD,3.6245051665043553,2.7908752688804452,10.115541831126405,0
ALG2,0,0,CD_1D_vitaminreposn,AD,4.467022257274023,2.1288045082806204,9.509417119874813,0
GRAP,0,0,CD_1D_vitaminreposn,AD,4.092927588842106,2.15401082769607,8.816210343341865,0
OCIAD1,0,0,CD_1D_vitaminreposn,AD,5.05632695080363,1.7401748672441713,8.798893080357832,0
SLC16A4,0,0,CD_1D_vitaminreposn,AD,3.5264953440300015,2.347428018866748,8.278193978979157,0
PANX1,0,0,CD_1D_vitaminreposn,AD,3.1087264347524335,2.6115234824978732,8.118512085017873,0
ENPP4,0,0,CD_1D_vitaminreposn,AD,3.6337913578239953,2.1758279681221295,7.906504866673938,0
ABCA6,0,0,CD_1D_vitaminreposn,AD,2.6746321815942604,2.8972931699105477,7.749193551755998,0
PIK3R1,0,0,CD_1D_vitaminreposn,AD,1.675472646403631,4.596600797782042,7.701478903120918,0
CYFIP2,0,0,CD_1D_vitaminreposn,AD,2.53416328303889,2.9728594534675064,7.5337112726124165,0
SH2D1B,0,0,CD_1D_vitaminreposn,AD,1.9019355865361616,3.951324134706713,7.515163985737903,0
GABRA3,0,0,CD_1D_vitaminreposn,AD,2.9523030313711542,2.396923531673434,7.076444608524332,0
FAAH2,0,0,CD_1D_vitaminreposn,AD,1.9335112770455116,3.6119456745337493,6.983737693786761,0
CYFIP1,0,0,CD_1D_vitaminreposn,AD,4.282976053166346,1.62312233024579,6.951794071802276,0
CHKA,0,0,CD_1D_vitaminreposn,AD,2.6526708010746023,2.619153409238426,6.947751772221771,0
CHKB-CPT1B,0,0,CD_1D_vitaminreposn,AD,2.6526708010745987,2.619153409238365,6.9477517722216,0
TYW3,0,0,CD_1D_vitaminreposn,AD,2.3369248812176004,2.9009375490073266,6.7792731371336235,0
ABCC9,0,0,CD_1D_vitaminreposn,AD,3.038624189723989,2.2231521098738876,6.755323778498718,0
ROCK2,0,0,CD_1D_vitaminreposn,AD,2.9591004946472985,2.280995161403585,6.749693910397443,0
CXorf21,0,0,CD_1D_vitaminreposn,AD,2.238347655818439,2.981517804183937,6.673673387776056,0
SLC25A20,0,0,CD_1D_vitaminreposn,AD,2.7946045126750727,2.3813687033531354,6.654983724733859,0
FCRLA,0,0,CD_1D_vitaminreposn,AD,1.789893940782836,3.670925768277816,6.57056778970404,0
IGSF23,0,0,CD_1D_vitaminreposn,AD,1.7898939407828358,3.670925768277807,6.5705677897040236,0
SLC1A3,0,0,CD_1D_vitaminreposn,AD,2.145762776170526,3.0043405050638956,6.446602022707465,0
NOTCH4,0,0,CD_1D_vitaminreposn,AD,2.5509907067033564,2.5150817479024385,6.415950165498354,0
FAM114A2,0,0,CD_1D_vitaminreposn,AD,3.8014417308318045,1.645570396794416,6.255539977395744,0
EGR3,0,0,CD_1D_vitaminreposn,AD,3.218749203690523,1.9424493183847047,6.252257196759968,0
