z_comb,z_12,observed_overlap,expected_overlap_mean,expected_overlap_std,empirical_p,obs_exp
2,1.0,817,288.07,15.284799638856898,1.0635639806546659e-262,2.8361162217516576
2,1.5,536,161.53,11.667437593576405,2.5631194069118668e-226,3.318269052188448
2,2.0,329,72.52,8.1295510331137,9.224528357250852e-219,4.536679536679537
3,1.0,657,218.22,13.291034572221983,2.623084143237405e-239,3.0107231234533955
3,1.5,517,152.37,11.010590356561268,8.658236582046069e-241,3.39305637592702
3,2.0,329,75.23,7.393044028003621,1.633937159507458e-258,4.373255350259205
4,1.0,531,159.94,11.937185597953983,1.9582633371966575e-212,3.3199949981242964
4,1.5,464,126.9,10.393748120865736,4.7100589787182166e-231,3.656422379826635
4,2.0,329,75.11,9.19227392977385,3.2063506032778984e-168,4.380242311276794
5,1.0,421,116.09,10.03304041654373,3.6571935457874774e-203,3.6264966836075456
5,1.5,393,101.24,9.349994652404886,4.658293733349722e-214,3.881864875543264
5,2.0,318,69.76,7.630360410884927,1.8098148727519413e-232,4.55848623853211
9,1.0,182,36.3,5.313191131514093,7.432251676732597e-166,5.013774104683196
9,1.5,178,34.1,5.816356247686347,1.9580380919826053e-135,5.219941348973607
9,2.0,172,30.4,5.336665625650533,1.9951004252357113e-155,5.657894736842105
12,1.0,104,16.97,3.8741579730310436,4.644762167876447e-112,6.1284619917501475
12,1.5,102,17.17,3.8315923582761253,6.566915398599031e-109,5.94059405940594
12,2.0,99,15.28,3.449869562751612,2.156465192541718e-130,6.479057591623037
