Cluster,genes,Top pathway,p_value,recall,intersection_size,num_d1_seeds,num_d2_seeds,num_both_seeds,frac_d1_seeds,frac_d2_seeds,frac_both_seeds,frac_no_seeds
C485,HSPA9 LDHB ACACA MT-ND6 RAD51C COQ3 MYBBP1A POLN MT-ND4 FAM210A POLG2 OMA1 PSMC5 PFKL PIGY MRPL58 EIF2AK4 PTGES3 ETHE1 C1orf210 BCAP31 MICOS10 NTPCR NDUFAF3 PPA1 CYCS KARS RPL17 PPIA TYMS SAMM50 CBWD1 UQCRFS1 ETFB LAP3 CCT7 PYCR3 NDUFB11 AARS2 GUK1 ALDH1L2 CS BCKDHB PHB ABCD3 CIB1 VDAC1 PCNA SHMT2 ATP5MC1 CHCHD6 ATP5F1A CSE1L COX10 ERCC1 SCO2 CISD3 AC068533.4 COX7B2 FOXRED1 HEBP2 ATP5MC3 METAP1 COX7B COX6C SDHAF4 SUCLA2 ALDH16A1 IARS LIG4 NAPRT ELAC1 HDDC3 EFTUD2 BCS1L FDPS EIF3M SEC61A1 CXorf40B ATP6V1H FIS1 NDUFS7 SNUPN NOM1 ERAL1 DIS3L RPL9 SLC25A3 ORC5 DNAJC11 NDUFS4 SQOR AL360181.3 PFKM SCO1 RFC5 GMPS PMS1 TSFM DDB1 ACADVL SMIM20 UGP2 RNASEH2A SEC11A ATPAF2 THNSL1 LAMTOR3 CYB5A POLG DERA RPL5 TMEM65 APOOL COX8A PARS2 EIF2B4 DNAJA3 TMEM205 SDHAF2 UQCRC1 PRPSAP1 TRMU DUT MRPL48 HPRT1 LDAH COX7A2 MIPEP MRPL46 COA4 NAA38 SLC33A1 ATP5MF POLR1B PYCR1 TIGAR MRPS12 POLB CLPP AIMP1 MSH6 EEF2 SUGCT HELB TIMM21 COASY MT-CYB TXN INTS11 COQ10A NDUFA4L2 AKR7A2 ZFAND1 EARS2 HSPA6 SHMT1 HEMK1 ISG20L2 NTHL1 OXLD1 EIF2B5 GPN1 LONP1 LIAS PTCD1 NFU1 VWA8 NDUFV1 PLEKHF2 TATDN2 HSPA1A HSPA8 RAD51 SDHA AK4 SLFN14 TIMM23 MRPS2 CCDC58 PMPCA OGDHL LARS CCNG1 BOP1 OXA1L GRPEL1 COX11 CCT2 CMC1 CKS1B VDAC2 SFXN4 DCTD H2AFZ HSPD1 ATP5MG DESI1 MRPS25 NDUFS3 RFC3 MTHFD2 MT-ATP8 TMEM70 MT-CO2 PYCR2 CPSF3 MTHFD1L PTGS2 PCCA ATP5ME MAT2A FH OSGEP GATB ATP5PF PAICS PDCD11 GFPT1 GRHPR C2orf48 YRDC AFG3L2 PSMB10 IDH2 NDUFB8 GRID1 FASTKD3 MRPL15 ATP5IF1 ACADSB DCAKD TXNRD1 DCK ALDH18A1 AFG1L AL133352.1 DMAC2L AC011448.1 ALDH1L1 ASF1A COX5A YBEY COX15 HEATR9 RRM2 POLRMT ATP5F1D ATP6V1E1 CHCHD4 CES1 GLRX BABAM2 PCCB MRPL40 DHX30 PWP2 AKAP1 SLC25A5 PFDN6 ATP5F1B ATP5PO NME2 ERI1 MTO1 IDH3A COX18 PDCD2 ACOD1 MGME1 NDUFA2 LEXM EIF3G RMDN1 SUCLG1 NDUFB9 ACSM3 PNPT1 CD3EAP COX6A1 NARS MCCC1 HLCS AHCY WDR43 AAMDC MSH2 C6orf203 PPIF NOLC1 GFM1 YME1L1 COX7C TARS2 RRM1 NDUFA4 ABCF2 COX7A2L PMPCB PSMB3 SLC25A6 WARS GPR107 COQ7 CCDC127 TMEM135 SLC25A4 CDADC1 PSME2 CPT2 NDUFV2 MT-ND4L RTN4IP1 NDUFA10 POLR1A MT-CO3 COA3 ATP5PD COX6B1 ORC4 PDSS2 ATAD1 TCERG1 MPV17 SURF1 AKR1A1 CHCHD7 TUFM HSPA1L SMDT1 AK2 PDIA3 DNMT1 UQCR11 CIAO1 ATP6V1C1 EI24 DDX21 CLPX PGLS NDUFA3 NDUFAF1 COX17 METTL17 THUMPD2 CHMP5 NT5C3B MT-ND5 NUBPL COX5B MTHFD1 SRFBP1 LARS2 NME1-NME2 NDUFAF7 PRIM1 DNAJC19 NDUFA5 ATP5MC2 HSPA2 MRPL21 UQCC2 RPUSD4 COX19 ARMC1 ABCB10 DNAAF5 EEF1A1 RMRP C17orf75 MTERF1 UMPS ESD TATDN3 ECI1 ABCB7 MRPL4 MT-ND3 DHRS11 VARS MT-ATP6 COX20 TK2 PITRM1 KIAA0391 ACAD9 ETFA CISD1 LRPPRC SSBP1 ADAT2 NDUFAF6 MTRF1 COX4I1 NDUFAF8 DHFR UQCRB ATP5MGL IVNS1ABP ATP5F1E MAT1A THNSL2 UCP1 RRM2B COX16 NDUFS1 NDUFA13 SLC25A11 CAPN15 HDHD5 TAMM41 ATP5F1EP2 GPX1 NDUFA1 ATP5F1C MT-ND2 DNAJC30 GFPT2 MT-CO1 SDHB DTYMK ATP5MD RPS8 SIRT4 COX4I2 SOAT2 IMMT TACO1 YARS AARS GLRX2 MICU2 SLC22A20P DLAT DNAJA2 NT5C3A NUP205 MPC1 NDUFV3 SUPV3L1 CALHM4 DNAJA1 ACSF3 UQCRC2 EXOSC10 IAH1 NDUFS2 DEXI NDUFS6 FARSA DGUOK FDXR CYC1 FECH EEF1AKMT1 COX14 NDUFS5 EXO1 ATP6V0B NDUFA12 DLST NIT1 GTPBP3 NDUFS8 P2RX4 CMPK1 MFN2 MTERF4 TPT1 PRDX5 NDUFA9 OGDH MT-ND1 POLR1C RNASEH1P1 WARS2 PPA2 PET100 COA1 ATP5PB GATC SSRP1 MTERF2,proton motive force-driven mitochondrial ATP synthesis,6.329667742330155e-60,0.6865671641791045,46.0,5,53,53,0.010351966873706004,0.10973084886128365,0.0,0.8799171842650103
C486,HSPA2 ASF1A YBEY RPUSD4 HSPA9 DUT LDHB ACACA HPRT1 RAD51C LDAH RRM2 POLRMT ARMC1 MYBBP1A POLN ABCB10 GLRX DNAAF5 SLC33A1 DHX30 EEF1A1 POLR1B POLG2 PYCR1 PWP2 PSMC5 PFKL TIGAR PIGY MRPS12 MRPL58 SLC25A5 EIF2AK4 PTGES3 ETHE1 RMRP POLB AKAP1 MTERF1 PFDN6 C17orf75 AIMP1 UMPS MSH6 EEF2 ESD TATDN3 ABCB7 MRPL4 HELB NME2 ERI1 COASY MTO1 TXN DHRS11 INTS11 PPA1 IDH3A VARS PITRM1 KARS RPL17 TK2 PDCD2 ZFAND1 ACOD1 PPIA EARS2 LRPPRC TYMS SSBP1 ADAT2 HSPA6 SHMT1 CBWD1 ISG20L2 NTHL1 MTRF1 LAP3 CCT7 EIF2B5 PYCR3 GPN1 RMDN1 DHFR AARS2 GUK1 ALDH1L2 CS ACSM3 PNPT1 PHB LONP1 CD3EAP ABCD3 NARS LIAS VDAC1 AHCY WDR43 PCNA SHMT2 PTCD1 MSH2 VWA8 PPIF MAT1A PLEKHF2 NOLC1 GFM1 TATDN2 RRM2B HSPA1A HSPA8 RAD51 YME1L1 TARS2 RRM1 CAPN15 ABCF2 HDHD5 CSE1L PSMB3 WARS AK4 SLFN14 MRPS2 TMEM135 OGDHL CDADC1 LARS BOP1 CCNG1 GRPEL1 METAP1 CCT2 GFPT2 CKS1B DTYMK POLR1A RPS8 ALDH16A1 DCTD ORC4 IARS H2AFZ LIG4 HSPD1 SOAT2 PDSS2 NAPRT YARS AARS ATAD1 MICU2 GLRX2 TCERG1 ELAC1 EFTUD2 DLAT BCS1L DNAJA2 RFC3 FDPS MTHFD2 EIF3M NUP205 SUPV3L1 PYCR2 CPSF3 SEC61A1 CXorf40B DNAJA1 TUFM MTHFD1L HSPA1L MGME1 AK2 NOM1 PDIA3 MAT2A OSGEP GATB EXOSC10 DNMT1 ERAL1 DIS3L PAICS FARSA DGUOK RPL9 ATP6V1C1 CIAO1 ORC5 DNAJC11 EI24 AL360181.3 FECH DDX21 PDCD11 CLPX PFKM GFPT1 EXO1 RFC5 GMPS C2orf48 YRDC DLST PMS1 TSFM AFG3L2 METTL17 GTPBP3 DDB1 IDH2 THUMPD2 GRID1 FASTKD3 UGP2 P2RX4 CHMP5 SEC11A RNASEH2A CMPK1 MRPL15 MTERF4 TPT1 PRDX5 THNSL1 POLG DERA RPL5 POLR1C RNASEH1P1 TXNRD1 DCAKD WARS2 PPA2 APOOL DCK PARS2 MTHFD1 EIF2B4 ALDH18A1 SRFBP1 LARS2 DNAJA3 NME1-NME2 GATC PRIM1 PRPSAP1 THNSL2 SSRP1 MTERF2 TRMU,mitochondrial RNA metabolic process,2.7333072167436714e-12,0.25,13.0,3,12,12,0.011627906976744186,0.046511627906976744,0.0,0.9418604651162791
C487,MRPL21 COX5A COX15 UQCC2 COX19 MRPL48 MT-ND6 COX7A2 ATP5F1D COQ3 CHCHD4 MT-ND4 COA4 NAA38 FAM210A MRPL40 ATP5MF OMA1 C1orf210 BCAP31 ATP5F1B SUGCT MICOS10 ECI1 NTPCR TIMM21 MT-CYB MT-ND3 NDUFAF3 CYCS MT-ATP6 COX18 NDUFA4L2 COX20 COQ10A ACAD9 CISD1 SAMM50 NDUFA2 LEXM NDUFAF6 ETFB COX4I1 NDUFAF8 NDUFB11 NDUFB9 COX6A1 UQCRB HLCS ATP5MGL IVNS1ABP ATP5F1E AAMDC C6orf203 NFU1 ATP5MC1 CHCHD6 NDUFV1 UCP1 COX16 NDUFS1 NDUFA13 COX7C NDUFA4 SLC25A11 COX7A2L ATP5F1EP2 TIMM23 CISD3 COQ7 COX7B2 CCDC127 ATP5F1C NDUFA1 MT-ND2 FOXRED1 GPR107 COX11 DNAJC30 NDUFV2 CMC1 MT-ND4L MT-CO1 RTN4IP1 NDUFA10 COX7B COX6C VDAC2 ATP5MD SFXN4 MT-CO3 COA3 ATP5PD COX6B1 ATP5MG COX4I2 MRPS25 TACO1 HDDC3 MPV17 SLC22A20P SURF1 NDUFS3 MT-ATP8 NT5C3A TMEM70 CHCHD7 MPC1 NDUFV3 MT-CO2 CALHM4 FIS1 PTGS2 NDUFS7 SMDT1 ATP5ME GATB IAH1 NDUFS2 DEXI NDUFS6 UQCR11 SLC25A3 NDUFS4 COX14 NDUFS5 GRHPR SCO1 NDUFA12 NDUFA3 NDUFAF1 COX17 NDUFS8 NDUFB8 SMIM20 ATPAF2 MFN2 ATP5IF1 NDUFA9 NT5C3B MT-ND5 TMEM65 MT-ND1 NUBPL PET100 COX8A APOOL COX5B COA1 AFG1L AL133352.1 DMAC2L NDUFAF7 TMEM205 DNAJC19 AC011448.1 NDUFA5 ATP5MC2,oxidoreduction-driven active transmembrane transporter activity,1.2084632684914339e-68,0.6060606060606061,40.0,2,35,35,0.012658227848101266,0.22151898734177214,0.0,0.7658227848101266
C489,ATP5MC3 ASF1A EI24 METAP1 NDUFS4 HSPA9 FECH LAP3 LDHB CLPX SDHB RMDN1 ARMC1 ATP6V1E1 SUCLA2 CS GLRX PCCB ABCD3 NARS LIG4 ORC4 SLC33A1 ATAD1 MICU2 SHMT2 CHMP5 DNAJA2 GFM1 YME1L1 ATP5PO LAMTOR3 CCNG1 DERA COX7A2L APOOL ATP6V1H UQCRC2 ATP5PB PDIA3 ATP5PF NDUFA5 TMEM135 ATP6V1C1 UQCRFS1,Mitochondrial protein degradation,3.646045339974336e-12,0.11224489795918367,11.0,0,4,4,0.0,0.08888888888888889,0.0,0.9111111111111111
C491,THNSL1 ACSF3 ALDH18A1 NIT1 MCCC1 PYCR2 MTHFD1L PYCR1 ACADVL GRID1 AARS2 ALDH1L1 SIRT4 ALDH1L2 ALDH16A1 CES1 ACSM3,dicarboxylic acid metabolic process,4.4150425975032325e-07,0.050505050505050504,5.0,0,1,1,0.0,0.058823529411764705,0.0,0.9411764705882353
C493,PSME2 CIB1 GPX1 LAP3 SQOR PSMB10 SCO2 RNASEH1P1 P2RX4 GUK1 WARS ATP6V0B GLRX,C493,,,,0,1,1,0.0,0.07692307692307693,0.0,0.9230769230769231
C494,CPT2 PCCA MCCC1 MPC1 NDUFAF8 ESD ECI1 MIPEP DEXI GRHPR VWA8 BCKDHB,carboxylic acid catabolic process,2.66339946889475e-06,0.02032520325203252,5.0,0,1,1,0.0,0.08333333333333333,0.0,0.9166666666666666
C525,SDHAF4 PMPCA CISD3 PITRM1,C525,,,,0,1,1,0.0,0.25,0.0,0.75
C498,COQ10A MTRF1 AFG1L PDSS2 POLG2 NUBPL COQ7 COQ3 WARS2,C498,,,,0,2,2,0.0,0.2222222222222222,0.0,0.7777777777777778
C510,EIF2B4 BABAM2 FIS1 SMDT1 MPV17,C510,,,,0,1,1,0.0,0.2,0.0,0.8
