,d1_seeds,d2_seeds,d1_name,d2_name,z_d1,z_d2,z_both,sum_seeds
ABCA7,1,0,AD,FA_ox,10.223480390300024,2.450890680353182,25.05663280935984,1
SLC25A20,0,1,AD,FA_ox,2.3813687033531354,10.034514949966658,23.895879855179754,1
LPIN1,0,1,AD,FA_ox,1.623129278669671,11.759266914707323,19.086810424953025,1
SLC8B1,0,0,AD,FA_ox,4.75418079503316,3.721048385307372,17.69053677081746,0
C1orf115,0,0,AD,FA_ox,6.023581864282195,2.6878142548283384,16.190269199943142,0
ORAI3,0,0,AD,FA_ox,3.847906727070003,4.010003871909024,15.430120874295493,0
ABCD4,0,0,AD,FA_ox,3.8511064160637796,3.5067209433533915,13.504755524293476,0
IRF2BPL,0,0,AD,FA_ox,2.8057995484241625,4.803558831895428,13.477823201361089,0
C19orf12,0,0,AD,FA_ox,2.5825941479827517,4.9912295188390825,12.890320146592579,0
UVSSA,0,0,AD,FA_ox,3.6986095792101805,3.30650011562697,12.22945300131748,0
CLYBL,0,0,AD,FA_ox,3.0637902571989817,3.7915486558354825,11.616509831444647,0
PRXL2A,0,0,AD,FA_ox,2.477372719876123,4.686300974464248,11.60971419126662,0
ALKBH7,0,0,AD,FA_ox,2.106973214587102,5.465777873775532,11.516247576927887,0
TAFA3,0,0,AD,FA_ox,2.5387079596877973,4.190411166098614,10.638230181739177,0
THEM5,0,0,AD,FA_ox,4.102559181018657,2.53153968344152,10.385791370416072,0
TMEM183A,0,0,AD,FA_ox,2.655084325286542,3.8448538273240787,10.20841112994613,0
TMEM53,0,0,AD,FA_ox,1.871080681356313,5.1857153532013145,9.702891816387808,0
AIG1,0,0,AD,FA_ox,2.9130155640579356,3.312347334933379,9.648919340226758,0
SUMF2,0,0,AD,FA_ox,3.560258639978268,2.683912199106109,9.555421595810596,0
GCDH,0,0,AD,FA_ox,2.091498292483007,4.516447703025973,9.44614265896762,0
FRAT1,0,0,AD,FA_ox,3.029603342533001,3.038879505437122,9.206599507227338,0
FAAH2,0,0,AD,FA_ox,3.6119456745337493,2.5471531513963273,9.200178807560972,0
CHKA,0,0,AD,FA_ox,2.619153409238426,3.4921216828826465,9.146402411197514,0
CHKB-CPT1B,0,0,AD,FA_ox,2.619153409238365,3.4921216828826656,9.14640241119735,0
VLDLR,0,0,AD,FA_ox,2.8739287077559807,3.013590318312791,8.660843729214614,0
ABCD2,0,0,AD,FA_ox,2.4072797384003057,3.494580312125302,8.412432379591856,0
HPS1,0,0,AD,FA_ox,3.452995147903129,2.3928902047381277,8.26263826642568,0
CLN3,0,0,AD,FA_ox,3.06991580392338,2.667627099807442,8.189390592673156,0
ABCB9,0,0,AD,FA_ox,2.9230134225125313,2.7819050969254175,8.131545938469019,0
CYB5R1,0,0,AD,FA_ox,2.3772674890645984,3.3488193975587084,7.961039480565212,0
PITPNM2,0,0,AD,FA_ox,2.4083652272590044,3.30193012159995,7.9522536877004155,0
ARHGAP26,0,0,AD,FA_ox,4.818823072459091,1.6430802294606865,7.917712919626534,0
XPO6,0,0,AD,FA_ox,4.7165587015824535,1.6775777201997124,7.912393793788808,0
WDR13,0,0,AD,FA_ox,4.986924852452331,1.5555757229073228,7.757539232438029,0
ABCG8,0,0,AD,FA_ox,3.2589173465889436,2.363966968487896,7.703972960368484,0
ACOT9,0,0,AD,FA_ox,4.2208461789351635,1.8171013360628334,7.66970523105879,0
NPEPL1,0,0,AD,FA_ox,2.8453252644440568,2.635749433367549,7.499564453504794,0
ZNF831,0,0,AD,FA_ox,2.6960309532448474,2.716900085414306,7.324846727150539,0
NPC1,0,0,AD,FA_ox,2.9192884166090245,2.477372189215676,7.232163935606663,0
CCS,0,0,AD,FA_ox,2.168643942629894,3.2917933137992934,7.138727630360424,0
ATP1B1,0,0,AD,FA_ox,2.2741684631796617,3.0794691542772212,7.003231633991801,0
SLC29A3,0,0,AD,FA_ox,1.7645193238009393,3.9604830415779957,6.988348858450292,0
LIPF,0,0,AD,FA_ox,3.8531653764214666,1.801439275701076,6.94124344485715,0
ABCA12,0,0,AD,FA_ox,3.3007883370360935,2.0681000783771624,6.826360618530768,0
SLC2A11,0,0,AD,FA_ox,4.15014445959163,1.6435056010562614,6.820785664531455,0
PEX19,0,0,AD,FA_ox,1.9885570692390082,3.384096363555403,6.729468746734118,0
AC005520.1,0,0,AD,FA_ox,4.181529654314485,1.6088979240212413,6.727654380059834,0
INPP1,0,0,AD,FA_ox,2.896461440887777,2.3128293466623715,6.6990210219612285,0
ECSIT,0,0,AD,FA_ox,2.4357801103392536,2.7203094065105957,6.6260755463472885,0
ABCC5,0,0,AD,FA_ox,3.112767294373736,2.1239164293014827,6.6112575971127026,0
SLC25A44,0,0,AD,FA_ox,3.291620273969869,2.005528506412177,6.601438291730832,0
SOAT1,0,0,AD,FA_ox,2.3451328688911475,2.8064776720690707,6.581563034578289,0
NR1H3,0,0,AD,FA_ox,1.9823889227129277,3.191495826517169,6.326785973372176,0
CARS2,0,0,AD,FA_ox,2.9461705871423516,2.121807565368202,6.251207040663919,0
DENND3,0,0,AD,FA_ox,3.5746027424298155,1.7180152916086737,6.141222172920724,0
NADK2,0,0,AD,FA_ox,3.458218686883724,1.775553905701546,6.140253696266468,0
ABCB4,0,0,AD,FA_ox,2.9165783864180086,2.103409595095408,6.1347589628395225,0
ACPP,0,0,AD,FA_ox,1.8817134391430188,3.223805920684609,6.066278926141062,0
OCEL1,0,0,AD,FA_ox,1.5576682631215517,3.777983080785108,5.8848443435491475,0
FITM1,0,0,AD,FA_ox,2.1419427105510556,2.723271606269745,5.833091765900145,0
FAM50A,0,0,AD,FA_ox,1.7905806897925387,3.2014450663825698,5.732445715296222,0
PIP,0,0,AD,FA_ox,2.5478100190589075,2.2403274215594653,5.707928650621614,0
SREBF1,0,0,AD,FA_ox,1.8705057060776222,3.0165564294299947,5.642486013953944,0
LPIN2,0,0,AD,FA_ox,2.321864551482013,2.4077069154904005,5.59036933743526,0
NPLOC4,0,0,AD,FA_ox,2.5454150730937193,2.190542718206412,5.575840453178288,0
EFNA4,0,0,AD,FA_ox,2.6682784062665084,2.080672815684157,5.551814344595771,0
VPS9D1,0,0,AD,FA_ox,3.4373436689896812,1.6081094082552354,5.527624693508876,0
POLG,0,0,AD,FA_ox,2.296719087857756,2.4018111743348873,5.516285569524989,0
SCARB2,0,0,AD,FA_ox,2.905822278441698,1.8880339538028441,5.486291125414668,0
ABCG1,0,0,AD,FA_ox,3.1058820770301625,1.7650958300334687,5.482179502741628,0
CD36,0,0,AD,FA_ox,1.792933445630934,3.045546878810514,5.460462859256271,0
RNF5,0,0,AD,FA_ox,1.924196463082962,2.825395137155383,5.436615329726188,0
SMUG1,0,0,AD,FA_ox,3.2390791314269722,1.677620360187531,5.433945099140432,0
NMT2,0,0,AD,FA_ox,1.96377969715376,2.707714854732097,5.317355457404535,0
HSD11B1,0,0,AD,FA_ox,2.102082481954092,2.5213415077915653,5.300067814552366,0
ABCC6,0,0,AD,FA_ox,2.237939387070098,2.3493378026509264,5.257675602085225,0
FABP2,0,0,AD,FA_ox,1.8947139939855255,2.74148147698296,5.194323318691722,0
MSRB2,0,0,AD,FA_ox,1.718562295937748,2.9979407489693943,5.152147936634174,0
NUDT3,0,0,AD,FA_ox,2.675666486297376,1.8867959626219242,5.0484367236686785,0
MGLL,0,0,AD,FA_ox,1.9217794667525245,2.6268084379992724,5.048146519239274,0
MSMB,0,0,AD,FA_ox,1.5421509989781044,3.228134393105057,4.97827067916254,0
FAM171A1,0,0,AD,FA_ox,1.6147912101870936,3.06270511527119,4.945629299534967,0
SCARF1,0,0,AD,FA_ox,2.6285824204708956,1.8805011458845866,4.9430522537476,0
FADS3,0,0,AD,FA_ox,2.6652582839716965,1.8452745412325557,4.9181332572221415,0
GNPNAT1,0,0,AD,FA_ox,1.6630830687847344,2.895236308472692,4.815018484751751,0
LOC102724023,0,0,AD,FA_ox,2.550179948405891,1.8851258454989954,4.80741013141324,0
CX3CR1,0,0,AD,FA_ox,2.8903042577104388,1.6394448084575475,4.738494310166124,0
OCLN,0,0,AD,FA_ox,1.7243157714192552,2.747393419693804,4.737373803871507,0
