Cluster,genes,Top pathway,p_value,recall,intersection_size,num_d1_seeds,num_d2_seeds,num_both_seeds,frac_d1_seeds,frac_d2_seeds,frac_both_seeds,frac_no_seeds
C139,SELENOP APOM NPL ATP1B1 GATM NR1H3 CARS2 SLC2A9 TMEM51 SLC7A6 C1orf54 GALE ABCC5 AFM TINAGL1 ABCG5 APOE ACOT9 SLC8A1 TNFSF15 APOC4 SLC38A10 SLC7A7 SERPINA1 APOA1 MAPT KIRREL1 CACFD1 FGL1 KRTDAP LRP1B DDAH2 DNAJC6 N4BP2L1 CFI EVA1A NANOS3 L1TD1 GALK1 C9 CMTM5 APOA5 SEMA6A EPHB4 CDHR5 PON3 SCARB1 PLG KMO EVA1B SLC12A9 CYB5R1 SCGB1D1 NPHS2 MANBA METTL7A SLC7A8 AFP SLC38A7 DPPA4 ENPEP FCN2 GNPNAT1 AOC3 ABCC2 CIDEB GCLC MTHFR DIPK1A ITLN1 CYP2C18 PGGHG ANO6 SPRR4 CFHR2 ABCC6 PEX19 CX3CR1 ENPP4 MMAB FAAH2 DLK1 SCAMP4 NAALADL1 ANPEP ABCB1 ZNF276 TCN2 CCL13 JAG2 HEXA DMKN PIN1P1 HSD11B1 MMP15 L3HYPDH GCDH SLC1A3 PHACTR4 UBIAD1 ABCA6 ICAM5 F3 REPS1 ORM1 SLC25A20 WASF2 UNC5B SLC29A3 SLC2A11 GPM6B SLC2A8 ABCC1 GABRA3,vitamin transport,1.989537857036026e-06,0.13725490196078433,7.0,1,3,3,0.008771929824561403,0.02631578947368421,0.0,0.9649122807017544
C140,SCAMP4 FCN2 AOC3 SELENOP NAALADL1 CACFD1 ANPEP ABCB1 FGL1 APOM ATP1B1 GATM NR1H3 ABCC2 SLC2A9 CIDEB TCN2 DDAH2 DNAJC6 MTHFR CCL13 DIPK1A N4BP2L1 ITLN1 CYP2C18 CFI ABCC5 ANO6 EVA1A L1TD1 AFM TINAGL1 GALK1 ABCG5 C9 CMTM5 APOA5 APOE HSD11B1 CFHR2 SLC8A1 GCDH ABCC6 CDHR5 PON3 UBIAD1 PLG SCARB1 ABCA6 F3 REPS1 KMO CX3CR1 APOC4 ORM1 SLC25A20 SERPINA1 APOA1 SLC29A3 FAAH2 SLC2A11 GPM6B METTL7A SLC2A8 AFP DPPA4 DLK1 ENPEP ABCC1 GCLC,vitamin transport,1.0078438921710507e-07,0.13725490196078433,7.0,1,1,1,0.014285714285714285,0.014285714285714285,0.0,0.9714285714285714
C143,ENPP4 PIN1P1 GNPNAT1 MMP15 CACFD1 SCGB1D1 MAPT MMAB NPL MANBA GALE ICAM5 HEXA LRP1B PEX19 GABRA3,C143,,,,0,1,1,0.0,0.0625,0.0,0.9375
C147,SLC7A7 SLC7A6 C1orf54 SLC7A8 TNFSF15 SLC38A7 CARS2 SLC38A10 SLC12A9,L-amino acid transmembrane transporter activity,1.132678894144373e-09,0.08196721311475409,5.0,0,1,1,0.0,0.1111111111111111,0.0,0.8888888888888888
C153,SLC7A7 C1orf54 SLC1A3 TNFSF15 SLC38A7 TMEM51,C153,,,,0,1,1,0.0,0.16666666666666666,0.0,0.8333333333333334
C141,FCN2 NAALADL1 ANPEP FGL1 APOM MTHFR ITLN1 CYP2C18 CFI EVA1A L1TD1 AFM TINAGL1 C9 CMTM5 APOA5 APOE CFHR2 SLC8A1 CDHR5 PON3 UBIAD1 PLG F3 APOC4 ORM1 SERPINA1 APOA1 FAAH2 AFP DPPA4 ENPEP,Complement and coagulation cascades,1.6922636757625186e-07,0.06976744186046512,6.0,1,0,0,0.03125,0.0,0.0,0.96875
C146,CCL13 AOC3 SELENOP DIPK1A N4BP2L1 SLC25A20 GATM GPM6B METTL7A CX3CR1,C146,,,,0,1,1,0.0,0.1,0.0,0.9
C158,APOE CACFD1 PON3 UBIAD1 GCLC,C158,,,,1,0,0,0.2,0.0,0.0,0.8
C154,ENPP4 SCGB1D1 MMAB MANBA NPL PEX19,C154,,,,0,1,1,0.0,0.16666666666666666,0.0,0.8333333333333334
C159,AOC3 SELENOP N4BP2L1 GATM METTL7A,C159,,,,0,1,1,0.0,0.2,0.0,0.8
C162,C1orf54 SLC7A7 TNFSF15 SLC38A7,C162,,,,0,1,1,0.0,0.25,0.0,0.75
C160,PEX19 MMAB SCGB1D1 ENPP4,C160,,,,0,1,1,0.0,0.25,0.0,0.75
