,d1_seeds,d2_seeds,d1_name,d2_name,z_d1,z_d2,z_both,sum_seeds
APOE,1,0,AD,generalIEM,11.60976479191202,3.2288212675282253,37.48585547112593,1
C1orf115,0,0,AD,generalIEM,6.023581864282195,5.9341167861075235,35.744638253329825,0
SLC30A2,0,1,AD,generalIEM,3.0244577076245642,9.064073304307021,27.41390636768542,1
HFE,0,1,AD,generalIEM,2.1952419223448567,10.89321118748077,23.913233867713785,1
CLCN7,0,1,AD,generalIEM,2.154561663252618,10.643055660646658,22.931119706293053,1
C3orf33,0,0,AD,generalIEM,3.1886484461403835,6.245817680216512,19.915716840898515,0
CP,0,1,AD,generalIEM,1.5797211977997907,10.95702342296619,17.309042166048513,1
SLC39A11,0,0,AD,generalIEM,2.9938475602065813,5.162589645090982,15.456006413303397,0
MS4A13,0,0,AD,generalIEM,4.213674217261884,3.6571376735213685,15.4099867238941,0
GALE,0,1,AD,generalIEM,1.577129584084121,9.657200562327583,15.23065670628064,1
GALK1,0,1,AD,generalIEM,1.5104910600040544,9.995629172828968,15.098308504673877,1
SORCS2,0,0,AD,generalIEM,4.00623788347296,3.492811789663024,13.993034911588996,0
PHYHD1,0,0,AD,generalIEM,4.084435852618511,3.338214809574038,13.634724251966276,0
SLC38A7,0,0,AD,generalIEM,4.20951491165143,3.0992572570090857,13.046369638423656,0
MPV17L,0,0,AD,generalIEM,2.732512270173053,4.522487747688995,12.357753262267474,0
KIAA0754,0,0,AD,generalIEM,3.522881254947927,3.337413868397708,11.757312756981534,0
AL162231.3,0,0,AD,generalIEM,2.08818978728272,5.379766536045145,11.233973538534809,0
MGAT5,0,0,AD,generalIEM,2.9160123555951287,3.6653374382253268,10.68816925729045,0
AC138894.1,0,0,AD,generalIEM,4.276622624662538,2.403616650006268,10.279361346432383,0
ABCB6,0,0,AD,generalIEM,4.161499505971893,2.419901730182216,10.07041985465382,0
SOX7,0,0,AD,generalIEM,3.7210203267430733,2.681320707083473,9.977248853574713,0
TPCN2,0,0,AD,generalIEM,4.494218175402971,2.2178314198082356,9.96741827688195,0
PACS1,0,0,AD,generalIEM,3.85231693032643,2.5328829622412163,9.757467917977198,0
FBH1,0,0,AD,generalIEM,3.046288958730598,3.049599165062477,9.289960265083876,0
AIG1,0,0,AD,generalIEM,2.9130155640579356,3.0800707792181115,8.972294118262413,0
NEO1,0,0,AD,generalIEM,2.290409320753274,3.8657387447400398,8.854124052549649,0
CELF5,0,0,AD,generalIEM,4.773138794692788,1.8426233379942012,8.795096938586443,0
RNF128,0,0,AD,generalIEM,2.3043839879685075,3.7548283304258616,8.65256628220388,0
SUMF2,0,0,AD,generalIEM,3.560258639978268,2.3768306422450225,8.462131829817936,0
ZFP41,0,0,AD,generalIEM,2.9853092585967134,2.7658022446196457,8.256775048310601,0
RNF183,0,0,AD,generalIEM,2.4669553332653194,3.3417057624477504,8.243838852873928,0
HOOK3,0,0,AD,generalIEM,2.2739427228065314,3.4960493109172437,7.949815889133055,0
ABCC3,0,0,AD,generalIEM,2.7828488503695747,2.83339288885922,7.8849041434072085,0
ATP7A,0,0,AD,generalIEM,2.438828591802939,3.1104725347933644,7.58590935187182,0
MPO,0,0,AD,generalIEM,2.9669098918679078,2.543920989529823,7.547584347966428,0
SLC8A3,0,0,AD,generalIEM,4.615375140869848,1.5763152636739775,7.275286282134575,0
NADK2,0,0,AD,generalIEM,3.458218686883724,2.0562338774352598,7.110906419549993,0
CCL4,0,0,AD,generalIEM,2.1733334203943726,3.208304977382929,6.972716430163931,0
ALG2,0,0,AD,generalIEM,2.1288045082806204,3.250355031632158,6.919370444851137,0
PGGHG,0,0,AD,generalIEM,3.2796072893323633,2.0853036506428158,6.838977053119566,0
MIGA1,0,0,AD,generalIEM,3.613521949660001,1.8850224299313905,6.81156992615851,0
UNC13D,0,0,AD,generalIEM,3.180130041816319,2.1315628575494587,6.778647079312872,0
TPD52L1,0,0,AD,generalIEM,2.1277517595335675,3.1222885893003305,6.643455039655358,0
AHSP,0,0,AD,generalIEM,2.1957199144620922,2.9983829921224356,6.583609246987667,0
VLDLR,0,0,AD,generalIEM,2.8739287077559807,2.259792527257479,6.494482617657709,0
ABCC2,0,0,AD,generalIEM,2.231849956931648,2.893333810130455,6.457486939528537,0
AL669918.1,0,0,AD,generalIEM,3.1427784393712606,2.0409560289165527,6.414272603383729,0
ATP13A1,0,0,AD,generalIEM,1.8913822134935143,3.3669251604115322,6.36814236256617,0
HSD11B1,0,0,AD,generalIEM,2.102082481954092,3.005277724138746,6.31734165731892,0
LRP11,0,0,AD,generalIEM,3.842851915528711,1.6400424382384866,6.302440225333146,0
FTL,0,0,AD,generalIEM,1.5378532508480873,4.003486277220642,6.156774386149471,0
PON3,0,0,AD,generalIEM,2.148440440866315,2.848683777234659,6.1202274302507504,0
HBG2,0,0,AD,generalIEM,1.6003540133789798,3.821921240164264,6.116426995515248,0
SP6,0,0,AD,generalIEM,3.783018099911459,1.6065997482246777,6.077795926847148,0
MS4A7,0,0,AD,generalIEM,2.8383443291263197,2.1408402051989888,6.076441655992176,0
GYPE,0,0,AD,generalIEM,3.0377379124976454,1.994761609847778,6.0595629686294314,0
SLC25A20,0,0,AD,generalIEM,2.3813687033531354,2.5266073027084976,6.016783556333498,0
PPFIBP2,0,0,AD,generalIEM,2.180333110238195,2.758647435310998,6.014770342682249,0
PRXL2A,0,0,AD,generalIEM,2.477372719876123,2.414030240026177,5.9804526615968605,0
C9,0,0,AD,generalIEM,2.176628316098297,2.7400652731136046,5.964103661416685,0
CASP3,0,0,AD,generalIEM,2.6566262511773653,2.2365652827949822,5.9417180427450775,0
FADS3,0,0,AD,generalIEM,2.6652582839716965,2.208374334394451,5.885887988855291,0
GAS2,0,0,AD,generalIEM,1.821039265440164,3.215745765930275,5.855999307431985,0
MCTP2,0,0,AD,generalIEM,2.591095609303864,2.236968777733769,5.7961999781358005,0
FURIN,0,0,AD,generalIEM,2.908077661900464,1.9672962332854618,5.721050230358375,0
TCN2,0,0,AD,generalIEM,2.54342557538657,2.233329234204241,5.680306692533569,0
NANOS3,0,0,AD,generalIEM,2.977491581342116,1.903954908275448,5.669009710645147,0
ABCG5,0,0,AD,generalIEM,2.592036959464647,2.1729412885508217,5.6323441306704645,0
GCDH,0,0,AD,generalIEM,2.091498292483007,2.678648249679088,5.602388240366407,0
IL1A,0,0,AD,generalIEM,2.341628639187783,2.371368168899079,5.552863618352376,0
FAM83C,0,0,AD,generalIEM,2.9570038762284665,1.8651409904253444,5.515229138400344,0
APOC1,0,0,AD,generalIEM,2.5650838654580044,2.1469128256819885,5.5070114497017215,0
FAM167B,0,0,AD,generalIEM,1.6446180706200761,3.3417057624477695,5.495829683616841,0
EVA1A,0,0,AD,generalIEM,2.351470975434667,2.3355525049508774,5.4919839269957205,0
GPR37,0,0,AD,generalIEM,2.2241383989225487,2.4518965865241396,5.453357348275462,0
NPEPL1,0,0,AD,generalIEM,2.8453252644440568,1.9151699958681343,5.449281574948822,0
APOA1,0,0,AD,generalIEM,1.930272040826622,2.7963972735058595,5.397807472092157,0
NAALADL1,0,0,AD,generalIEM,2.1459427567786933,2.5121376331257554,5.390903557837385,0
SERPINA1,0,0,AD,generalIEM,2.1722481678436263,2.419183147652835,5.255066160167048,0
DNASE2,0,0,AD,generalIEM,1.684280064062672,3.1035797703951196,5.227297534504705,0
AP1G2,0,0,AD,generalIEM,2.3469906960051246,2.2036124983346763,5.171858031192094,0
ABCG8,0,0,AD,generalIEM,3.2589173465889436,1.5743877106337842,5.130799420440893,0
GCLC,0,0,AD,generalIEM,1.622294623323191,3.1591242353604114,5.125030261435183,0
RTN2,0,0,AD,generalIEM,2.0933238212524086,2.4466987970934473,5.121732875385327,0
F3,0,0,AD,generalIEM,1.5636099175152485,3.2542722326281113,5.088412337231804,0
POLG,0,0,AD,generalIEM,2.296719087857756,2.206329223009416,5.067318440584097,0
SLC31A2,0,0,AD,generalIEM,2.218765836684414,2.2814653082647163,5.0620372835584275,0
APBA1,0,0,AD,generalIEM,2.659511080521801,1.8753323337170977,4.987467121181429,0
F5,0,0,AD,generalIEM,1.6426242189305225,3.0346241288714633,4.984747089435205,0
EPR1,0,0,AD,generalIEM,1.6426242189304883,3.034624128871446,4.984747089435072,0
ABCB10,0,0,AD,generalIEM,1.7906769879396631,2.7834083837428922,4.984185340806729,0
HDHD3,0,0,AD,generalIEM,2.959737726004846,1.678678398661781,4.968447786348676,0
WDFY2,0,0,AD,generalIEM,1.943981210600992,2.54726220286447,4.951829860842622,0
GP6,0,0,AD,generalIEM,2.92120402874591,1.6894126231846256,4.935118961061124,0
HLA-DRB3,0,0,AD,generalIEM,2.33597914053785,2.0843519476670718,4.86900267128972,0
CEACAM5,0,0,AD,generalIEM,1.9260753246006288,2.5276122636003815,4.868371611078635,0
MAN2A2,0,0,AD,generalIEM,1.971648105538579,2.438978077651183,4.80880650625108,0
CTSA,0,0,AD,generalIEM,1.9884238609086133,2.4179524943657036,4.807914434340264,0
TIMP2,0,0,AD,generalIEM,1.6102909991875913,2.9558685807638696,4.759808570385459,0
SLC2A8,0,0,AD,generalIEM,2.0551262120723828,2.31557276684573,4.758794289105632,0
C8G,0,0,AD,generalIEM,1.7410772803271388,2.724763834667036,4.7440244067958295,0
QPCT,0,0,AD,generalIEM,2.071840329034653,2.246972796523802,4.655368858081789,0
AKR1C3,0,0,AD,generalIEM,1.6151911723249603,2.827675900399015,4.567237152520523,0
SMCO4,0,0,AD,generalIEM,2.9108252070874596,1.5589074325900156,4.537707050299012,0
B2M,0,0,AD,generalIEM,2.3983471982390143,1.8916466916101577,4.5368255428813224,0
ENPEP,0,0,AD,generalIEM,1.6873611089662373,2.6808228086681978,4.523516147376353,0
BIRC7,0,0,AD,generalIEM,2.6171972311065943,1.725496189606106,4.5159638497220795,0
LTC4S,0,0,AD,generalIEM,2.6295933569529115,1.7062218022801756,4.486669516764174,0
AGER,0,0,AD,generalIEM,2.9239859500810974,1.5315220360889137,4.478148915763579,0
SCGB1D1,0,0,AD,generalIEM,2.2435239565329734,1.9934056662437227,4.472253367306365,0
AKR1C1,0,0,AD,generalIEM,1.9050434226859714,2.346803366778253,4.470762318218204,0
TMEM74,0,0,AD,generalIEM,2.4140933713611807,1.840794531334035,4.443849876131405,0
NR1H3,0,0,AD,generalIEM,1.9823889227129277,2.2390762905322403,4.438720035460266,0
TSPAN6,0,0,AD,generalIEM,1.8523394896413492,2.377298211679292,4.403563356147312,0
ERVV-2,0,0,AD,generalIEM,2.204637487868397,1.991263364528141,4.390013861657693,0
SLC29A3,0,0,AD,generalIEM,1.7645193238009393,2.4681338524759138,4.355069876421007,0
CAPG,0,0,AD,generalIEM,2.3369528343821266,1.856329271302788,4.338153952117558,0
FGL1,0,0,AD,generalIEM,2.0639721052838045,2.1004710484431266,4.33531365194284,0
CYB5R1,0,0,AD,generalIEM,2.3772674890645984,1.8234673489972788,4.334869646142041,0
IL6,0,0,AD,generalIEM,1.8399322965716849,2.3466369727411043,4.3176531544755665,0
ABCG2,0,0,AD,generalIEM,2.482225975941962,1.721453865464624,4.27303750124199,0
HOMER2,0,0,AD,generalIEM,1.84666939439079,2.2937316964722836,4.235764122819431,0
SOD3,0,0,AD,generalIEM,1.601416413836064,2.6371842891702535,4.223230206987837,0
PPFIA3,0,0,AD,generalIEM,1.9864286319396567,2.10997844862839,4.191321603131052,0
CTSD,0,0,AD,generalIEM,2.721777584934866,1.5360374027092836,4.180752172315699,0
INPP5B,0,0,AD,generalIEM,1.5362722902892196,2.680236979841426,4.117573803538849,0
HLA-DRB4,0,0,AD,generalIEM,2.1479082695736236,1.8956532104843782,4.0716892070431845,0
AFP,0,0,AD,generalIEM,1.5543362806728647,2.610452288306493,4.057520700680283,0
LDLR,0,0,AD,generalIEM,2.1609008770393205,1.8526838050318475,4.003466059169865,0
HMOX2,0,0,AD,generalIEM,1.5427139154399425,2.592496187081739,3.9994799435359916,0
GNPNAT1,0,0,AD,generalIEM,1.6630830687847344,2.390295900616332,3.97526064170058,0
