,d1_seeds,d2_seeds,d1_name,d2_name,z_d1,z_d2,z_both,sum_seeds
ECSIT,0,0,AD,mitochondrial,2.4357801103392536,5.944891824457381,14.480449264131725,0
UCP2,0,0,AD,mitochondrial,2.7251300313254854,5.311113914431235,14.473476028007214,0
WDR13,0,0,AD,mitochondrial,4.986924852452331,2.8616353357408477,14.270760374461805,0
METTL2A,0,0,AD,mitochondrial,4.410385123718176,3.1187779484286624,13.755011867930065,0
MPV17L,0,0,AD,mitochondrial,2.732512270173053,5.024483826311588,13.729463706682466,0
NADK2,0,0,AD,mitochondrial,3.458218686883724,3.6647483846823916,12.67350134663559,0
LOC102724023,0,0,AD,mitochondrial,2.550179948405891,4.301545179864347,10.96971426485207,0
CLN3,0,0,AD,mitochondrial,3.06991580392338,3.5568635416030334,10.919271598766036,0
METTL2B,0,0,AD,mitochondrial,3.79790080813126,2.844539697311167,10.803279615179532,0
CARS2,0,0,AD,mitochondrial,2.9461705871423516,3.653131547112108,10.762748715063527,0
GPR107,0,0,AD,mitochondrial,3.1392125889656923,3.398079339944336,10.66729344225749,0
HINT3,0,0,AD,mitochondrial,2.3290982185799787,4.486239457266849,10.448892328043428,0
TYW3,0,0,AD,mitochondrial,2.9009375490073266,3.3900304835944675,9.834266722138656,0
GCDH,0,0,AD,mitochondrial,2.091498292483007,4.4771587534729465,9.363969888064014,0
POLG,0,0,AD,mitochondrial,2.296719087857756,3.9582291152724576,9.090940363160572,0
RAB30,0,0,AD,mitochondrial,3.0648200143477617,2.4543640534354916,7.522184073464794,0
CLNK,0,0,AD,mitochondrial,3.61725546626594,2.0223241606527105,7.315263124682696,0
UNC80,0,0,AD,mitochondrial,3.566020932046924,2.0285171553518593,7.233734637001012,0
AIG1,0,0,AD,mitochondrial,2.9130155640579356,2.3914762159957315,6.966407438269943,0
OCIAD1,0,0,AD,mitochondrial,1.7401748672441713,3.9616752591573743,6.894007718168702,0
ANGEL1,0,0,AD,mitochondrial,3.1222171389485287,2.165130970399314,6.760009023848997,0
RETREG1,0,0,AD,mitochondrial,3.382035332580086,1.98413391657921,6.710411010441397,0
DENND6B,0,0,AD,mitochondrial,3.3072775316483702,1.8849972437046116,6.23420903132337,0
TIMM29,0,0,AD,mitochondrial,2.9436899104502423,2.076936453105812,6.113856881653891,0
GPR180,0,0,AD,mitochondrial,2.6577164491886256,2.2691407650660893,6.0307327368406085,0
CLYBL,0,0,AD,mitochondrial,3.0637902571989817,1.9570727120664986,5.996060307859326,0
SPPL2B,0,0,AD,mitochondrial,2.870759834513657,2.083588764738457,5.981482937455088,0
MSH5,0,0,AD,mitochondrial,3.297675715226103,1.774196165520962,5.8507236090857475,0
CCS,0,0,AD,mitochondrial,2.168643942629894,2.652346514801046,5.751995203078799,0
CYB5R1,0,0,AD,mitochondrial,2.3772674890645984,2.401829045120723,5.709790103256563,0
GGCX,0,0,AD,mitochondrial,3.130070260748016,1.8132654844064948,5.675648367581615,0
PRXL2A,0,0,AD,mitochondrial,2.477372719876123,2.204162755809692,5.460532681409907,0
DEFB104B,0,0,AD,mitochondrial,1.6749452205548474,3.239578980767871,5.42611733044709,0
FOXI2,0,0,AD,mitochondrial,3.0754916469205105,1.7196579339452813,5.288793611409296,0
OPA3,0,0,AD,mitochondrial,1.5601425095506734,3.33125457873393,5.197231878418124,0
UBIAD1,0,0,AD,mitochondrial,1.691706106244154,2.9983291039712885,5.072291653717792,0
ATP13A1,0,0,AD,mitochondrial,1.8913822134935143,2.668993653253242,5.048087123690259,0
DMAC1,0,0,AD,mitochondrial,1.5734480847138237,3.1830057336551967,5.008294275252888,0
RMDN3,0,0,AD,mitochondrial,1.8861089106281301,2.64633204006531,4.991270441247899,0
UBFD1,0,0,AD,mitochondrial,1.6256569282418987,2.9894384795809916,4.859801375883767,0
CIB1,0,0,AD,mitochondrial,2.199941873334818,2.1154117627529314,4.653782916225194,0
ENSA,0,0,AD,mitochondrial,1.5497494507774314,2.8679676993908507,4.444631366978385,0
PTPMT1,0,0,AD,mitochondrial,1.5058893930846127,2.9228878649858734,4.401545833057956,0
TKFC,0,0,AD,mitochondrial,1.6069801023395418,2.731533297191279,4.389519657464308,0
ATP1B1,0,0,AD,mitochondrial,2.2741684631796617,1.8906991709802916,4.29976842800331,0
ALKBH7,0,0,AD,mitochondrial,2.106973214587102,2.031686590771625,4.2807092271916005,0
PEX19,0,0,AD,mitochondrial,1.9885570692390082,2.1455390855401424,4.266526915879448,0
GNPTAB,0,0,AD,mitochondrial,2.2829081097309287,1.8303317533406651,4.1784792031994344,0
MVB12A,0,0,AD,mitochondrial,1.7308856503197279,2.409062700979411,4.169812059845748,0
SRI,0,0,AD,mitochondrial,2.4303334650632014,1.7056854520904927,4.145384435086981,0
CTNNBIP1,0,0,AD,mitochondrial,2.49348485743459,1.5184973558794184,3.7863501629397933,0
MSRB2,0,0,AD,mitochondrial,1.718562295937748,2.184619988990026,3.7544055440301967,0
STK11,0,0,AD,mitochondrial,2.1897500630244693,1.709559494828554,3.7435080115449058,0
G6PC3,0,0,AD,mitochondrial,2.2119092038070156,1.6173857451365203,3.5775104157737374,0
ASMTL,0,0,AD,mitochondrial,1.6728485005367426,2.133033377455001,3.5682416870704223,0
ABCB10,0,0,AD,mitochondrial,1.7906769879396631,1.9443041354138284,3.481620672841465,0
VPS35,0,0,AD,mitochondrial,1.5453102660703837,2.2193718535310105,3.4296181094891263,0
RASL10B,0,0,AD,mitochondrial,2.082614326159234,1.5622641792025547,3.253593760852637,0
