,d1_seeds,d2_seeds,d1_name,d2_name,z_d1,z_d2,z_both,sum_seeds
PICALM,1,0,AD,nonCD_lyso,14.182708784330869,2.2514882515659838,31.932202203302626,1
BIN1,1,0,AD,nonCD_lyso,10.425276147319128,2.8263023454079903,29.46498242669403,1
TREM2,1,0,AD,nonCD_lyso,8.0779653907714,3.4485955075520605,27.857635156775274,1
RIN2,0,1,AD,nonCD_lyso,3.253052147443347,8.512603341930404,27.691942581800117,1
APOE,1,0,AD,nonCD_lyso,11.60976479191202,2.281081143628886,26.48281554879705,1
SLC29A3,0,1,AD,nonCD_lyso,1.7645193238009393,14.777661441255779,26.07546917368386,1
CD2AP,1,0,AD,nonCD_lyso,14.821901118927236,1.5477589687156728,22.940730390236496,1
PSEN1,1,0,AD,nonCD_lyso,13.371717835766804,1.6338500375856793,21.84738168855269,1
SUMF2,0,0,AD,nonCD_lyso,3.560258639978268,6.025571015341768,21.452591268173155,0
MAP9,0,0,AD,nonCD_lyso,3.3077635696923777,6.379040899403909,21.10035909662595,0
UNC13D,0,0,AD,nonCD_lyso,3.180130041816319,6.548216666427572,20.824180541228632,0
ACP5,0,0,AD,nonCD_lyso,3.0652051786337564,5.671692544341872,17.384901358535174,0
GNPTAB,0,0,AD,nonCD_lyso,2.2829081097309287,7.577087041665207,17.297793455554633,0
AGBL1,0,0,AD,nonCD_lyso,7.442057659973606,2.2425279476036515,16.689022290168644,0
KIAA0513,0,0,AD,nonCD_lyso,4.954902773317375,3.338971204087081,16.544277679157933,0
CTSK,0,1,AD,nonCD_lyso,2.021242491629962,8.107154264962709,16.3865246865417,1
HEXA,0,0,AD,nonCD_lyso,2.897333324123519,5.488053371145191,15.900719916787379,0
ATF6,0,0,AD,nonCD_lyso,2.8317414759552904,5.0705977523359325,14.358621963175331,0
SPPL2C,0,0,AD,nonCD_lyso,7.0887156011427,2.0017106322827516,14.18955738803596,0
AC138894.1,0,0,AD,nonCD_lyso,4.276622624662538,3.2974799234181957,14.10207724486075,0
RASSF3,0,0,AD,nonCD_lyso,3.5222232414627324,3.9780150550071975,14.011457081635001,0
TPSB2,0,0,AD,nonCD_lyso,2.054671691676434,6.773723217366936,13.91777734197526,0
HM13,0,0,AD,nonCD_lyso,3.8549205721119897,3.539329274810852,13.643833232946562,0
DCSTAMP,0,0,AD,nonCD_lyso,4.1529896518067,3.279850680817186,13.621185936904933,0
OCSTAMP,0,0,AD,nonCD_lyso,4.152989651806651,3.2798506808172117,13.62118593690488,0
APCDD1,0,0,AD,nonCD_lyso,2.3146643907953255,5.783246764731298,13.386275349505807,0
RIN3,0,0,AD,nonCD_lyso,2.856627132311421,4.23343718301999,12.093351519950934,0
TIMM29,0,0,AD,nonCD_lyso,2.9436899104502423,4.0204131342351905,11.834849579089767,0
TMEM176A,0,0,AD,nonCD_lyso,3.291725881434574,3.579893644305761,11.78402856174441,0
DDX11L8,0,0,AD,nonCD_lyso,4.399927816521171,2.6199487365879244,11.527585323972705,0
TNFSF11,0,0,AD,nonCD_lyso,2.368810820619749,4.673298378037644,11.070159765880293,0
CLN3,0,0,AD,nonCD_lyso,3.06991580392338,3.600854691475093,11.054320724991035,0
UNC93B1,0,0,AD,nonCD_lyso,2.982692305041279,3.6899673813029,11.006037314065479,0
SH3BP2,0,0,AD,nonCD_lyso,3.103720122009547,3.514889590145435,10.909233547576276,0
TMEM175,0,0,AD,nonCD_lyso,5.306204427004831,2.0320567740292597,10.782508650279212,0
SIAE,0,0,AD,nonCD_lyso,2.2277127675470467,4.7883112986916325,10.666982215085131,0
SLC15A3,0,0,AD,nonCD_lyso,2.280705463637685,4.661932427064119,10.63249475751483,0
NAAA,0,0,AD,nonCD_lyso,1.5025259847523413,6.920451689817251,10.39815849017367,0
CHI3L1,0,0,AD,nonCD_lyso,3.456719166192957,3.001917088155975,10.376784333950912,0
CBWD3,0,0,AD,nonCD_lyso,4.255209419053291,2.380996253313191,10.131637683828886,0
LIMD2,0,0,AD,nonCD_lyso,2.212987678390639,4.545149392793863,10.058359602697513,0
GRN,0,0,AD,nonCD_lyso,2.8080431704702202,3.5577261247975365,9.990248547141205,0
RSPO1,0,0,AD,nonCD_lyso,2.599978086603333,3.8388970101162028,9.981048103029181,0
G6PC3,0,0,AD,nonCD_lyso,2.2119092038070156,4.344168800651212,9.608906953051699,0
SLAMF8,0,0,AD,nonCD_lyso,2.6711039408181017,3.595701056696802,9.60449126254664,0
VPS9D1,0,0,AD,nonCD_lyso,3.4373436689896812,2.7465163769785486,9.440720680183691,0
UNC5B,0,0,AD,nonCD_lyso,1.7254777516714315,5.387774354693503,9.296484780049544,0
PCSK7,0,0,AD,nonCD_lyso,1.9260520399929664,4.761649817362564,9.171185344463302,0
M6PR,0,0,AD,nonCD_lyso,2.145715725751898,4.258461768712908,9.13744838464053,0
PLD3,0,0,AD,nonCD_lyso,3.17876666067661,2.8739934692306917,9.135754622992831,0
CTSD,0,0,AD,nonCD_lyso,2.721777584934866,3.272861241695934,8.908000366250088,0
INPP1,0,0,AD,nonCD_lyso,2.896461440887777,3.0747270458620095,8.905828329594094,0
NR1H3,0,0,AD,nonCD_lyso,1.9823889227129277,4.454652607862695,8.83085398436126,0
GYPC,0,0,AD,nonCD_lyso,2.584814085866538,3.4148663900458502,8.82679474634273,0
MAN1B1,0,0,AD,nonCD_lyso,2.1907892218327127,4.021122974625503,8.80943287247345,0
CCS,0,0,AD,nonCD_lyso,2.168643942629894,4.056040297488154,8.79610722221044,0
APBB1IP,0,0,AD,nonCD_lyso,2.16908709122848,4.049398089207261,8.783497122544743,0
P2RX5,0,0,AD,nonCD_lyso,2.3363728867224984,3.751118659717285,8.764011931442303,0
NPL,0,0,AD,nonCD_lyso,1.9811766725508002,4.351716210430472,8.62151864166602,0
PLD5,0,0,AD,nonCD_lyso,3.15724042057299,2.72398952087686,8.600289820529675,0
ZDHHC7,0,0,AD,nonCD_lyso,2.1642577538144154,3.911351941195908,8.46517376663031,0
PCSK9,0,0,AD,nonCD_lyso,1.9795320999132426,4.2546976803462435,8.422310633671803,0
KMO,0,0,AD,nonCD_lyso,1.722553290445857,4.842444017486466,8.341367876121167,0
GAS7,0,0,AD,nonCD_lyso,3.178271100575483,2.6244693320439096,8.3412750323818,0
LPIN2,0,0,AD,nonCD_lyso,2.321864551482013,3.5877820036321757,8.33034385267866,0
MAN2B1,0,0,AD,nonCD_lyso,2.4487709737901104,3.4010346058671277,8.32835482370311,0
CTSB,0,0,AD,nonCD_lyso,2.3123180898419284,3.5783651542510486,8.274318478234703,0
TRHDE,0,0,AD,nonCD_lyso,2.134671080565256,3.869999532307558,8.26117608341801,0
KHDRBS3,0,0,AD,nonCD_lyso,2.866328605519396,2.8751606638172618,8.241155256163553,0
PPP4R1,0,0,AD,nonCD_lyso,1.56863717880805,5.234830953580124,8.21155045856098,0
SKAP2,0,0,AD,nonCD_lyso,2.332234220017287,3.5192400199352147,8.207692002947228,0
FAM3B,0,0,AD,nonCD_lyso,2.966842172436276,2.7426471258534333,8.137001157093108,0
CARMIL1,0,0,AD,nonCD_lyso,2.201586145223629,3.694113979068482,8.1329101551941,0
SLCO2B1,0,0,AD,nonCD_lyso,2.9613722200445145,2.714753636583246,8.039396003642446,0
TNFSF13,0,0,AD,nonCD_lyso,3.180260480863168,2.5195230787186933,8.01273967787176,0
ZNF358,0,0,AD,nonCD_lyso,1.8619818175335512,4.242775776594608,7.899971351890953,0
ATG2A,0,0,AD,nonCD_lyso,2.6744760156005687,2.9352929684728206,7.850370642941555,0
PHYHD1,0,0,AD,nonCD_lyso,4.084435852618511,1.9058215960309834,7.7842060555235815,0
RASSF7,0,0,AD,nonCD_lyso,2.6243737445036546,2.9214278934005202,7.666918659900946,0
CTSA,0,0,AD,nonCD_lyso,1.9884238609086133,3.7977007434474603,7.55143877486131,0
IDUA,0,0,AD,nonCD_lyso,2.2074266293382747,3.4112989766265613,7.530192201639876,0
PLXNC1,0,0,AD,nonCD_lyso,3.944280088927645,1.9076465154653066,7.524292167662011,0
TCN2,0,0,AD,nonCD_lyso,2.54342557538657,2.956392976054734,7.519365506190826,0
