z_comb,z_12,observed_overlap,expected_overlap_mean,expected_overlap_std,empirical_p,obs_exp
2,1.0,220,383.17,17.748270338261133,1.0,0.5741576845786466
2,1.5,108,187.89,12.498715934046986,0.9999999999180582,0.5748044068337858
2,2.0,39,73.09,7.789858792044949,0.9999939617603227,0.5335887262279382
3,1.0,153,260.74,13.795376036919038,0.9999999999999971,0.5867914397484083
3,1.5,99,173.65,11.669940016983807,0.9999999999206545,0.5701122948459545
3,2.0,39,72.58,8.699632176132507,0.999943291012287,0.537338109672086
4,1.0,101,179.0,13.406714735534578,0.999999997021851,0.5642458100558659
4,1.5,78,137.69,12.309098261042521,0.9999993803809555,0.5664899411721984
4,2.0,39,72.83,7.212565424313323,0.9999986368118428,0.5354936152684333
5,1.0,71,125.26,11.489664921136734,0.999998835213178,0.5668210122944276
5,1.5,57,100.81,8.140878330991073,0.9999999630627011,0.5654200972125781
5,2.0,32,66.8,8.620904824900922,0.9999728957553399,0.47904191616766467
9,1.0,17,35.3,5.629387178015027,0.9994245918315902,0.481586402266289
9,1.5,15,33.66,5.464833025811493,0.9996805743392538,0.4456327985739751
9,2.0,13,27.28,4.899142782160976,0.9982203923684841,0.4765395894428152
12,1.0,10,17.31,3.7727841178630936,0.9736616079997338,0.5777007510109764
12,1.5,8,16.53,4.290582711007912,0.9765982992114982,0.4839685420447671
12,2.0,8,13.96,3.3642829845302846,0.9617654676680807,0.5730659025787965
