z_comb,z_12,observed_overlap,expected_overlap_mean,expected_overlap_std,empirical_p,obs_exp
2,1.0,628,359.08,18.369910179421126,7.900757097162619e-49,1.7489138910549182
2,1.5,350,184.49,12.498395897074152,2.4930716421205972e-40,1.897121795219253
2,2.0,155,69.62,7.570706704132714,8.457497858991989e-30,2.2263717322608443
3,1.0,416,253.91,12.998534532784838,5.450375132657189e-36,1.6383758024496868
3,1.5,319,168.5,11.857908753233009,3.2766254197750145e-37,1.8931750741839763
3,2.0,155,70.56,8.066374650361833,6.049369733642983e-26,2.1967120181405897
4,1.0,299,172.51,10.529477669856181,1.5192078915217982e-33,1.733232856066315
4,1.5,252,137.13,10.038580576954097,1.2767427698776906e-30,1.8376722817764166
4,2.0,155,69.67,8.258395727984947,2.5112991323626024e-25,2.2247739342615187
5,1.0,210,118.38,9.84761900156581,6.777491532290068e-21,1.7739483020780538
5,1.5,194,102.53,9.761613596122313,3.613693787500013e-21,1.8921291329367014
5,2.0,142,65.84,7.072085972328107,2.408437067146519e-27,2.1567436208991495
9,1.0,73,35.19,5.222441957552041,2.2449438317281624e-13,2.0744529695936347
9,1.5,65,32.13,5.094418514413593,5.513377456577072e-11,2.0230314347961404
9,2.0,60,26.71,4.956399903155515,9.30268642949053e-12,2.2463496817671285
12,1.0,47,19.82,4.412210330435302,3.633166354991577e-10,2.371342078708375
12,1.5,41,16.31,3.6405906114255693,5.931648249630921e-12,2.513795217657879
12,2.0,36,12.44,3.2659454986266994,2.719833992454537e-13,2.8938906752411575
