,z
UBE2Q1,-1.797182736136637
RNF14,0.33805916353496446
UBE2Q2,-1.3396076586998307
TMCO1,3.152963281730451
UBAC1,2.1857798385523446
RAB4A,1.9055414381697613
ZNF706,1.9132145903990698
MIB2,-2.254927579938611
RNF114,-2.113682637266967
RNF115,-1.3954197845863305
RNF111,-3.494931090977092
EEF1AKNMT,2.0714393600948786
UNKL,-1.4616613458236334
MMAB,17.318284892172574
UBE4A,-1.3293277141554107
DDX41,2.1974231354315834
ATMIN,-0.0601282705405436
TSG101,2.1150214781897723
FBXW11,-0.8423509108329144
UBE2D4,-1.722014686642165
RPS27A,-3.1706710376037104
UBE2D2,-0.7823473262520235
ATP6V1H,2.2624384543083598
UBE2D1,-1.4589294067936311
MFSD11,-2.0268639546812772
CCT3,4.67915201878324
LNX1,-2.2866982905630846
MRFAP1L1,-0.6501936698044772
GTF2B,-2.140076127254956
FBXL13,-2.134994355446188
FBXL12,-1.5841053424262583
FBXL15,0.8667549855638902
FBXL14,-2.468959851157971
FBXL16,-2.3635882285421044
FBXL19,-2.315623897812061
FBXL18,-0.5731296800776436
CCDC51,2.601978830367988
PPP1R11,0.4082907045432162
AKTIP,0.9330825038192105
RNF41,-1.0442265285487795
ANAPC1,0.43299531750826964
ANAPC2,0.34760081009297544
ANAPC5,-0.5577905153909699
ANAPC4,-3.2792702655088246
ANAPC7,-1.2809655191862332
ZNRF1,-0.20854835526418045
LRR1,-2.3489125618690445
ZNRF2,-0.49581251725838027
FBXO30,-2.4072484565198518
FBXO5,-1.337775630114493
FBXO32,-2.6269984691503585
EMC7,3.3194823301711014
KLHL25,-1.9539792700822094
KLHL21,-2.2126631492490683
KLHL20,-1.152004085463581
KLHL22,1.1047787661793358
MKRN1,-1.5061226070070142
SPSB2,-1.6947315403145429
SPSB1,-1.4379434234165875
TRIM50,-2.183886580179164
SPSB4,-2.0800010167183305
ARF1,2.0037412599113216
CDC34,-0.9099847907481631
AREL1,-0.9080611467048358
LONRF1,-1.6601404805867033
CIAO2B,4.446171042753129
RNF25,-1.3160751365255137
UBE2V1,-1.571836223928176
UBE2V2,-0.19612796156827766
RNF26,0.0012820801281015928
PSMD8,4.747547402876273
LMO7,-2.7924718883447963
MGRN1,-0.4288617459740005
DHX8,-0.7700278236009199
SPCS1,4.431803078444942
ITCH,-3.187608012752016
PSMD4,3.221171144236407
FLAD1,16.46625197624438
CBLL2,-4.644374614019491
ARIH2,-0.6514808857909818
TRIP12,-2.2033893264051443
MEX3C,-2.0731525361300847
E2F6,-2.0548896633368643
SNW1,-1.9497937313438913
PRCC,-0.4978486072370519
C3AR1,-1.6502055349356572
BTRC,-2.157185258049384
TRIM11,-0.2777364128764691
HUWE1,-1.021969814705048
UFC1,2.5829542997023265
LRRC41,-2.422096302397622
USP25,-2.6820388504698625
MOAP1,-0.18697206926830065
ASB2,-2.677524982227435
ASB1,-2.2932731358276146
ASB6,-0.48102069876812775
ASB7,-3.605968665669238
ASB4,-4.1325185226437675
ASB5,-2.7025513039647495
ASB8,-2.70711004739371
ASB9,-2.377633857367831
PIP4K2C,-3.3398318050962046
ZMPSTE24,2.309965238798854
MRPL34,6.98263567058826
UBE2R2,-1.812893458311848
IMPA1,2.8069058952768398
RNF19B,-2.5334760610600844
RNF19A,-2.6642212167411192
RFX5,-0.9829952433433462
TRAIP,-3.0103498946877116
UBA52,-0.7368994509819333
KAT7,-3.366292203501145
EXOSC7,2.907290834673753
ADAR,-1.3958482539576695
STK24,-2.0738966308274627
GPR161,-2.5937377017542915
UBE2E1,-1.8580004998685953
UBE2E3,-0.030455125174167555
UBE2E2,-1.7793094666639213
DLGAP3,5.601496617171343
JTB,3.980591975759035
TRIM9,-1.4235628266456168
FBXL20,-2.1903634596049124
TRIM4,-1.8884238377470297
FBXW12,-3.1796839346828603
PI4KB,-1.0088467820502176
RNPEP,2.989875490537641
ELOB,3.6305108307613625
FBXW8,-2.527307451522392
SKP2,-2.6363531214292504
ZBTB16,-2.4683435665420905
SKP1,-1.2275311505459507
DEDD,-0.8029609599129691
WDR26,-1.5424669149761756
FBXW9,-2.165447478029786
FBXO21,-1.3434696303924494
FBXO27,-2.098949451060005
HNRNPAB,1.8948221203153188
DDX19B,-0.15492162544176463
FBXO28,-0.5790898334384251
FBXW4,-0.5470617204360041
FBXW5,-2.3637802861851616
FBXW7,-2.2333089556030843
KLHL11,-1.7718322455531528
KLHL12,-0.6374809216810429
LRSAM1,-1.4445017779299276
SH3RF1,-1.6097732869749555
CSTB,1.0781444351636116
GNB1,-3.986667307862579
UBE2D3,-2.244680595816546
TRIM69,-0.5900814696746591
JOSD1,-1.5261489265134347
TRIM63,-1.279138740617743
PIP5K1A,-3.597064773441029
KEAP1,0.4923424884521075
ATP6V0C,3.9566233694939137
ERCC3,-1.176402576038167
RNF34,-0.9105907457483378
TOR1A,0.4587001322072949
TOR1B,0.9850669522370474
RLIM,-2.278442671416232
TMEM248,-0.4340005954999546
MFSD5,0.6100548619077721
PSME3,0.5016056842784246
KBTBD13,-1.7092422137901748
DDX23,-0.4486121763114823
ERP44,2.3462692379977765
ILF2,2.2601178358249627
ASB10,-2.16985289609602
UBE2J1,-1.4723193180049874
UBE2J2,-1.9185456890196808
WWP1,-0.43172435934619463
BTBD1,0.19297543107548407
FBXO10,-2.054453208203723
FBXO17,-1.610594677028248
FBXO15,-2.0516828932494837
ASB13,-1.9123809793994127
CAPRIN1,1.3357826815011216
PPP1R7,2.695716078016807
CERS2,1.4926775872497746
ASB17,-3.8424906033038826
EIF4ENIF1,-1.8784126603159705
CUL5,-1.5508068736059353
CUL7,-0.5608067059756521
CUL1,-1.8540247100317413
CUL2,-2.3080909543190766
CUL3,-0.4278916256206669
TRIM27,-0.5767354618679705
TRIM21,-2.2356255452788765
IRF2BPL,-0.02534805470881674
RNF138,-1.2720943710271018
TOR1AIP1,0.03689707248731504
DZIP3,-1.1609822254633697
RBBP6,-4.018614395496919
RNF182,-0.8454343928039847
RBX1,1.7389709480125952
RNF217,-1.575880262382736
RNF213,-3.103709424095803
SLBP,0.41993309098563153
SMURF1,0.4560898003262852
UBE2F-SCLY,-1.0842569824625827
SMURF2,-1.3394061057439253
CDC16,-0.046372222802647044
UBAP2L,2.405450592808153
RNF130,0.35663199147284474
B4GALT1,2.3787496513759416
B4GALT3,2.4918460684130395
PJA2,0.06884457059054869
RIC8A,-1.03494924164198
HERC1,-3.6668362295556456
HERC3,-2.554696753502053
HERC2,1.0053285970918349
HERC5,-3.4886654279951514
HERC4,-2.345169546785205
HERC6,-2.1559556719360424
MRPL9,3.4344130873133905
UBE2I,-3.490277493820365
UBE2H,-2.1601127872925163
UBE2K,-1.696754508472364
UBE2M,1.1399966355809075
UBE2O,-1.9136704800918223
UBE2N,0.03819522664313627
UBE2A,-1.4123869660935349
UBE2C,-2.3156496941071234
UBE2B,-2.60229027864306
UBE2F,-1.9129111201689315
UBA5,3.3645540066337087
RBCK1,-1.8886864197200326
UBE2S,-0.1478031202676879
UBE2U,-3.913710791549112
UBE2T,0.32933287233307457
UBE2W,-1.4695549706673323
DPF2,-1.6540224585394572
UBA1,2.740138882041598
FBXO2,-2.7887088033681424
FBXO4,-1.8442338832874952
FBXO6,3.2636211427376467
FBXO7,-1.443971845616876
FBXO9,-0.7500489854391023
HACE1,-1.022007808748228
SRPRB,3.4368585172158084
ASB11,-2.6891414236958098
FHL3,-2.0459981642215768
FBXO44,-2.296692388683534
FBXO41,-2.393349051419674
FBXO40,-3.297151353250251
NDUFA8,7.680070022856475
DET1,0.5156053625299891
TP53,-2.108907440470812
MAEA,1.9250684499797994
TRIM71,-0.9207339634569358
BIRC6,-2.461906159762316
PEX19,3.911170795201377
MAP2K1,-1.3887598217212769
ADPGK,2.869270444539395
ANGEL2,-0.1733598590159539
RCHY1,1.318786397090281
LYPD3,-0.7644379677784937
NSF,1.8393301453792303
APEX1,3.774635273541471
UBE2Z,-0.959705165321664
MAD2L1BP,0.03317797238199684
POGK,0.6256679455639096
PPP1CA,2.6864905435031448
MYLIP,-1.5505866282781227
M6PR,1.97890010107215
HECTD2,-1.8549786676640732
HECTD3,-1.3988640544634703
ASB12,-2.7864278559927076
HECTD1,-3.3233382042456503
ASB14,-1.1291903351507835
ASB15,-4.574925622759489
ASB16,-2.0723731481529524
UBE2QL1,-0.8611033660311761
ASB18,-1.8353263855320283
DHX16,-0.6858656550171884
AC022826.2,-0.9783684950242871
STUB1,2.504054538669711
ANAPC11,0.5965908530400345
ANAPC10,1.6211502747580195
ANAPC13,1.8324587182187932
CSNK1D,-2.342651141552928
UBR4,-1.5314914927416963
WSB1,-1.6013212624559188
SCAMP3,4.028187596694765
CHTOP,0.7326857463612761
KLHL5,-1.896219279717698
KLHL2,-2.0683619784457754
KLHL3,-2.1622903786064835
UBR2,-2.321351589919947
UBR1,-1.9087223622053613
FBXO22,1.3666505405643592
KLHL9,-2.208885397394833
FBXL8,-2.1434627416867014
SOCS1,-5.900799639421385
SOCS3,-3.108000398871223
FBXL3,-2.857448701670374
FZR1,-2.6144425343086097
FBXL5,-1.2096158699329063
FBXL4,15.389721501324342
FBXL7,-3.38408309992656
SUPT4H1,0.5350804862014196
TMEM189-UBE2V1,-1.07779501210978
UBB,-0.7968008819541276
UBC,2.9085287773455697
RNF6,-1.878345639625075
RNF7,-1.4805623799907723
RNF4,-3.1425633341511117
TRIM39,-1.403096657712362
TRIM32,-1.8476943970776636
TRIM37,18.801921517023136
TRIM36,-3.0680899134076136
UBE2L6,-3.097059075195114
UBE2L3,0.7659305493051975
KBTBD7,-1.0775144162612427
KBTBD6,-1.1470679201713951
UBE3B,-2.2796435435939
UBE3C,-0.17516318955089472
