Cluster,genes,Top pathway,p_value,recall,intersection_size,num_d1_seeds,num_d2_seeds,num_both_seeds,frac_d1_seeds,frac_d2_seeds,frac_both_seeds,frac_no_seeds
C172,CMAS CLDND1 NEMP2 STARD3NL RNF167 GSTA4 ACCSL FAF2 PITRM1 CDK5RAP2 DYNC1I2 GADL1 CNOT1 CCDC28A PGRMC2 GNE RAB3GAP2 EXOC3 PHYH SPTLC3 ZNF329 ATP5F1C HAUS4 UQCRC2 ATP5PB GOT2 OSBPL1A SPOPL DCTN5 PINK1 ACCS WDR41 GSTM2 NUDT12 CPT1B RAB28 SCAMP1 SUSD2 GLRX FIG4 NMT2 GSTM4 KYAT3 PRPF4 TMEM132E COG2 DMXL2 HIGD1A RMDN3 RBM12 MOSPD1 ACYP2 MAN2A1 GSTT2B MIGA2 HPLH1 AADAT GDAP1L1 ABHD3 DCTN4 SLC22A17 SPTLC1 RTL5 GYG1 ACOT6 B4GALT6 CFAP65 BECN1 SOD1 MSANTD1 SMIM11A EIF2B2 ITPR2 GSTM1 SCG2 NETO2 HS2ST1 RNF157 CDC40 CPT1C AGA RMDN2 ACBD4 PHYKPL GSTA3 B3GALNT1 ALDH4A1 KTN1 SPATA7 VPS37A NTRK1 GOLT1B GSTO2 LEKR1 PSPH AGTPBP1 CROT ELAVL4 C12orf4 TSPAN31 MYO6 ACBD5 OPTN CHCHD10 SGCG LTBR KIF5A WDR7 CHM DOCK5 MGST1 DYNC2LI1 GPR137B PFN2 TOGARAM1 MPPE1 MLLT11 PCDHB16 CHMP2B GORASP1 ARHGAP12 GOLIM4 NDUFA3 VAPB LHFPL3 SEC22B R3HCC1L PDLIM1 MICU1 C1QTNF2 LRBA SCFD1 ATG5 RIC1 KIF1B GSTM3 STX1B MAPK8IP1 PAIP2 FAM155A PTPRN TMEM59 EXOC5 OSTF1 ATPSCKMT SS18 UAP1 YIPF5 ATP5F1A KYAT1 HPCAL4 DNM1 ATL1 DYNC1LI1 VAMP8 RAB6B PNMA8A SEC31A PJA2 SUZ12,glutathione metabolic process,9.229587011843162e-08,0.17307692307692307,9.0,7,2,2,0.04375,0.0125,0.0,0.94375
C192,CHMP2B ARHGAP12 ABHD3 TOGARAM1 KTN1 HS2ST1 MOSPD1 SUZ12,C192,,,,1,0,0,0.125,0.0,0.0,0.875
C226,SCFD1 PJA2 TMEM59,C226,,,,1,0,0,0.3333333333333333,0.0,0.0,0.6666666666666667
C203,CHCHD10 SMIM11A FIG4 PITRM1 CDC40,C203,,,,1,0,0,0.2,0.0,0.0,0.8
C173,TMEM132E NEMP2 STARD3NL GOLIM4 RMDN3 LHFPL3 KIF1B STX1B MAPK8IP1 MIGA2 FAM155A SLC22A17 RTL5 ELAVL4 PTPRN CFAP65 MSANTD1 ACBD5 SGCG RNF157 SCG2 LTBR KIF5A HPCAL4 DNM1 SUSD2 ATL1 PFN2 RAB6B RMDN2 PNMA8A ACBD4 MLLT11 VAPB,C173,,,,2,1,1,0.058823529411764705,0.029411764705882353,0.0,0.9117647058823529
C174,NDUFA3 ACCSL HIGD1A GADL1 CNOT1 GOLT1B SPTLC3 AADAT PSPH SPTLC1 CROT CHCHD10 ATP5F1C UQCRC2 ATP5PB GOT2 ATP5F1A ACCS KYAT1 CPT1B CPT1C AGA KYAT3 PHYKPL EIF2B2,pyridoxal phosphate binding,3.1767280270633927e-16,0.16071428571428573,9.0,1,0,0,0.04,0.0,0.0,0.96
C175,RNF167 CDK5RAP2 DYNC1I2 PDLIM1 MICU1 ACYP2 HPLH1 PHYH ACOT6 SOD1 OPTN HAUS4 OSBPL1A SPOPL WDR7 PINK1 DOCK5 NUDT12 GPR137B NMT2 MPPE1,C175,,,,2,1,1,0.09523809523809523,0.047619047619047616,0.0,0.8571428571428572
C178,GSTA3 SOD1 GSTT2B GOLT1B GSTA4 GSTO2 ALDH4A1 GDAP1L1 GSTM1 NETO2 GSTM4 PCDHB16 GSTM2 MGST1 GSTM3,glutathione metabolic process,1.8958722552383158e-18,0.17307692307692307,9.0,1,0,0,0.06666666666666667,0.0,0.0,0.9333333333333333
C216,GOLIM4 ACBD4 SUSD2 ACBD5,C216,,,,0,1,1,0.0,0.25,0.0,0.75
C177,LHFPL3 KIF1B STX1B MAPK8IP1 FAM155A SLC22A17 RTL5 ELAVL4 PTPRN SGCG RNF157 SCG2 KIF5A DNM1 HPCAL4 ATL1 PFN2 RAB6B PNMA8A MLLT11,C177,,,,1,0,0,0.05,0.0,0.0,0.95
C183,TMEM132E NEMP2 MIGA2 STARD3NL RMDN3 RMDN2 LTBR VAPB MSANTD1,C183,,,,1,0,0,0.1111111111111111,0.0,0.0,0.8888888888888888
C190,CHCHD10 NDUFA3 HIGD1A ATP5F1C UQCRC2 ATP5PB CNOT1 ATP5F1A,proton motive force-driven mitochondrial ATP synthesis,3.709719300800477e-07,0.05970149253731343,4.0,1,0,0,0.125,0.0,0.0,0.875
C210,SOD1 PDLIM1 NUDT12 ACOT6,C210,,,,1,0,0,0.25,0.0,0.0,0.75
C215,OPTN DYNC1I2 CDK5RAP2 HAUS4,Regulation of PLK1 Activity at G2/M Transition,2.354414941935703e-07,0.047058823529411764,4.0,1,0,0,0.25,0.0,0.0,0.75
C189,HPLH1 RNF167 PHYH OSBPL1A MPPE1 MICU1 ACYP2 PINK1,C189,,,,0,1,1,0.0,0.125,0.0,0.875
C184,STX1B ATL1 HPCAL4 DNM1 PFN2 KIF5A MLLT11 ELAVL4 KIF1B,C184,,,,1,0,0,0.1111111111111111,0.0,0.0,0.8888888888888888
C212,KIF1B PFN2 ATL1 KIF5A,C212,,,,1,0,0,0.25,0.0,0.0,0.75
C220,OSBPL1A PHYH MPPE1 HPLH1,C220,,,,0,1,1,0.0,0.25,0.0,0.75
C221,PHYH PINK1 RNF167 ACYP2,C221,,,,0,1,1,0.0,0.25,0.0,0.75
C218,KTN1 SUZ12 ABHD3 CHMP2B,C218,,,,1,0,0,0.25,0.0,0.0,0.75
