,d1_seeds,d2_seeds,d1_name,d2_name,z_d1,z_d2,z_both,sum_seeds
DEGS2,0,0,DLB,FA_ox,4.565189621697581,4.731413660777767,21.59980054014082,0
CERK,0,0,DLB,FA_ox,6.748781974550224,3.126509076987972,21.10012810204408,0
ACER2,0,0,DLB,FA_ox,9.367122506808244,1.881846580550321,17.627487459033045,0
VPS35L,0,0,DLB,FA_ox,4.59986821922228,3.825155937448728,17.595213230239814,0
DHCR24,0,0,DLB,FA_ox,4.967692417787348,3.2206250618722865,15.999074700398866,0
ORAI3,0,0,DLB,FA_ox,3.9638335174326715,4.010003871909024,15.89498775250778,0
ACO2,0,0,DLB,FA_ox,3.305569825554225,4.534333763357625,14.988556867146698,0
VDAC1,0,0,DLB,FA_ox,3.8715066742512203,3.5396218838989766,13.703669747840566,0
ECHDC2,0,0,DLB,FA_ox,3.3909096559465985,3.9190742321282173,13.289226656095073,0
TMEM53,0,0,DLB,FA_ox,2.3560505810058285,5.1857153532013145,12.217807670840802,0
POMK,0,0,DLB,FA_ox,5.796938184602097,2.095085910670706,12.145083515588874,0
GK,0,0,DLB,FA_ox,3.3039530191009754,3.559819419939808,11.761476119964412,0
FBP1,0,0,DLB,FA_ox,2.875988117239592,4.0502785019137555,11.648552843014937,0
ARSA,0,0,DLB,FA_ox,4.458682587386192,2.5791629625965014,11.499668991360405,0
FABP3,0,0,DLB,FA_ox,2.774145988904896,4.066521835833898,11.281125239672782,0
GATM,0,0,DLB,FA_ox,4.427177926189748,2.4925215786274477,11.034836513451062,0
HGSNAT,0,0,DLB,FA_ox,5.573331613646966,1.9675209460912026,10.965646689362687,0
FADS2,0,0,DLB,FA_ox,3.4326967489911544,3.175460985660115,10.900394602023724,0
HCCS,0,0,DLB,FA_ox,3.2408316098545487,3.335184160321179,10.808770251455078,0
DGKQ,0,0,DLB,FA_ox,6.454187769364113,1.671904899614227,10.790788154630079,0
PPARG,0,0,DLB,FA_ox,3.1334597089884513,3.430604672985633,10.749661520267983,0
HMGCS1,0,0,DLB,FA_ox,2.1735557624614876,4.872850190461257,10.591411611088622,0
FADS3,0,0,DLB,FA_ox,5.728551655137019,1.8452745412325557,10.57075052735996,0
SMPD1,0,0,DLB,FA_ox,3.540357340909972,2.964961990603391,10.49702494895176,0
MT-ND5,0,0,DLB,FA_ox,3.2364828762562836,3.1990784507795293,10.353762625748427,0
ESYT1,0,0,DLB,FA_ox,4.970784277111017,2.063682780172369,10.258121916625562,0
FABP2,0,0,DLB,FA_ox,3.688506647437592,2.74148147698296,10.111972651678675,0
ATP7B,0,0,DLB,FA_ox,3.3521872088868965,2.9988025690296243,10.052547613878271,0
MT-ND2,0,0,DLB,FA_ox,3.018256266100301,3.3011486774480754,9.963712681036375,0
AC010422.3,0,0,DLB,FA_ox,4.760481961723742,2.091728668209567,9.95763659383207,0
MT-ND4,0,0,DLB,FA_ox,2.9792613581240484,3.3019788434250508,9.837457973559392,0
HSPD1,0,0,DLB,FA_ox,2.228657704603252,4.348716555702184,9.691800657001389,0
NDUFA10,0,0,DLB,FA_ox,2.5794057711923344,3.7193610276519253,9.593741299873228,0
ELOVL6,0,0,DLB,FA_ox,2.2211477126153847,4.256643444038543,9.454633849145484,0
NDUFV1,0,0,DLB,FA_ox,2.2665699444448384,4.169131861679688,9.449628972110535,0
PINK1,0,0,DLB,FA_ox,2.6885114847544385,3.4769718610948623,9.347878780721551,0
MAOA,0,0,DLB,FA_ox,3.296021035310204,2.797265985896495,9.219847530872585,0
PMVK,0,0,DLB,FA_ox,3.3487897787574683,2.7494844008723076,9.207445258494285,0
IDH2,0,0,DLB,FA_ox,1.6931724987716839,5.413677350574166,9.16628960721533,0
GK3P,0,0,DLB,FA_ox,2.1794468864917764,4.182821491638648,9.116237276702739,0
ABCA7,0,0,DLB,FA_ox,3.7094375801514854,2.450890680353182,9.091425994545135,0
RDH11,0,0,DLB,FA_ox,3.5612257173455037,2.55103668478657,9.084817447753748,0
RRNAD1,0,0,DLB,FA_ox,4.915307847708414,1.8435053356692477,9.061396243707387,0
ASMTL,0,0,DLB,FA_ox,3.8082889895263365,2.370852827482513,9.028892718689036,0
SELENBP1,0,0,DLB,FA_ox,2.9507817634550726,3.0552077128641595,9.015251202686844,0
IDH1,0,0,DLB,FA_ox,1.7978806159763765,4.8926592031810054,8.796417141977553,0
FADS1,0,0,DLB,FA_ox,2.741167035283847,3.2058949377541675,8.787893521955084,0
AKR7A2,0,0,DLB,FA_ox,2.979975275742199,2.913565892267767,8.682354323203704,0
