z_comb,z_12,observed_overlap,expected_overlap_mean,expected_overlap_std,empirical_p,obs_exp
2,1.0,425,310.93,16.604369906744427,3.2128356168948144e-12,1.366867140513942
2,1.5,235,167.84,10.836715369520416,2.869265779168327e-10,1.400142993326978
2,2.0,92,71.99,7.2380867637795,0.0028501322123738173,1.2779552715654954
3,1.0,321,227.71,14.3515121154532,4.0063926838932316e-11,1.4096877607483203
3,1.5,218,158.9,11.371455491712572,1.0114334471458093e-07,1.3719320327249842
3,2.0,92,71.87,8.919254453147976,0.012006690357034938,1.2800890496730206
4,1.0,245,163.65,11.24221953174728,2.30858927506473e-13,1.4970974641002137
4,1.5,190,128.51,10.479976145011017,2.2136791543994774e-09,1.478484164656447
4,2.0,92,71.18,7.695946985264386,0.0034119300177639623,1.2924978926664792
5,1.0,168,115.86,9.951904340376268,8.063784822361662e-08,1.4500258933195236
5,1.5,146,101.9,8.391066678319271,7.377562966630051e-08,1.4327772325809616
5,2.0,86,65.19,7.298897176971328,0.0021783060023017856,1.319220739377205
9,1.0,43,36.55,5.404396358521458,0.11634213124036868,1.1764705882352942
9,1.5,37,32.76,6.069794065699429,0.24241946411747528,1.1294261294261294
9,2.0,29,27.34,5.044244244681258,0.37104460581178766,1.0607168983174835
12,1.0,25,18.57,4.345699023172221,0.06948682652538574,1.3462574044157243
12,1.5,21,16.84,4.146613075752305,0.1578753367020057,1.2470308788598574
12,2.0,17,15.15,3.0639027399707057,0.2729866250568527,1.1221122112211221
