z_comb,z_12,observed_overlap,expected_overlap_mean,expected_overlap_std,empirical_p,obs_exp
2,1.0,598,361.92,15.808655856839948,9.96206061066983e-51,1.6522988505747125
2,1.5,351,191.44,12.594697296878556,4.4012210782344666e-37,1.833472628499791
2,2.0,153,76.95,8.082542916681605,2.5004101120731714e-21,1.9883040935672514
3,1.0,457,258.06,14.333052710431229,4.1985089052976023e-44,1.77090599085484
3,1.5,329,177.97,12.206109126171206,1.822375739607583e-35,1.8486261729504974
3,2.0,153,77.21,8.027820376665138,1.847624371494085e-21,1.98160859992229
4,1.0,329,175.37,12.247167019355944,2.140571958662994e-36,1.876033529109882
4,1.5,274,142.26,11.476602284648536,8.410040625405591e-31,1.9260508927316182
4,2.0,153,77.17,7.889302884285784,3.5663439846662503e-22,1.982635739276921
5,1.0,225,123.58,10.000179998380029,1.8016615242273775e-24,1.8206829584075093
5,1.5,201,103.55,9.369498385719483,1.2296854456060431e-25,1.9410912602607437
5,2.0,140,70.13,8.455359247246683,7.07915014421784e-17,1.9962925994581493
9,1.0,85,37.22,6.114867128564611,2.775712377408933e-15,2.283718430951102
9,1.5,76,33.34,5.941750583792626,3.493170243660113e-13,2.2795440911817635
9,2.0,67,27.56,4.57016411083891,3.0706299099802946e-18,2.431059506531205
12,1.0,49,19.59,4.012717283836478,1.157669400510599e-13,2.501276161306789
12,1.5,43,16.74,4.078283952840949,6.013843594278424e-11,2.568697729988053
12,2.0,37,14.13,3.7938239284394846,8.288836045157136e-10,2.6185421089879686
