,d1_seeds,d2_seeds,d1_name,d2_name,z_d1,z_d2,z_both,sum_seeds
RENBP,0,0,DLB,glycosy,3.6223427945476456,5.228954142171163,18.941064359913778,0
ATP6V1B1,0,0,DLB,glycosy,4.395019070966551,4.128265996207463,18.14380778335453,0
SRD5A1,0,0,DLB,glycosy,3.1284087929396853,5.787533337751122,18.105770183252176,0
GPC2,0,0,DLB,glycosy,4.63200636709491,3.4681830186286633,16.064645824538413,0
FADS3,0,0,DLB,glycosy,5.728551655137019,2.7841285098225828,15.949023983058318,0
POC1B-GALNT4,0,0,DLB,glycosy,3.1081667283404113,5.091827803123164,15.826249764106068,0
BIN3,0,0,DLB,glycosy,3.6766831640120214,4.060488821526416,14.929130887765188,0
UGCG,0,0,DLB,glycosy,4.462054833069632,3.2562359586867538,14.529503397073357,0
VPS18,0,0,DLB,glycosy,5.923050230692292,2.40407510124597,14.239457583036538,0
SLC35C1,0,1,DLB,glycosy,1.9093589051487467,7.234872534327556,13.8139683010344,1
ATP6V0D1,0,0,DLB,glycosy,3.2600551128817696,4.156083966631325,13.549062784982397,0
HYOU1,0,0,DLB,glycosy,3.908716152226724,3.3963813251840227,13.275490544867996,0
GPC6,0,0,DLB,glycosy,4.420432000738943,2.8929565560315886,12.788117737029557,0
HEXA,0,0,DLB,glycosy,5.0236530133026704,2.467855050868775,12.397647462691138,0
ATP6V0E2,0,0,DLB,glycosy,3.7291254017176234,3.3202511081391517,12.381632747442799,0
FBXO6,0,0,DLB,glycosy,3.579016266224818,3.45941018873342,12.381285337020778,0
PREB,0,0,DLB,glycosy,4.044711350084957,2.992269880827871,12.102867949501851,0
GPC5,0,0,DLB,glycosy,4.236315813110415,2.820668724667234,11.949243521853791,0
RMDN3,0,0,DLB,glycosy,3.395089718333926,3.4589968494444996,11.743604639298464,0
UBIAD1,0,0,DLB,glycosy,3.943186516198704,2.9038079367771816,11.450256301930562,0
ADAMTS9,0,0,DLB,glycosy,4.633908253636047,2.466188480581912,11.428091155190664,0
B3GALT6,0,1,DLB,glycosy,1.5656943140828041,7.295234601376549,11.422107335275395,1
CYBC1,0,0,DLB,glycosy,4.223139295646526,2.473620243286172,10.446442851928552,0
ESYT1,0,0,DLB,glycosy,4.970784277111017,2.0718812234399513,10.298874609516847,0
EMC3,0,0,DLB,glycosy,3.0881282217274464,3.3059853078797468,10.209306529879747,0
B4GALT7,0,0,DLB,glycosy,4.106921334975806,2.479473295914011,10.183001778492033,0
MOGS,0,0,DLB,glycosy,3.275543297060832,3.0510132110183146,9.993725872595085,0
CANX,0,0,DLB,glycosy,2.7218940820773967,3.5842779509659657,9.75602494325476,0
GLB1,0,0,DLB,glycosy,3.149449649240601,3.0763903677141156,9.688936564524385,0
PDXK,0,0,DLB,glycosy,5.014563234569216,1.9236037597389595,9.646032691466102,0
