Cluster,genes,Top pathway,p_value,recall,intersection_size,num_d1_seeds,num_d2_seeds,num_both_seeds,frac_d1_seeds,frac_d2_seeds,frac_both_seeds,frac_no_seeds
C124,NAT9 PODXL MT-CO3 SLC25A5 ALDH4A1 NDUFV1 LACTB CCT8 NDUFA11 TBCB PSMB10 NTRK1 ATP6V0C CCS GLRX5 CCT5 NAA20 GAPDH SPPL2A HSPD1 ALDOC GSTP1 ECSIT HSPB2 HBA1 UBIAD1 ACO2 SCAMP3 CAPNS1 RRNAD1 TCP1 IDH2 NDFIP1 GPX1 BAD SLC25A13 VAPB CLN3 PRXL2A CCDC127 ATP5F1A CCT4 PTS LIN37 URGCP CCT2 SLC25A6 GABARAP MT-ND2 GK3P CCT7 EIF3G CCT6A HCCS DHCR24 VDAC1 ASMTL HSPA4 SDR39U1 MT-ND5 SPATA20 FECH TK2 SLC25A12 ATP5PF FXN SLC25A21 BLVRB PTMA SELENOW DGUOK MYL6B SRI PREB AKR7A2 HAGH CCDC12 EEF1D PMVK STUB1 GLUL MTREX OAZ2 MT-ND4 NDUFA10 ANXA11 IREB2 NUFIP1 NDUFB7 MTX1 TCTA SNCA ENSA UCP2 DNAJC14 UROS GK MSH2 SLC25A22 GLDC ATP5F1B CCT3 NDUFB9 RMDN3 NTAN1 AGL EMC3 MT-CO1 AGAP11 AP2S1 ATP6V0D1 GPS1 SLC31A1 GTPBP6 IDH1 HMGCS1 SCO2 ATP5MD,proton motive force-driven mitochondrial ATP synthesis,1.3273177690791975e-12,0.16417910447761194,11.0,1,10,10,0.00847457627118644,0.0847457627118644,0.0,0.9067796610169492
C130,AGAP11 MT-CO3 SCO2 LACTB MT-CO1 HSPB2 SNCA NDFIP1,C130,,,,1,3,3,0.125,0.375,0.0,0.5
C131,MYL6B SRI NTAN1 ANXA11 GSTP1 IDH2 AP2S1,C131,,,,0,1,1,0.0,0.14285714285714285,0.0,0.8571428571428572
C151,SRI SLC25A12 SNCA NDFIP1,C151,,,,1,0,0,0.25,0.0,0.0,0.75
C125,GLUL MTREX HSPA4 PODXL SLC25A5 UBIAD1 ACO2 TCP1 IREB2 NUFIP1 IDH2 FECH ENSA SLC25A12 DNAJC14 SLC25A13 ATP5PF FXN SLC25A21 GK CCT8 MSH2 VAPB SLC25A22 PTMA GLDC CLN3 CCT3 NTRK1 AGL CCT4 PTS GLRX5 CCT2 CCT5 SLC25A6 SLC31A1 NAA20 GK3P GAPDH EEF1D IDH1 SPPL2A HSPD1 CCT6A HMGCS1 ALDOC HCCS VDAC1 HBA1,positive regulation of DNA biosynthetic process,1.0077153589352067e-09,0.13725490196078433,7.0,0,2,2,0.0,0.04,0.0,0.96
C126,OAZ2 ASMTL SCAMP3 CAPNS1 SDR39U1 ANXA11 NDUFB7 MTX1 SPATA20 TCTA TK2 NDFIP1 UROS GPX1 BAD BLVRB TBCB SELENOW PSMB10 MYL6B SRI PRXL2A ATP6V0C PREB CCS LIN37 AKR7A2 URGCP AP2S1 ATP6V0D1 GPS1 HAGH GABARAP GTPBP6 CCDC12 EIF3G PMVK STUB1 GSTP1,C126,,,,0,1,1,0.0,0.02564102564102564,0.0,0.9743589743589743
C127,MT-CO3 MT-ND4 NDUFA10 MT-ND5 NDUFB7 UCP2 NDUFV1 VAPB NDUFA11 ATP5F1B NDUFB9 RMDN3 CCDC127 ATP5F1A MT-CO1 AGAP11 MT-ND2 ATP5MD ECSIT HSPB2,Complex I biogenesis,1.1730794894354402e-16,0.15789473684210525,9.0,0,5,5,0.0,0.25,0.0,0.75
C128,OAZ2 ASMTL GABARAP CAPNS1 SELENOW BAD NDUFB7 TBCB LIN37 SPATA20 TCTA TK2,C128,,,,0,1,1,0.0,0.08333333333333333,0.0,0.9166666666666666
C129,MT-ND2 NDUFB9 ATP5F1A MT-ND4 NDUFA10 MT-ND5 NDUFB7 ATP5MD NDUFA11 ECSIT,Complex I biogenesis,7.798593198315498e-17,0.14035087719298245,8.0,0,2,2,0.0,0.2,0.0,0.8
C147,MT-CO1 MT-CO3 HSPB2 AGAP11,C147,,,,0,2,2,0.0,0.5,0.0,0.5
C146,SPATA20 TCTA GABARAP TK2,C146,,,,0,1,1,0.0,0.25,0.0,0.75
C137,MT-ND2 NDUFB9 MT-ND4 MT-ND5 NDUFA11,Complex I biogenesis,2.1819010760963033e-11,0.08771929824561403,5.0,0,2,2,0.0,0.4,0.0,0.6
