Cluster,genes,Top pathway,p_value,recall,intersection_size,num_d1_seeds,num_d2_seeds,num_both_seeds,frac_d1_seeds,frac_d2_seeds,frac_both_seeds,frac_no_seeds
C293,SREBF1 LZTS3 HLA-DMA ACSBG1 URGCP HEXD OLFML2B HSP90B1 STX1A SCARB1 SNCAIP FCSK UNC13C IRF3 MAN2B1 SLC7A7 RAB21 ICAM3 TBXAS1 DDOST CTTN NAGA HEXA FSTL3 KIAA0930 AC138894.1 NPC2 STS LAMP2 PPARG GAS6 HGSNAT NUCB1 CD68 WIPI2 CABIN1 MAFB TAF1C BPGM HEXB RAB27B IL1RN ZNF358 ACP2 TECPR1 ECM1 GALNS SCARB2 MAP1LC3A MITF MTCH1 IFIT3 MGLL FUCA1 ETS2 CST3 ATP6V0D1 VPS9D1 PHYHD1 FUOM FBXL12 MYL12B ITSN1 NAMPTP1 XG MRC1 ABHD14B MTX1 COMT COTL1P1 HAGH CDS2 TMEM176B CD81 CTSA PTGS1 CYBB SLCO2B1 TNC ARSA ASAH1 GK CD63 MOGS PICALM LEPR CP CXXC1 CYP4F2 NAGPA STUB1 NAGLU POSTN CTSD PDXK HDL3 CANX PLPP2 MAN2B2 DMTN C4A CALD1 TNFRSF14 TCF25 STX1B APOE DDIT3 SLURP1 NME3 LY86 LPL RARRES2 SASH1 HYAL1 TK2 AOAH PPP3CB CFD B4GALT7 TCN2 RAB5C ARSI PROS1 PLIN5 C3orf80 SYT3 SIDT2 GANC MAN1B1 GABARAP F13A1 SYTL3 ARSH AC099329.3 FBXO6 SPSB3 CTNS ERG MAF PLIN2 COL18A1 TFPI PILRA TMEM134 BIN1 RAB5B HYAL3 HSPA7 AP2A2 SLAMF8 EEF1D LRP10 PLPP1 PLD2 LEP PINK1 GLB1 GYS1 AGPAT2 SERPINF1 GBF1 PCSK9 NXPE3 MYORG LIPM FTH1 FUCA2 FCGRT PCSK1 NPL LPIN3 RENBP PON2 APOC1 RAB5A SYN1 ALPL ATG12 GK3P TMEM176A GANAB ALOX5 H6PD B4GALNT3 DEPP1 ABCC1 CCS AP5Z1 MMP3 CHID1 CLN3 TGFBI SERPINA10 EPHX1 TGOLN2 RASSF5 KIAA0513 CD14 NEU1 OLFM3 IL6 PNPLA2 APOD AC010422.3 PEPD PTGDS CD93 PANK4 FAXDC2 MCOLN1 STX3 SGSH TNS1 M6PR SH3GLB1 NECTIN2 CDK10 GUSB NINJ1 AFP ATP6V0C LCTL PLA2G7 GLB1L3 UNC13D TMEM94 APOB LRPAP1 SMPD1 RAPH1 SGPP2 SUMF1 TNS3 CTDSP1 CEBPA BGN MAGED2 SYT11 IDUA INPP1 GRN GAA SPHK1 GALC CD36 NFE2 CD99 DGKQ TREM2 MMP10 CTSF TMEM175 UBE4B ATG2A GRINA UROS SESN1 RIN2 CHI3L1 CEBPD PLPPR2 PALM GLG1 PRKCSH BID ACP5 TIMM29 NISCH PLD3 CYP1B1 IL32 CTSB GYPC PLA2G15 TIMP2 GGT3P NR1H3 ATG4D ADIPOR1 HSPA5 ABCA1 SERPINI1 IGF2R P3H1 RIN3 FABP4 CTSH DAB2,lysosomal lumen,2.1297576126890387e-34,0.32,32.0,3,3,3,0.010416666666666666,0.010416666666666666,0.0,0.9791666666666666
C294,HEXD HSP90B1 SNCAIP FCSK IRF3 MAN2B1 ICAM3 DDOST NAGA HEXA KIAA0930 AC138894.1 NPC2 STS LAMP2 HGSNAT NUCB1 WIPI2 CABIN1 TAF1C HEXB ZNF358 ACP2 TECPR1 GALNS MAP1LC3A MTCH1 FUCA1 VPS9D1 ATP6V0D1 FUOM FBXL12 NAMPTP1 ABHD14B MTX1 COMT HAGH CDS2 CD81 CTSA ARSA ASAH1 CD63 MOGS NAGPA STUB1 NAGLU CTSD PDXK MAN2B2 TCF25 SLURP1 NME3 HYAL1 PPP3CB B4GALT7 ARSI SIDT2 GANC MAN1B1 GABARAP AC099329.3 ARSH FBXO6 SPSB3 CTNS HYAL3 TMEM134 HSPA7 EEF1D LRP10 PINK1 GLB1 GYS1 GBF1 MYORG NXPE3 FUCA2 RENBP ALPL ATG12 GANAB B4GALNT3 CCS AP5Z1 CHID1 CLN3 EPHX1 RASSF5 NEU1 AC010422.3 PEPD PANK4 MCOLN1 SGSH SH3GLB1 CDK10 GUSB AFP ATP6V0C LCTL GLB1L3 TMEM94 LRPAP1 SMPD1 SUMF1 CTDSP1 MAGED2 IDUA INPP1 GRN GAA GALC TMEM175 GRINA ATG2A UROS SESN1 GLG1 PRKCSH NISCH PLD3 PLA2G15 GGT3P ATG4D ADIPOR1 HSPA5 SERPINI1 P3H1,lysosomal lumen,1.0312693124959954e-34,0.26,26.0,1,1,1,0.007751937984496124,0.007751937984496124,0.0,0.9844961240310077
C295,SREBF1 HLA-DMA ACSBG1 URGCP OLFML2B SCARB1 SLC7A7 TBXAS1 FSTL3 PPARG GAS6 CD68 MAFB IL1RN ECM1 MITF IFIT3 MGLL ETS2 PHYHD1 MRC1 COTL1P1 TMEM176B PTGS1 CYBB SLCO2B1 TNC GK LEPR CP CXXC1 CYP4F2 POSTN HDL3 C4A CALD1 APOE DDIT3 LY86 LPL RARRES2 SASH1 AOAH CFD TCN2 PROS1 F13A1 ERG MAF PLIN2 COL18A1 TFPI PILRA SLAMF8 LEP AGPAT2 SERPINF1 PCSK9 FTH1 FCGRT PCSK1 NPL APOC1 ALPL GK3P TMEM176A ALOX5 H6PD B4GALNT3 DEPP1 ABCC1 MMP3 TGFBI SERPINA10 CD14 IL6 PNPLA2 APOD PTGDS CD93 TNS1 NINJ1 AFP PLA2G7 APOB RAPH1 TNS3 CEBPA BGN NFE2 PLIN5 CD36 LIPM TREM2 MMP10 RIN2 CHI3L1 CEBPD BID ACP5 TIMM29 CYP1B1 IL32 CTSB GYPC TIMP2 NR1H3 ABCA1 SERPINI1 FABP4 DAB2,regulation of lipid storage,6.38257213907581e-18,0.27450980392156865,14.0,1,2,2,0.009009009009009009,0.018018018018018018,0.0,0.972972972972973
C299,STX3 STX1A PICALM UNC13C UNC13D APOB CTTN RAB5A SYT11 BPGM RAB27B STX1B RAB5C TGOLN2 SYT3 ITSN1 SYTL3 IGF2R BIN1 RAB5B AP2A2,synaptic vesicle recycling,1.6501235353450183e-14,0.09473684210526316,9.0,1,0,0,0.047619047619047616,0.0,0.0,0.9523809523809523
C363,RAPH1 RIN2 RIN3 VPS9D1,C363,,,,0,1,1,0.0,0.25,0.0,0.75
C297,ARSA HEXD SGSH GUSB GLB1 FCSK MYORG AFP LCTL FUCA2 MAN2B1 NAGLU NAGPA GLB1L3 HEXA SMPD1 NAGA RENBP SUMF1 STS HGSNAT ALPL MAN2B2 IDUA GAA GANAB GALC HEXB B4GALNT3 SLURP1 ACP2 HYAL1 GALNS CHID1 CLN3 FUOM FUCA1 ARSI FBXL12 NEU1 SIDT2 GANC NAMPTP1 AC010422.3 ARSH FBXO6 ABHD14B CTNS HYAL3 P3H1,"hydrolase activity, hydrolyzing O-glycosyl compounds",3.703354389808316e-38,0.23655913978494625,22.0,0,1,1,0.0,0.02,0.0,0.98
C296,SREBF1 TNC URGCP ACSBG1 TNS1 GK LEP OLFML2B SCARB1 AGPAT2 SERPINF1 PCSK9 AFP LEPR CP CXXC1 APOB POSTN PCSK1 FSTL3 HDL3 PPARG CEBPA GAS6 BGN ALPL GK3P MAFB PLIN5 NFE2 H6PD LIPM C4A CALD1 APOE DDIT3 MMP10 SASH1 DEPP1 LPL ABCC1 MMP3 RARRES2 ECM1 CEBPD MITF MGLL CFD TIMM29 SERPINA10 PROS1 GYPC IL6 PNPLA2 APOD PTGDS ERG ABCA1 MAF SERPINI1 PLIN2 COL18A1 TFPI FABP4 PTGS1,regulation of lipid storage,4.09326004741817e-15,0.21568627450980393,11.0,1,1,1,0.015384615384615385,0.015384615384615385,0.0,0.9692307692307692
C298,HLA-DMA OLFML2B SLC7A7 PLA2G7 TBXAS1 FCGRT NPL APOC1 TNS3 CD68 TMEM176A MAFB ALOX5 TREM2 IL1RN LY86 RIN2 CHI3L1 IFIT3 AOAH ACP5 TCN2 CYP1B1 CD14 F13A1 MRC1 PTGDS CD93 COTL1P1 TMEM176B PILRA CYBB SLCO2B1 SLAMF8,inflammatory response,3.2673411199881726e-06,0.013921113689095127,12.0,0,1,1,0.0,0.029411764705882353,0.0,0.9705882352941176
C336,TIMM29 PLIN5 URGCP PNPLA2,C336,,,,0,1,1,0.0,0.25,0.0,0.75
C301,ARSA SLURP1 SMPD1 ARSH HYAL1 SUMF1 GALNS STS HGSNAT IDUA ARSI NAGLU,Glycosphingolipid metabolism,4.098142313298044e-09,0.09090909090909091,5.0,0,1,1,0.0,0.08333333333333333,0.0,0.9166666666666666
