z_comb,z_12,observed_overlap,expected_overlap_mean,expected_overlap_std,empirical_p,obs_exp
2,1.0,535,274.28,14.268202409553908,6.813858827046331e-75,1.9505614700306257
2,1.5,309,147.42,11.689465342777659,9.297784817232915e-44,2.0960520960520963
2,2.0,148,66.28,7.48876491819579,5.031229220203512e-28,2.232951116475558
3,1.0,416,205.15,11.195869774162256,2.0319404750497252e-79,2.0277845478917866
3,1.5,295,139.2,10.27131929208707,2.860569533892817e-52,2.1192528735632186
3,2.0,148,66.36,7.629574037913257,5.0633650286406476e-27,2.230259192284509
4,1.0,302,146.5,11.81482120050913,7.314057322059607e-40,2.061433447098976
4,1.5,242,114.24,10.53386918468233,3.7303116239948387e-34,2.1183473389355743
4,2.0,148,65.56,7.888371188021009,7.262677636033403e-26,2.2574740695546063
5,1.0,236,106.47,9.622323004347756,1.319230576583953e-41,2.2165868319714472
5,1.5,198,91.44,9.567988294307222,4.1368048420505904e-29,2.1653543307086616
5,2.0,142,60.34,6.919855489820579,1.9325293122889435e-32,2.3533311236327474
9,1.0,82,31.41,5.508348209763068,2.072189292009712e-20,2.6106335561922953
9,1.5,76,31.42,5.310706167733252,2.3421168278412858e-17,2.41884150222788
9,2.0,73,26.59,5.190558736783546,1.9242433238958475e-19,2.7453930048890562
12,1.0,48,15.72,3.85507457774814,2.7994616878106633e-17,3.0534351145038165
12,1.5,46,15.29,3.884057157148952,1.321711791360865e-15,3.008502289077829
12,2.0,45,13.68,3.665733214515208,6.483078510613661e-18,3.2894736842105265
