z_comb,z_12,observed_overlap,expected_overlap_mean,expected_overlap_std,empirical_p,obs_exp
2,1.0,281,334.51,15.193745423693265,0.9997857218133342,0.840034677588114
2,1.5,129,173.07,12.395366069624567,0.9998112697055328,0.7453631478592477
2,2.0,49,68.97,8.220042578965147,0.9924386618015473,0.7104538205016674
3,1.0,185,241.96,14.323351563094443,0.999965064246154,0.764589188295586
3,1.5,117,159.69,10.314741877526552,0.99998253882161,0.7326695472477927
3,2.0,49,68.17,7.631585680577792,0.9939963347247802,0.7187912571512395
4,1.0,125,170.05,11.371345566818379,0.9999627929184842,0.7350779182593354
4,1.5,90,130.05,11.293692930126975,0.9998046053692846,0.6920415224913494
4,2.0,49,69.56,7.518404085974629,0.9968774111805501,0.7044278320874066
5,1.0,86,120.56,10.063120788304193,0.9997029812762994,0.7133377571333775
5,1.5,71,99.77,10.011847981266996,0.9979708573480611,0.7116367645584846
5,2.0,47,62.35,6.762211176826705,0.9883952242872767,0.7538091419406575
9,1.0,33,36.64,6.100032786797133,0.724652198346333,0.9006550218340611
9,1.5,27,32.66,5.836471536810576,0.8339179301862445,0.8266993263931416
9,2.0,22,28.59,4.94993939356837,0.9084596809854368,0.7694998251136761
12,1.0,18,20.74,4.300279060712223,0.7379922746466328,0.8678881388621023
12,1.5,14,17.45,3.9226904032819103,0.810434454472345,0.8022922636103152
12,2.0,10,14.9,3.570714214271425,0.9150109968610113,0.6711409395973155
