Cluster,genes,Top pathway,p_value,recall,intersection_size,num_d1_seeds,num_d2_seeds,num_both_seeds,frac_d1_seeds,frac_d2_seeds,frac_both_seeds,frac_no_seeds
C143,IGLL1 GPR37 CYB5R3 SCGB1D2 AGR3 SLC25A1 AP1S1 ALDH18A1 HLA-DRB3 MVP PRADC1 GPD2 PEPD SLC31A2 GK3P CALM1 PRSS40A SLC10A7 HSPA8 IMMP2L CPLX2 PPP1R2C PHYH CYBB ISYNA1 F3 HSPA4L AC013269.1 ANO10 AOC2 PPP1CC SYN3 FADS3 ALDH5A1 B2M AP3D1 PPP1R2B NAXE ATP5F1A APBA1 CHGB HSPH1 TCN2 SOD3 MCOLN1 RNF135 AP1B1 DNAJC12 TAT HAMP PRKN NOMO2 VLDLR TIMM50 PEX12 LRP10 UNC13D PPP1CB HLA-DQA2 TMLHE GABRB3 KHK HSPA2 NINJ1 SNCAIP CALM3 CTSZ CTSA BLVRB UNC13B HSPA4 ACYP2 FTH1 PEX10 NUCB1 MAPK8IP2 ABHD14B FASTK ACTR1A PPP1CA CHCHD4 OTUD5 SYN1 SERPINA5 RNF128 SV2B SLC10A6 APOE HLA-DRB4 DNPEP TRBV12-3 PPFIA3 LOC102724985 PARD6B HTRA2 TTYH3 AZGP1 OTC CTSL DPP9 MAN2B2 SLC40A1 AKR1B15 TMEM246 STX3 RBM47 SLC30A2 UAP1L1 AP1S3 AP5Z1 HSPA1A MCCC1 SNCA PILRA SOD1 RTN2 HSPA6 HSPA1L CD276 SLC30A10 PCBD1,Antigen processing and presentation,5.468658403720055e-07,0.13043478260869565,9.0,3,7,7,0.024793388429752067,0.05785123966942149,0.0,0.9173553719008265
C144,NINJ1 IGLL1 CYB5R3 FADS3 B2M AP3D1 SCGB1D2 CTSZ TTYH3 AZGP1 AGR3 CTSA OTC NAXE CTSL MAN2B2 BLVRB AP1S1 SLC40A1 ACYP2 TCN2 SOD3 F3 MCOLN1 HLA-DRB3 MVP SLC30A2 AP1S3 FTH1 AP1B1 NUCB1 PRADC1 HAMP AP5Z1 ABHD14B VLDLR FASTK PEPD MCCC1 SLC31A2 PILRA LRP10 TRBV12-3 HLA-DQA2 SOD1 KHK RNF128 SERPINA5 RTN2 CD276 SLC30A10 PHYH CYBB APOE HLA-DRB4 DNPEP ANO10,transition metal ion transport,1.0128410020733886e-10,0.1,10.0,2,5,5,0.03508771929824561,0.08771929824561403,0.0,0.8771929824561404
C145,SNCAIP AOC2 PPP1CC GPR37 ALDH5A1 PPP1R2B PARD6B OTC NAXE ATP5F1A DPP9 SLC25A1 ALDH18A1 CHGB AKR1B15 HSPH1 HSPA4 STX3 RBM47 UAP1L1 DNAJC12 TAT PRKN ABHD14B HSPA1A VLDLR TIMM50 NOMO2 ACTR1A GPD2 GK3P PPP1CA SNCA PPP1CB CHCHD4 HSPA8 TMLHE GABRB3 IMMP2L RTN2 HSPA6 HSPA1L HSPA2 PPP1R2C PCBD1 ISYNA1 HSPA4L,Regulation of HSF1-mediated heat shock response,7.996041291901833e-09,0.11940298507462686,8.0,1,1,1,0.02127659574468085,0.02127659574468085,0.0,0.9574468085106383
C154,SNCAIP GABRB3 SCGB1D2 LOC102724985 HTRA2 SNCA CHGB PRSS40A AC013269.1 PRKN,C154,,,,0,1,1,0.0,0.1,0.0,0.9
C157,GPD2 ALDH5A1 IMMP2L LOC102724985 GK3P HTRA2 PRSS40A AC013269.1,C157,,,,1,1,1,0.125,0.125,0.0,0.75
C175,AP1B1 FASTK AGR3 AP5Z1,C175,,,,0,1,1,0.0,0.25,0.0,0.75
C146,NINJ1 CYB5R3 FADS3 CTSZ CTSA CTSL MAN2B2 BLVRB SLC40A1 ACYP2 TCN2 SOD3 F3 MCOLN1 MVP SLC30A2 FTH1 NUCB1 HAMP VLDLR PEPD SLC31A2 PILRA LRP10 SOD1 RTN2 SLC30A10 PHYH CYBB APOE DNPEP ANO10,transition metal ion transport,2.4378833312147594e-09,0.08,8.0,1,3,3,0.03125,0.09375,0.0,0.875
C149,HLA-DQA2 IGLL1 HLA-DRB3 HLA-DRB4 SCGB1D2 AP3D1 CTSZ TTYH3 AZGP1 AP1S3 SERPINA5 B2M AP1B1 CD276 AGR3 AP1S1 TRBV12-3,cellular pigmentation,8.704685677331628e-06,0.0625,4.0,1,2,2,0.058823529411764705,0.11764705882352941,0.0,0.8235294117647058
C159,IGLL1 SCGB1D2 SLC30A2 SERPINA5 AZGP1 SLC30A10 F3,C159,,,,0,1,1,0.0,0.14285714285714285,0.0,0.8571428571428572
C171,ALDH5A1 IMMP2L GK3P GPD2,C171,,,,1,0,0,0.25,0.0,0.0,0.75
C147,AOC2 GPR37 ALDH5A1 OTC NAXE ATP5F1A DPP9 SLC25A1 ALDH18A1 AKR1B15 HSPH1 HSPA4 DNAJC12 TAT NOMO2 HSPA1A TIMM50 CHCHD4 TMLHE IMMP2L RTN2 HSPA6 HSPA1L HSPA2 ISYNA1 HSPA4L,Regulation of HSF1-mediated heat shock response,1.8087926055487746e-09,0.1044776119402985,7.0,1,1,1,0.038461538461538464,0.038461538461538464,0.0,0.9230769230769231
C151,ABHD14B TMLHE TIMM50 RTN2 NAXE DNAJC12 DPP9 ISYNA1 CHCHD4 HSPA4L AKR1B15 HSPH1,C151,,,,0,1,1,0.0,0.08333333333333333,0.0,0.9166666666666666
C162,TCN2 VLDLR SOD3 CYBB APOE,C162,,,,1,0,0,0.2,0.0,0.0,0.8
C155,NUCB1 CYB5R3 FADS3 MVP RTN2 LRP10 MAN2B2 DNPEP ANO10,C155,,,,0,1,1,0.0,0.1111111111111111,0.0,0.8888888888888888
C148,NINJ1 SOD1 ACYP2 SOD3 MCOLN1 SLC30A2 CTSZ SLC31A2 SLC40A1 FTH1 SLC30A10 PILRA PHYH CTSL APOE CYBB HAMP F3,transition metal ion transport,1.6266710752160936e-09,0.07,7.0,1,2,2,0.05555555555555555,0.1111111111111111,0.0,0.8333333333333334
