z_comb,z_12,observed_overlap,expected_overlap_mean,expected_overlap_std,empirical_p,obs_exp
2,1.0,271,404.79,15.795755759063889,1.0,0.669482941772277
2,1.5,152,226.87,12.80519816324605,0.9999999974950701,0.6699872173491427
2,2.0,82,107.87,9.018486569264269,0.9979382246257953,0.760174283860202
3,1.0,227,333.09,15.327814586561255,0.999999999997764,0.6814974931700142
3,1.5,148,218.66,13.924237860651477,0.9999998058485973,0.6768499039604866
3,2.0,82,107.64,9.600541651386134,0.9962151411893815,0.7617985878855444
4,1.0,189,263.9,13.289469515371936,0.9999999912998203,0.7161803713527852
4,1.5,132,191.84,12.656002528444754,0.9999988673560011,0.6880733944954128
4,2.0,82,108.01,8.748136944515672,0.9985264597945075,0.7591889639848162
5,1.0,173,206.54,13.468051083954206,0.9936189177220162,0.8376101481553211
5,1.5,123,164.59,11.806011180750254,0.9997864785174633,0.7473115013062762
5,2.0,79,103.16,9.227914173853158,0.9955795141990291,0.7658006979449399
9,1.0,74,85.17,7.948653974101528,0.9200294042341927,0.8688505342256663
9,1.5,63,74.96,7.826774559165481,0.9367546502874865,0.8404482390608325
9,2.0,52,60.09,7.249958620571569,0.8677607731434005,0.8653686137460476
12,1.0,46,49.16,6.7656780887062595,0.6797727082412883,0.9357200976403581
12,1.5,39,43.57,5.896193687456341,0.7808527131129195,0.895111315125086
12,2.0,31,37.48,5.962348530570819,0.8614418301663992,0.8271077908217717
