,d1_seeds,d2_seeds,d1_name,d2_name,z_d1,z_d2,z_both,sum_seeds
CHCHD10,1,1,FTLD,mitochondrial,11.015506577697638,11.523772419441764,126.94019088625137,2
CHCHD2P9,0,0,FTLD,mitochondrial,7.508124598367761,5.056063161032553,37.96155219024957,0
SLC25A1,0,1,FTLD,mitochondrial,1.838724904077605,18.271626783080297,33.59649520406112,1
COA6,0,1,FTLD,mitochondrial,2.3060211861153763,13.99370059973687,32.26977005514867,1
GFER,0,1,FTLD,mitochondrial,2.9429077164023294,10.961378158571062,32.25832436526274,1
DDX1,0,0,FTLD,mitochondrial,5.947857025941098,5.286186352275748,31.441480635817253,0
CHCHD5,0,0,FTLD,mitochondrial,6.412881220214754,4.391939924118113,28.16498905968846,0
BCS1L,0,0,FTLD,mitochondrial,3.8268786846808993,6.652302377611157,25.457554172932205,0
MICOS13,0,1,FTLD,mitochondrial,2.1777909682058962,10.860086070420907,23.650997358101314,1
IMMP1L,0,0,FTLD,mitochondrial,4.886390482407596,4.052342255200524,19.801326627269976,0
COX19,0,0,FTLD,mitochondrial,4.215303495267878,4.678535773786386,19.72144819997756,0
BOLA3,0,1,FTLD,mitochondrial,1.6683894523744092,11.81419706601053,19.71068177320466,1
DNAJA3,0,0,FTLD,mitochondrial,3.1071994304962796,5.960102700013761,18.519227715182094,0
NDUFA5,0,0,FTLD,mitochondrial,2.267907294595844,8.057908701208033,18.27458992265702,0
C8orf82,0,0,FTLD,mitochondrial,4.754564730172217,3.8338312304816142,18.228198749880637,0
OLFM2,0,0,FTLD,mitochondrial,5.816395078179766,3.056246661406098,17.77633803910577,0
MICU1,0,1,FTLD,mitochondrial,1.5722270998509345,11.263130904811524,17.708199637713253,1
C6orf136,0,0,FTLD,mitochondrial,5.561026535614322,3.1564527647285634,17.55311758306873,0
GUF1,0,0,FTLD,mitochondrial,3.8529353506134747,4.363202084949188,16.811135554971145,0
ALDH18A1,0,0,FTLD,mitochondrial,3.72003990420059,4.140544528539353,15.40299087128581,0
NUDT22,0,0,FTLD,mitochondrial,5.118967468889326,2.938813961571536,15.043693066402458,0
CHCHD3,0,0,FTLD,mitochondrial,1.884852146023343,7.94004737593627,14.965815336060492,0
CHCHD6,0,0,FTLD,mitochondrial,4.589989534513422,3.199110931410999,14.683885694923973,0
MRPS12,0,0,FTLD,mitochondrial,2.616134820860003,5.540123318341383,14.493709524971358,0
PITRM1,0,0,FTLD,mitochondrial,2.9397279826543294,4.815715199998994,14.156892729930833,0
ATP5MD,0,0,FTLD,mitochondrial,2.4974101093661965,5.434502025456927,13.5721802977472,0
YME1L1,0,0,FTLD,mitochondrial,2.170199051614514,6.24255359614434,13.547583894005221,0
MRPL19,0,0,FTLD,mitochondrial,3.002459286664962,4.394718401418361,13.194963076615954,0
COA3,0,0,FTLD,mitochondrial,2.9473303656183742,4.4544348443087225,13.128691078299653,0
MCEE,0,0,FTLD,mitochondrial,4.137481259127748,3.1520705486397818,13.041632822445616,0
SFXN1,0,0,FTLD,mitochondrial,2.2532277212220038,5.776879109507602,13.016624151690813,0
NDUFB9,0,0,FTLD,mitochondrial,1.9862375544814739,6.544266472490337,12.998467834194308,0
FIZ1,0,0,FTLD,mitochondrial,5.58374866214538,2.305607375872597,12.873932100461133,0
ATP5F1A,0,0,FTLD,mitochondrial,1.660261396884054,7.698205483648767,12.781033389783186,0
COX6C,0,0,FTLD,mitochondrial,1.604511514910198,7.885270743454252,12.652007706056846,0
HINT2,0,0,FTLD,mitochondrial,2.788619457695934,4.4285408270805435,12.349515119597648,0
IMMT,0,0,FTLD,mitochondrial,1.6067847628778167,7.601029071265714,12.213217693901072,0
ERAL1,0,0,FTLD,mitochondrial,3.138687230669289,3.879704116510665,12.1771777692671,0
HSPH1,0,0,FTLD,mitochondrial,3.115493616213122,3.8774719700746876,12.080239169813007,0
NDUFA11,0,0,FTLD,mitochondrial,2.123184705605198,5.568447033184947,11.822841574830921,0
NDUFB10,0,0,FTLD,mitochondrial,1.98900670557439,5.9017632697863,11.738646718317588,0
NDUFB7,0,0,FTLD,mitochondrial,1.6923033384434034,6.520293306475454,11.034314130178588,0
CYB561A3,0,0,FTLD,mitochondrial,4.372659816346153,2.4824304056305815,10.854823681576724,0
PRADC1,0,0,FTLD,mitochondrial,2.7690624095051457,3.814092832736448,10.561461089493495,0
NDUFA7,0,0,FTLD,mitochondrial,1.6020853607087873,6.585385549307048,10.550349783168018,0
RNASEH2A,0,0,FTLD,mitochondrial,3.0335004467978828,3.4715788563366448,10.531036011791295,0
TRPT1,0,0,FTLD,mitochondrial,3.860167199968712,2.7239060820664807,10.514732913788311,0
RSAD1,0,0,FTLD,mitochondrial,3.7306412021045903,2.807547302710016,10.473951644347595,0
MPND,0,0,FTLD,mitochondrial,3.8249819108297007,2.7335019931950564,10.455595677188022,0
C12orf74,0,0,FTLD,mitochondrial,2.09724792719999,4.949481682619337,10.380290199587723,0
ZXDB,0,0,FTLD,mitochondrial,5.082193023437798,2.0175606550206147,10.25363268530836,0
CMAS,0,0,FTLD,mitochondrial,2.313553788038236,4.409455392754884,10.20151222709369,0
LAMTOR1,0,0,FTLD,mitochondrial,3.490732991671337,2.882270600874569,10.061237077397227,0
ACYP2,0,0,FTLD,mitochondrial,3.1075091442799145,3.2315228595541376,10.041986836014061,0
HSPA8,0,0,FTLD,mitochondrial,2.1910046553687987,4.573042806285869,10.019558077773135,0
MCRIP2,0,0,FTLD,mitochondrial,3.3280969898108217,2.995206914520533,9.968339116076345,0
RBIS,0,0,FTLD,mitochondrial,3.2155643250983026,3.050371655188761,9.80866627271604,0
MRPS6,0,0,FTLD,mitochondrial,3.4446841293543495,2.7770990654221395,9.56622907630444,0
SPAG7,0,0,FTLD,mitochondrial,2.3471263054467957,3.9935261344659008,9.373310241694172,0
CHCHD4,0,0,FTLD,mitochondrial,2.0027871151855385,4.649012423608086,9.310982180339767,0
SNCA,0,0,FTLD,mitochondrial,2.661382419621078,3.4891583458418127,9.285984680897561,0
WDR45,0,0,FTLD,mitochondrial,3.1873265789050977,2.8342161295736745,9.033572400151707,0
HSPA4L,0,0,FTLD,mitochondrial,3.0398514017893055,2.970765912673518,9.03068692402848,0
TIMM50,0,0,FTLD,mitochondrial,1.7537276076258415,5.03083243144866,8.822709724370954,0
RNASEH1P1,0,0,FTLD,mitochondrial,2.041949135777668,4.1800200739910265,8.535388377619281,0
UCP2,0,0,FTLD,mitochondrial,1.6059152104598027,5.311113914431235,8.529198619669824,0
CHDH,0,0,FTLD,mitochondrial,3.4707693735537446,2.4518590015995776,8.509837131023875,0
PHPT1,0,0,FTLD,mitochondrial,2.996781500432394,2.8394793064772297,8.509299056511566,0
TIMM44,0,0,FTLD,mitochondrial,1.518441005250946,5.543106537431028,8.416880262909862,0
COA4,0,0,FTLD,mitochondrial,1.7877379778946318,4.635678462132428,8.287378440062323,0
HSPA4,0,0,FTLD,mitochondrial,3.0009749336213254,2.7085007316571565,8.128142803398147,0
EEF2,0,0,FTLD,mitochondrial,2.857872144626035,2.7988657763195435,7.998800538690746,0
MCM7,0,0,FTLD,mitochondrial,4.599737328200384,1.7264019732932048,7.940995600035557,0
TOMM20,0,0,FTLD,mitochondrial,1.6039499901447245,4.832738110742019,7.751470245096696,0
HAX1,0,0,FTLD,mitochondrial,1.6833598686745668,4.578567607437287,7.707376966373256,0
LSM14B,0,0,FTLD,mitochondrial,3.059794516878172,2.4862510657936623,7.607417378697959,0
FAM173A,0,0,FTLD,mitochondrial,2.2062831743166895,3.4380859566405477,7.58539119799054,0
SOD1,0,0,FTLD,mitochondrial,1.8112853842423184,4.141040138742316,7.500605478864739,0
PHF10,0,0,FTLD,mitochondrial,3.0109740539758083,2.472658947811451,7.4451119361914015,0
MRPS24,0,0,FTLD,mitochondrial,1.6701297397941557,4.437417266306228,7.411062544334114,0
HSPA6,0,0,FTLD,mitochondrial,2.9400162038795217,2.515645919277194,7.396039765898346,0
MCCC1,0,0,FTLD,mitochondrial,1.8910052632289003,3.8840808882007636,7.344817402394426,0
HSPA1L,0,0,FTLD,mitochondrial,2.648539338111894,2.7692223016880506,7.334394201997565,0
THAP4,0,0,FTLD,mitochondrial,2.13262634210049,3.4312065711361712,7.317481518793297,0
STARD7,0,0,FTLD,mitochondrial,2.060933309515381,3.52970646972432,7.274489636266794,0
CLPB,0,0,FTLD,mitochondrial,2.198821293251002,3.277132409268728,7.205828522303037,0
AC011448.1,0,0,FTLD,mitochondrial,1.6978616254901735,4.229881819119345,7.181754021041303,0
MIEN1,0,0,FTLD,mitochondrial,3.105249365809806,2.2861891106684755,7.099187286024568,0
GNL3L,0,0,FTLD,mitochondrial,3.801994792376029,1.8657056947067023,7.093403335381184,0
