Cluster,genes,Top pathway,p_value,recall,intersection_size,num_d1_seeds,num_d2_seeds,num_both_seeds,frac_d1_seeds,frac_d2_seeds,frac_both_seeds,frac_no_seeds
C210,LMBRD1 SND1 PITRM1 CKB DNAJB9 COA3 MRPS6 SAR1B WARS ATG7 ABHD14B ATP6AP2 FASTK PRADC1 YME1L1 PPP1CA FTH1 MCCC1 SPAG7 EDEM2 LRP10 HSPA6 GFER SLC30A2 RNASEH1P1 IMMP1L CIAO2A SLC40A1 SOD1 HSPA2 STARD7 AP1B1 GK3P MAP1LC3B2 NAXE NDUFA5 TOMM20 IMMP2L ATP5F1A ATP5MD NPL TXNDC11 HM13 UBIAD1 FIG4 LAMTOR1 CTSA TIMM44 DDX1 SEC11A WDR45 TIMM29 IMMT MMS19 ISLR AC013269.1 CYB5R3 EOGT NDUFA11 MVP GSKIP CHCHD3 MMGT1 ANO10 RRP12 ACP5 GOLPH3 SRP54 ATG5 ALDH18A1 TAT CCDC28A C6orf136 RSAD1 MICU1 C12orf74 GRN TIMM50 SLC13A3 NOMO2 AZGP1 RNASEH2A CMAS COA4 SLC30A10 COX19 HSPA1A CD276 PLIN2 SFXN1 SEC11C NDUFB9 RIN2 GPD2 B3GALT4 ALDH5A1 CHCHD6 CHCHD5 SLC6A8 ACYP2 SHISA5 COQ8A MRPS24 PLPBP TMLHE CARNS1 HAX1 CHCHD2P9 TMEM246 DCTN6 SCPEP1 SELENOK SEC31A TOMM20L EEF2 BCS1L C8orf82 PINK1 PCBD1 HAMP THAP4 PHPT1 UNC13D VPS37A NINJ1 DNAJC12 MRPS12 AKR1B15 TMBIM1 ERAL1 MICOS13 FASTKD5 CT45A2 DNPEP CTSK NUCB1 VPS35 EIF2B2 NDUFB10 BOLA3 NDUFB7 ESRRA ACP2 MRPL19 TRPT1 HSPA4L DCTN3 GUF1 C1GALT1C1 UAP1L1 AP1S1 COA6 CNDP1 EMC3 HSPH1 SLC10A7 SLC25A1 RTN3 CTSE PEX12 HSPA1L NDUFA7 SMPDL3A OTC STUB1 FOXQ1 MCEE PEPD SLC10A6 ISYNA1 PRNP STX1B HSPA8 NUDT22 MCRIP2 DNAJA3 CHCHD10 COX6C CHCHD4 PHYH MFN2 MAN2B2 RBIS KHK GORAB PRSS40A OLFM2 MIEN1 GNPTG FLCN BLVRB UCP2 VPS37D RNF128 BAG1 SNCA HINT2 SLC1A2 HTRA2 CLPB MPND FAM173A ATP8B2 HSPA4 UBC,Mitochondrial protein import,1.5649478278806164e-12,0.22727272727272727,15.0,2,28,28,0.00975609756097561,0.13658536585365855,0.004878048780487805,0.848780487804878
C229,LAMTOR1 GRN TIMM29 FLCN NUCB1 SHISA5 EDEM2,C229,,,,1,0,0,0.14285714285714285,0.0,0.0,0.8571428571428572
C263,AP1S1 PRNP AP1B1 FASTK,C263,,,,0,2,2,0.0,0.5,0.0,0.5
C232,SLC30A2 BOLA3 CIAO2A SOD1 MRPS24 SLC30A10,C232,,,,0,2,2,0.0,0.3333333333333333,0.0,0.6666666666666667
C235,LAMTOR1 CHCHD10 C8orf82 FLCN CHCHD2P9 NUDT22,C235,,,,0,0,0,0.0,0.0,0.16666666666666666,0.8333333333333334
C236,FOXQ1 SLC10A6 ATP8B2 ISLR SLC10A7 EIF2B2,C236,,,,0,1,1,0.0,0.16666666666666666,0.0,0.8333333333333334
C237,CKB SLC13A3 AZGP1 SLC6A8 KHK SLC1A2,C237,,,,0,2,2,0.0,0.3333333333333333,0.0,0.6666666666666667
C211,SLC25A1 CTSE TOMM20L SND1 GSKIP PITRM1 EEF2 CKB RRP12 DNAJB9 GOLPH3 HSPA1L SAR1B WARS OTC BCS1L MRPS6 SRP54 ISYNA1 ATG5 YME1L1 ALDH18A1 TAT MCCC1 HSPA8 HSPA6 DNAJA3 RSAD1 DNAJC12 C12orf74 IMMP1L AKR1B15 TIMM50 NOMO2 ERAL1 AZGP1 RNASEH2A STARD7 HSPA2 CMAS VPS35 EIF2B2 GK3P HSPA1A TOMM20 OLFM2 PRSS40A SFXN1 IMMP2L SEC11C MRPL19 GPD2 ALDH5A1 ATP5F1A COQ8A HSPA4L PLPBP FIG4 GUF1 TIMM44 HTRA2 CLPB DDX1 TMLHE CARNS1 AC013269.1 CNDP1 SELENOK HSPA4 IMMT MMS19 HSPH1,Regulation of HSF1-mediated heat shock response,8.091662893228604e-08,0.11940298507462686,8.0,1,6,6,0.013888888888888888,0.08333333333333333,0.0,0.9027777777777778
C212,LMBRD1 RTN3 MVP ANO10 PEX12 ACP5 PINK1 SMPDL3A ATG7 HAMP ATP6AP2 UNC13D FTH1 VPS37A CCDC28A STX1B EDEM2 LRP10 NINJ1 MICU1 GRN RNASEH1P1 TMBIM1 SLC40A1 PHYH MFN2 MAN2B2 DNPEP CTSK UBC GORAB NUCB1 AP1B1 MAP1LC3B2 CD276 PLIN2 GNPTG RIN2 ACP2 B3GALT4 BLVRB RNF128 VPS37D NPL ACYP2 SHISA5 TXNDC11 UBIAD1 DCTN3 CTSA AP1S1 TIMM29 TMEM246 SCPEP1 ATP8B2 ISLR CYB5R3 EOGT,vacuolar lumen,8.431252177017333e-06,0.03888888888888889,7.0,1,12,12,0.017241379310344827,0.20689655172413793,0.0,0.7758620689655172
C213,MMGT1 CHCHD3 C8orf82 COA3 NDUFA7 THAP4 ABHD14B PHPT1 SPAG7 PRADC1 FASTK C6orf136 MCRIP2 CHCHD10 GFER COX6C CHCHD4 MICOS13 CT45A2 RBIS COA4 COX19 NAXE NDUFA5 NDUFB10 BOLA3 MIEN1 NDUFB7 CHCHD6 NDUFB9 CHCHD5 BAG1 TRPT1 UCP2 ATP5MD MRPS24 HINT2 DCTN3 LAMTOR1 WDR45 MPND COA6 CHCHD2P9 FAM173A EMC3 NDUFA11,Mitochondrial protein import,2.039232627870553e-10,0.12121212121212122,8.0,0,4,4,0.0,0.08695652173913043,0.021739130434782608,0.8913043478260869
