,d1_seeds,d2_seeds,d1_name,d2_name,z_d1,z_d2,z_both,sum_seeds
GRN,1,0,FTLD,nonCD_lyso,11.060350129540312,3.5577261247975365,39.34969660527339,1
OLFM2,0,0,FTLD,nonCD_lyso,5.816395078179766,6.034468808369176,35.09885467642779,0
IRF2,1,0,FTLD,nonCD_lyso,11.234855150626224,2.8131129530584897,31.60491654996252,1
GNPTG,0,1,FTLD,nonCD_lyso,1.6649755113216413,17.066180205890436,28.414772114609704,1
UNC13D,0,0,FTLD,nonCD_lyso,3.9373502989157334,6.548216666427572,25.782622848923587,0
APOE,1,0,FTLD,nonCD_lyso,10.21478338405306,2.281081143628886,23.300749763617098,1
HLA-DQA2,1,0,FTLD,nonCD_lyso,9.432427668623726,2.2968590220460627,21.664956590475313,1
EDEM2,0,0,FTLD,nonCD_lyso,4.164806925419739,4.991084074930878,20.78690152062429,0
WDR81,0,0,FTLD,nonCD_lyso,3.289843781570344,5.962667896266379,19.61624590010107,0
ATG7,0,1,FTLD,nonCD_lyso,1.8134153160750206,8.95685965979935,16.24250649101464,1
CTSK,0,1,FTLD,nonCD_lyso,1.836092853405216,8.107154264962709,14.885488007351649,1
RIN2,0,1,FTLD,nonCD_lyso,1.6984107646263267,8.512603341930404,14.457897150928641,1
PHPT1,0,0,FTLD,nonCD_lyso,2.996781500432394,4.555276998249292,13.651169837698687,0
GFER,0,0,FTLD,nonCD_lyso,2.9429077164023294,4.622153092289919,13.60257000169289,0
IRAK1BP1,0,0,FTLD,nonCD_lyso,3.716338444220248,3.632858407973252,13.500931363959763,0
CPEB4,0,0,FTLD,nonCD_lyso,3.4255282416553845,3.828470424789017,13.114533562457165,0
UNC13C,0,0,FTLD,nonCD_lyso,4.425669000286025,2.9546688159558374,13.076386184887562,0
AL136295.1,0,0,FTLD,nonCD_lyso,2.1049965918822275,5.94664852011654,12.517674867966809,0
TMEM176B,0,0,FTLD,nonCD_lyso,3.4740882568643445,3.537918216810873,12.291040130769096,0
TMEM176A,0,0,FTLD,nonCD_lyso,3.3973754098410143,3.579893644305761,12.162242637010527,0
ALS2,0,0,FTLD,nonCD_lyso,1.622353572559043,7.209482984654233,11.696330476457428,0
RAPGEF2,0,0,FTLD,nonCD_lyso,5.013960964367786,2.290310470184177,11.483527293786294,0
MMS19,0,0,FTLD,nonCD_lyso,3.11223820023862,3.6637099258913093,11.402337985952336,0
TRHDE,0,0,FTLD,nonCD_lyso,2.920773567083875,3.869999532307558,11.303392338590875,0
NINJ1,0,0,FTLD,nonCD_lyso,2.4074570623889966,4.58171209993221,11.030275152814918,0
SND1,0,0,FTLD,nonCD_lyso,4.346254748469549,2.530611775236018,10.998683444652498,0
MAP1LC3B2,0,0,FTLD,nonCD_lyso,2.333562738384668,4.655709184300822,10.864389473239676,0
FAM234A,0,0,FTLD,nonCD_lyso,3.531843195620639,3.0432514997997515,10.748287102130057,0
ATG3,0,0,FTLD,nonCD_lyso,4.269894789990433,2.5161378110050685,10.743643730108474,0
TIMM29,0,0,FTLD,nonCD_lyso,2.6461109368646554,4.0204131342351905,10.638459165214046,0
CTSB,0,0,FTLD,nonCD_lyso,2.8792631768454533,3.5783651542510486,10.303055021941944,0
MAN2B2,0,0,FTLD,nonCD_lyso,1.9251003520286425,5.34314760220311,10.286095329942203,0
MICOS13,0,0,FTLD,nonCD_lyso,2.1777909682058962,4.636384715196743,10.097076757883334,0
PCSK2,0,0,FTLD,nonCD_lyso,3.2276120774787618,3.1224723323540053,10.078129411499066,0
ANO10,0,0,FTLD,nonCD_lyso,2.696898805234807,3.6407797090083225,9.818814447347673,0
ACP5,0,0,FTLD,nonCD_lyso,1.7266472509463804,5.671692544341872,9.793012339900976,0
OSBPL11,0,0,FTLD,nonCD_lyso,3.911105215743283,2.4028541060372928,9.39781522679262,0
NAMPT,0,0,FTLD,nonCD_lyso,3.424604470881319,2.7163873859807275,9.302552386675218,0
LGMN,0,0,FTLD,nonCD_lyso,3.3606018696527777,2.7214688228486583,9.145773214266946,0
LRRN4CL,0,0,FTLD,nonCD_lyso,2.120405094033867,4.27399106709502,9.062592430523523,0
ZEB2,0,0,FTLD,nonCD_lyso,3.5289419958740513,2.5672171477028596,9.059560405056619,0
DMXL2,0,0,FTLD,nonCD_lyso,3.5682082278786345,2.4831257053996048,8.860309572863807,0
ACP2,0,0,FTLD,nonCD_lyso,1.533832010715783,5.752693511522995,8.823665455810955,0
ABHD14B,0,0,FTLD,nonCD_lyso,3.024323947727037,2.8716710263484244,8.68486345497942,0
TAPBPL,0,0,FTLD,nonCD_lyso,3.875444283917908,2.2331934877427586,8.654616936955371,0
TMLHE,0,0,FTLD,nonCD_lyso,1.5809383457336068,5.450136987051708,8.616330552331071,0
SNCAIP,0,0,FTLD,nonCD_lyso,2.788326960565928,3.0231363395445356,8.429492561018622,0
