Cluster,genes,Top pathway,p_value,recall,intersection_size,num_d1_seeds,num_d2_seeds,num_both_seeds,frac_d1_seeds,frac_d2_seeds,frac_both_seeds,frac_no_seeds
C207,ALDH3B2 CDS2 MBOAT7 SNX9 AP2S1 CERS2 CHPT1 SPTLC1 SUCLG2 CLN3 BRI3BP MARVELD2 ACSL6 PCDHAC1 RIMKLA SVOPL LLGL2 MSMO1 MBOAT2 TMPRSS2 SLC22A16 TUBG1 MBOAT1 OXSM C1orf43 COQ3 TMEM53 GLYATL1 SLC2A4 EHHADH FDX1 PNPLA5 SCARB2 LPCAT4 DCXR ALDH6A1 MTCH2 UGT2B7 ASS1 HOGA1 SLC2A11 SPTLC2 MGME1 PLD2 RXRB ATP1A1 NDUFAF5 SLC41A3 ACSM2A PRKAB1 TBC1D9 RIMKLB OSBPL1A LVRN LMAN2 ABCB4 DGKQ GK5 SLC20A1 LPCAT3 ELOVL4 BCKDK MVK POLG PEX19 HAAO CRAMP1 GPD1L MSMB ERG28 LAMTOR5 FAXDC2 PEX5 OCLN LDLR DGKB ACMSD OSGEP PINK1 ALDH1L1 CEPT1 ALDH4A1 ACOT7 CERS4 KMO ACSL1 CPT1A ACOT9 AC022335.1 SLC22A23 SLC22A4 ISYNA1 GRID1 SLC2A12 TIMM22 PIGN SLC22A9 LSS HSD17B3 CCSER2 ACSM3 PRKAG1 DEDD TOX3 ELOVL1 GPAT3 CYB5B MFSD9 QPRT TECRL PCDHA3 ZNF219 SLC2A13 TBC1D22A LMBRD1 INSIG1 PEX11B PDK2 NCOA2 GPAT4 ELOVL6 HSD17B4 SREBF1 DHRS2 HMGCR GPAT2 SLCO1B7 SDHC AP000350.4 PRKN ABCG1 FAM171A1 AGXT2 ELOVL7 IMPA2 ELOVL5 SLC25A20 SLC29A3 ALDH8A1 SPNS3 PLPP4 ST13 HMGCLL1 PRKAG2 ATL3 PRKAA2 ABCB9 FTO WWP2 OGDHL RXRG LRRC31 SPTLC3 AWAT2 MTCH1 ELOVL3 CARNS1 PITPNA SELENOI LPIN2 ACSL5 PDK4 TMEM70 PLCH1 HSD17B12 C11orf49 SLC2A10 GPT2 MRAP2 SLC50A1 AGPAT4 WDTC1 NPC1 LPGAT1 SDHAF4 EBPL CRLS1 ADCK5 ACSL3 ACLY GPRC5B WDR13 MMAA TECR GPRC5C SC5D ELOVL2 CERS5 CARM1 PRKAG3 DMGDH PRSS56 PARK7 SLC22A15 MCCC1 RXRA,Fatty acid metabolism,1.8145763905181182e-16,0.2982456140350877,17.0,19,2,2,0.09693877551020408,0.01020408163265306,0.0,0.8928571428571429
C229,PCDHA3 ABCB9 PCDHAC1 SLC25A20 MRAP2 CRAMP1 PDK4 C1orf43,C229,,,,1,1,1,0.125,0.125,0.0,0.75
C231,ABCB4 PCDHA3 ABCG1 ABCB9 PCDHAC1 MRAP2 C1orf43,C231,,,,1,0,0,0.14285714285714285,0.0,0.0,0.8571428571428572
C208,ACSM3 ALDH3B2 PRKAG1 DEDD CARNS1 BCKDK CERS2 SUCLG2 MVK PEX19 HAAO PDK4 TMEM70 GPD1L RIMKLA QPRT C11orf49 LAMTOR5 PEX11B PDK2 GPT2 TUBG1 PEX5 SLC50A1 HSD17B4 DHRS2 WDTC1 OXSM ACMSD PINK1 ALDH1L1 TMEM53 SDHC EBPL PRKN SDHAF4 GLYATL1 ADCK5 SLC2A4 AGXT2 EHHADH ALDH4A1 IMPA2 ACOT7 KMO DCXR MMAA ACOT9 ALDH6A1 ALDH8A1 MTCH2 UGT2B7 ASS1 ST13 HOGA1 PRKAG3 PRKAG2 HMGCLL1 PRKAA2 DMGDH ISYNA1 SLC41A3 GRID1 PARK7 FTO WWP2 ACSM2A OGDHL PIGN PRKAB1 RIMKLB HSD17B3 MCCC1,L-amino acid catabolic process,5.877224614541804e-12,0.13157894736842105,10.0,8,0,0,0.1095890410958904,0.0,0.0,0.8904109589041096
C209,CCSER2 ABCB4 DEDD ELOVL1 SLC20A1 SNX9 AP2S1 ELOVL4 MVK CERS2 SPTLC1 OSBPL1A CYB5B RXRG CRAMP1 ACSL6 ACSL5 HSD17B12 TECRL ZNF219 MSMO1 ERG28 TBC1D22A ELOVL6 INSIG1 GPT2 NCOA2 FAXDC2 SLC50A1 LDLR SREBF1 HMGCR NPC1 ABCG1 FAM171A1 ACSL3 ELOVL7 ACLY ELOVL5 SCARB2 WDR13 SLC25A20 ACSL1 CPT1A CERS4 TECR ELOVL2 CERS5 SC5D CARM1 SPTLC2 RXRB NDUFAF5 TBC1D9 LSS SPTLC3 HSD17B3 RXRA ELOVL3,fatty acid derivative biosynthetic process,5.071831881419188e-21,0.2549019607843137,13.0,5,2,2,0.0847457627118644,0.03389830508474576,0.0,0.8813559322033898
C211,DGKQ CDS2 MBOAT7 GK5 TOX3 LPCAT3 GPAT3 CHPT1 SELENOI LPIN2 PLCH1 MSMB LLGL2 MBOAT2 FAXDC2 GPAT4 TMPRSS2 MBOAT1 AGPAT4 GPAT2 WDTC1 DGKB LPGAT1 CEPT1 CRLS1 PNPLA5 GPRC5B LPCAT4 PLPP4 GPRC5C PLD2 LRRC31 AWAT2,Glycerophospholipid metabolism,9.670672950453704e-35,0.20202020202020202,20.0,4,0,0,0.12121212121212122,0.0,0.0,0.8787878787878788
C213,SLC22A15 AP000350.4 ATL3 SLC2A13 PRSS56 SLC2A10 LVRN SLC2A12 AC022335.1 SLC22A16 SLC22A9 SPNS3 SLC2A11 SLC22A23 SLCO1B7 SLC22A4 MFSD9 SVOPL,"Transport of bile salts and organic acids, metal ions and amine compounds",2.6083674284417134e-07,0.047619047619047616,4.0,1,0,0,0.05555555555555555,0.0,0.0,0.9444444444444444
C221,OSGEP MGME1 CRLS1 NDUFAF5 FDX1 POLG MTCH2 TMEM70 CARM1 COQ3,C221,,,,2,0,0,0.2,0.0,0.0,0.8
C226,PINK1 TMEM53 SLC41A3 BCKDK MVK PDK2 SLC50A1 WDTC1,C226,,,,2,0,0,0.25,0.0,0.0,0.75
C261,TUBG1 PINK1 PRKN PARK7,intrinsic apoptotic signaling pathway in response to oxidative stress,5.500596165511268e-06,0.05,3.0,4,0,0,1.0,0.0,0.0,0.0
