z_comb,z_12,observed_overlap,expected_overlap_mean,expected_overlap_std,empirical_p,obs_exp
2,1.0,411,382.7,17.76091213873882,0.055536741212788024,1.0739482623464855
2,1.5,218,199.99,13.186731968156476,0.08600609362651973,1.0900545027251363
2,2.0,93,82.3,9.24932429964481,0.12366861007093138,1.1300121506682868
3,1.0,306,279.99,15.678963613708655,0.04856689733627903,1.0928961748633879
3,1.5,207,186.59,12.947660020250764,0.05747297252397792,1.109384211372528
3,2.0,93,81.7,8.805112151472006,0.0996855503007883,1.1383108935128519
4,1.0,228,204.05,11.15829288018557,0.015921110612464234,1.117373192844891
4,1.5,177,153.0,10.240117186829455,0.009546167946160089,1.1568627450980393
4,2.0,93,82.74,8.687485251786041,0.11879953444491748,1.1240029006526469
5,1.0,159,143.21,12.072526661805307,0.09544880462122368,1.1102576635709795
5,1.5,139,120.06,9.953712875103442,0.028532830910282206,1.1577544561052806
5,2.0,89,77.26,8.772251706375052,0.09039755645899505,1.15195443955475
9,1.0,56,51.15,6.366121268087815,0.22307614976063117,1.0948191593352885
9,1.5,50,45.1,5.898304841223451,0.20305823910977855,1.1086474501108647
9,2.0,42,36.43,5.800439638510171,0.16845915927762373,1.152895964864123
12,1.0,38,32.23,4.95349371656006,0.12204301084130154,1.1790257524045922
12,1.5,32,26.25,4.646235034950341,0.10793941252821077,1.2190476190476192
12,2.0,26,21.53,4.070515937814272,0.1360714860005029,1.207617278216442
