,d1_seeds,d2_seeds,d1_name,d2_name,z_d1,z_d2,z_both,sum_seeds
BIN3,1,0,PD,glycosy,13.33387834868284,4.060488821526416,54.14206398241978,1
NPEPPS,1,0,PD,glycosy,22.339126759434052,2.2257576806282713,49.721482963338886,1
F11R,1,0,PD,glycosy,11.534656397168975,3.921290385296179,45.230737227913764,1
ZW10,1,0,PD,glycosy,16.575706699410752,2.3571871386198495,39.0720426453859,1
MFSD10,1,0,PD,glycosy,12.94122685040406,2.673367063513013,34.59664962332046,1
DCTN1,1,0,PD,glycosy,16.94297777749088,1.82070929728161,30.848237163113357,1
SRD5A2,1,0,PD,glycosy,10.16579534074723,2.7996061954266125,28.460223617394938,1
SDHC,1,0,PD,glycosy,15.768582219526724,1.7794108476603259,28.05878625364959,1
ATP13A2,1,0,PD,glycosy,11.047744418018146,2.422104305985391,26.758789326307816,1
STX4,1,0,PD,glycosy,12.492556360259075,2.1348191333887168,26.66934834281798,1
RNASEK,0,0,PD,glycosy,5.892003593354223,4.445116129036069,26.190640205157333,0
DYNC1I1,1,0,PD,glycosy,13.558220503037735,1.9286402344290334,26.148929569419224,1
ATP6AP1,0,1,PD,glycosy,2.1718813614294725,11.751333405825461,25.522501996055844,1
VAMP4,1,0,PD,glycosy,14.283247159497458,1.6636956071734403,23.76297555542844,1
COG5,0,1,PD,glycosy,1.9229567905219989,10.583071962595204,20.350790095055427,1
COG7,0,1,PD,glycosy,2.0908214708649275,9.538288815402868,19.942859050555114,1
DNAH17,1,0,PD,glycosy,12.530382781650527,1.5629829102834634,19.58477414702994,1
ORMDL3,0,0,PD,glycosy,4.167579551496515,4.611153526689638,19.21734914664278,0
ELOVL7,1,0,PD,glycosy,8.556426136339986,2.2006171239470285,18.829417875417686,1
ZNF609,1,0,PD,glycosy,10.66459995442438,1.7633209337473255,18.805112349677284,1
SH3BGRL2,0,0,PD,glycosy,3.3775232675321147,5.18329252605115,17.506691109163068,0
PIGT,0,1,PD,glycosy,1.7485475830017585,9.424128364042042,16.47853687284403,1
ANO10,0,0,PD,glycosy,3.8709219081438255,3.7166439816467975,14.386838613327487,0
