z_comb,z_12,observed_overlap,expected_overlap_mean,expected_overlap_std,empirical_p,obs_exp
2,1.0,263,465.33,17.42874350032153,1.0,0.5651902950594202
2,1.5,135,256.98,12.6814667921341,1.0,0.5253327107167872
2,2.0,76,125.64,10.850364049192082,0.9999976184644815,0.6049028971665075
3,1.0,199,376.04,17.242343228227423,1.0,0.5291990213807042
3,1.5,127,246.6,14.783774890061064,0.9999999999999997,0.5150040551500406
3,2.0,76,125.91,9.813353147624923,0.9999998170828445,0.6036057501389882
4,1.0,152,298.38,14.985179344939455,1.0,0.5094175212815872
4,1.5,110,223.27,13.760708557338173,0.9999999999999999,0.49267702781385764
4,2.0,76,126.15,9.657510031058731,0.9999998964504251,0.6024573919936583
5,1.0,119,234.91,11.806858176500638,1.0,0.5065769869311652
5,1.5,93,186.49,11.772421161341452,0.999999999999999,0.4986862566357445
5,2.0,72,120.6,10.561249926026749,0.9999979049996971,0.5970149253731344
9,1.0,43,105.43,8.879476335910805,0.9999999999989734,0.40785355211988994
9,1.5,38,89.2,8.465222974027323,0.9999999992679773,0.4260089686098655
9,2.0,31,70.79,8.690563848220666,0.9999976587155313,0.43791495974007627
12,1.0,33,67.26,7.263084744101503,0.9999988032852358,0.49063336306868865
12,1.5,30,57.15,7.147552028491993,0.9999272137556777,0.5249343832020997
12,2.0,24,47.52,5.496326045641761,0.9999906226187157,0.505050505050505
