,d1_seeds,d2_seeds,d1_name,d2_name,z_d1,z_d2,z_both,sum_seeds
PDCD5,1,0,PD,mitochondrial,23.885403081782975,6.254994247893174,149.4030588851624,1
PARK7,1,0,PD,mitochondrial,20.954874221625786,6.865383176898452,143.86324095517273,1
SDHC,1,0,PD,mitochondrial,15.768582219526724,6.882725744797712,108.53082680129603,1
CHCHD2,1,0,PD,mitochondrial,15.010921998367708,6.2743208983969545,94.1833415985651,1
TUBG1,1,0,PD,mitochondrial,20.16051449015216,3.222827989563088,64.97387038285459,1
SPPL2A,1,0,PD,mitochondrial,18.49636500491244,3.379763868327007,62.513346138991146,1
SNCA,1,0,PD,mitochondrial,15.30312244512172,3.4891583458418127,53.39501739683561,1
TTC27,1,0,PD,mitochondrial,16.63096680011647,2.990175334344931,49.72950671201772,1
MCCC1,1,0,PD,mitochondrial,12.460165528375915,3.8840808882007636,48.39629079258286,1
POLG,1,0,PD,mitochondrial,12.146340861757096,3.9582291152724576,48.07800004303049,1
MGME1,0,1,PD,mitochondrial,2.9369122612338745,13.185040162632829,38.72330611849743,1
VPS35,1,0,PD,mitochondrial,16.795551736564725,2.2193718535310105,37.27557478865564,1
CRLS1,1,0,PD,mitochondrial,11.76268642844284,2.9825343289020148,35.0826160729406,1
ISCU,0,1,PD,mitochondrial,1.8502078480573363,16.77528931691829,31.03777194759461,1
TMEM126A,0,1,PD,mitochondrial,2.238288434655676,12.877785599009895,28.82419857023927,1
TMEM230,1,0,PD,mitochondrial,11.067947366241976,2.5290279432105085,27.991148163209107,1
KLHL7,1,0,PD,mitochondrial,13.536875873345029,1.6334248332584236,22.11146921625858,1
RPS7,0,0,PD,mitochondrial,5.85226988838584,3.594905253345102,21.03835576575161,0
TMEM70,0,1,PD,mitochondrial,1.5004826051579006,14.014353945621865,21.0282943179316,1
AS3MT,1,0,PD,mitochondrial,9.060770381534605,2.305302255126687,20.887814393736818,1
AGK,0,1,PD,mitochondrial,1.7327633896541956,11.637399120021596,20.164859145967373,1
GEMIN2,0,0,PD,mitochondrial,5.171108744644845,3.7365955461629605,19.322341903964265,0
SS18L2,0,0,PD,mitochondrial,4.443921896295933,4.0105224946740625,17.822448729669457,0
GRID1,0,0,PD,mitochondrial,3.5479617032845194,4.861933883655506,17.249955223111108,0
RPS3A,0,0,PD,mitochondrial,5.393981510382481,2.9816547283792953,16.08299047522242,0
SPPL2B,1,0,PD,mitochondrial,6.95648209459376,2.083588764738457,14.494447934399808,1
MT-CO1,0,1,PD,mitochondrial,1.5029805579999795,9.214925948197052,13.849854543549696,1
NDUFAF5,0,1,PD,mitochondrial,1.6806257162078755,8.093104939732854,13.601480285684023,1
FDX1,0,0,PD,mitochondrial,2.3657544830261603,5.4926422215862925,12.99424295937654,0
MTCH2,0,0,PD,mitochondrial,2.425747313211812,5.087980276490914,12.342154485372525,0
CLN3,0,0,PD,mitochondrial,3.3578673987080663,3.5568635416030334,11.943476128002137,0
COQ3,0,0,PD,mitochondrial,1.768034362651338,6.668878792656157,11.790806865772852,0
EBPL,0,0,PD,mitochondrial,4.049280999094329,2.892463465286919,11.71239735056086,0
METTL2A,0,0,PD,mitochondrial,3.7176326550347762,3.1187779484286624,11.594470744880761,0
WDR13,0,0,PD,mitochondrial,3.730778624484072,2.8616353357408477,10.676127941650256,0
ACLY,0,0,PD,mitochondrial,3.7077204163537436,2.8290774630315276,10.489428269128249,0
COQ10B,0,0,PD,mitochondrial,2.8006917171453,3.7006597386122304,10.364407077904366,0
METTL2B,0,0,PD,mitochondrial,3.585654265329181,2.844539697311167,10.199535898561965,0
METTL6,0,0,PD,mitochondrial,3.2186615867579387,2.718022648211547,8.748395089736592,0
SDHAF4,0,0,PD,mitochondrial,2.563041704305225,3.383323227630045,8.671598531560365,0
ARMH3,0,0,PD,mitochondrial,2.5745576222878688,3.347437658625683,8.61817113914821,0
LAMTOR5,0,0,PD,mitochondrial,2.541436187999718,3.3866019353186805,8.606832712768774,0
METTL7B,0,0,PD,mitochondrial,3.2615603845742362,2.636102496282178,8.597807471551205,0
GTF3C3,0,0,PD,mitochondrial,3.140700676829458,2.679410333151246,8.415225846831962,0
HOGA1,0,0,PD,mitochondrial,2.58358643386592,3.246722130818076,8.388187251713834,0
MED12,0,0,PD,mitochondrial,2.7758536702352363,3.0095259139570114,8.354003553925624,0
FUNDC2,0,0,PD,mitochondrial,2.3363401903595657,3.5692771212417527,8.339045588887998,0
