Cluster,genes,Top pathway,p_value,recall,intersection_size,num_d1_seeds,num_d2_seeds,num_both_seeds,frac_d1_seeds,frac_d2_seeds,frac_both_seeds,frac_no_seeds
C279,SLC29A3 VPS25 FLCN MFSD9 TMEM263 FAM151B ATP6AP1 STAMBP SH3BGRL2 PEX11B MED12 GPAT4 TMEM246 SSR3 ITFG1 DRAM2 ACLY ACMSD CLN3 TMEM126A AP1B1 RAB4A SYCN SDHC GPD1L ALG10 CYB5B ARMH3 TECR SPTLC2 GRN MIOX LMAN2 M6PR ASS1 EEF1AKMT2 ACOT7 DNAJC1 EBPL MTCH2 HMGCLL1 SDHAF4 PMEL PRKAG1 MTCH1 DNAJB12 SLC30A7 HSD17B3 TH ABCB11 SLC36A4 PCYOX1 ALDH8A1 ELOVL1 VPS37A COG7 PIGW EXTL1 AGK FTO DNAJC5 ATP7A SLC22A1 NPEPPS RPS7 GXYLT1 MCCC1 ATP1A1 BBOX1 ACP2 PYGM PNPLA5 FBXO8 GOLIM4 FASTKD5 KMO POLG HSP90AB1 TMEM70 MT-CO1 ACSL5 FDX1 PEX19 RIMKLA ORMDL2 PEX5 GFRAL SLC6A17 KIAA0408 PRKAG3 ACSM3 ALDH3B2 ALDH6A1 ACSM2A SREBF1 PIGY UBC GLYATL1 TUBG1 RPS3A GTF3C3 P2RX4 SC5D ACSL3 TMEM134 SLC1A2 TTC27 SCAMP3 PLPP4 HAAO RNASEK IMPA2 SLC22A3 HMGCR NDUFAF5 C1orf43 VPS35 OXSM SS18L2 NSF SMIM20 ISYNA1 EEF1AKNMT AGXT2 SPTLC3 BCKDK SLC5A3 CEPT1 TYR EXTL3 METTL2A COPB2 MFSD10 OSGEP DNAJC28 BHMT PINK1 PRKAB1 SLC5A11 ELOVL6 AGPAT4 ALDH4A1 SLC6A3 GEMIN2 ENPP4 GNMT DCXR PCBD2 HAO2 PLIN3 YIPF5 TMEM230 SLC2A13 STUB1 SNX5 GRID1 CYGB PDCD5 ADIPOR1 INSIG1 TECRL RABGGTA GPR141 SLC2A12 SLC50A1 ORMDL3 HSD17B12 VAMP4 CPT1A DMGDH TMEM14A ALDH1L1 YRDC ACSL1 DPYS UGT2B7 KYNU TMEM11 H6PD HSD17B4 CTSA CARNS1 SLC22A10 LONRF2 WDR13 MGME1 C5orf38 AP2S1 COG5 METTL7A LANCL1 SUCLG2 F3 PORCN ATP6V0C GPAT3 TDO2 METTL2B GPT2 LMBRD1 SLC1A1 ANO10 ADRM1 SLC22A4 HACD2 DHRS2 FCSK NDRG1 NTMT1 CLN5 OGDHL QPRT PAH CHCHD2 BHMT2 CRLS1 CYP17A1 EMC3 FITM2 PIGT SLC25A20 TIMM22 COQ10B GPAT2 MMAA CRAMP1 AGPS SLC39A1 HEXA SEC63 MVK SPTLC1 MBOAT7 SLC2A4 PRKAG2 SLC20A1 HOGA1 KYAT1 GSTA3 TMEM222 PTPMT1 METTL6 GNS STK11 ISCU TPD52 SPPL2A PARK7 SLC7A5 SNAPC5 LSS SNCA PDK4 TMEM115 TRMT9B TFRC SLC22A12 COX19 EHHADH DNAJC18 LPGAT1 PDK2 NEU1 LAMTOR5 FXYD6 SLC18A2 COQ3 SLC6A18 FUNDC2 ELOVL2 TMEM43 METTL7B,thioester metabolic process,4.357047514905234e-21,0.23711340206185566,23.0,24,27,27,0.08823529411764706,0.09926470588235294,0.007352941176470588,0.8051470588235294
C280,ATP7A SLC22A1 SLC29A3 SLC1A1 MFSD9 GPT2 BHMT SLC5A11 SLC22A4 DHRS2 ALDH4A1 SLC6A3 BBOX1 OGDHL PCBD2 QPRT HAO2 KMO PAH BHMT2 FITM2 ACMSD SLC2A13 SLC6A17 GFRAL ACSM3 SYCN ALG10 ALDH6A1 ACSM2A SLC2A12 GLYATL1 SLC20A1 HOGA1 KYAT1 GSTA3 MIOX SLC1A2 ASS1 HAAO DMGDH ALDH1L1 DPYS SLC22A3 UGT2B7 KYNU SLC7A5 SLC22A10 HMGCLL1 PMEL SNCA C5orf38 AGXT2 SLC22A12 TH SLC6A18 SLC5A3 EHHADH TYR EXTL3 F3 ALDH8A1 SLC18A2 ABCB11 MFSD10 EXTL1 TDO2,L-amino acid catabolic process,5.132260198319351e-14,0.14473684210526316,11.0,4,9,9,0.05970149253731343,0.13432835820895522,0.014925373134328358,0.791044776119403
C281,ANO10 ADRM1 ATP6AP1 ATP1A1 ACP2 TMEM246 PLIN3 EMC3 PIGT STUB1 AP1B1 SLC39A1 HEXA ADIPOR1 RABGGTA TMEM222 P2RX4 GRN GNS LMAN2 M6PR SCAMP3 RNASEK CTSA MTCH1 ELOVL1 TMEM115 AP2S1 BCKDK NEU1 PORCN ATP6V0C MFSD10 TMEM43,Lysosome,3.633488881935886e-10,0.06870229007633588,9.0,2,4,4,0.058823529411764705,0.11764705882352941,0.0,0.8235294117647058
C286,ACSL5 SLC25A20 GPAT3 GPAT2 ACSL3 AGPAT4 CPT1A LPGAT1 PLPP4 ACSL1 GPAT4 MBOAT7 AGK ALDH3B2,O-acyltransferase activity,1.501555317908627e-13,0.11290322580645161,7.0,0,3,3,0.0,0.21428571428571427,0.0,0.7857142857142857
C287,DRAM2 YIPF5 TMEM230 SMIM20 LMBRD1 ISYNA1 TMEM134 PNPLA5 CEPT1 PCYOX1 CLN5 FBXO8 PIGY ITFG1,C287,,,,1,0,0,0.07142857142857142,0.0,0.07142857142857142,0.8571428571428572
C288,DNAJB12 DNAJC1 TMEM263 DNAJC28 SLC30A7 COG5 DNAJC18 SEC63 COPB2 COG7 GOLIM4 SSR3 DNAJC5,Protein processing in endoplasmic reticulum,8.611753246820704e-09,0.02976190476190476,5.0,0,2,2,0.0,0.15384615384615385,0.0,0.8461538461538461
C289,CYP17A1 LSS SC5D FDX1 WDR13 ELOVL6 FCSK INSIG1 MVK HMGCR SREBF1 CYB5B SLC50A1,cholesterol biosynthetic process,1.4026408648481395e-10,0.09836065573770492,6.0,2,0,0,0.15384615384615385,0.0,0.0,0.8461538461538461
C290,METTL6 EEF1AKNMT TRMT9B METTL7A EEF1AKMT2 METTL2A NTMT1 GNMT METTL2B COQ3 NDUFAF5 METTL7B,RNA methyltransferase activity,8.010754375552067e-08,0.06060606060606061,4.0,0,1,1,0.0,0.08333333333333333,0.0,0.9166666666666666
C297,OXSM MMAA RIMKLA MCCC1 SUCLG2 GPD1L CARNS1 HSD17B4,C297,,,,1,1,1,0.125,0.125,0.0,0.75
C299,TMEM70 SS18L2 CRLS1 PTPMT1 TMEM126A PDCD5 MTCH2 CHCHD2,mitochondrial envelope,7.726514071711943e-07,0.007142857142857143,6.0,3,2,2,0.375,0.25,0.0,0.375
C303,MT-CO1 FDX1 COQ10B COX19 GPR141 DMGDH YRDC FASTKD5,C303,,,,0,1,1,0.0,0.125,0.0,0.875
C306,TMEM263 STAMBP COG5 VAMP4 COPB2 COG7 GOLIM4,Intra-Golgi and retrograde Golgi-to-ER traffic,2.11169062911184e-07,0.024752475247524754,5.0,1,2,2,0.14285714285714285,0.2857142857142857,0.0,0.5714285714285714
C307,SDHAF4 TIMM22 NPEPPS TMEM11 SDHC C1orf43 FTO,C307,,,,2,0,0,0.2857142857142857,0.0,0.0,0.7142857142857143
C309,GTF3C3 PEX5 AGPS TTC27 GEMIN2 ARMH3,C309,,,,1,1,1,0.16666666666666666,0.16666666666666666,0.0,0.6666666666666667
C310,GPT2 KYAT1 ORMDL3 SPTLC2 ORMDL2 SPTLC3,ceramide biosynthetic process,9.099572561477181e-08,0.05714285714285714,4.0,0,1,1,0.0,0.16666666666666666,0.0,0.8333333333333334
C311,POLG MGME1 TTC27 GEMIN2 ARMH3 OSGEP,C311,,,,2,1,1,0.3333333333333333,0.16666666666666666,0.0,0.5
C315,PDK4 PRKAB1 PRKAG3 PYGM PRKAG2,Glucagon signaling pathway,1.2914705270909721e-06,0.037383177570093455,4.0,0,1,1,0.0,0.2,0.0,0.8
C321,BCKDK H6PD PDK2 CYGB,C321,,,,0,1,1,0.0,0.25,0.0,0.75
C333,RPS3A SSR3 FAM151B RPS7,C333,,,,1,0,0,0.25,0.0,0.0,0.75
C335,ATP6V0C PINK1 SNCA STUB1,C335,,,,2,0,0,0.5,0.0,0.0,0.5
C336,VPS35 TPD52 SNX5 AP1B1,Golgi Associated Vesicle Biogenesis,9.419906751086467e-06,0.05454545454545454,3.0,1,1,1,0.25,0.25,0.0,0.5
C342,CPT1A ELOVL2 SLC25A20 CRAMP1,C342,,,,1,2,2,0.25,0.5,0.0,0.25
C348,POLG TFRC VPS25 OSGEP,C348,,,,1,0,0,0.25,0.0,0.0,0.75
C351,VAMP4 RAB4A NSF PEX19,C351,,,,1,0,0,0.25,0.0,0.0,0.75
C301,GPT2 KYAT1 SLC29A3 ACMSD HAAO QPRT KYNU KMO,L-amino acid catabolic process,1.8103788386997672e-10,0.06578947368421052,5.0,1,4,4,0.125,0.5,0.0,0.375
C339,ACSM3 DHRS2 TYR PMEL,C339,,,,0,1,1,0.0,0.25,0.0,0.75
C341,PCBD2 TH PAH TDO2,monooxygenase activity,8.311884115497542e-06,0.02631578947368421,3.0,0,1,1,0.0,0.25,0.0,0.75
C282,ATP7A SLC22A1 SLC29A3 SLC1A1 MFSD9 SLC5A11 SLC22A4 SLC6A3 FITM2 SLC2A13 SLC6A17 GFRAL SYCN ALG10 SLC2A12 SLC20A1 SLC1A2 SLC22A3 SLC7A5 SLC22A10 PMEL SNCA C5orf38 TH SLC5A3 TYR EXTL3 F3 SLC18A2 MFSD10 EXTL1,solute:sodium symporter activity,9.512413189487678e-12,0.09876543209876543,8.0,3,5,5,0.0967741935483871,0.16129032258064516,0.03225806451612903,0.7096774193548387
C283,BHMT ALDH4A1 BBOX1 OGDHL HAO2 PAH BHMT2 ACMSD ACSM3 ALDH6A1 ACSM2A GLYATL1 HOGA1 MIOX ASS1 HAAO DMGDH ALDH1L1 DPYS UGT2B7 HMGCLL1 AGXT2 SLC22A12 SLC6A18 EHHADH ALDH8A1 TDO2,non-proteinogenic amino acid metabolic process,4.829861936087084e-11,0.1076923076923077,7.0,1,2,2,0.037037037037037035,0.07407407407407407,0.0,0.8888888888888888
C292,P2RX4 MTCH1 GRN GNS LMAN2 M6PR SLC39A1 HEXA NEU1 ACP2 TMEM246 CTSA,Glycosphingolipid metabolism,2.1415811030375893e-06,0.07272727272727272,4.0,1,0,0,0.08333333333333333,0.0,0.0,0.9166666666666666
C302,TMEM222 PIGT TMEM115 ADRM1 ATP6AP1 RNASEK PORCN MFSD10,C302,,,,1,2,2,0.125,0.25,0.0,0.625
C337,SLC22A3 MFSD10 SLC18A2 MFSD9,C337,,,,1,1,1,0.25,0.25,0.0,0.5
C284,ATP7A SLC1A1 SLC5A11 SLC6A3 SLC6A17 GFRAL SYCN SLC20A1 SLC1A2 SLC7A5 PMEL SNCA C5orf38 TH SLC5A3 TYR EXTL3 F3 SLC18A2 EXTL1,catechol-containing compound metabolic process,2.686818866700573e-07,0.08771929824561403,5.0,1,4,4,0.05,0.2,0.05,0.7
C294,SLC22A1 FITM2 MFSD9 SLC2A13 SLC22A4 SLC22A10 ALG10 SLC22A3 SLC2A12,"Transport of bile salts and organic acids, metal ions and amine compounds",7.067146360180767e-07,0.047619047619047616,4.0,1,0,0,0.1111111111111111,0.0,0.0,0.8888888888888888
C285,HOGA1 ACMSD BHMT ACSM2A AGXT2 ASS1 EHHADH DMGDH ALDH8A1 DPYS UGT2B7 HAO2 PAH BHMT2 GLYATL1,proteinogenic amino acid biosynthetic process,9.922609484783205e-09,0.08928571428571429,5.0,1,0,0,0.06666666666666667,0.0,0.0,0.9333333333333333
C291,SLC1A1 SLC6A17 SLC5A11 C5orf38 GFRAL SLC1A2 SLC6A3 SLC5A3 TH EXTL3 SYCN EXTL1,solute:sodium symporter activity,2.726492130738238e-08,0.06172839506172839,5.0,0,2,2,0.0,0.16666666666666666,0.08333333333333333,0.75
C324,ATP7A TYR PMEL F3,pigment biosynthetic process,6.744258587628056e-06,0.05172413793103448,3.0,0,1,1,0.0,0.25,0.0,0.75
C293,HOGA1 ACMSD AGXT2 ASS1 EHHADH ALDH8A1 DPYS UGT2B7 HAO2 BHMT2 GLYATL1,non-proteinogenic amino acid metabolic process,7.232291520044023e-07,0.06153846153846154,4.0,1,0,0,0.09090909090909091,0.0,0.0,0.9090909090909091
C304,AGK GPAT2 AGPAT4 PLPP4 GPAT4 MBOAT7 GPAT3,Glycerolipid metabolism,4.5731498289327915e-12,0.09523809523809523,6.0,0,1,1,0.0,0.14285714285714285,0.0,0.8571428571428572
C320,TMEM134 PIGY SMIM20 TMEM230,C320,,,,1,0,0,0.25,0.0,0.0,0.75
C338,FBXO8 LMBRD1 YIPF5 PCYOX1,C338,,,,0,0,0,0.0,0.0,0.25,0.75
C318,TMEM263 COG5 COPB2 COG7 GOLIM4,Intra-Golgi and retrograde Golgi-to-ER traffic,1.5438071025608003e-06,0.019801980198019802,4.0,0,2,2,0.0,0.4,0.0,0.6
C316,SLC6A17 GFRAL C5orf38 SLC6A3 SYCN,C316,,,,0,0,0,0.0,0.0,0.2,0.8
C325,SLC5A3 SLC5A11 SLC1A1 SLC1A2,solute:sodium symporter activity,1.8066834854343582e-08,0.04938271604938271,4.0,0,1,1,0.0,0.25,0.0,0.75
C322,MCCC1 CARNS1 MMAA RIMKLA,C322,,,,1,1,1,0.25,0.25,0.0,0.5
C332,PTPMT1 TMEM70 MTCH2 CRLS1,C332,,,,1,1,1,0.25,0.25,0.0,0.5
C350,PDCD5 TMEM126A SS18L2 TMEM70,C350,,,,1,2,2,0.25,0.5,0.0,0.25
C353,GPT2 KYAT1 KYNU KMO,L-amino acid catabolic process,3.2502481461609237e-06,0.039473684210526314,3.0,0,2,2,0.0,0.5,0.0,0.5
C346,QPRT KYNU ACMSD HAAO,dicarboxylic acid metabolic process,5.24033676262531e-09,0.04040404040404041,4.0,1,2,2,0.25,0.5,0.0,0.25
C334,ATP6AP1 TMEM222 RNASEK PIGT,C334,,,,0,2,2,0.0,0.5,0.0,0.5
C327,MT-CO1 GPR141 COX19 DMGDH,C327,,,,0,1,1,0.0,0.25,0.0,0.75
C317,SDHAF4 NPEPPS SDHC C1orf43 FTO,C317,,,,2,0,0,0.4,0.0,0.0,0.6
