z_comb,z_12,observed_overlap,expected_overlap_mean,expected_overlap_std,empirical_p,obs_exp
2,1.0,538,608.06,19.045639920989792,0.9998827099673878,0.8847811071275862
2,1.5,297,335.33,14.802739611301686,0.9951926310668818,0.8856946888140041
2,2.0,123,159.39,12.265312878194344,0.9984959233311833,0.7716920760399022
3,1.0,427,485.52,15.139009214608462,0.9999445714741403,0.8794694348327566
3,1.5,279,320.86,13.590452531096968,0.9989653565341893,0.8695381163124104
3,2.0,123,159.82,12.483893623385296,0.9984080437473388,0.7696158177950194
4,1.0,338,379.3,18.29289479552102,0.9880180394787533,0.8911152122330609
4,1.5,245,280.39,15.3276841042605,0.989525271858818,0.8737829451834944
4,2.0,123,157.38,11.566140237780276,0.9985229275807596,0.781547845977888
5,1.0,254,301.92,16.747943157295467,0.9978901083987398,0.8412824589295177
5,1.5,197,234.86,13.599279392673717,0.9973151085816159,0.8387975815379375
5,2.0,118,150.98,10.903192193114823,0.998756021196857,0.7815604715856406
9,1.0,116,150.94,11.707963102094233,0.9985788307958223,0.7685172916390619
9,1.5,90,120.57,8.978034306015989,0.9996691518241456,0.7464543418760886
9,2.0,68,90.02,8.77494159524723,0.9939534925982657,0.7553876916240836
12,1.0,90,107.46,9.282693574604302,0.9700085696250839,0.8375209380234506
12,1.5,73,86.38,8.702620295060562,0.9379106241749691,0.8451030331095162
12,2.0,52,65.21,7.095484479582772,0.9686806502285173,0.7974237080202423
