Cluster,genes,Top pathway,p_value,recall,intersection_size,num_d1_seeds,num_d2_seeds,num_both_seeds,frac_d1_seeds,frac_d2_seeds,frac_both_seeds,frac_no_seeds
C224,NPTN AP1G1 TCF25 SLC2A13 TBC1D15 ACP2 KCTD12 LVRN MAP1B STUB1 LAMP2 PLPP4 SLC2A7 RAPGEF2 LZTS3 TMEM94 PLD6 KCNH8 BDNF PPP2R5B HOMER2 SPNS3 ITFG1 GRN SYT12 PCSK1 CLN5 ACLY TRPA1 DYNC1H1 SREBF1 INSIG1 PINK1 MBOAT2 ALG10 ADAM10 UNC13C SPNS2 IGF2R TMEM175 C5orf15 PLD3 PLA2G4B TSC22D4 SH3GLB1 SLC23A1 PEX19 ABCG1 CTSB ACSL5 LPCAT2 ZNF839 CTTN WDTC1 SNCAIP MBOAT1 NFAT5 TDGF1 NSMAF H6PD ACVR1 NEU1 PNPLA5 TBC1D4 LMBRD1 AP000350.4 ADIPOR1 PRNP SYN1 ITGAV ACSL6 WWP2 SEC63 PAFAH1B1 PNPLA1 LMAN2 ACSL3 PLD2 AC138894.1 DMXL2 SPTLC2 RAB5A PCSK2 JAM2 FBRS RAB21 CNTFR FAXDC2 PLPP1 CCPG1 BIN1 STX1B NBR1 VGF CHEK2 CTNS DGKQ CTSA MCOLN1 ANOS1 SLC29A3 M6PR WIPI1 SLC22A25 ITSN1 SLC36A4 KCNJ5 CLN3 UBAP1 TGOLN2 NSF PLA2G4A PSEN1 MFSD1 SERINC3 RAB5B STXBP6 ACSL1 SYT3 SH3YL1 ERBIN RAB13 SYT11 BRAF AKT1S1 PPT2 GLG1 PIGT CLINT1 DNAJB12 SLC22A15 KBTBD6 GPD1L GTF2H2C_2 TMCO3 RAB9A MAGEA6 PLPP3 EDC4 TSC2 AWAT2 PRSS23 GPAT2 GALC FKBP1A STK11 DNAJC3 SPPL2C CDS2 PARK7 ASPH EEF1AKMT3 GNS MFSD10 KMO SLC5A11 RMC1 SLC22A4 ATRN NRAS MTCH1 HEXD SLC22A10 LPIN2 MAP9 AC068234.1 SCARB2 PLBD1 CTSD ATP6V0C TSPAN31 PLIN3 TRHDE MAP1LC3B NFE2 SLCO1B7 GPAT3 SYT7 PHYHIP AP2A2 TMEM151A RAB18 CEPT1 SLC22A3 ANO10 SERPINI1 PLPPR2 PICALM SYT6 KIAA0513 SLC22A23 TRAM2 P2RX4 DENND6A MFSD9 FOXO4 CHM CRABP1 CTSF GK5 NELL2 AHNAK HEXA PNPLA8 DMTN STK38L SLC5A3 SVOPL DNAJC1 GPAT4 TBC1D9 LPCAT4 TMEM134,Glycerophospholipid metabolism,1.4416366174535568e-14,0.1919191919191919,19.0,16,1,1,0.07511737089201878,0.004694835680751174,0.0,0.92018779342723
C225,NPTN AP1G1 WIPI1 TDGF1 TBC1D15 NSMAF ACVR1 NEU1 AC068234.1 TGOLN2 NSF SCARB2 TSPAN31 LAMP2 LMBRD1 MAP1LC3B RAPGEF2 PRNP PSEN1 MFSD1 SERINC3 ITGAV SEC63 PAFAH1B1 RAB18 KCNH8 SH3YL1 HOMER2 ERBIN RAB13 ITFG1 BRAF PICALM CLN5 CLINT1 DMXL2 TRAM2 KBTBD6 GTF2H2C_2 DYNC1H1 RAB5A TMCO3 DENND6A RAB9A MAGEA6 CHM RAB21 ADAM10 AHNAK CCPG1 C5orf15 NBR1 STK38L GALC SPPL2C SLC23A1 SH3GLB1 EEF1AKMT3 PEX19 GNS TBC1D9 ATRN M6PR NRAS,RAB geranylgeranylation,9.019207107358903e-06,0.09375,6.0,4,0,0,0.0625,0.0,0.0,0.9375
C226,MTCH1 HEXD TCF25 WDTC1 SNCAIP ACP2 H6PD CLN3 NEU1 CTSD ATP6V0C PLIN3 STUB1 ADIPOR1 TMEM94 LMAN2 PPP2R5B AC138894.1 GRN ANO10 GLG1 PIGT DNAJB12 P2RX4 PINK1 JAM2 CTSF TMEM175 EDC4 HEXA FKBP1A STK11 PLD3 PARK7 TSC22D4 DGKQ MFSD10 MCOLN1 CTSA KMO CTSB CTNS TBC1D9 ZNF839 SLC29A3 TMEM134,lysosomal lumen,1.1339486130181447e-09,0.08,8.0,6,1,1,0.13043478260869565,0.021739130434782608,0.0,0.8478260869565217
C227,KCNJ5 NFE2 LZTS3 SYN1 SYT7 PHYHIP STXBP6 TMEM151A SYT3 BDNF SYT11 SERPINI1 PCSK1 SYT6 KIAA0513 PCSK2 FOXO4 UNC13C CRABP1 CNTFR NELL2 TSC2 STX1B DMTN VGF SYT12,calcium-ion regulated exocytosis,7.027823478381543e-10,0.10606060606060606,7.0,1,0,0,0.038461538461538464,0.0,0.0,0.9615384615384616
C228,MBOAT1 PLBD1 PNPLA5 PLPP4 PLA2G4A GPAT3 PNPLA1 PLD6 CEPT1 PLD2 ANO10 PLPPR2 GPD1L MBOAT2 FBRS PLPP3 GK5 PNPLA8 AWAT2 GPAT2 CHEK2 PLA2G4B GPAT4 LPCAT2 LPCAT4,O-acyltransferase activity,1.2375782289186928e-15,0.14516129032258066,9.0,1,0,0,0.04,0.0,0.0,0.96
C257,GALC GTF2H2C_2 PLPP3 FAXDC2 PLPP1,Sphingolipid metabolism,2.681743664207448e-06,0.05555555555555555,3.0,1,0,0,0.2,0.0,0.0,0.8
C230,SLC22A10 SLC2A13 SLC22A23 SLC22A25 SLC5A3 SLC22A15 SVOPL SLC5A11 MFSD9 ALG10 LVRN TRHDE SPNS2 SPNS3 SLC22A4 SLC22A3 AP000350.4 SLC2A7,"Transport of bile salts and organic acids, metal ions and amine compounds",2.586728061371548e-10,0.07142857142857142,6.0,1,0,0,0.05555555555555555,0.0,0.0,0.9444444444444444
C263,SLC22A3 MFSD10 SLCO1B7 MFSD9,C263,,,,1,0,0,0.25,0.0,0.0,0.75
C232,ACLY TRPA1 ACSL6 SPTLC2 ACSL1 INSIG1 SREBF1 ABCG1 ACSL5 ACSL3 PPT2,fatty acid derivative biosynthetic process,2.299332813417373e-07,0.0784313725490196,4.0,2,0,0,0.18181818181818182,0.0,0.0,0.8181818181818181
C235,ADIPOR1 KBTBD6 UBAP1 SH3GLB1 PEX19 RMC1 RAB21 ITFG1 MAP1LC3B,C235,,,,2,0,0,0.2222222222222222,0.0,0.0,0.7777777777777778
C244,NBR1 MAP9 DYNC1H1 PARK7 PAFAH1B1 SLC23A1 MAP1B,C244,,,,1,0,0,0.14285714285714285,0.0,0.0,0.8571428571428572
C245,ACLY FKBP1A PARK7 INSIG1 SREBF1 ABCG1 PLIN3,secondary alcohol biosynthetic process,7.140020888221675e-07,0.06557377049180328,4.0,3,0,0,0.42857142857142855,0.0,0.0,0.5714285714285714
C274,PEX19 KBTBD6 MAP1LC3B RAB21,C274,,,,1,0,0,0.25,0.0,0.0,0.75
C259,WDTC1 SNCAIP H6PD PINK1 JAM2,C259,,,,1,0,0,0.2,0.0,0.0,0.8
C229,MTCH1 HEXD ACP2 CLN3 NEU1 CTSD LMAN2 AC138894.1 GLG1 P2RX4 CTSF HEXA TMEM175 CTNS MCOLN1 CTSA CTSB KMO SLC29A3,lysosomal lumen,2.0694294609507038e-11,0.07,7.0,2,1,1,0.10526315789473684,0.05263157894736842,0.0,0.8421052631578947
C268,TMEM175 ZNF839 TMEM94 DGKQ,C268,,,,1,0,0,0.25,0.0,0.0,0.75
C236,EDC4 TCF25 SNCAIP PINK1 JAM2 ATP6V0C STUB1 TMEM134,C236,,,,1,0,0,0.125,0.0,0.0,0.875
