Cluster,genes,Top pathway,p_value,recall,intersection_size,num_d1_seeds,num_d2_seeds,num_both_seeds,frac_d1_seeds,frac_d2_seeds,frac_both_seeds,frac_no_seeds
C93,STX18 HADH PINK1 PLD2 VLDLR EIF4EBP1 MOSPD3 HOOK2 KIF6 NIPSNAP1 NBAS HTRA2 TBC1D7 TUBG1 GABARAPL1 SLC9A3R1 DYNLRB1 PCDHGA5 MEG3 FAXDC2 POMK FAM171A1 AC139530.2 MINDY1 GAMT NPC1 AKAP1 CDK5RAP3 GABRB3 FABP3 CYP4Z2P PCDHA8 HEMK1 PCSK9 ATP2A2 INSIG1 FEZ2 POMGNT1 SLC25A22 HEATR9 POLR3D LLGL2 ATG4A KATNB1 SEBOX OSBPL1A GCHFR EYA1 PCDHA2 DGKB TUBGCP2 ZNF358 SCARF1 CCSER2 B4GALT3 ITGB1 SYNGR1 C11orf49 TMEM53 CTNNA2 FOXA2 NTRK1 ATP1A1 BCAT1 COPZ1 CLIC3 MSMB SLC2A1 NFIB ACTR1B BSCL2 PFKP ERG28 LRPAP1 PGAP2,C93,,,,3,1,1,0.04,0.013333333333333334,0.0,0.9466666666666667
C116,KATNB1 OSBPL1A TUBG1 ACTR1B TUBGCP2,C116,,,,1,0,0,0.2,0.0,0.0,0.8
C94,VLDLR EIF4EBP1 HOOK2 HTRA2 TUBG1 FAM171A1 AC139530.2 NPC1 AKAP1 FABP3 PCSK9 SLC25A22 ATP2A2 INSIG1 KATNB1 TUBGCP2 CCSER2 ITGB1 NTRK1 BCAT1 SLC2A1 PFKP ERG28 LRPAP1 ATP1A1,C94,,,,2,0,0,0.08,0.0,0.0,0.92
C95,STX18 HADH KIF6 NBAS MEG3 DYNLRB1 POMK SEBOX FEZ2 POMGNT1 POLR3D EYA1 SCARF1 B4GALT3 FOXA2 COPZ1 MSMB NFIB PGAP2,C95,,,,1,1,1,0.05263157894736842,0.05263157894736842,0.0,0.8947368421052632
C103,PCSK9 ITGB1 ATP2A2 INSIG1 VLDLR FABP3 NPC1 ERG28 ATP1A1,sterol metabolic process,1.4687650569379184e-06,0.03125,5.0,1,0,0,0.1111111111111111,0.0,0.0,0.8888888888888888
C109,B4GALT3 HADH POMGNT1 POMK SCARF1 PGAP2,C109,,,,0,1,1,0.0,0.16666666666666666,0.0,0.8333333333333334
C101,B4GALT3 SEBOX POMGNT1 FOXA2 POLR3D POMK MSMB EYA1 NFIB MEG3,C101,,,,1,0,0,0.1,0.0,0.0,0.9
C105,SEBOX FOXA2 POLR3D MSMB EYA1 NFIB MEG3,C105,,,,1,0,0,0.14285714285714285,0.0,0.0,0.8571428571428572
C115,PCSK9 INSIG1 VLDLR NPC1 ERG28,"Plasma lipoprotein assembly, remodeling, and clearance",9.737280824362232e-06,0.04225352112676056,3.0,1,0,0,0.2,0.0,0.0,0.8
C112,SEBOX FOXA2 MSMB EYA1 MEG3,C112,,,,1,0,0,0.2,0.0,0.0,0.8
