z_comb,z_12,observed_overlap,expected_overlap_mean,expected_overlap_std,empirical_p,obs_exp
2,1.0,212,349.36,14.441966625082609,1.0,0.6068239065720173
2,1.5,100,183.14,12.2996097499067,0.9999999999930796,0.5460303592879765
2,2.0,33,73.78,7.929161368013644,0.9999998648365186,0.4472756844673353
3,1.0,148,255.13,13.929576447257828,0.9999999999999927,0.5800964214322111
3,1.5,93,173.04,11.865007374628977,0.9999999999923953,0.5374479889042996
3,2.0,33,73.28,8.364305111603713,0.9999992665831647,0.45032751091703055
4,1.0,89,178.04,12.452244777549147,0.9999999999995678,0.4998876656931027
4,1.5,66,141.12,10.93369105105865,0.9999999999968013,0.46768707482993194
4,2.0,33,75.03,8.125829188458246,0.9999998844439447,0.43982407037185123
5,1.0,58,125.59,11.06444304969753,0.9999999994979514,0.4618202086153356
5,1.5,46,109.44,9.8887006224276,0.9999999999297746,0.4203216374269006
5,2.0,30,68.26,7.542705085047406,0.9999998036375937,0.43949604453559915
9,1.0,18,37.13,6.3350690603970525,0.9987348688262966,0.48478319418260163
9,1.5,13,34.06,5.57462106335489,0.9999209012670892,0.38167938931297707
9,2.0,9,28.76,4.827255949294589,0.9999787474263642,0.3129346314325452
12,1.0,14,19.15,4.109440351191388,0.8949357197354229,0.731070496083551
12,1.5,9,16.19,4.036570326403344,0.9625613407527798,0.5558987029030266
12,2.0,5,13.74,3.2821334524970185,0.9961265023035966,0.363901018922853
